ENSPCAP00000002341	ENSPCAG00000002483	Procavia_capensis	ENSPCAT00000002483
ENSETEP00000004029	ENSETEG00000004941	Echinops_telfairi	ENSETET00000004942
ENSGGOP00000016892	ENSGGOG00000005506	Gorilla_gorilla	ENSGGOT00000023629
ENSP00000261942	ENSG00000113194	Homo_sapiens	ENST00000261942
ENSPPYP00000017988	ENSPPYG00000016073	Pongo_abelii
ENSLBEP00000030513	ENSLBEG00000023032	Labrus_bergylta
ENSTRUP00000028320	ENSTRUG00000011219	Takifugu_rubripes
ENSTNIP00000008316	ENSTNIG00000005614	Tetraodon_nigroviridis
ENSMMOP00000012008	ENSMMOG00000009227	Mola_mola
ENSCGOP00000028765	ENSCGOG00000013313	Cottoperca_gobio
ENSGACP00000024342	ENSGACG00000018417	Gasterosteus_aculeatus
ENSAPEP00000016827	ENSAPEG00000011987	Amphiprion_percula
ENSAOCP00000026876	ENSAOCG00000015410	Amphiprion_ocellaris
ENSAPOP00000024500	ENSAPOG00000006970	Acanthochromis_polyacanthus
ENSSPAP00000025105	ENSSPAG00000018951	Stegastes_partitus
ENSPRNP00000054481	ENSPRNG00000025607	Parambassis_ranga
ENSXMAP00000010256	ENSXMAG00000010225	Xiphophorus_maculatus
ENSXCOP00000013656	ENSXCOG00000010342	Xiphophorus_couchianus
ENSGAFP00000009802	ENSGAFG00000006657	Gambusia_affinis
ENSPFOP00000000892	ENSPFOG00000000899	Poecilia_formosa
ENSPLAP00000013589	ENSPLAG00000017125	Poecilia_latipinna
ENSPMEP00000002379	ENSPMEG00000003435	Poecilia_mexicana
ENSPREP00000028677	ENSPREG00000019408	Poecilia_reticulata
ENSFHEP00000006580	ENSFHEG00000007655	Fundulus_heteroclitus
ENSCVAP00000027223	ENSCVAG00000013408	Cyprinodon_variegatus
ENSKMAP00000011704	ENSKMAG00000008803	Kryptolebias_marmoratus
ENSORLP00015005355	ENSORLG00015006141	Oryzias_latipes_ASM223469v1
ENSORLP00000009138	ENSORLG00000007289	Oryzias_latipes_ASM223467v1
ENSORLP00020006051	ENSORLG00020006879	Oryzias_latipes_ASM223471v1
ENSOMEP00000009840	ENSOMEG00000011110	Oryzias_melastigma
ENSMZEP00005012096	ENSMZEG00005009052	Maylandia_zebra
ENSACLP00000003162	ENSACLG00000002149	Astatotilapia_calliptera
ENSPNYP00000000235	ENSPNYG00000000183	Pundamilia_nyererei
ENSHBUP00000003019	ENSHBUG00000004269	Haplochromis_burtoni
ENSNBRP00000021071	ENSNBRG00000016161	Neolamprologus_brichardi
ENSONIP00000022312	ENSONIG00000017695	Oreochromis_niloticus
ENSACIP00000021760	ENSACIG00000016895	Amphilophus_citrinellus
ENSMAMP00000017884	ENSMAMG00000012092	Mastacembelus_armatus
ENSMALP00000006551	ENSMALG00000004673	Monopterus_albus
ENSATEP00000002723	ENSATEG00000001915	Anabas_testudineus
ENSBSLP00000051976	ENSBSLG00000024602	Betta_splendens
ENSSDUP00000013081	ENSSDUG00000009501	Seriola_dumerili
ENSSLDP00000004815	ENSSLDG00000003793	Seriola_lalandi_dorsalis
ENSLCAP00010015963	ENSLCAG00010007545	Lates_calcarifer
ENSSMAP00000014250	ENSSMAG00000008747	Scophthalmus_maximus
ENSHCOP00000004973	ENSHCOG00000006532	Hippocampus_comes
ENSCSEP00000031493	ENSCSEG00000020164	Cynoglossus_semilaevis
ENSPMGP00000022224	ENSPMGG00000017986	Periophthalmus_magnuspinnatus
ENSGMOP00000007496	ENSGMOG00000007044	Gadus_morhua
ENSHHUP00000001669	ENSHHUG00000001056	Hucho_hucho
ENSHHUP00000017269	ENSHHUG00000010732	Hucho_hucho
ENSELUP00000020533	ENSELUG00000019765	Esox_lucius
ENSLOCP00000014621	ENSLOCG00000011889	Lepisosteus_oculatus
ENSECRP00000033159	ENSECRG00000022441	Erpetoichthys_calabaricus
ENSCMIP00000048319	ENSCMIG00000019755	Callorhinchus_milii
ENSEBUP00000024873	ENSEBUG00000015367	Eptatretus_burgeri
