ENSUPAP00010017874	ENSUPAG00010014221	Urocitellus_parryii
ENSHHUP00000058509	ENSHHUG00000034808	Hucho_hucho
ENSCATP00000008452	ENSCATG00000025473	Cercocebus_atys
ENSPNAP00000019231	ENSPNAG00000025751	Pygocentrus_nattereri
ENSOMEP00000011769	ENSOMEG00000013076	Oryzias_melastigma
ENSVPAP00000001473	ENSVPAG00000001593	Vicugna_pacos
ENSNGAP00000025174	ENSNGAG00000023211	Nannospalax_galili
ENSNSUP00000004098	ENSNSUG00000003273	Notechis_scutatus
ENSACLP00000010576	ENSACLG00000007230	Astatotilapia_calliptera
ENSAPLP00000000969	ENSAPLG00000001548	Anas_platyrhynchos_platyrhynchos
ENSBSLP00000022950	ENSBSLG00000011549	Betta_splendens
ENSFHEP00000008880	ENSFHEG00000010092	Fundulus_heteroclitus
ENSHCOP00000008584	ENSHCOG00000010859	Hippocampus_comes
ENSTGUP00000001296	ENSTGUG00000001258	Taeniopygia_guttata
ENSLCRP00005043910	ENSLCRG00005016816	Larimichthys_crocea
ENSTRUP00000055141	ENSTRUG00000019776	Takifugu_rubripes
ENSONIP00000016294	ENSONIG00000012954	Oreochromis_niloticus
ENSMUGP00000017983	ENSMUGG00000015264	Meriones_unguiculatus	ENSMUGT00000020711
ENSPREP00000008593	ENSPREG00000005874	Poecilia_reticulata
ENSORLP00020028236	ENSORLG00020011610	Oryzias_latipes_ASM223471v1
ENSSFOP00015031470	ENSSFOG00015020164	Scleropages_formosus
ENSAMXP00005034064	ENSAMXG00005016450	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPKIP00000028819	ENSPKIG00000010311	Paramormyrops_kingsleyae
ENSKMAP00000026260	ENSKMAG00000019468	Kryptolebias_marmoratus
ENSMGAP00000016397	ENSMGAG00000015456	Meleagris_gallopavo
ENSMMMP00000006487	ENSMMMG00000005822	Marmota_marmota_marmota
ENSCPGP00000005926	ENSCPGG00000004242	Calidris_pygmaea
ENSMAUP00000005496	ENSMAUG00000007558	Mesocricetus_auratus
ENSDCDP00000017190	ENSDCDG00000013989	Denticeps_clupeoides
ENSHCOP00000018467	ENSHCOG00000003032	Hippocampus_comes
ENSCABP00000001288	ENSCABG00000001070	Chelonoidis_abingdonii
ENSFDAP00000005416	ENSFDAG00000014434	Fukomys_damarensis
ENSFHEP00000018247	ENSFHEG00000020078	Fundulus_heteroclitus
ENSCVAP00000015253	ENSCVAG00000018022	Cyprinodon_variegatus
MGP_SPRETEiJ_P0036190	MGP_SPRETEiJ_G0019454	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0036190
MGP_PahariEiJ_P0041158	MGP_PahariEiJ_G0019639	Mus_pahari_strain_PAHARI_EIJ	MGP_PahariEiJ_T0041158
ENSCSAP00000009609	ENSCSAG00000013451	Chlorocebus_sabaeus
ENSLAFP00000008764	ENSLAFG00000010469	Loxodonta_africana
ENSEEUP00000004129	ENSEEUG00000004570	Erinaceus_europaeus
ENSOANP00000002929	ENSOANG00000001844	Ornithorhynchus_anatinus
ENSPTRP00000069672	ENSPTRG00000044708	Pan_troglodytes
ENSUMAP00000023870	ENSUMAG00000017367	Ursus_maritimus
ENSGMOP00000017438	ENSGMOG00000016267	Gadus_morhua
ENSDORP00000021626	ENSDORG00000026262	Dipodomys_ordii
ENSECAP00000039865	ENSECAG00000039558	Equus_caballus
ENSVURP00010009913	ENSVURG00010007665	Vombatus_ursinus	ENSVURT00010011239
ENSARWP00000002947	ENSARWG00000002209	Apteryx_rowi
ENSPCAP00000011645	ENSPCAG00000012512	Procavia_capensis
ENSLACP00000008569	ENSLACG00000007579	Latimeria_chalumnae
ENSMAMP00000012422	ENSMAMG00000008417	Mastacembelus_armatus
ENSPVIP00000001677	ENSPVIG00000001484	Pogona_vitticeps
ENSMLUP00000021609	ENSMLUG00000012625	Myotis_lucifugus
ENSMODP00000057920	ENSMODG00000014344	Monodelphis_domestica	ENSMODT00000053576
ENSSMAP00000006979	ENSSMAG00000004314	Scophthalmus_maximus
ENSDARP00000147935	ENSDARG00000113250	Danio_rerio
ENSJJAP00000011099	ENSJJAG00000014511	Jaculus_jaculus
ENSMMUP00000005352	ENSMMUG00000004013	Macaca_mulatta
ENSOCUP00000021562	ENSOCUG00000012220	Oryctolagus_cuniculus
ENSCHIP00000009166	ENSCHIG00000012125	Capra_hircus
ENSOARP00000014248	ENSOARG00000013293	Ovis_aries
ENSSLDP00000021541	ENSSLDG00000016823	Seriola_lalandi_dorsalis
ENSMALP00000006040	ENSMALG00000004316	Monopterus_albus
ENSAOWP00000013312	ENSAOWG00000009073	Apteryx_owenii
ENSDCDP00000042085	ENSDCDG00000027232	Denticeps_clupeoides
ENSNLEP00000009976	ENSNLEG00000008189	Nomascus_leucogenys
ENSBBBP00000011448	ENSBBBG00000019397	Bison_bison_bison
ENSORLP00000001071	ENSORLG00000000878	Oryzias_latipes_ASM223467v1
ENSSDAP00000019338	ENSSDAG00000017631	Spermophilus_dauricus
ENSPSIP00000004821	ENSPSIG00000004507	Pelodiscus_sinensis
ENSTGEP00000026192	ENSTGEG00000021119	Theropithecus_gelada
ENSOGAP00000010466	ENSOGAG00000011696	Otolemur_garnettii
ENSCMIP00000012733	ENSCMIG00000006456	Callorhinchus_milii
ENSCPOP00000025704	ENSCPOG00000031538	Cavia_porcellus
ENSGWIP00000046389	ENSGWIG00000022921	Gouania_willdenowi
ENSAPEP00000031862	ENSAPEG00000022629	Amphiprion_percula
ENSDNOP00000025955	ENSDNOG00000034721	Dasypus_novemcinctus
ENSPLAP00000031524	ENSPLAG00000023578	Poecilia_latipinna
ENSATEP00000018826	ENSATEG00000013098	Anabas_testudineus
ENSCPBP00000011240	ENSCPBG00000008578	Chrysemys_picta_bellii
ENSPLAP00000023196	ENSPLAG00000008215	Poecilia_latipinna
ENSPMEP00000011294	ENSPMEG00000013353	Poecilia_mexicana
ENSODEP00000010773	ENSODEG00000008025	Octodon_degus
ENSPPYP00000017659	ENSPPYG00000015793	Pongo_abelii
ENSAPOP00000027297	ENSAPOG00000011697	Acanthochromis_polyacanthus
ENSHHUP00000010935	ENSHHUG00000006698	Hucho_hucho
ENSCCEP00000011058	ENSCCEG00000010875	Cyanistes_caeruleus
ENSGACP00000023977	ENSGACG00000018148	Gasterosteus_aculeatus
ENSCCAP00000016167	ENSCCAG00000025876	Cebus_capucinus_imitator
ENSELUP00000023831	ENSELUG00000022674	Esox_lucius
ENSPVAP00000014766	ENSPVAG00000015661	Pteropus_vampyrus
ENSPMEP00000007352	ENSPMEG00000008964	Poecilia_mexicana
ENSNBRP00000010625	ENSNBRG00000008276	Neolamprologus_brichardi
ENSMUSP00000055271	ENSMUSG00000045767	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000057844
ENSCAFP00020008770	ENSCAFG00020007107	Canis_lupus_dingo
ENSCJAP00000010616	ENSCJAG00000005779	Callithrix_jacchus
ENSPREP00000007971	ENSPREG00000005464	Poecilia_reticulata
ENSEASP00005030068	ENSEASG00005020468	Equus_asinus_asinus
ENSXCOP00000011436	ENSXCOG00000008637	Xiphophorus_couchianus
ENSMMOP00000005305	ENSMMOG00000004216	Mola_mola
ENSPPAP00000040282	ENSPPAG00000042795	Pan_paniscus
ENSMNEP00000036982	ENSMNEG00000041574	Macaca_nemestrina
ENSPEMP00000013223	ENSPEMG00000013334	Peromyscus_maniculatus_bairdii
ENSKMAP00000007586	ENSKMAG00000005710	Kryptolebias_marmoratus
ENSABRP00000005506	ENSABRG00000005158	Anser_brachyrhynchus
ENSMFAP00000024276	ENSMFAG00000043741	Macaca_fascicularis
ENSLSDP00000010136	ENSLSDG00000007469	Lonchura_striata_domestica
ENSFCAP00000052801	ENSFCAG00000025528	Felis_catus
ENSHHUP00000089876	ENSHHUG00000051899	Hucho_hucho
ENSSSCP00000035443	ENSSSCG00000034954	Sus_scrofa_strain_reference
ENSMAMP00000032362	ENSMAMG00000021768	Mastacembelus_armatus
ENSACIP00000016956	ENSACIG00000013224	Amphilophus_citrinellus
ENSHBUP00000022178	ENSHBUG00000002253	Haplochromis_burtoni
ENSCGOP00000007131	ENSCGOG00000003636	Cottoperca_gobio
ENSGWIP00000033696	ENSGWIG00000017379	Gouania_willdenowi
ENSUAMP00000022398	ENSUAMG00000017614	Ursus_americanus
ENSCAPP00000001618	ENSCAPG00000003309	Cavia_aperea
ENSCAFP00000034478	ENSCAFG00000025012	Canis_lupus_familiaris
ENSAMXP00000049178	ENSAMXG00000038654	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSTBEP00000004084	ENSTBEG00000004763	Tupaia_belangeri
ENSPCOP00000024993	ENSPCOG00000024715	Propithecus_coquereli
ENSLCAP00010026637	ENSLCAG00010012468	Lates_calcarifer
ENSHGLP00100020665	ENSHGLG00100015229	Heterocephalus_glaber_HetGla_1.0
ENSDNVP00000013866	ENSDNVG00000009774	Dromaius_novaehollandiae
ENSTNIP00000004330	ENSTNIG00000001939	Tetraodon_nigroviridis
ENSP00000378427	ENSG00000181904	Homo_sapiens
ENSONIP00000025863	ENSONIG00000020558	Oreochromis_niloticus
ENSORLP00020021061	ENSORLG00020022114	Oryzias_latipes_ASM223471v1
ENSANAP00000025386	ENSANAG00000030411	Aotus_nancymaae
ENSCPUP00000005116	ENSCPUG00000003759	Calidris_pugnax
ENSMVIP00005014578	ENSMVIG00005010529	Manacus_vitellinus
ENSPFOP00000027047	ENSPFOG00000012042	Poecilia_formosa
ENSSDUP00000029152	ENSSDUG00000021016	Seriola_dumerili
ENSMLEP00000026494	ENSMLEG00000037446	Mandrillus_leucophaeus
ENSSMAP00000011817	ENSSMAG00000007295	Scophthalmus_maximus
ENSCSEP00000024243	ENSCSEG00000015472	Cynoglossus_semilaevis
ENSOMEP00000002338	ENSOMEG00000003277	Oryzias_melastigma
ENSNMEP00000024008	ENSNMEG00000020405	Numida_meleagris
ENSNBRP00000015926	ENSNBRG00000012323	Neolamprologus_brichardi
ENSPNYP00000016253	ENSPNYG00000012301	Pundamilia_nyererei
ENSAMXP00000021173	ENSAMXG00000020562	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSTTRP00000015994	ENSTTRG00000016871	Tursiops_truncatus
ENSEBUP00000018076	ENSEBUG00000011294	Eptatretus_burgeri
ENSCPRP00005015403	ENSCPRG00005010806	Crocodylus_porosus
ENSSTOP00000003591	ENSSTOG00000004019	Ictidomys_tridecemlineatus
ENSGAFP00000011104	ENSGAFG00000007525	Gambusia_affinis
ENSORLP00015022613	ENSORLG00015002113	Oryzias_latipes_ASM223469v1
ENSORLP00000039857	ENSORLG00000030016	Oryzias_latipes_ASM223467v1
ENSGAGP00000011160	ENSGAGG00000008636	Gopherus_agassizii
ENSSDAP00000016811	ENSSDAG00000015219	Spermophilus_dauricus
ENSBIXP00005030609	ENSBIXG00005000936	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSEEEP00000007246	ENSEEEG00000003808	Electrophorus_electricus
ENSBIXP00000023292	ENSBIXG00000025781	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMEUP00000005271	ENSMEUG00000005782	Notamacropus_eugenii	ENSMEUT00000005791
ENSPNYP00000000370	ENSPNYG00000000287	Pundamilia_nyererei
ENSGACP00000000219	ENSGACG00000000165	Gasterosteus_aculeatus
ENSMOCP00000008458	ENSMOCG00000008457	Microtus_ochrogaster
ENSBMUP00000001758	ENSBMUG00000001409	Bos_mutus
ENSCGRP00015022034	ENSCGRG00015016797	Cricetulus_griseus_CriGri-PICR
ENSAOCP00000004276	ENSAOCG00000007673	Amphiprion_ocellaris
ENSMUNP00000003708	ENSMUNG00000003143	Melopsittacus_undulatus
ENSPMGP00000023705	ENSPMGG00000019169	Periophthalmus_magnuspinnatus
ENSPTIP00000010792	ENSPTIG00000011447	Panthera_tigris_altaica
ENSZALP00000011327	ENSZALG00000009577	Zonotrichia_albicollis
ENSACIP00000007370	ENSACIG00000005786	Amphilophus_citrinellus
ENSIPUP00000009932	ENSIPUG00000006817	Ictalurus_punctatus
ENSPKIP00000040270	ENSPKIG00000017304	Paramormyrops_kingsleyae
ENSPTEP00000036809	ENSPTEG00000034537	Piliocolobus_tephrosceles
ENSJHYP00000017883	ENSJHYG00000013659	Junco_hyemalis
ENSMICP00000047376	ENSMICG00000046739	Microcebus_murinus
ENSECRP00000013766	ENSECRG00000009183	Erpetoichthys_calabaricus
ENSFALP00000008296	ENSFALG00000007954	Ficedula_albicollis
ENSAOCP00000003658	ENSAOCG00000006989	Amphiprion_ocellaris
ENSBSLP00000019196	ENSBSLG00000009999	Betta_splendens
ENSLBEP00000006244	ENSLBEG00000004811	Labrus_bergylta
ENSCHAP00000012191	ENSCHAG00000006795	Clupea_harengus
ENSGAFP00000010614	ENSGAFG00000007175	Gambusia_affinis
ENSHGLP00000008299	ENSHGLG00000006005	Heterocephalus_glaber_HetGla_female_1.0
ENSRROP00000012768	ENSRROG00000030678	Rhinopithecus_roxellana
