ENSMUSP00000108124	ENSMUSG00000029500	Mus_musculus_strain_reference_(CL57BL6)
ENSANAP00000025321	ENSANAG00000030386	Aotus_nancymaae
ENSTSYP00000020720	ENSTSYG00000027712	Carlito_syrichta
ENSPCOP00000011785	ENSPCOG00000017419	Propithecus_coquereli
ENSMICP00000042596	ENSMICG00000003984	Microcebus_murinus
ENSPSMP00000015868	ENSPSMG00000011290	Prolemur_simus
ENSOGAP00000019380	ENSOGAG00000027455	Otolemur_garnettii
ENSOPRP00000005797	ENSOPRG00000006327	Ochotona_princeps
ENSUAMP00000011770	ENSUAMG00000009552	Ursus_americanus
ENSUMAP00000002772	ENSUMAG00000002437	Ursus_maritimus
ENSAMEP00000014148	ENSAMEG00000013437	Ailuropoda_melanoleuca
ENSNVIP00000029186	ENSNVIG00000022496	Neovison_vison
ENSMPUP00000002611	ENSMPUG00000002639	Mustela_putorius_furo
ENSCAFP00020012635	ENSCAFG00020010168	Canis_lupus_dingo
ENSCAFP00000009198	ENSCAFG00000006123	Canis_lupus_familiaris
ENSVVUP00000008992	ENSVVUG00000006700	Vulpes_vulpes
ENSPPRP00000013632	ENSPPRG00000006762	Panthera_pardus
ENSFCAP00000022971	ENSFCAG00000029085	Felis_catus
ENSPTIP00000000615	ENSPTIG00000001608	Panthera_tigris_altaica
ENSFCAP00000053820	ENSFCAG00000002503	Felis_catus
ENSCHIP00000020194	ENSCHIG00000018926	Capra_hircus
ENSOARP00000010998	ENSOARG00000010258	Ovis_aries
ENSBMUP00000029232	ENSBMUG00000021881	Bos_mutus
ENSBTAP00000009887	ENSBTAG00000007513	Bos_taurus
ENSBBBP00000023291	ENSBBBG00000017781	Bison_bison_bison
ENSTTRP00000010098	ENSTTRG00000010653	Tursiops_truncatus
ENSSSCP00000035591	ENSSSCG00000035618	Sus_scrofa_strain_reference
ENSEASP00005024601	ENSEASG00005016721	Equus_asinus_asinus
ENSECAP00000021833	ENSECAG00000024362	Equus_caballus
ENSPVAP00000010924	ENSPVAG00000011593	Pteropus_vampyrus
ENSMLUP00000012421	ENSMLUG00000013646	Myotis_lucifugus
ENSEEUP00000000040	ENSEEUG00000000045	Erinaceus_europaeus
ENSCHOP00000010485	ENSCHOG00000011867	Choloepus_hoffmanni
ENSDNOP00000020697	ENSDNOG00000041970	Dasypus_novemcinctus
ENSLAFP00000003133	ENSLAFG00000003755	Loxodonta_africana
ENSPCAP00000005953	ENSPCAG00000006405	Procavia_capensis
ENSPCIP00000036613	ENSPCIG00000027007	Phascolarctos_cinereus
ENSVURP00010003200	ENSVURG00010002564	Vombatus_ursinus
ENSMEUP00000003922	ENSMEUG00000004303	Notamacropus_eugenii
ENSSHAP00000011983	ENSSHAG00000010277	Sarcophilus_harrisii
ENSMODP00000018965	ENSMODG00000015179	Monodelphis_domestica
ENSOANP00000016837	ENSOANG00000010624	Ornithorhynchus_anatinus
ENSACAP00000007722	ENSACAG00000007882	Anolis_carolinensis
ENSNSUP00000028881	ENSNSUG00000020516	Notechis_scutatus
ENSSMRP00000010743	ENSSMRG00000008501	Salvator_merianae
ENSSPUP00000019318	ENSSPUG00000014881	Sphenodon_punctatus
ENSCPGP00000020895	ENSCPGG00000014595	Calidris_pygmaea
ENSCPUP00000012940	ENSCPUG00000009192	Calidris_pugnax
ENSCCEP00000017883	ENSCCEG00000016486	Cyanistes_caeruleus
ENSFALP00000008558	ENSFALG00000008205	Ficedula_albicollis
ENSPMJP00000018932	ENSPMJG00000014203	Parus_major
ENSLSDP00000018476	ENSLSDG00000013195	Lonchura_striata_domestica
ENSTGUP00000008517	ENSTGUG00000008267	Taeniopygia_guttata
ENSJHYP00000019531	ENSJHYG00000014845	Junco_hyemalis
ENSZALP00000015545	ENSZALG00000012727	Zonotrichia_albicollis
ENSSCAP00000006110	ENSSCAG00000004789	Serinus_canaria
ENSLCOP00000012147	ENSLCOG00000008809	Lepidothrix_coronata
ENSMVIP00005009550	ENSMVIG00005007040	Manacus_vitellinus
ENSMUNP00000017295	ENSMUNG00000013286	Melopsittacus_undulatus
ENSABRP00000018334	ENSABRG00000015763	Anser_brachyrhynchus
ENSAPLP00000003208	ENSAPLG00000003722	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000001149	ENSMGAG00000001648	Meleagris_gallopavo
ENSGALP00000068956	ENSGALG00000002137	Gallus_gallus
ENSCJPP00005024263	ENSCJPG00005019163	Coturnix_japonica
ENSNMEP00000013905	ENSNMEG00000012568	Numida_meleagris
ENSAHAP00000026771	ENSAHAG00000018658	Apteryx_haastii
ENSARWP00000013856	ENSARWG00000009579	Apteryx_rowi
ENSAOWP00000008285	ENSAOWG00000005687	Apteryx_owenii
ENSDNVP00000000242	ENSDNVG00000000189	Dromaius_novaehollandiae
ENSNPEP00000015357	ENSNPEG00000011465	Nothoprocta_perdicaria
ENSCPRP00005000235	ENSCPRG00005000236	Crocodylus_porosus
ENSCABP00000010604	ENSCABG00000007940	Chelonoidis_abingdonii
ENSGAGP00000034126	ENSGAGG00000024252	Gopherus_agassizii
ENSPSIP00000002300	ENSPSIG00000002282	Pelodiscus_sinensis
ENSXETP00000037568	ENSXETG00000012904	Xenopus_tropicalis
ENSLACP00000020137	ENSLACG00000017696	Latimeria_chalumnae
ENSEEEP00000019515	ENSEEEG00000009571	Electrophorus_electricus
ENSIPUP00000034627	ENSIPUG00000023245	Ictalurus_punctatus
ENSAMXP00000054941	ENSAMXG00000035404	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005011010	ENSAMXG00005006093	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000030897	ENSPNAG00000017898	Pygocentrus_nattereri
ENSDARP00000051620	ENSDARG00000035608	Danio_rerio
ENSDCDP00000042106	ENSDCDG00000027242	Denticeps_clupeoides
ENSCHAP00000061030	ENSCHAG00000027229	Clupea_harengus
ENSHHUP00000038720	ENSHHUG00000024130	Hucho_hucho
ENSHHUP00000075852	ENSHHUG00000044405	Hucho_hucho
ENSELUP00000006180	ENSELUG00000007105	Esox_lucius
ENSCVAP00000007134	ENSCVAG00000008773	Cyprinodon_variegatus
ENSFHEP00000006090	ENSFHEG00000007095	Fundulus_heteroclitus
ENSPFOP00000011176	ENSPFOG00000011166	Poecilia_formosa
ENSPMEP00000002565	ENSPMEG00000003640	Poecilia_mexicana
ENSPLAP00000001636	ENSPLAG00000002736	Poecilia_latipinna
ENSPREP00000028287	ENSPREG00000019141	Poecilia_reticulata
ENSXMAP00000002459	ENSXMAG00000002459	Xiphophorus_maculatus
ENSXCOP00000020239	ENSXCOG00000015173	Xiphophorus_couchianus
ENSGAFP00000009407	ENSGAFG00000006415	Gambusia_affinis
ENSKMAP00000012366	ENSKMAG00000009287	Kryptolebias_marmoratus
ENSCSEP00000017878	ENSCSEG00000011471	Cynoglossus_semilaevis
ENSBSLP00000041083	ENSBSLG00000019871	Betta_splendens
ENSLBEP00000033215	ENSLBEG00000025023	Labrus_bergylta
ENSGACP00000017107	ENSGACG00000012945	Gasterosteus_aculeatus
ENSSMAP00000031959	ENSSMAG00000019576	Scophthalmus_maximus
ENSORLP00020035439	ENSORLG00020022261	Oryzias_latipes_ASM223471v1
ENSORLP00000018876	ENSORLG00000015061	Oryzias_latipes_ASM223467v1
ENSORLP00015012038	ENSORLG00015012887	Oryzias_latipes_ASM223469v1
ENSOMEP00000017332	ENSOMEG00000019004	Oryzias_melastigma
ENSATEP00000022820	ENSATEG00000015826	Anabas_testudineus
ENSMALP00000024376	ENSMALG00000016995	Monopterus_albus
ENSSDUP00000003053	ENSSDUG00000002342	Seriola_dumerili
ENSSLDP00000020419	ENSSLDG00000015980	Seriola_lalandi_dorsalis
ENSLCAP00010040099	ENSLCAG00010018726	Lates_calcarifer
ENSCGOP00000002262	ENSCGOG00000001193	Cottoperca_gobio
ENSPRNP00000011982	ENSPRNG00000006700	Parambassis_ranga
ENSAOCP00000023447	ENSAOCG00000002007	Amphiprion_ocellaris
ENSAPEP00000007150	ENSAPEG00000005122	Amphiprion_percula
ENSAPOP00000012457	ENSAPOG00000015147	Acanthochromis_polyacanthus
ENSSPAP00000012604	ENSSPAG00000009558	Stegastes_partitus
ENSMZEP00005025027	ENSMZEG00005018680	Maylandia_zebra
ENSPNYP00000005331	ENSPNYG00000004138	Pundamilia_nyererei
ENSACLP00000029438	ENSACLG00000019950	Astatotilapia_calliptera
ENSHBUP00000007210	ENSHBUG00000001028	Haplochromis_burtoni
ENSNBRP00000002582	ENSNBRG00000002069	Neolamprologus_brichardi
ENSONIP00000013958	ENSONIG00000011088	Oreochromis_niloticus
ENSACIP00000025596	ENSACIG00000019833	Amphilophus_citrinellus
ENSLCRP00005042342	ENSLCRG00005016242	Larimichthys_crocea
ENSMAMP00000031042	ENSMAMG00000020904	Mastacembelus_armatus
ENSTNIP00000019869	ENSTNIG00000016758	Tetraodon_nigroviridis
ENSTRUP00000051850	ENSTRUG00000013340	Takifugu_rubripes
ENSMMOP00000019520	ENSMMOG00000014809	Mola_mola
ENSMMOP00000021599	ENSMMOG00000016416	Mola_mola
ENSHCOP00000018563	ENSHCOG00000003196	Hippocampus_comes
ENSGWIP00000016204	ENSGWIG00000009109	Gouania_willdenowi
ENSPMGP00000026293	ENSPMGG00000021211	Periophthalmus_magnuspinnatus
ENSGMOP00000008225	ENSGMOG00000007688	Gadus_morhua
ENSPKIP00000028503	ENSPKIG00000010127	Paramormyrops_kingsleyae
ENSSFOP00015026755	ENSSFOG00015017196	Scleropages_formosus
ENSPKIP00000007190	ENSPKIG00000023184	Paramormyrops_kingsleyae
ENSSFOP00015026475	ENSSFOG00015017014	Scleropages_formosus
ENSELUP00000023282	ENSELUG00000022185	Esox_lucius
ENSHHUP00000027901	ENSHHUG00000017734	Hucho_hucho
ENSLOCP00000003065	ENSLOCG00000002606	Lepisosteus_oculatus
ENSECRP00000031612	ENSECRG00000021408	Erpetoichthys_calabaricus
ENSCMIP00000031295	ENSCMIG00000013445	Callorhinchus_milii
ENSEBUP00000026757	ENSEBUG00000016477	Eptatretus_burgeri
ENSCINP00000034239	ENSCING00000018798	Ciona_intestinalis
ENSCSAVP00000000737	ENSCSAVG00000000414	Ciona_savignyi
ENSCSAVP00000003478	ENSCSAVG00000002067	Ciona_savignyi
FBpp0070350	FBgn0023517	Drosophila_melanogaster
FBpp0072263	FBgn0035004	Drosophila_melanogaster
R07G3.5.1	WBGene00019941	Caenorhabditis_elegans_strain_N2
