ENSMODP00000050324	ENSMODG00000047318	Monodelphis_domestica
ENSLCAP00010048865	ENSLCAG00010022725	Lates_calcarifer
ENSLCAP00010053181	ENSLCAG00010024733	Lates_calcarifer
ENSLCAP00010056819	ENSLCAG00010026516	Lates_calcarifer
ENSSMAP00000005064	ENSSMAG00000003122	Scophthalmus_maximus
ENSSLDP00000005857	ENSSLDG00000004680	Seriola_lalandi_dorsalis
ENSSDUP00000026423	ENSSDUG00000019166	Seriola_dumerili
ENSLCRP00005017490	ENSLCRG00005007202	Larimichthys_crocea
ENSCGOP00000001449	ENSCGOG00000000866	Cottoperca_gobio
ENSPRNP00000020912	ENSPRNG00000010862	Parambassis_ranga
ENSPMGP00000004091	ENSPMGG00000003499	Periophthalmus_magnuspinnatus
ENSELUP00000033263	ENSELUG00000011469	Esox_lucius
ENSSFOP00015008844	ENSSFOG00015005774	Scleropages_formosus
ENSPKIP00000037944	ENSPKIG00000015920	Paramormyrops_kingsleyae
ENSLOCP00000006962	ENSLOCG00000005764	Lepisosteus_oculatus
ENSECRP00000019620	ENSECRG00000013125	Erpetoichthys_calabaricus
ENSCGOP00000001459	ENSCGOG00000000870	Cottoperca_gobio
ENSCGOP00000033351	ENSCGOG00000015468	Cottoperca_gobio
ENSMMOP00000018011	ENSMMOG00000013662	Mola_mola
ENSLCAP00010053206	ENSLCAG00010024745	Lates_calcarifer
ENSPMGP00000004098	ENSPMGG00000003501	Periophthalmus_magnuspinnatus
ENSEEEP00000008104	ENSEEEG00000004224	Electrophorus_electricus
ENSCMIP00000016367	ENSCMIG00000007892	Callorhinchus_milii
