ENSPCIP00000046452	ENSPCIG00000034222	Phascolarctos_cinereus	ENSPCIT00000060012
ENSVURP00010010856	ENSVURG00010008387	Vombatus_ursinus	ENSVURT00010012330
ENSMEUP00000002536	ENSMEUG00000002774	Notamacropus_eugenii	ENSMEUT00000002783
ENSMODP00000047994	ENSMODG00000044374	Monodelphis_domestica	ENSMODT00000066969
ENSSHAP00000013557	ENSSHAG00000011588	Sarcophilus_harrisii	ENSSHAT00000013669
ENSSTOP00000008584	ENSSTOG00000009580	Ictidomys_tridecemlineatus
ENSTBEP00000007765	ENSTBEG00000008961	Tupaia_belangeri
ENSSBOP00000023916	ENSSBOG00000028453	Saimiri_boliviensis_boliviensis
ENSCCAP00000029563	ENSCCAG00000032823	Cebus_capucinus_imitator
ENSCJAP00000038898	ENSCJAG00000054186	Callithrix_jacchus
ENSANAP00000027182	ENSANAG00000031414	Aotus_nancymaae
ENSPPAP00000032560	ENSPPAG00000039161	Pan_paniscus
ENSPTRP00000039971	ENSPTRG00000006912	Pan_troglodytes
ENSGGOP00000040927	ENSGGOG00000037507	Gorilla_gorilla
ENSP00000346697	ENSG00000104081	Homo_sapiens
ENSPPYP00000007184	ENSPPYG00000006344	Pongo_abelii
ENSRBIP00000020001	ENSRBIG00000033986	Rhinopithecus_bieti
ENSRROP00000038184	ENSRROG00000042483	Rhinopithecus_roxellana
ENSCANP00000040280	ENSCANG00000043821	Colobus_angolensis_palliatus
ENSPTEP00000027100	ENSPTEG00000027009	Piliocolobus_tephrosceles
ENSMMUP00000018878	ENSMMUG00000014372	Macaca_mulatta
ENSMFAP00000025592	ENSMFAG00000044281	Macaca_fascicularis
ENSMNEP00000006649	ENSMNEG00000027714	Macaca_nemestrina
ENSCATP00000025522	ENSCATG00000036225	Cercocebus_atys
ENSMLEP00000022652	ENSMLEG00000035534	Mandrillus_leucophaeus
ENSTGEP00000000276	ENSTGEG00000000316	Theropithecus_gelada
ENSPANP00000016320	ENSPANG00000019492	Papio_anubis
ENSCSAP00000003604	ENSCSAG00000007337	Chlorocebus_sabaeus
ENSTSYP00000019500	ENSTSYG00000026487	Carlito_syrichta
ENSPSMP00000012854	ENSPSMG00000009255	Prolemur_simus
ENSMICP00000031068	ENSMICG00000032595	Microcebus_murinus
ENSPCOP00000012802	ENSPCOG00000017993	Propithecus_coquereli
ENSOGAP00000007565	ENSOGAG00000008447	Otolemur_garnettii
ENSNLEP00000041599	ENSNLEG00000031290	Nomascus_leucogenys
ENSSDAP00000019819	ENSSDAG00000018079	Spermophilus_dauricus
ENSVPAP00000002486	ENSVPAG00000002688	Vicugna_pacos
ENSDNOP00000026330	ENSDNOG00000046158	Dasypus_novemcinctus
ENSETEP00000009660	ENSETEG00000011905	Echinops_telfairi
ENSMGAP00000012624	ENSMGAG00000012028	Meleagris_gallopavo
ENSCJPP00005020703	ENSCJPG00005016638	Coturnix_japonica
ENSNMEP00000024155	ENSNMEG00000020526	Numida_meleagris
ENSABRP00000007419	ENSABRG00000006831	Anser_brachyrhynchus
ENSGALP00000041985	ENSGALG00000014537	Gallus_gallus
ENSAPLP00000021735	ENSAPLG00000003169	Anas_platyrhynchos_platyrhynchos
ENSCPGP00000023599	ENSCPGG00000016335	Calidris_pygmaea
ENSCPUP00000010620	ENSCPUG00000007546	Calidris_pugnax
ENSMVIP00005016727	ENSMVIG00005011996	Manacus_vitellinus
ENSLCOP00000000232	ENSLCOG00000000223	Lepidothrix_coronata
ENSLSDP00000025310	ENSLSDG00000017703	Lonchura_striata_domestica
ENSTGUP00000011949	ENSTGUG00000011592	Taeniopygia_guttata
ENSSCAP00000016938	ENSSCAG00000012316	Serinus_canaria
ENSFALP00000005560	ENSFALG00000005340	Ficedula_albicollis
ENSPMJP00000020407	ENSPMJG00000015204	Parus_major
ENSCCEP00000003416	ENSCCEG00000003807	Cyanistes_caeruleus
ENSJHYP00000004892	ENSJHYG00000004019	Junco_hyemalis
ENSZALP00000007555	ENSZALG00000006714	Zonotrichia_albicollis
ENSMUNP00000013008	ENSMUNG00000010168	Melopsittacus_undulatus
ENSAHAP00000025399	ENSAHAG00000017715	Apteryx_haastii
ENSAOWP00000002107	ENSAOWG00000001530	Apteryx_owenii
ENSARWP00000014655	ENSARWG00000010129	Apteryx_rowi
ENSDNVP00000003545	ENSDNVG00000002497	Dromaius_novaehollandiae
ENSNPEP00000006432	ENSNPEG00000004868	Nothoprocta_perdicaria
ENSCPRP00005027005	ENSCPRG00005018702	Crocodylus_porosus
ENSCABP00000009097	ENSCABG00000006834	Chelonoidis_abingdonii
ENSGAGP00000009104	ENSGAGG00000007188	Gopherus_agassizii
ENSCPBP00000018652	ENSCPBG00000013578	Chrysemys_picta_bellii
ENSPSIP00000010782	ENSPSIG00000009760	Pelodiscus_sinensis
ENSACAP00000014216	ENSACAG00000014496	Anolis_carolinensis
ENSPVIP00000019796	ENSPVIG00000015083	Pogona_vitticeps
ENSNSUP00000010037	ENSNSUG00000007639	Notechis_scutatus
ENSSMRP00000019816	ENSSMRG00000015446	Salvator_merianae
ENSSPUP00000024854	ENSSPUG00000019053	Sphenodon_punctatus
ENSXETP00000053670	ENSXETG00000018985	Xenopus_tropicalis
ENSSFOP00015026088	ENSSFOG00015016776	Scleropages_formosus
ENSPKIP00000017006	ENSPKIG00000003103	Paramormyrops_kingsleyae
ENSIPUP00000027080	ENSIPUG00000018334	Ictalurus_punctatus
ENSDARP00000060712	ENSDARG00000041414	Danio_rerio
ENSSLDP00000005501	ENSSLDG00000004398	Seriola_lalandi_dorsalis
ENSSDUP00000013428	ENSSDUG00000009760	Seriola_dumerili
ENSLCAP00010028694	ENSLCAG00010013446	Lates_calcarifer
ENSSMAP00000010524	ENSSMAG00000006494	Scophthalmus_maximus
ENSLCRP00005050208	ENSLCRG00005018940	Larimichthys_crocea
ENSCGOP00000048378	ENSCGOG00000021608	Cottoperca_gobio
ENSMALP00000023101	ENSMALG00000016116	Monopterus_albus
ENSMAMP00000011131	ENSMAMG00000007540	Mastacembelus_armatus
ENSATEP00000006006	ENSATEG00000004247	Anabas_testudineus
ENSAOCP00000024886	ENSAOCG00000012078	Amphiprion_ocellaris
ENSAPEP00000001153	ENSAPEG00000000873	Amphiprion_percula
ENSSPAP00000026379	ENSSPAG00000019896	Stegastes_partitus
ENSAPOP00000010437	ENSAPOG00000012886	Acanthochromis_polyacanthus
ENSPRNP00000010241	ENSPRNG00000005938	Parambassis_ranga
ENSXMAP00000023383	ENSXMAG00000028970	Xiphophorus_maculatus
ENSGAFP00000025832	ENSGAFG00000017432	Gambusia_affinis
ENSPFOP00000021891	ENSPFOG00000024846	Poecilia_formosa
ENSPMEP00000006335	ENSPMEG00000007807	Poecilia_mexicana
ENSPREP00000030451	ENSPREG00000020623	Poecilia_reticulata
ENSFHEP00000013064	ENSFHEG00000014541	Fundulus_heteroclitus
ENSKMAP00000000293	ENSKMAG00000000280	Kryptolebias_marmoratus
ENSOMEP00000017037	ENSOMEG00000018708	Oryzias_melastigma
ENSLBEP00000035104	ENSLBEG00000026372	Labrus_bergylta
ENSGWIP00000042542	ENSGWIG00000021349	Gouania_willdenowi
ENSCSEP00000000196	ENSCSEG00000000162	Cynoglossus_semilaevis
ENSBSLP00000034564	ENSBSLG00000016829	Betta_splendens
ENSHCOP00000027117	ENSHCOG00000018668	Hippocampus_comes
ENSHHUP00000047401	ENSHHUG00000028796	Hucho_hucho
ENSLOCP00000015606	ENSLOCG00000012686	Lepisosteus_oculatus
ENSECRP00000017932	ENSECRG00000011970	Erpetoichthys_calabaricus
ENSCMIP00000043746	ENSCMIG00000018131	Callorhinchus_milii
