ENSNBRP00000012758	ENSNBRG00000009924	Neolamprologus_brichardi
ENSODEP00000018390	ENSODEG00000013553	Octodon_degus
ENSCLAP00000008641	ENSCLAG00000006046	Chinchilla_lanigera
ENSHGLP00100003239	ENSHGLG00100002471	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000011642	ENSHGLG00000008351	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000005808	ENSFDAG00000014722	Fukomys_damarensis
ENSUPAP00010004265	ENSUPAG00010003472	Urocitellus_parryii
ENSSTOP00000020660	ENSSTOG00000025445	Ictidomys_tridecemlineatus
ENSMMMP00000012167	ENSMMMG00000010809	Marmota_marmota_marmota
ENSSDAP00000022510	ENSSDAG00000020449	Spermophilus_dauricus
ENSOPRP00000013856	ENSOPRG00000015158	Ochotona_princeps
ENSOCUP00000023759	ENSOCUG00000022301	Oryctolagus_cuniculus
ENSUMAP00000035526	ENSUMAG00000025541	Ursus_maritimus
ENSUAMP00000033194	ENSUAMG00000025300	Ursus_americanus
ENSAMEP00000002034	ENSAMEG00000001892	Ailuropoda_melanoleuca
ENSMPUP00000009344	ENSMPUG00000009419	Mustela_putorius_furo
ENSNVIP00000007540	ENSNVIG00000005945	Neovison_vison
ENSCAFP00020023458	ENSCAFG00020018498	Canis_lupus_dingo
ENSCAFP00000041066	ENSCAFG00000010450	Canis_lupus_familiaris
ENSVVUP00000022935	ENSVVUG00000016766	Vulpes_vulpes
ENSPPRP00000015866	ENSPPRG00000008368	Panthera_pardus
ENSPTIP00000018390	ENSPTIG00000016514	Panthera_tigris_altaica
ENSFCAP00000036879	ENSFCAG00000012708	Felis_catus
ENSEASP00005005027	ENSEASG00005003775	Equus_asinus_asinus
ENSECAP00000037944	ENSECAG00000015444	Equus_caballus
ENSMLUP00000000130	ENSMLUG00000000139	Myotis_lucifugus
ENSPVAP00000005367	ENSPVAG00000005673	Pteropus_vampyrus
ENSOARP00000011667	ENSOARG00000010882	Ovis_aries
ENSCHIP00000021486	ENSCHIG00000019791	Capra_hircus
ENSBIXP00005017954	ENSBIXG00005021424	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000043256	ENSBIXG00000005740	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000041073	ENSBTAG00000021286	Bos_taurus
ENSBMUP00000016295	ENSBMUG00000012379	Bos_mutus
ENSBBBP00000020527	ENSBBBG00000014169	Bison_bison_bison
ENSTTRP00000000692	ENSTTRG00000000735	Tursiops_truncatus
ENSSSCP00000012869	ENSSSCG00000012087	Sus_scrofa_strain_reference
ENSDNOP00000014005	ENSDNOG00000018050	Dasypus_novemcinctus
ENSLAFP00000004898	ENSLAFG00000005842	Loxodonta_africana
ENSPCAP00000002582	ENSPCAG00000002736	Procavia_capensis
ENSETEP00000005718	ENSETEG00000007047	Echinops_telfairi
ENSOANP00000010308	ENSOANG00000006455	Ornithorhynchus_anatinus
ENSOANP00000032092	ENSOANG00000030190	Ornithorhynchus_anatinus
ENSCABP00000028503	ENSCABG00000020877	Chelonoidis_abingdonii
ENSGAGP00000016391	ENSGAGG00000012279	Gopherus_agassizii
ENSCPBP00000010589	ENSCPBG00000008117	Chrysemys_picta_bellii
ENSPSIP00000015619	ENSPSIG00000013862	Pelodiscus_sinensis
ENSDNVP00000008273	ENSDNVG00000005885	Dromaius_novaehollandiae
ENSNPEP00000012089	ENSNPEG00000009056	Nothoprocta_perdicaria
ENSAHAP00000001896	ENSAHAG00000001378	Apteryx_haastii
ENSAOWP00000021072	ENSAOWG00000014223	Apteryx_owenii
ENSARWP00000026217	ENSARWG00000017792	Apteryx_rowi
ENSABRP00000017293	ENSABRG00000015063	Anser_brachyrhynchus
ENSAPLP00000023586	ENSAPLG00000007435	Anas_platyrhynchos_platyrhynchos
ENSGALP00000071912	ENSGALG00000016185	Gallus_gallus
ENSCJPP00005009949	ENSCJPG00005008710	Coturnix_japonica
ENSMGAP00000015442	ENSMGAG00000014579	Meleagris_gallopavo
ENSNMEP00000014460	ENSNMEG00000012993	Numida_meleagris
ENSMVIP00005009073	ENSMVIG00005006735	Manacus_vitellinus
ENSLCOP00000002746	ENSLCOG00000002110	Lepidothrix_coronata
ENSTGUP00000005848	ENSTGUG00000005671	Taeniopygia_guttata
ENSLSDP00000003596	ENSLSDG00000002760	Lonchura_striata_domestica
ENSSCAP00000015020	ENSSCAG00000011016	Serinus_canaria
ENSJHYP00000018215	ENSJHYG00000013885	Junco_hyemalis
ENSZALP00000002108	ENSZALG00000002394	Zonotrichia_albicollis
ENSFALP00000002039	ENSFALG00000001964	Ficedula_albicollis
ENSPMJP00000014011	ENSPMJG00000010630	Parus_major
ENSCCEP00000018775	ENSCCEG00000017175	Cyanistes_caeruleus
ENSMUNP00000011551	ENSMUNG00000009090	Melopsittacus_undulatus
ENSCPUP00000017807	ENSCPUG00000012263	Calidris_pugnax
ENSCPGP00000014671	ENSCPGG00000010371	Calidris_pygmaea
ENSCPRP00005023509	ENSCPRG00005016286	Crocodylus_porosus
ENSACAP00000002833	ENSACAG00000002938	Anolis_carolinensis
ENSPVIP00000027424	ENSPVIG00000020377	Pogona_vitticeps
ENSNSUP00000009606	ENSNSUG00000007353	Notechis_scutatus
ENSSMRP00000029816	ENSSMRG00000022919	Salvator_merianae
ENSSPUP00000017493	ENSSPUG00000013491	Sphenodon_punctatus
ENSLACP00000013053	ENSLACG00000011498	Latimeria_chalumnae
ENSPNAP00000010260	ENSPNAG00000015760	Pygocentrus_nattereri
ENSAMXP00000049243	ENSAMXG00000035502	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSIPUP00000007881	ENSIPUG00000005380	Ictalurus_punctatus
ENSEEEP00000023804	ENSEEEG00000011547	Electrophorus_electricus
ENSDARP00000105876	ENSDARG00000086103	Danio_rerio
ENSDCDP00000014333	ENSDCDG00000010742	Denticeps_clupeoides
ENSCHAP00000000810	ENSCHAG00000000605	Clupea_harengus
ENSTRUP00000045043	ENSTRUG00000017573	Takifugu_rubripes
ENSTNIP00000022690	ENSTNIG00000019475	Tetraodon_nigroviridis
ENSMMOP00000025256	ENSMMOG00000019174	Mola_mola
ENSLCRP00005028322	ENSLCRG00005011230	Larimichthys_crocea
ENSORLP00000025807	ENSORLG00000020837	Oryzias_latipes_ASM223467v1
ENSORLP00015003610	ENSORLG00015004383	Oryzias_latipes_ASM223469v1
ENSORLP00020025273	ENSORLG00020007118	Oryzias_latipes_ASM223471v1
ENSOMEP00000015380	ENSOMEG00000016960	Oryzias_melastigma
ENSPMEP00000027022	ENSPMEG00000011169	Poecilia_mexicana
ENSPFOP00000017677	ENSPFOG00000017585	Poecilia_formosa
ENSPLAP00000029510	ENSPLAG00000019836	Poecilia_latipinna
ENSPREP00000022342	ENSPREG00000015062	Poecilia_reticulata
ENSXMAP00000031436	ENSXMAG00000006652	Xiphophorus_maculatus
ENSXCOP00000012297	ENSXCOG00000009293	Xiphophorus_couchianus
ENSGAFP00000017947	ENSGAFG00000012155	Gambusia_affinis
ENSFHEP00000002429	ENSFHEG00000003279	Fundulus_heteroclitus
ENSCVAP00000014873	ENSCVAG00000000455	Cyprinodon_variegatus
ENSKMAP00000007301	ENSKMAG00000005496	Kryptolebias_marmoratus
ENSGWIP00000054643	ENSGWIG00000026068	Gouania_willdenowi
ENSCSEP00000032262	ENSCSEG00000020705	Cynoglossus_semilaevis
ENSAPEP00000033965	ENSAPEG00000024132	Amphiprion_percula
ENSAOCP00000006925	ENSAOCG00000010654	Amphiprion_ocellaris
ENSAPOP00000024845	ENSAPOG00000007521	Acanthochromis_polyacanthus
ENSSPAP00000007078	ENSSPAG00000005389	Stegastes_partitus
ENSPRNP00000035040	ENSPRNG00000015822	Parambassis_ranga
ENSPNYP00000030203	ENSPNYG00000022762	Pundamilia_nyererei
ENSHBUP00000018706	ENSHBUG00000020906	Haplochromis_burtoni
ENSMZEP00005018306	ENSMZEG00005013735	Maylandia_zebra
ENSACLP00000008907	ENSACLG00000006031	Astatotilapia_calliptera
ENSONIP00000021954	ENSONIG00000017408	Oreochromis_niloticus
ENSACIP00000004702	ENSACIG00000003635	Amphilophus_citrinellus
ENSLCAP00010030993	ENSLCAG00010014559	Lates_calcarifer
ENSSMAP00000028599	ENSSMAG00000017478	Scophthalmus_maximus
ENSSLDP00000003052	ENSSLDG00000002364	Seriola_lalandi_dorsalis
ENSSDUP00000000593	ENSSDUG00000000459	Seriola_dumerili
ENSMAMP00000010638	ENSMAMG00000007150	Mastacembelus_armatus
ENSMALP00000014190	ENSMALG00000009964	Monopterus_albus
ENSATEP00000007235	ENSATEG00000005050	Anabas_testudineus
ENSBSLP00000022783	ENSBSLG00000010970	Betta_splendens
ENSCGOP00000028680	ENSCGOG00000012859	Cottoperca_gobio
ENSGACP00000001874	ENSGACG00000001446	Gasterosteus_aculeatus
ENSLBEP00000028385	ENSLBEG00000021479	Labrus_bergylta
ENSPMGP00000028516	ENSPMGG00000022948	Periophthalmus_magnuspinnatus
ENSGMOP00000020983	ENSGMOG00000019504	Gadus_morhua
ENSHHUP00000085611	ENSHHUG00000049580	Hucho_hucho
ENSHHUP00000012893	ENSHHUG00000007911	Hucho_hucho
ENSELUP00000036596	ENSELUG00000015958	Esox_lucius
ENSLOCP00000004796	ENSLOCG00000003987	Lepisosteus_oculatus
ENSCMIP00000042937	ENSCMIG00000017837	Callorhinchus_milii
ENSEBUP00000019706	ENSEBUG00000012242	Eptatretus_burgeri
