ENSGACP00000021154	ENSGACG00000016029	Gasterosteus_aculeatus
ENSCANP00000040389	ENSCANG00000043880	Colobus_angolensis_palliatus
ENSHGLP00100018759	ENSHGLG00100013839	Heterocephalus_glaber_HetGla_1.0
ENSSFOP00015029421	ENSSFOG00015018911	Scleropages_formosus
ENSPSMP00000020722	ENSPSMG00000014652	Prolemur_simus
ENSMFAP00000006582	ENSMFAG00000036604	Macaca_fascicularis
ENSHGLP00100014735	ENSHGLG00100010908	Heterocephalus_glaber_HetGla_1.0
ENSSFOP00015001464	ENSSFOG00015001009	Scleropages_formosus	ENSSFOT00015001500
ENSIPUP00000009714	ENSIPUG00000006632	Ictalurus_punctatus
ENSMNEP00000030425	ENSMNEG00000038662	Macaca_nemestrina
ENSCHOP00000004736	ENSCHOG00000005343	Choloepus_hoffmanni
ENSPTIP00000010122	ENSPTIG00000010987	Panthera_tigris_altaica
ENSSFOP00015030801	ENSSFOG00015019730	Scleropages_formosus
ENSDORP00000011848	ENSDORG00000012599	Dipodomys_ordii
ENSRBIP00000027283	ENSRBIG00000037493	Rhinopithecus_bieti
ENSODEP00000004846	ENSODEG00000003676	Octodon_degus
ENSSCAP00000008907	ENSSCAG00000006779	Serinus_canaria
ENSAOWP00000000614	ENSAOWG00000000481	Apteryx_owenii
ENSELUP00000023212	ENSELUG00000022092	Esox_lucius
ENSHHUP00000086241	ENSHHUG00000049919	Hucho_hucho
ENSCHIP00000018302	ENSCHIG00000017777	Capra_hircus
ENSBIXP00000021638	ENSBIXG00000024681	Bos_indicus_x_Bos_taurus_UOA_Angus_1
MGP_SPRETEiJ_P0090493	MGP_SPRETEiJ_G0032990	Mus_spretus_strain_SPRET/EiJ
ENSAMEP00000015820	ENSAMEG00000014990	Ailuropoda_melanoleuca
ENSDNOP00000001472	ENSDNOG00000001903	Dasypus_novemcinctus
ENSTRUP00000047406	ENSTRUG00000018516	Takifugu_rubripes
ENSSDUP00000023747	ENSSDUG00000017265	Seriola_dumerili
ENSEASP00005011678	ENSEASG00005008203	Equus_asinus_asinus
ENSKMAP00000015897	ENSKMAG00000011884	Kryptolebias_marmoratus
ENSCATP00000000479	ENSCATG00000002254	Cercocebus_atys
ENSSFOP00015015335	ENSSFOG00015009908	Scleropages_formosus
ENSGAGP00000023288	ENSGAGG00000017077	Gopherus_agassizii
ENSPMEP00000007332	ENSPMEG00000008962	Poecilia_mexicana
ENSDARP00000051778	ENSDARG00000044373	Danio_rerio
ENSGWIP00000034701	ENSGWIG00000017968	Gouania_willdenowi
ENSCSAVP00000013536	ENSCSAVG00000007934	Ciona_savignyi
ENSORLP00015005808	ENSORLG00015006631	Oryzias_latipes_ASM223469v1
ENSARWP00000020920	ENSARWG00000014296	Apteryx_rowi
ENSBBBP00000007616	ENSBBBG00000015641	Bison_bison_bison
ENSHGLP00000018557	ENSHGLG00000013279	Heterocephalus_glaber_HetGla_female_1.0
ENSPREP00000021604	ENSPREG00000014615	Poecilia_reticulata
ENSAPOP00000002166	ENSAPOG00000003552	Acanthochromis_polyacanthus
ENSOGAP00000011278	ENSOGAG00000012591	Otolemur_garnettii
ENSFDAP00000005553	ENSFDAG00000014541	Fukomys_damarensis
ENSCHAP00000058831	ENSCHAG00000026457	Clupea_harengus
ENSSTOP00000003407	ENSSTOG00000003796	Ictidomys_tridecemlineatus
ENSUMAP00000014370	ENSUMAG00000010543	Ursus_maritimus
ENSXETP00000044396	ENSXETG00000002163	Xenopus_tropicalis
ENSTTRP00000009510	ENSTTRG00000010028	Tursiops_truncatus
ENSMSIP00000018228	ENSMSIG00000015526	Mus_spicilegus
ENSMOCP00000013121	ENSMOCG00000013012	Microtus_ochrogaster
ENSPTRP00000038132	ENSPTRG00000022170	Pan_troglodytes
ENSGMOP00000019616	ENSGMOG00000018222	Gadus_morhua
ENSNPEP00000000049	ENSNPEG00000000052	Nothoprocta_perdicaria
ENSARWP00000001088	ENSARWG00000000892	Apteryx_rowi
ENSMMOP00000009767	ENSMMOG00000007570	Mola_mola
ENSCCAP00000021497	ENSCCAG00000028581	Cebus_capucinus_imitator
ENSPCIP00000043264	ENSPCIG00000016576	Phascolarctos_cinereus
ENSP00000311318	ENSG00000130734	Homo_sapiens
ENSMLEP00000028786	ENSMLEG00000038608	Mandrillus_leucophaeus
ENSPPYP00000010718	ENSPPYG00000009555	Pongo_abelii
ENSGGOP00000019090	ENSGGOG00000002971	Gorilla_gorilla
ENSBIXP00005014614	ENSBIXG00005018568	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCPOP00000024255	ENSCPOG00000037759	Cavia_porcellus
ENSABRP00000022699	ENSABRG00000019118	Anser_brachyrhynchus
ENSBMUP00000028139	ENSBMUG00000021096	Bos_mutus
ENSXMAP00000003781	ENSXMAG00000003762	Xiphophorus_maculatus
ENSCSAVP00000016002	ENSCSAVG00000009423	Ciona_savignyi
ENSPNAP00000019299	ENSPNAG00000025863	Pygocentrus_nattereri
ENSACAP00000015773	ENSACAG00000015993	Anolis_carolinensis
ENSNSUP00000022348	ENSNSUG00000016248	Notechis_scutatus
ENSGGOP00000049257	ENSGGOG00000001366	Gorilla_gorilla
ENSNGAP00000018464	ENSNGAG00000018585	Nannospalax_galili
ENSRBIP00000025532	ENSRBIG00000036641	Rhinopithecus_bieti
ENSHGLP00000003888	ENSHGLG00000002867	Heterocephalus_glaber_HetGla_female_1.0
ENSHCOP00000013572	ENSHCOG00000016797	Hippocampus_comes
ENSCMIP00000040962	ENSCMIG00000017054	Callorhinchus_milii
ENSAPOP00000013883	ENSAPOG00000016745	Acanthochromis_polyacanthus
ENSCPBP00000006567	ENSCPBG00000005212	Chrysemys_picta_bellii
ENSMUGP00000024468	ENSMUGG00000020446	Meriones_unguiculatus
ENSBIXP00005017675	ENSBIXG00005003580	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSUAMP00000023798	ENSUAMG00000018615	Ursus_americanus
ENSEEEP00000043649	ENSEEEG00000020632	Electrophorus_electricus
ENSFDAP00000001840	ENSFDAG00000011705	Fukomys_damarensis
ENSBIXP00000043926	ENSBIXG00000028109	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPKIP00000019127	ENSPKIG00000004402	Paramormyrops_kingsleyae
ENSCABP00000031657	ENSCABG00000023120	Chelonoidis_abingdonii
ENSMODP00000010772	ENSMODG00000008658	Monodelphis_domestica
ENSGAFP00000025484	ENSGAFG00000017207	Gambusia_affinis
ENSPLAP00000011124	ENSPLAG00000014163	Poecilia_latipinna
ENSPRNP00000015087	ENSPRNG00000008135	Parambassis_ranga
ENSAHAP00000002248	ENSAHAG00000001747	Apteryx_haastii
ENSPMGP00000023685	ENSPMGG00000019115	Periophthalmus_magnuspinnatus
ENSRNOP00000025529	ENSRNOG00000018403	Rattus_norvegicus
ENSTGEP00000022091	ENSTGEG00000017849	Theropithecus_gelada
ENSONIP00000011099	ENSONIG00000008825	Oreochromis_niloticus
ENSLOCP00000009516	ENSLOCG00000007842	Lepisosteus_oculatus
ENSLSDP00000025976	ENSLSDG00000018125	Lonchura_striata_domestica
ENSHBUP00000018780	ENSHBUG00000020894	Haplochromis_burtoni
ENSDNOP00000020195	ENSDNOG00000048959	Dasypus_novemcinctus
ENSUMAP00000014226	ENSUMAG00000010475	Ursus_maritimus
ENSMMUP00000052566	ENSMMUG00000008047	Macaca_mulatta
ENSORLP00020025911	ENSORLG00020008146	Oryzias_latipes_ASM223471v1
ENSOPRP00000009776	ENSOPRG00000010703	Ochotona_princeps
ENSCGRP00000002307	ENSCGRG00000001698	Cricetulus_griseus_CriGri_1.0
ENSCCEP00000022818	ENSCCEG00000020560	Cyanistes_caeruleus
ENSPTRP00000017854	ENSPTRG00000010475	Pan_troglodytes
ENSCATP00000042113	ENSCATG00000043691	Cercocebus_atys
ENSCLAP00000007723	ENSCLAG00000005419	Chinchilla_lanigera
ENSPTRP00000022479	ENSPTRG00000013128	Pan_troglodytes
ENSCANP00000015041	ENSCANG00000030970	Colobus_angolensis_palliatus
ENSEASP00005011845	ENSEASG00005008298	Equus_asinus_asinus
ENSODEP00000022264	ENSODEG00000016344	Octodon_degus
ENSPKIP00000028324	ENSPKIG00000010015	Paramormyrops_kingsleyae
ENSPREP00000030563	ENSPREG00000020694	Poecilia_reticulata
ENSORLP00020003609	ENSORLG00020004395	Oryzias_latipes_ASM223471v1
ENSVVUP00000013591	ENSVVUG00000009993	Vulpes_vulpes
ENSTBEP00000002237	ENSTBEG00000002587	Tupaia_belangeri
ENSSTOP00000024297	ENSSTOG00000012443	Ictidomys_tridecemlineatus
ENSLCOP00000009664	ENSLCOG00000007032	Lepidothrix_coronata
ENSANAP00000009042	ENSANAG00000022513	Aotus_nancymaae
ENSPMGP00000012966	ENSPMGG00000010690	Periophthalmus_magnuspinnatus
ENSLOCP00000007843	ENSLOCG00000006470	Lepisosteus_oculatus
ENSTGEP00000018787	ENSTGEG00000015128	Theropithecus_gelada
ENSHBUP00000018442	ENSHBUG00000020559	Haplochromis_burtoni
ENSACIP00000007957	ENSACIG00000006115	Amphilophus_citrinellus
ENSLOCP00000017807	ENSLOCG00000014466	Lepisosteus_oculatus
ENSPNAP00000030929	ENSPNAG00000017981	Pygocentrus_nattereri
ENSOCUP00000012182	ENSOCUG00000014176	Oryctolagus_cuniculus
ENSAMXP00000039415	ENSAMXG00000020240	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSFHEP00000008858	ENSFHEG00000010060	Fundulus_heteroclitus
MGP_SPRETEiJ_P0020279	MGP_SPRETEiJ_G0015266	Mus_spretus_strain_SPRET/EiJ
ENSMAMP00000013056	ENSMAMG00000008857	Mastacembelus_armatus
ENSELUP00000028243	ENSELUG00000004744	Esox_lucius
FBpp0082569	FBgn0038325	Drosophila_melanogaster
ENSPEMP00000028266	ENSPEMG00000023843	Peromyscus_maniculatus_bairdii
ENSNGAP00000000378	ENSNGAG00000000291	Nannospalax_galili
ENSCAFP00000019248	ENSCAFG00000013054	Canis_lupus_familiaris
ENSMFAP00000044407	ENSMFAG00000039546	Macaca_fascicularis
ENSCHIP00000018827	ENSCHIG00000018105	Capra_hircus
ENSABRP00000017368	ENSABRG00000015074	Anser_brachyrhynchus
ENSJHYP00000003861	ENSJHYG00000003183	Junco_hyemalis
ENSCHIP00000005488	ENSCHIG00000009499	Capra_hircus
ENSAPEP00000015852	ENSAPEG00000011253	Amphiprion_percula
ENSLSDP00000000590	ENSLSDG00000000479	Lonchura_striata_domestica
ENSANAP00000021030	ENSANAG00000028272	Aotus_nancymaae
ENSANAP00000018284	ENSANAG00000026983	Aotus_nancymaae
ENSACAP00000000759	ENSACAG00000000776	Anolis_carolinensis
ENSDCDP00000004578	ENSDCDG00000002325	Denticeps_clupeoides
ENSHHUP00000066410	ENSHHUG00000039142	Hucho_hucho
ENSMODP00000007166	ENSMODG00000005790	Monodelphis_domestica
ENSCJPP00005001629	ENSCJPG00005001671	Coturnix_japonica
ENSSDAP00000023799	ENSSDAG00000021677	Spermophilus_dauricus
ENSBSLP00000014128	ENSBSLG00000007401	Betta_splendens
ENSMICP00000011965	ENSMICG00000013114	Microcebus_murinus
ENSSMAP00000033706	ENSSMAG00000020625	Scophthalmus_maximus
ENSNVIP00000023681	ENSNVIG00000018383	Neovison_vison
ENSSCAP00000023318	ENSSCAG00000016726	Serinus_canaria
ENSGGOP00000007100	ENSGGOG00000007252	Gorilla_gorilla
ENSAMXP00005029679	ENSAMXG00005014654	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMALP00000025554	ENSMALG00000017734	Monopterus_albus
ENSCAFP00020022707	ENSCAFG00020017922	Canis_lupus_dingo
ENSNBRP00000014762	ENSNBRG00000011391	Neolamprologus_brichardi
ENSPCIP00000008203	ENSPCIG00000006807	Phascolarctos_cinereus
ENSLOCP00000008004	ENSLOCG00000006628	Lepisosteus_oculatus
ENSPPYP00000023081	ENSPPYG00000020619	Pongo_abelii
ENSOMEP00000014971	ENSOMEG00000016515	Oryzias_melastigma
ENSMOCP00000013562	ENSMOCG00000013316	Microtus_ochrogaster
ENSDORP00000012639	ENSDORG00000013442	Dipodomys_ordii
ENSCABP00000027228	ENSCABG00000019990	Chelonoidis_abingdonii
ENSMUNP00000015897	ENSMUNG00000012243	Melopsittacus_undulatus
ENSORLP00000005027	ENSORLG00000004021	Oryzias_latipes_ASM223467v1
ENSCPGP00000006789	ENSCPGG00000004872	Calidris_pygmaea
ENSCPOP00000001449	ENSCPOG00000001607	Cavia_porcellus
ENSTTRP00000016381	ENSTTRG00000017283	Tursiops_truncatus
ENSLCAP00010055292	ENSLCAG00010025792	Lates_calcarifer
ENSHGLP00100005702	ENSHGLG00100004321	Heterocephalus_glaber_HetGla_1.0
ENSMMUP00000009447	ENSMMUG00000007190	Macaca_mulatta
ENSDARP00000141805	ENSDARG00000088145	Danio_rerio
ENSLSDP00000001357	ENSLSDG00000001063	Lonchura_striata_domestica
ENSAOCP00000005814	ENSAOCG00000009366	Amphiprion_ocellaris
ENSSHAP00000004491	ENSSHAG00000003949	Sarcophilus_harrisii
ENSLAFP00000001516	ENSLAFG00000001812	Loxodonta_africana
ENSIPUP00000017985	ENSIPUG00000012181	Ictalurus_punctatus
ENSHHUP00000029230	ENSHHUG00000018486	Hucho_hucho
ENSATEP00000014073	ENSATEG00000009823	Anabas_testudineus
ENSMEUP00000005163	ENSMEUG00000005646	Notamacropus_eugenii
ENSJJAP00000018615	ENSJJAG00000019840	Jaculus_jaculus
ENSCCNP00000009767	ENSCCNG00000010297	Castor_canadensis
ENSIPUP00000036357	ENSIPUG00000024357	Ictalurus_punctatus
ENSVVUP00000023757	ENSVVUG00000017356	Vulpes_vulpes
ENSTSYP00000034166	ENSTSYG00000011099	Carlito_syrichta
ENSPMAP00000000077	ENSPMAG00000000068	Petromyzon_marinus
ENSANAP00000006192	ENSANAG00000021141	Aotus_nancymaae
ENSNSUP00000001980	ENSNSUG00000001683	Notechis_scutatus
ENSPVIP00000006695	ENSPVIG00000005527	Pogona_vitticeps
ENSNMEP00000024668	ENSNMEG00000020917	Numida_meleagris
ENSUPAP00010002382	ENSUPAG00010002014	Urocitellus_parryii
ENSPCIP00000024782	ENSPCIG00000018664	Phascolarctos_cinereus
ENSMUSP00000068450	ENSMUSG00000002820	Mus_musculus_strain_reference_(CL57BL6)
ENSPEMP00000012372	ENSPEMG00000012725	Peromyscus_maniculatus_bairdii
ENSCSAP00000005151	ENSCSAG00000008949	Chlorocebus_sabaeus
ENSNLEP00000017104	ENSNLEG00000014016	Nomascus_leucogenys
ENSJJAP00000014363	ENSJJAG00000016837	Jaculus_jaculus
ENSSPUP00000020977	ENSSPUG00000016128	Sphenodon_punctatus
ENSMZEP00005016708	ENSMZEG00005012546	Maylandia_zebra
ENSMAMP00000013821	ENSMAMG00000009380	Mastacembelus_armatus
ENSSPAP00000021546	ENSSPAG00000016249	Stegastes_partitus
ENSNLEP00000018301	ENSNLEG00000015041	Nomascus_leucogenys
ENSZALP00000000220	ENSZALG00000000258	Zonotrichia_albicollis
ENSMOCP00000008703	ENSMOCG00000008719	Microtus_ochrogaster
ENSCINP00000016004	ENSCING00000007827	Ciona_intestinalis
ENSACLP00000012769	ENSACLG00000008714	Astatotilapia_calliptera
ENSFHEP00000000685	ENSFHEG00000001413	Fundulus_heteroclitus
ENSOCUP00000034020	ENSOCUG00000010839	Oryctolagus_cuniculus
ENSMPUP00000007926	ENSMPUG00000007984	Mustela_putorius_furo
ENSMPUP00000003879	ENSMPUG00000003909	Mustela_putorius_furo
ENSHGLP00000025696	ENSHGLG00000018292	Heterocephalus_glaber_HetGla_female_1.0
ENSABRP00000023816	ENSABRG00000020005	Anser_brachyrhynchus
ENSEEEP00000035784	ENSEEEG00000017030	Electrophorus_electricus
ENSRROP00000036353	ENSRROG00000041650	Rhinopithecus_roxellana
ENSPREP00000021541	ENSPREG00000014549	Poecilia_reticulata
ENSPCAP00000003243	ENSPCAG00000003461	Procavia_capensis
ENSCHAP00000001342	ENSCHAG00000000972	Clupea_harengus
ENSSCAP00000010951	ENSSCAG00000008031	Serinus_canaria
ENSDORP00000015618	ENSDORG00000016601	Dipodomys_ordii
ENSGAFP00000022056	ENSGAFG00000014890	Gambusia_affinis
ENSOGAP00000020071	ENSOGAG00000025563	Otolemur_garnettii
ENSFHEP00000025494	ENSFHEG00000007752	Fundulus_heteroclitus
ENSFCAP00000026896	ENSFCAG00000027083	Felis_catus
ENSCCAP00000002308	ENSCCAG00000014124	Cebus_capucinus_imitator
ENSHCOP00000007419	ENSHCOG00000009439	Hippocampus_comes
ENSMAUP00000014961	ENSMAUG00000014550	Mesocricetus_auratus
ENSTGEP00000031257	ENSTGEG00000025041	Theropithecus_gelada
ENSXCOP00000017907	ENSXCOG00000013491	Xiphophorus_couchianus
ENSAHAP00000023450	ENSAHAG00000016389	Apteryx_haastii
ENSGMOP00000006099	ENSGMOG00000005725	Gadus_morhua
ENSZALP00000006885	ENSZALG00000006181	Zonotrichia_albicollis
ENSCJPP00005021535	ENSCJPG00005017226	Coturnix_japonica
ENSTRUP00000029619	ENSTRUG00000011726	Takifugu_rubripes
ENSTBEP00000012488	ENSTBEG00000014410	Tupaia_belangeri
ENSBMUP00000005812	ENSBMUG00000004558	Bos_mutus
ENSBIXP00000043031	ENSBIXG00000027078	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSFALP00000003441	ENSFALG00000003277	Ficedula_albicollis
ENSMLUP00000017677	ENSMLUG00000014540	Myotis_lucifugus
ENSPKIP00000016669	ENSPKIG00000002856	Paramormyrops_kingsleyae
ENSSDAP00000006282	ENSSDAG00000005806	Spermophilus_dauricus
ENSMEUP00000003299	ENSMEUG00000003607	Notamacropus_eugenii
ENSMVIP00005011148	ENSMVIG00005008192	Manacus_vitellinus
ENSMZEP00005012508	ENSMZEG00005009396	Maylandia_zebra
ENSLCOP00000021893	ENSLCOG00000015466	Lepidothrix_coronata
ENSFALP00000013078	ENSFALG00000012535	Ficedula_albicollis
ENSPTIP00000016276	ENSPTIG00000015107	Panthera_tigris_altaica
ENSBBBP00000025704	ENSBBBG00000021066	Bison_bison_bison
ENSGMOP00000010569	ENSGMOG00000009874	Gadus_morhua
ENSSBOP00000028735	ENSSBOG00000030727	Saimiri_boliviensis_boliviensis
ENSELUP00000005556	ENSELUG00000006583	Esox_lucius
ENSPPAP00000041051	ENSPPAG00000043147	Pan_paniscus
ENSELUP00000042087	ENSELUG00000023164	Esox_lucius
ENSMODP00000059193	ENSMODG00000011603	Monodelphis_domestica
ENSSARP00000001964	ENSSARG00000002174	Sorex_araneus
ENSCSEP00000028142	ENSCSEG00000017978	Cynoglossus_semilaevis
ENSSLDP00000002908	ENSSLDG00000002291	Seriola_lalandi_dorsalis
ENSPNYP00000031805	ENSPNYG00000023991	Pundamilia_nyererei
ENSNVIP00000031311	ENSNVIG00000024084	Neovison_vison
ENSLACP00000014511	ENSLACG00000012770	Latimeria_chalumnae
ENSTRUP00000003028	ENSTRUG00000001314	Takifugu_rubripes
ENSZALP00000013882	ENSZALG00000011363	Zonotrichia_albicollis
ENSDCDP00000056521	ENSDCDG00000033205	Denticeps_clupeoides
ENSCVAP00000014966	ENSCVAG00000017698	Cyprinodon_variegatus
ENSPNYP00000027442	ENSPNYG00000020659	Pundamilia_nyererei
ENSJJAP00000014215	ENSJJAG00000016735	Jaculus_jaculus
ENSPSMP00000026678	ENSPSMG00000018715	Prolemur_simus
ENSPCOP00000004602	ENSPCOG00000012978	Propithecus_coquereli
ENSRROP00000039690	ENSRROG00000043153	Rhinopithecus_roxellana
ENSAPEP00000032436	ENSAPEG00000023035	Amphiprion_percula
ENSEEEP00000022589	ENSEEEG00000010970	Electrophorus_electricus
ENSECRP00000033341	ENSECRG00000022566	Erpetoichthys_calabaricus
MGP_SPRETEiJ_P0096638	MGP_SPRETEiJ_G0034628	Mus_spretus_strain_SPRET/EiJ
ENSBTAP00000070578	ENSBTAG00000013724	Bos_taurus
ENSOARP00000019808	ENSOARG00000018450	Ovis_aries
ENSPVIP00000025526	ENSPVIG00000019110	Pogona_vitticeps
ENSBIXP00005015433	ENSBIXG00005019258	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSSCP00000060671	ENSSSCG00000032919	Sus_scrofa_strain_reference
MGP_SPRETEiJ_P0096637	MGP_SPRETEiJ_G0034627	Mus_spretus_strain_SPRET/EiJ
ENSMICP00000008713	ENSMICG00000009575	Microcebus_murinus
ENSMVIP00005007423	ENSMVIG00005005377	Manacus_vitellinus
ENSCGRP00000011884	ENSCGRG00000008659	Cricetulus_griseus_CriGri_1.0
ENSETEP00000005804	ENSETEG00000007146	Echinops_telfairi
ENSCPUP00000016189	ENSCPUG00000011226	Calidris_pugnax
ENSCSAP00000016675	ENSCSAG00000001342	Chlorocebus_sabaeus
MGP_PahariEiJ_P0022587	MGP_PahariEiJ_G0014732	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000013199	ENSMUGG00000011452	Meriones_unguiculatus
ENSCVAP00000010886	ENSCVAG00000000621	Cyprinodon_variegatus
ENSFDAP00000003817	ENSFDAG00000013177	Fukomys_damarensis
ENSCJAP00000012307	ENSCJAG00000006637	Callithrix_jacchus
ENSPPAP00000017432	ENSPPAG00000031810	Pan_paniscus
ENSCLAP00000002571	ENSCLAG00000001858	Chinchilla_lanigera
ENSDARP00000126975	ENSDARG00000043548	Danio_rerio
ENSPNYP00000023156	ENSPNYG00000017474	Pundamilia_nyererei
ENSSPUP00000003147	ENSSPUG00000002362	Sphenodon_punctatus
ENSPNAP00000024831	ENSPNAG00000009554	Pygocentrus_nattereri
ENSCGRP00015000153	ENSCGRG00015000206	Cricetulus_griseus_CriGri-PICR
ENSUPAP00010016343	ENSUPAG00010013020	Urocitellus_parryii
ENSCPUP00000019852	ENSCPUG00000013598	Calidris_pugnax
ENSPPRP00000011164	ENSPPRG00000005113	Panthera_pardus
ENSNGAP00000013479	ENSNGAG00000015045	Nannospalax_galili
ENSODEP00000003118	ENSODEG00000002391	Octodon_degus
ENSCPUP00000019397	ENSCPUG00000013353	Calidris_pugnax
ENSSBOP00000039699	ENSSBOG00000035855	Saimiri_boliviensis_boliviensis
ENSXCOP00000020856	ENSXCOG00000015614	Xiphophorus_couchianus
ENSTBEP00000007139	ENSTBEG00000008239	Tupaia_belangeri
ENSUAMP00000000340	ENSUAMG00000000393	Ursus_americanus
ENSCGOP00000026679	ENSCGOG00000011853	Cottoperca_gobio
ENSECAP00000013299	ENSECAG00000015306	Equus_caballus
ENSEEUP00000002506	ENSEEUG00000002730	Erinaceus_europaeus
ENSUPAP00010020344	ENSUPAG00010016097	Urocitellus_parryii
ENSEEUP00000003491	ENSEEUG00000003824	Erinaceus_europaeus
ENSGAGP00000017463	ENSGAGG00000012972	Gopherus_agassizii
ENSPTEP00000035821	ENSPTEG00000033761	Piliocolobus_tephrosceles
ENSCAFP00000027626	ENSCAFG00000018720	Canis_lupus_familiaris
ENSCPRP00005012568	ENSCPRG00005008917	Crocodylus_porosus
ENSMMMP00000015569	ENSMMMG00000013865	Marmota_marmota_marmota
ENSRNOP00000066137	ENSRNOG00000050960	Rattus_norvegicus
ENSLCRP00005026772	ENSLCRG00005010693	Larimichthys_crocea
ENSKMAP00000015075	ENSKMAG00000011290	Kryptolebias_marmoratus
ENSMMOP00000010970	ENSMMOG00000008459	Mola_mola
ENSCCNP00000018058	ENSCCNG00000018350	Castor_canadensis
YNL223W_mRNA	YNL223W	Saccharomyces_cerevisiae_strain_S288C
ENSSMRP00000000412	ENSSMRG00000000388	Salvator_merianae
ENSPVAP00000006626	ENSPVAG00000007021	Pteropus_vampyrus
ENSSHAP00000006341	ENSSHAG00000005520	Sarcophilus_harrisii
ENSHGLP00000026183	ENSHGLG00000018630	Heterocephalus_glaber_HetGla_female_1.0
MGP_CAROLIEiJ_P0092872	MGP_CAROLIEiJ_G0033457	Mus_caroli_strain_CAROLI_EIJ
ENSCHIP00000029438	ENSCHIG00000024580	Capra_hircus
MGP_CAROLIEiJ_P0086939	MGP_CAROLIEiJ_G0031866	Mus_caroli_strain_CAROLI_EIJ
ENSFHEP00000025741	ENSFHEG00000008173	Fundulus_heteroclitus
ENSBSLP00000014083	ENSBSLG00000007413	Betta_splendens
ENSONIP00000024265	ENSONIG00000019280	Oreochromis_niloticus
ENSODEP00000013222	ENSODEG00000009790	Octodon_degus
ENSAOWP00000020738	ENSAOWG00000013916	Apteryx_owenii
ENSMLUP00000017282	ENSMLUG00000029040	Myotis_lucifugus
ENSPVIP00000006105	ENSPVIG00000005074	Pogona_vitticeps
ENSPTEP00000031595	ENSPTEG00000030483	Piliocolobus_tephrosceles
ENSGALP00000013462	ENSGALG00000008282	Gallus_gallus
ENSATEP00000001421	ENSATEG00000001031	Anabas_testudineus
