ENSUPAP00010013246	ENSUPAG00010010686	Urocitellus_parryii
ENSCVAP00000014403	ENSCVAG00000017130	Cyprinodon_variegatus
ENSPCIP00000043747	ENSPCIG00000008588	Phascolarctos_cinereus	ENSPCIT00000052676
ENSNVIP00000006629	ENSNVIG00000005206	Neovison_vison
ENSIPUP00000002496	ENSIPUG00000001794	Ictalurus_punctatus
ENSMVIP00005022131	ENSMVIG00005015311	Manacus_vitellinus
ENSRNOP00000030332	ENSRNOG00000023238	Rattus_norvegicus
ENSFALP00000014153	ENSFALG00000013560	Ficedula_albicollis
ENSGAFP00000007615	ENSGAFG00000005171	Gambusia_affinis
ENSGAGP00000001625	ENSGAGG00000001299	Gopherus_agassizii
ENSPVIP00000032710	ENSPVIG00000023954	Pogona_vitticeps
ENSMAUP00000013906	ENSMAUG00000013820	Mesocricetus_auratus
ENSABRP00000002943	ENSABRG00000002845	Anser_brachyrhynchus
ENSCLAP00000016961	ENSCLAG00000011641	Chinchilla_lanigera	ENSCLAT00000017127
ENSMMOP00000012455	ENSMMOG00000009571	Mola_mola
ENSHGLP00100021721	ENSHGLG00100015984	Heterocephalus_glaber_HetGla_1.0
ENSMUGP00000025913	ENSMUGG00000021570	Meriones_unguiculatus
ENSBIXP00000041181	ENSBIXG00000025371	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSZALP00000013696	ENSZALG00000011403	Zonotrichia_albicollis
ENSMPUP00000005480	ENSMPUG00000005522	Mustela_putorius_furo
ENSACIP00000008979	ENSACIG00000007033	Amphilophus_citrinellus
ENSOARP00000020723	ENSOARG00000019293	Ovis_aries
ENSMMUP00000080195	ENSMMUG00000005646	Macaca_mulatta
ENSACLP00000013650	ENSACLG00000009269	Astatotilapia_calliptera
ENSCJAP00000078890	ENSCJAG00000014047	Callithrix_jacchus
ENSMEUP00000010854	ENSMEUG00000011881	Notamacropus_eugenii
ENSVVUP00000035351	ENSVVUG00000025429	Vulpes_vulpes
ENSGMOP00000016750	ENSGMOG00000015563	Gadus_morhua
ENSCMIP00000023615	ENSCMIG00000010520	Callorhinchus_milii	ENSCMIT00000024016
ENSFHEP00000007786	ENSFHEG00000008953	Fundulus_heteroclitus
ENSTTRP00000004107	ENSTTRG00000004354	Tursiops_truncatus
ENSCPGP00000015044	ENSCPGG00000010629	Calidris_pygmaea
ENSXMAP00000000801	ENSXMAG00000000797	Xiphophorus_maculatus
ENSJJAP00000015240	ENSJJAG00000017454	Jaculus_jaculus
ENSNBRP00000011047	ENSNBRG00000008578	Neolamprologus_brichardi
ENSSDUP00000007238	ENSSDUG00000005284	Seriola_dumerili
ENSOGAP00000008199	ENSOGAG00000009138	Otolemur_garnettii
ENSDNVP00000026654	ENSDNVG00000018539	Dromaius_novaehollandiae
ENSAMEP00000017160	ENSAMEG00000016226	Ailuropoda_melanoleuca
ENSSMAP00000008222	ENSSMAG00000005056	Scophthalmus_maximus
ENSACIP00000009022	ENSACIG00000007048	Amphilophus_citrinellus
ENSOMEP00000015133	ENSOMEG00000000418	Oryzias_melastigma
ENSHGLP00000010218	ENSHGLG00000007333	Heterocephalus_glaber_HetGla_female_1.0
ENSELUP00000006735	ENSELUG00000007610	Esox_lucius
ENSNBRP00000010973	ENSNBRG00000008555	Neolamprologus_brichardi
ENSSBOP00000031955	ENSSBOG00000032101	Saimiri_boliviensis_boliviensis
ENSBMUP00000033588	ENSBMUG00000025063	Bos_mutus
ENSARWP00000003990	ENSARWG00000002581	Apteryx_rowi
ENSDCDP00000055898	ENSDCDG00000032514	Denticeps_clupeoides
ENSCPOP00000008566	ENSCPOG00000009544	Cavia_porcellus	ENSCPOT00000009630
ENSMZEP00005003104	ENSMZEG00005002330	Maylandia_zebra
ENSMGAP00000001071	ENSMGAG00000001549	Meleagris_gallopavo
ENSAMXP00000053954	ENSAMXG00000002933	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSLAFP00000009145	ENSLAFG00000010928	Loxodonta_africana
ENSMOCP00000013637	ENSMOCG00000013358	Microtus_ochrogaster
ENSGWIP00000017443	ENSGWIG00000009708	Gouania_willdenowi
ENSCAPP00000012868	ENSCAPG00000013596	Cavia_aperea
ENSMVIP00005022148	ENSMVIG00005015552	Manacus_vitellinus
MGP_PahariEiJ_P0074249	MGP_PahariEiJ_G0027624	Mus_pahari_strain_PAHARI_EIJ
ENSSDAP00000002959	ENSSDAG00000002766	Spermophilus_dauricus
ENSNLEP00000010186	ENSNLEG00000008355	Nomascus_leucogenys
ENSGGOP00000000305	ENSGGOG00000000308	Gorilla_gorilla
ENSPPAP00000043157	ENSPPAG00000044113	Pan_paniscus
ENSCGRP00015015734	ENSCGRG00015011956	Cricetulus_griseus_CriGri-PICR
ENSONIP00000021749	ENSONIG00000017245	Oreochromis_niloticus
ENSMLUP00000015873	ENSMLUG00000017404	Myotis_lucifugus
ENSUMAP00000019475	ENSUMAG00000013632	Ursus_maritimus
ENSECAP00000027839	ENSECAG00000016916	Equus_caballus
ENSSTOP00000010161	ENSSTOG00000011312	Ictidomys_tridecemlineatus
ENSSSCP00000017272	ENSSSCG00000009432	Sus_scrofa_strain_reference
ENSCGRP00000014071	ENSCGRG00000010187	Cricetulus_griseus_CriGri_1.0
ENSLACP00000022105	ENSLACG00000007561	Latimeria_chalumnae	ENSLACT00000025637
ENSCHIP00000031259	ENSCHIG00000025662	Capra_hircus
ENSSLDP00000007621	ENSSLDG00000005990	Seriola_lalandi_dorsalis
ENSSMRP00000028624	ENSSMRG00000021997	Salvator_merianae
ENSMUSP00000027517	ENSMUSG00000070738	Mus_musculus_strain_reference_(CL57BL6)
ENSSPUP00000019074	ENSSPUG00000014670	Sphenodon_punctatus
ENSCCEP00000021857	ENSCCEG00000019789	Cyanistes_caeruleus
ENSTSYP00000010907	ENSTSYG00000011838	Carlito_syrichta
ENSLCRP00005004198	ENSLCRG00005000665	Larimichthys_crocea
ENSLSDP00000008163	ENSLSDG00000006095	Lonchura_striata_domestica
ENSBIXP00005021976	ENSBIXG00005024925	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSOANP00000007440	ENSOANG00000004697	Ornithorhynchus_anatinus
ENSP00000264057	ENSG00000077044	Homo_sapiens
ENSMNEP00000043405	ENSMNEG00000044349	Macaca_nemestrina
ENSRROP00000040145	ENSRROG00000043324	Rhinopithecus_roxellana
ENSGACP00000006400	ENSGACG00000004826	Gasterosteus_aculeatus
ENSPREP00000032071	ENSPREG00000021727	Poecilia_reticulata
ENSCHAP00000052885	ENSCHAG00000023771	Clupea_harengus
ENSANAP00000030646	ENSANAG00000033065	Aotus_nancymaae
ENSCPRP00005012115	ENSCPRG00005008632	Crocodylus_porosus
ENSCCNP00000006493	ENSCCNG00000006844	Castor_canadensis
ENSPVAP00000007485	ENSPVAG00000007928	Pteropus_vampyrus
ENSTGEP00000025647	ENSTGEG00000020637	Theropithecus_gelada
ENSPMAP00000009053	ENSPMAG00000008227	Petromyzon_marinus
ENSCGRP00001027934	ENSCGRG00001024793	Cricetulus_griseus_CHOK1GS_HDv1
ENSLOCP00000011272	ENSLOCG00000009226	Lepisosteus_oculatus
ENSPMEP00000023623	ENSPMEG00000000700	Poecilia_mexicana
ENSNPEP00000017566	ENSNPEG00000013049	Nothoprocta_perdicaria
ENSOANP00000017345	ENSOANG00000010944	Ornithorhynchus_anatinus
ENSMSIP00000038663	ENSMSIG00000032219	Mus_spicilegus
ENSEASP00005029250	ENSEASG00005019899	Equus_asinus_asinus
ENSHHUP00000054059	ENSHHUG00000032443	Hucho_hucho
ENSJHYP00000022080	ENSJHYG00000016494	Junco_hyemalis
ENSPTEP00000033793	ENSPTEG00000032163	Piliocolobus_tephrosceles
ENSPEMP00000007092	ENSPEMG00000009119	Peromyscus_maniculatus_bairdii
ENSCPBP00000025627	ENSCPBG00000017516	Chrysemys_picta_bellii
ENSCABP00000025190	ENSCABG00000018227	Chelonoidis_abingdonii
ENSVURP00010029249	ENSVURG00010022376	Vombatus_ursinus	ENSVURT00010033316
ENSMODP00000013946	ENSMODG00000011144	Monodelphis_domestica
ENSCSEP00000014643	ENSCSEG00000009396	Cynoglossus_semilaevis
ENSAPOP00000025398	ENSAPOG00000008566	Acanthochromis_polyacanthus
ENSCCAP00000027295	ENSCCAG00000031333	Cebus_capucinus_imitator
ENSECRP00000012185	ENSECRG00000008116	Erpetoichthys_calabaricus
ENSPTRP00000022326	ENSPTRG00000013053	Pan_troglodytes
ENSATEP00000028310	ENSATEG00000019500	Anabas_testudineus
ENSSPAP00000015465	ENSSPAG00000011592	Stegastes_partitus
ENSBBBP00000012427	ENSBBBG00000020287	Bison_bison_bison
ENSOCUP00000035293	ENSOCUG00000001873	Oryctolagus_cuniculus
ENSCAFP00000065957	ENSCAFG00000011816	Canis_lupus_familiaris
ENSDORP00000012350	ENSDORG00000013135	Dipodomys_ordii
ENSUAMP00000021829	ENSUAMG00000017067	Ursus_americanus
ENSPNAP00000028678	ENSPNAG00000014511	Pygocentrus_nattereri
ENSEEUP00000003252	ENSEEUG00000003518	Erinaceus_europaeus
ENSMMMP00000003407	ENSMMMG00000003046	Marmota_marmota_marmota
