ENSGAFP00000008554	ENSGAFG00000005762	Gambusia_affinis
ENSANAP00000042426	ENSANAG00000038497	Aotus_nancymaae
ENSBIXP00005033560	ENSBIXG00005014377	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCGRP00000013839	ENSCGRG00000010034	Cricetulus_griseus_CriGri_1.0
ENSMMMP00000018982	ENSMMMG00000016667	Marmota_marmota_marmota
ENSTBEP00000002370	ENSTBEG00000002719	Tupaia_belangeri
ENSAOWP00000006633	ENSAOWG00000004517	Apteryx_owenii
ENSCMIP00000000875	ENSCMIG00000000596	Callorhinchus_milii
ENSVVUP00000019838	ENSVVUG00000014691	Vulpes_vulpes
ENSCSAP00000006603	ENSCSAG00000010449	Chlorocebus_sabaeus
ENSPANP00000042036	ENSPANG00000017746	Papio_anubis
ENSCGRP00001018944	ENSCGRG00001018507	Cricetulus_griseus_CHOK1GS_HDv1
ENSRROP00000042685	ENSRROG00000044421	Rhinopithecus_roxellana
ENSPCOP00000017443	ENSPCOG00000020544	Propithecus_coquereli
ENSAPEP00000034978	ENSAPEG00000024836	Amphiprion_percula
ENSNVIP00000025417	ENSNVIG00000019453	Neovison_vison
ENSHHUP00000020998	ENSHHUG00000012501	Hucho_hucho
ENSNLEP00000007233	ENSNLEG00000005967	Nomascus_leucogenys
ENSCPBP00000035598	ENSCPBG00000024778	Chrysemys_picta_bellii
ENSATEP00000025934	ENSATEG00000017929	Anabas_testudineus
ENSSBOP00000010949	ENSSBOG00000022213	Saimiri_boliviensis_boliviensis
ENSNPEP00000020427	ENSNPEG00000015192	Nothoprocta_perdicaria
ENSORLP00000003346	ENSORLG00000002682	Oryzias_latipes_ASM223467v1
ENSSCAP00000006541	ENSSCAG00000005095	Serinus_canaria
ENSTSYP00000009707	ENSTSYG00000010586	Carlito_syrichta
ENSSFOP00015020362	ENSSFOG00015013047	Scleropages_formosus
ENSPTIP00000021447	ENSPTIG00000018600	Panthera_tigris_altaica
ENSCJPP00005025209	ENSCJPG00005019687	Coturnix_japonica
MGP_SPRETEiJ_P0056408	MGP_SPRETEiJ_G0025144	Mus_spretus_strain_SPRET/EiJ
ENSARWP00000018456	ENSARWG00000012697	Apteryx_rowi
ENSBMUP00000029906	ENSBMUG00000022289	Bos_mutus
ENSSDAP00000024844	ENSSDAG00000022507	Spermophilus_dauricus
ENSGALP00000007901	ENSGALG00000004945	Gallus_gallus
ENSPTRP00000059043	ENSPTRG00000007043	Pan_troglodytes
ENSVURP00010007466	ENSVURG00010005190	Vombatus_ursinus
ENSAPOP00000029304	ENSAPOG00000015081	Acanthochromis_polyacanthus
ENSCHAP00000060170	ENSCHAG00000026896	Clupea_harengus	ENSCHAT00000064784
ENSOANP00000023403	ENSOANG00000014864	Ornithorhynchus_anatinus
ENSLOCP00000016303	ENSLOCG00000013230	Lepisosteus_oculatus
ENSMPUP00000011259	ENSMPUG00000011351	Mustela_putorius_furo
ENSRNOP00000073076	ENSRNOG00000005367	Rattus_norvegicus
ENSACIP00000026333	ENSACIG00000020371	Amphilophus_citrinellus
ENSFHEP00000001643	ENSFHEG00000002430	Fundulus_heteroclitus
ENSABRP00000008099	ENSABRG00000007310	Anser_brachyrhynchus
MGP_PahariEiJ_P0065290	MGP_PahariEiJ_G0025670	Mus_pahari_strain_PAHARI_EIJ
ENSMGAP00000006959	ENSMGAG00000006751	Meleagris_gallopavo
ENSPLAP00000019410	ENSPLAG00000001519	Poecilia_latipinna
ENSMALP00000017635	ENSMALG00000012230	Monopterus_albus
ENSSSCP00000052263	ENSSSCG00000004659	Sus_scrofa_strain_reference
ENSXMAP00000016712	ENSXMAG00000016567	Xiphophorus_maculatus
ENSPNAP00000035871	ENSPNAG00000026297	Pygocentrus_nattereri	ENSPNAT00000039559
ENSMVIP00005022863	ENSMVIG00005016048	Manacus_vitellinus
ENSMICP00000011883	ENSMICG00000013031	Microcebus_murinus
ENSCAFP00020028035	ENSCAFG00020021951	Canis_lupus_dingo
ENSCPUP00000027290	ENSCPUG00000018373	Calidris_pugnax
ENSPCIP00000030770	ENSPCIG00000022889	Phascolarctos_cinereus
ENSTTRP00000014610	ENSTTRG00000015407	Tursiops_truncatus
ENSODEP00000012697	ENSODEG00000009402	Octodon_degus
ENSLACP00000008129	ENSLACG00000007198	Latimeria_chalumnae
ENSUPAP00010011392	ENSUPAG00010008880	Urocitellus_parryii
ENSLSDP00000024343	ENSLSDG00000017072	Lonchura_striata_domestica
ENSPMEP00000011996	ENSPMEG00000014220	Poecilia_mexicana
ENSABRP00000008072	ENSABRG00000007299	Anser_brachyrhynchus
ENSCAPP00000002747	ENSCAPG00000005632	Cavia_aperea
ENSCGOP00000030652	ENSCGOG00000014132	Cottoperca_gobio	ENSCGOT00000032888
ENSOCUP00000014189	ENSOCUG00000016508	Oryctolagus_cuniculus
ENSPEMP00000006265	ENSPEMG00000008530	Peromyscus_maniculatus_bairdii
ENSDNVP00000008595	ENSDNVG00000006115	Dromaius_novaehollandiae
ENSPCAP00000015723	ENSPCAG00000016740	Procavia_capensis
ENSSLDP00000028177	ENSSLDG00000021800	Seriola_lalandi_dorsalis
ENSETEP00000013798	ENSETEG00000017003	Echinops_telfairi
ENSPTEP00000003881	ENSPTEG00000004419	Piliocolobus_tephrosceles
ENSEEEP00000032122	ENSEEEG00000015043	Electrophorus_electricus
ENSXETP00000053911	ENSXETG00000017634	Xenopus_tropicalis
ENSSDUP00000022078	ENSSDUG00000016031	Seriola_dumerili
ENSGWIP00000012947	ENSGWIG00000007199	Gouania_willdenowi
ENSOGAP00000009773	ENSOGAG00000010916	Otolemur_garnettii
ENSECRP00000025791	ENSECRG00000017222	Erpetoichthys_calabaricus
ENSCHOP00000010073	ENSCHOG00000011372	Choloepus_hoffmanni
ENSGACP00000022137	ENSGACG00000016765	Gasterosteus_aculeatus	ENSGACT00000022179
ENSSPAP00000028312	ENSSPAG00000020240	Stegastes_partitus
ENSMUSP00000028630	ENSMUSG00000027202	Mus_musculus_strain_reference_(CL57BL6)
ENSMLUP00000006233	ENSMLUG00000006815	Myotis_lucifugus
ENSSPUP00000015461	ENSSPUG00000011911	Sphenodon_punctatus
ENSTGEP00000014026	ENSTGEG00000011346	Theropithecus_gelada
MGP_CAROLIEiJ_P0054305	MGP_CAROLIEiJ_G0024224	Mus_caroli_strain_CAROLI_EIJ
ENSCCNP00000024980	ENSCCNG00000024388	Castor_canadensis
ENSUMAP00000014055	ENSUMAG00000010193	Ursus_maritimus
ENSMLEP00000012668	ENSMLEG00000030368	Mandrillus_leucophaeus
ENSDORP00000009922	ENSDORG00000010558	Dipodomys_ordii
ENSFDAP00000002788	ENSFDAG00000012410	Fukomys_damarensis
ENSNGAP00000020312	ENSNGAG00000019829	Nannospalax_galili
ENSEEUP00000014169	ENSEEUG00000015504	Erinaceus_europaeus
ENSUAMP00000025736	ENSUAMG00000018211	Ursus_americanus
ENSCGRP00015022929	ENSCGRG00015017221	Cricetulus_griseus_CriGri-PICR
ENSCANP00000016066	ENSCANG00000031392	Colobus_angolensis_palliatus
ENSCPRP00005020190	ENSCPRG00005014046	Crocodylus_porosus
ENSMAUP00000003992	ENSMAUG00000004531	Mesocricetus_auratus
ENSFCAP00000014232	ENSFCAG00000015347	Felis_catus
ENSONIP00000016800	ENSONIG00000013365	Oreochromis_niloticus
ENSAMXP00000039398	ENSAMXG00000035580	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000034794
ENSCVAP00000008822	ENSCVAG00000010745	Cyprinodon_variegatus
ENSZALP00000011424	ENSZALG00000009301	Zonotrichia_albicollis
ENSKMAP00000004122	ENSKMAG00000003110	Kryptolebias_marmoratus
ENSCHIP00000022366	ENSCHIG00000020238	Capra_hircus
ENSJHYP00000012036	ENSJHYG00000009400	Junco_hyemalis
ENSCMIP00000002413	ENSCMIG00000001429	Callorhinchus_milii
ENSTNIP00000012401	ENSTNIG00000009528	Tetraodon_nigroviridis	ENSTNIT00000012592
ENSJJAP00000004901	ENSJJAG00000009847	Jaculus_jaculus
ENSTRUP00000043439	ENSTRUG00000016959	Takifugu_rubripes	ENSTRUT00000043584
ENSBIXP00000036032	ENSBIXG00000019412	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSDNOP00000003617	ENSDNOG00000004682	Dasypus_novemcinctus
ENSECAP00000018007	ENSECAG00000038938	Equus_caballus
ENSPREP00000015460	ENSPREG00000009164	Poecilia_reticulata
ENSPMJP00000025269	ENSPMJG00000018514	Parus_major
ENSDCDP00000063049	ENSDCDG00000035132	Denticeps_clupeoides	ENSDCDT00000075354
ENSPNYP00000014239	ENSPNYG00000009465	Pundamilia_nyererei
ENSMUGP00000014833	ENSMUGG00000012704	Meriones_unguiculatus
ENSECAP00000018016	ENSECAG00000040429	Equus_caballus
ENSCAFP00000062900	ENSCAFG00000014211	Canis_lupus_familiaris
ENSCATP00000038320	ENSCATG00000041847	Cercocebus_atys
ENSGAGP00000020730	ENSGAGG00000015263	Gopherus_agassizii
ENSFALP00000012049	ENSFALG00000011549	Ficedula_albicollis
ENSP00000495332	ENSG00000074803	Homo_sapiens
ENSPKIP00000002774	ENSPKIG00000020510	Paramormyrops_kingsleyae
ENSOANP00000020460	ENSOANG00000012935	Ornithorhynchus_anatinus
ENSMUNP00000020530	ENSMUNG00000015626	Melopsittacus_undulatus
ENSMUNP00000020531	ENSMUNG00000015627	Melopsittacus_undulatus
ENSCLAP00000012130	ENSCLAG00000008362	Chinchilla_lanigera
ENSPSIP00000017510	ENSPSIG00000015396	Pelodiscus_sinensis
ENSDARP00000140839	ENSDARG00000098096	Danio_rerio	ENSDART00000165073
ENSLAFP00000010872	ENSLAFG00000012999	Loxodonta_africana
ENSGMOP00000009099	ENSGMOG00000008496	Gadus_morhua
ENSSHAP00000014303	ENSSHAG00000012219	Sarcophilus_harrisii
ENSHGLP00000020120	ENSHGLG00000014401	Heterocephalus_glaber_HetGla_female_1.0
ENSSTOP00000006970	ENSSTOG00000007768	Ictidomys_tridecemlineatus
ENSMZEP00005015644	ENSMZEG00005007840	Maylandia_zebra
ENSVPAP00000004380	ENSVPAG00000004722	Vicugna_pacos
ENSNSUP00000027375	ENSNSUG00000019586	Notechis_scutatus
ENSCPOP00000004608	ENSCPOG00000005122	Cavia_porcellus
ENSAMEP00000002063	ENSAMEG00000001894	Ailuropoda_melanoleuca
ENSNBRP00000031018	ENSNBRG00000022889	Neolamprologus_brichardi
ENSCSEP00000008790	ENSCSEG00000005610	Cynoglossus_semilaevis
ENSEASP00005026105	ENSEASG00005017794	Equus_asinus_asinus
ENSSARP00000003042	ENSSARG00000003325	Sorex_araneus
ENSMNEP00000005658	ENSMNEG00000025405	Macaca_nemestrina
ENSHCOP00000000793	ENSHCOG00000001677	Hippocampus_comes
ENSHHUP00000070079	ENSHHUG00000040901	Hucho_hucho
ENSGGOP00000019768	ENSGGOG00000000757	Gorilla_gorilla
ENSSFOP00015020257	ENSSFOG00015013024	Scleropages_formosus
ENSORLP00020020567	ENSORLG00020021566	Oryzias_latipes_ASM223471v1
ENSPFOP00000002485	ENSPFOG00000002101	Poecilia_formosa
ENSMSIP00000005791	ENSMSIG00000004862	Mus_spicilegus
