ENSCSAVP00000006546	ENSCSAVG00000003919	Ciona_savignyi
ENSRROP00000036150	ENSRROG00000041543	Rhinopithecus_roxellana
ENSPTIP00000026794	ENSPTIG00000022093	Panthera_tigris_altaica
ENSFCAP00000031802	ENSFCAG00000044640	Felis_catus
ENSMODP00000047207	ENSMODG00000038652	Monodelphis_domestica
ENSPVAP00000005521	ENSPVAG00000005836	Pteropus_vampyrus
ENSEEUP00000012625	ENSEEUG00000013830	Erinaceus_europaeus
ENSLAFP00000011584	ENSLAFG00000013830	Loxodonta_africana
ENSETEP00000005537	ENSETEG00000006817	Echinops_telfairi
ENSUMAP00000017857	ENSUMAG00000013121	Ursus_maritimus
ENSCAFP00020000002	ENSCAFG00020000003	Canis_lupus_dingo
ENSVVUP00000038021	ENSVVUG00000026966	Vulpes_vulpes
ENSOARP00000006906	ENSOARG00000006453	Ovis_aries
ENSBMUP00000008738	ENSBMUG00000006810	Bos_mutus
ENSHGLP00000019178	ENSHGLG00000013761	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100011783	ENSHGLG00100008751	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100024402	ENSHGLG00100017918	Heterocephalus_glaber_HetGla_1.0
ENSPEMP00000034775	ENSPEMG00000030363	Peromyscus_maniculatus_bairdii
ENSOCUP00000007294	ENSOCUG00000008438	Oryctolagus_cuniculus
ENSOCUP00000027121	ENSOCUG00000029704	Oryctolagus_cuniculus
ENSHGLP00000023999	ENSHGLG00000017105	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100022808	ENSHGLG00100016772	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000018371	ENSFDAG00000009903	Fukomys_damarensis
ENSCLAP00000021301	ENSCLAG00000014592	Chinchilla_lanigera
ENSODEP00000018155	ENSODEG00000013381	Octodon_degus
ENSCAPP00000010196	ENSCAPG00000011473	Cavia_aperea
ENSCPOP00000014062	ENSCPOG00000015594	Cavia_porcellus
ENSSTOP00000015123	ENSSTOG00000014640	Ictidomys_tridecemlineatus
ENSSDAP00000022783	ENSSDAG00000020608	Spermophilus_dauricus
ENSUPAP00010027612	ENSUPAG00010021790	Urocitellus_parryii
ENSMMMP00000020825	ENSMMMG00000018360	Marmota_marmota_marmota
ENSCGRP00001012950	ENSCGRG00001014174	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000024282	ENSCGRG00000017603	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015025045	ENSCGRG00015018690	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000016689	ENSMAUG00000015705	Mesocricetus_auratus
ENSMUGP00000025300	ENSMUGG00000020934	Meriones_unguiculatus
MGP_SPRETEiJ_P0067686	MGP_SPRETEiJ_G0027616	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000003694	ENSMSIG00000003321	Mus_spicilegus
ENSMUSP00000125003	ENSMUSG00000028809	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0065143	MGP_CAROLIEiJ_G0026636	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0080229	MGP_PahariEiJ_G0028969	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000073024	ENSRNOG00000018194	Rattus_norvegicus
ENSPEMP00000004180	ENSPEMG00000006254	Peromyscus_maniculatus_bairdii
ENSNGAP00000012850	ENSNGAG00000014562	Nannospalax_galili
ENSJJAP00000016961	ENSJJAG00000018643	Jaculus_jaculus
ENSCCNP00000023118	ENSCCNG00000022701	Castor_canadensis
ENSTBEP00000000084	ENSTBEG00000000100	Tupaia_belangeri
ENSPSMP00000018257	ENSPSMG00000012843	Prolemur_simus
ENSMICP00000005995	ENSMICG00000006553	Microcebus_murinus
ENSPCOP00000018815	ENSPCOG00000021311	Propithecus_coquereli
ENSOGAP00000009133	ENSOGAG00000010210	Otolemur_garnettii
ENSPTRP00000000609	ENSPTRG00000000349	Pan_troglodytes
ENSPPAP00000042737	ENSPPAG00000043918	Pan_paniscus
ENSP00000326261	ENSG00000133226	Homo_sapiens
ENSGGOP00000005109	ENSGGOG00000005209	Gorilla_gorilla
ENSPPYP00000001983	ENSPPYG00000001716	Pongo_abelii
ENSNLEP00000033146	ENSNLEG00000008966	Nomascus_leucogenys
ENSPTEP00000013661	ENSPTEG00000015260	Piliocolobus_tephrosceles
ENSCANP00000009901	ENSCANG00000028271	Colobus_angolensis_palliatus
ENSRROP00000022630	ENSRROG00000035151	Rhinopithecus_roxellana
ENSRBIP00000023061	ENSRBIG00000035461	Rhinopithecus_bieti
ENSTGEP00000006558	ENSTGEG00000005380	Theropithecus_gelada
ENSCATP00000014585	ENSCATG00000031303	Cercocebus_atys
ENSPANP00000010409	ENSPANG00000010194	Papio_anubis
ENSCSAP00000017063	ENSCSAG00000000945	Chlorocebus_sabaeus
ENSMFAP00000013143	ENSMFAG00000025726	Macaca_fascicularis
ENSMMUP00000040522	ENSMMUG00000006645	Macaca_mulatta
ENSMNEP00000032243	ENSMNEG00000039415	Macaca_nemestrina
ENSCATP00000028467	ENSCATG00000037524	Cercocebus_atys
ENSMLEP00000016142	ENSMLEG00000032221	Mandrillus_leucophaeus
ENSMFAP00000039361	ENSMFAG00000038841	Macaca_fascicularis
ENSPANP00000046862	ENSPANG00000035568	Papio_anubis
ENSCCAP00000023839	ENSCCAG00000029474	Cebus_capucinus_imitator
ENSSBOP00000005943	ENSSBOG00000019884	Saimiri_boliviensis_boliviensis
ENSCJAP00000038750	ENSCJAG00000020822	Callithrix_jacchus
ENSANAP00000036270	ENSANAG00000035606	Aotus_nancymaae
ENSECAP00000042414	ENSECAG00000026981	Equus_caballus
ENSEASP00005005780	ENSEASG00005004270	Equus_asinus_asinus
ENSTSYP00000006262	ENSTSYG00000006782	Carlito_syrichta
ENSTTRP00000008889	ENSTTRG00000009365	Tursiops_truncatus
ENSVPAP00000007159	ENSVPAG00000007698	Vicugna_pacos
ENSBTAP00000071447	ENSBTAG00000013772	Bos_taurus
ENSBIXP00000041170	ENSBIXG00000005187	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005000698	ENSBIXG00005029914	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000029560	ENSBMUG00000022094	Bos_mutus
ENSBBBP00000005813	ENSBBBG00000014498	Bison_bison_bison
ENSCHIP00000013179	ENSCHIG00000014656	Capra_hircus
ENSSSCP00000047802	ENSSSCG00000032947	Sus_scrofa_strain_reference
ENSMPUP00000015722	ENSMPUG00000015830	Mustela_putorius_furo
ENSMPUP00000015723	ENSMPUG00000015831	Mustela_putorius_furo
ENSNVIP00000030051	ENSNVIG00000023151	Neovison_vison
ENSCAFP00000019053	ENSCAFG00000012933	Canis_lupus_familiaris
ENSCAFP00000041698	ENSCAFG00000029044	Canis_lupus_familiaris
ENSCAFP00020026829	ENSCAFG00020020948	Canis_lupus_dingo
ENSAMEP00000010580	ENSAMEG00000010075	Ailuropoda_melanoleuca
ENSPPRP00000007266	ENSPPRG00000002509	Panthera_pardus
ENSPTIP00000007050	ENSPTIG00000008778	Panthera_tigris_altaica
ENSFCAP00000037048	ENSFCAG00000000678	Felis_catus
ENSMPUP00000000018	ENSMPUG00000000018	Mustela_putorius_furo
ENSDNOP00000026334	ENSDNOG00000049141	Dasypus_novemcinctus
ENSMLUP00000005712	ENSMLUG00000006246	Myotis_lucifugus
ENSSARP00000012389	ENSSARG00000013718	Sorex_araneus
ENSMLEP00000027930	ENSMLEG00000038030	Mandrillus_leucophaeus
ENSCHOP00000000024	ENSCHOG00000000027	Choloepus_hoffmanni
ENSPCAP00000014193	ENSPCAG00000015138	Procavia_capensis
ENSDORP00000022233	ENSDORG00000028601	Dipodomys_ordii
ENSOANP00000003489	ENSOANG00000002202	Ornithorhynchus_anatinus
ENSPVIP00000027053	ENSPVIG00000020128	Pogona_vitticeps
ENSACAP00000017575	ENSACAG00000017848	Anolis_carolinensis
ENSNSUP00000017751	ENSNSUG00000013021	Notechis_scutatus
ENSSMRP00000001526	ENSSMRG00000001330	Salvator_merianae
ENSSPUP00000020711	ENSSPUG00000015890	Sphenodon_punctatus
ENSCABP00000002426	ENSCABG00000001897	Chelonoidis_abingdonii
ENSCABP00000002423	ENSCABG00000001896	Chelonoidis_abingdonii
ENSGAGP00000012000	ENSGAGG00000009243	Gopherus_agassizii
ENSCPBP00000036059	ENSCPBG00000025083	Chrysemys_picta_bellii
ENSPSIP00000014642	ENSPSIG00000013119	Pelodiscus_sinensis
ENSODEP00000003074	ENSODEG00000002361	Octodon_degus
ENSZALP00000000045	ENSZALG00000000055	Zonotrichia_albicollis
ENSSCAP00000009116	ENSSCAG00000006941	Serinus_canaria
ENSCCEP00000018295	ENSCCEG00000016794	Cyanistes_caeruleus
ENSABRP00000013716	ENSABRG00000012156	Anser_brachyrhynchus
ENSARWP00000015962	ENSARWG00000010711	Apteryx_rowi
ENSNPEP00000014011	ENSNPEG00000010477	Nothoprocta_perdicaria
ENSLCOP00000013329	ENSLCOG00000009592	Lepidothrix_coronata
ENSMVIP00005011643	ENSMVIG00005008518	Manacus_vitellinus
ENSODEP00000009648	ENSODEG00000007221	Octodon_degus
ENSEBUP00000003692	ENSEBUG00000002653	Eptatretus_burgeri
ENSCJPP00005020237	ENSCJPG00005016306	Coturnix_japonica
ENSGALP00000055309	ENSGALG00000001283	Gallus_gallus
ENSMGAP00000001618	ENSMGAG00000002060	Meleagris_gallopavo
ENSNMEP00000005751	ENSNMEG00000005943	Numida_meleagris
ENSAPLP00000001710	ENSAPLG00000002066	Anas_platyrhynchos_platyrhynchos
ENSTGUP00000001173	ENSTGUG00000001135	Taeniopygia_guttata
ENSJHYP00000000644	ENSJHYG00000000609	Junco_hyemalis
ENSPMJP00000000245	ENSPMJG00000000218	Parus_major
ENSFALP00000000491	ENSFALG00000000476	Ficedula_albicollis
ENSMUNP00000011526	ENSMUNG00000009072	Melopsittacus_undulatus
ENSCPUP00000023995	ENSCPUG00000016264	Calidris_pugnax
ENSCPGP00000014072	ENSCPGG00000009953	Calidris_pygmaea
ENSAHAP00000014778	ENSAHAG00000010628	Apteryx_haastii
ENSAOWP00000016102	ENSAOWG00000010966	Apteryx_owenii
ENSDNVP00000011984	ENSDNVG00000008456	Dromaius_novaehollandiae
ENSCPRP00005024028	ENSCPRG00005016672	Crocodylus_porosus
ENSXETP00000006614	ENSXETG00000008684	Xenopus_tropicalis
FBpp0075617	FBgn0036340	Drosophila_melanogaster
