ENSCPGP00000021578	ENSCPGG00000015049	Calidris_pygmaea	ENSCPGT00000023617
ENSCPUP00000020067	ENSCPUG00000013734	Calidris_pugnax	ENSCPUT00000023770
ENSMUNP00000005206	ENSMUNG00000004286	Melopsittacus_undulatus
MGP_SPRETEiJ_P0064219	MGP_SPRETEiJ_G0026844	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000008134	ENSMSIG00000007214	Mus_spicilegus
MGP_CAROLIEiJ_P0061787	MGP_CAROLIEiJ_G0025896	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0057447	MGP_PahariEiJ_G0024019	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000060159	ENSRNOG00000042246	Rattus_norvegicus
ENSMUGP00000030381	ENSMUGG00000025234	Meriones_unguiculatus
ENSCGRP00015007202	ENSCGRG00015005599	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000025837	ENSCGRG00000018852	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001007095	ENSCGRG00001009559	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000019077	ENSMAUG00000017467	Mesocricetus_auratus
ENSMOCP00000004138	ENSMOCG00000003322	Microtus_ochrogaster
ENSPEMP00000034348	ENSPEMG00000028971	Peromyscus_maniculatus_bairdii
ENSNGAP00000012197	ENSNGAG00000014137	Nannospalax_galili
ENSJJAP00000003684	ENSJJAG00000007413	Jaculus_jaculus
ENSCAPP00000004481	ENSCAPG00000007019	Cavia_aperea
ENSCPOP00000028319	ENSCPOG00000034422	Cavia_porcellus
ENSCLAP00000020248	ENSCLAG00000013872	Chinchilla_lanigera
ENSODEP00000026889	ENSODEG00000020383	Octodon_degus
ENSHGLP00100026907	ENSHGLG00100019898	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000015350	ENSHGLG00000010968	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000006263	ENSFDAG00000015063	Fukomys_damarensis
ENSMMMP00000009907	ENSMMMG00000008835	Marmota_marmota_marmota
ENSSDAP00000000754	ENSSDAG00000000794	Spermophilus_dauricus
ENSSTOP00000016994	ENSSTOG00000025820	Ictidomys_tridecemlineatus
ENSUPAP00010009666	ENSUPAG00010007829	Urocitellus_parryii
ENSTBEP00000001733	ENSTBEG00000002016	Tupaia_belangeri
ENSPSMP00000015358	ENSPSMG00000010940	Prolemur_simus
ENSOGAP00000014618	ENSOGAG00000016332	Otolemur_garnettii
ENSMNEP00000002938	ENSMNEG00000013710	Macaca_nemestrina
ENSMMUP00000066456	ENSMMUG00000053668	Macaca_mulatta
ENSMFAP00000012401	ENSMFAG00000024179	Macaca_fascicularis
ENSMLEP00000006578	ENSMLEG00000026942	Mandrillus_leucophaeus
ENSCATP00000000735	ENSCATG00000003669	Cercocebus_atys
ENSTGEP00000014256	ENSTGEG00000011575	Theropithecus_gelada
ENSPANP00000000804	ENSPANG00000004499	Papio_anubis
ENSCSAP00000017557	ENSCSAG00000000446	Chlorocebus_sabaeus
ENSCANP00000029566	ENSCANG00000038410	Colobus_angolensis_palliatus
ENSPTEP00000012482	ENSPTEG00000013998	Piliocolobus_tephrosceles
ENSRBIP00000013393	ENSRBIG00000030718	Rhinopithecus_bieti
ENSRROP00000026931	ENSRROG00000037239	Rhinopithecus_roxellana
ENSGGOP00000034953	ENSGGOG00000043117	Gorilla_gorilla
ENSP00000345468	ENSG00000188133	Homo_sapiens
ENSPPAP00000001556	ENSPPAG00000007092	Pan_paniscus
ENSPTRP00000081088	ENSPTRG00000047390	Pan_troglodytes
ENSPPYP00000021449	ENSPPYG00000019144	Pongo_abelii
ENSNLEP00000031102	ENSNLEG00000031457	Nomascus_leucogenys
ENSCJAP00000062631	ENSCJAG00000041764	Callithrix_jacchus
ENSSBOP00000040637	ENSSBOG00000036309	Saimiri_boliviensis_boliviensis
ENSCCAP00000000692	ENSCCAG00000004298	Cebus_capucinus_imitator
ENSANAP00000027045	ENSANAG00000031329	Aotus_nancymaae
ENSMLUP00000003726	ENSMLUG00000004096	Myotis_lucifugus
ENSPVAP00000008688	ENSPVAG00000009212	Pteropus_vampyrus
ENSECAP00000003183	ENSECAG00000004732	Equus_caballus
ENSEASP00005006168	ENSEASG00005004570	Equus_asinus_asinus
ENSUMAP00000007542	ENSUMAG00000005832	Ursus_maritimus
ENSUAMP00000022870	ENSUAMG00000017928	Ursus_americanus
ENSAMEP00000020486	ENSAMEG00000019433	Ailuropoda_melanoleuca
ENSNVIP00000000740	ENSNVIG00000000661	Neovison_vison
ENSMPUP00000018310	ENSMPUG00000018428	Mustela_putorius_furo
ENSVVUP00000028911	ENSVVUG00000021135	Vulpes_vulpes
ENSCAFP00020019617	ENSCAFG00020015595	Canis_lupus_dingo
ENSPTIP00000003464	ENSPTIG00000006226	Panthera_tigris_altaica
ENSPPRP00000025776	ENSPPRG00000016103	Panthera_pardus
ENSOARP00000009690	ENSOARG00000009026	Ovis_aries
ENSCHIP00000004194	ENSCHIG00000008408	Capra_hircus
ENSBMUP00000023879	ENSBMUG00000017916	Bos_mutus
ENSBTAP00000018581	ENSBTAG00000013974	Bos_taurus
ENSBIXP00000018318	ENSBIXG00000022172	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005024775	ENSBIXG00005027309	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000014120	ENSBBBG00000005782	Bison_bison_bison
ENSSSCP00000011736	ENSSSCG00000011002	Sus_scrofa_strain_reference
ENSTTRP00000010710	ENSTTRG00000011298	Tursiops_truncatus
ENSDNOP00000005146	ENSDNOG00000006659	Dasypus_novemcinctus
ENSETEP00000004794	ENSETEG00000005905	Echinops_telfairi
ENSOANP00000019212	ENSOANG00000012130	Ornithorhynchus_anatinus
ENSXETP00000025360	ENSXETG00000003825	Xenopus_tropicalis
ENSLACP00000008031	ENSLACG00000007107	Latimeria_chalumnae
ENSSFOP00015029406	ENSSFOG00015018914	Scleropages_formosus
ENSPKIP00000031006	ENSPKIG00000011679	Paramormyrops_kingsleyae
ENSCHAP00000062644	ENSCHAG00000027800	Clupea_harengus
ENSLOCP00000022029	ENSLOCG00000017926	Lepisosteus_oculatus
ENSECRP00000018288	ENSECRG00000012230	Erpetoichthys_calabaricus
ENSCMIP00000028013	ENSCMIG00000012181	Callorhinchus_milii
ENSPNAP00000005391	ENSPNAG00000011628	Pygocentrus_nattereri
ENSEBUP00000025790	ENSEBUG00000015894	Eptatretus_burgeri
