ENSUPAP00010000900	ENSUPAG00010000773	Urocitellus_parryii
ENSAHAP00000007199	ENSAHAG00000005401	Apteryx_haastii	ENSAHAT00000008026
ENSPPAP00000017795	ENSPPAG00000032008	Pan_paniscus
ENSNLEP00000026087	ENSNLEG00000002516	Nomascus_leucogenys
ENSEASP00005005797	ENSEASG00005004280	Equus_asinus_asinus
ENSMUSP00000078501	ENSMUSG00000057286	Mus_musculus_strain_reference_(CL57BL6)
ENSCGRP00000020899	ENSCGRG00000015191	Cricetulus_griseus_CriGri_1.0
ENSPNAP00000026831	ENSPNAG00000012198	Pygocentrus_nattereri
ENSSTOP00000016781	ENSSTOG00000020786	Ictidomys_tridecemlineatus
ENSJJAP00000007270	ENSJJAG00000011713	Jaculus_jaculus
ENSCPOP00000014460	ENSCPOG00000027529	Cavia_porcellus
MGP_SPRETEiJ_P0032640	MGP_SPRETEiJ_G0018298	Mus_spretus_strain_SPRET/EiJ
ENSPMAP00000003387	ENSPMAG00000003115	Petromyzon_marinus
ENSSHAP00000018441	ENSSHAG00000015655	Sarcophilus_harrisii
ENSMAUP00000005959	ENSMAUG00000008031	Mesocricetus_auratus
ENSANAP00000009569	ENSANAG00000022772	Aotus_nancymaae
ENSECAP00000018754	ENSECAG00000021344	Equus_caballus
ENSACAP00000008260	ENSACAG00000008411	Anolis_carolinensis	ENSACAT00000008437
ENSPANP00000016214	ENSPANG00000020026	Papio_anubis
ENSMLEP00000010580	ENSMLEG00000029487	Mandrillus_leucophaeus
ENSRROP00000024655	ENSRROG00000036131	Rhinopithecus_roxellana
ENSDCDP00000015009	ENSDCDG00000011679	Denticeps_clupeoides
ENSCSAP00000001411	ENSCSAG00000005091	Chlorocebus_sabaeus
ENSPSMP00000034748	ENSPSMG00000023928	Prolemur_simus
ENSAOWP00000016830	ENSAOWG00000011499	Apteryx_owenii	ENSAOWT00000019114
ENSUMAP00000018432	ENSUMAG00000013536	Ursus_maritimus
ENSPCIP00000003160	ENSPCIG00000002586	Phascolarctos_cinereus
ENSGALP00000002914	ENSGALG00000001883	Gallus_gallus
ENSAMXP00005006197	ENSAMXG00005003711	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPFOP00000027056	ENSPFOG00000023488	Poecilia_formosa
ENSTGEP00000005289	ENSTGEG00000004396	Theropithecus_gelada
ENSDORP00000025028	ENSDORG00000027435	Dipodomys_ordii
ENSCAFP00000038291	ENSCAFG00000005122	Canis_lupus_familiaris
ENSBBBP00000011843	ENSBBBG00000005156	Bison_bison_bison
ENSCCNP00000019080	ENSCCNG00000019209	Castor_canadensis
ENSSBOP00000011827	ENSSBOG00000022746	Saimiri_boliviensis_boliviensis
ENSHHUP00000013762	ENSHHUG00000008472	Hucho_hucho
ENSEEUP00000008727	ENSEEUG00000009587	Erinaceus_europaeus
ENSSDAP00000013114	ENSSDAG00000011799	Spermophilus_dauricus
ENSMFAP00000028391	ENSMFAG00000045563	Macaca_fascicularis
ENSHHUP00000057990	ENSHHUG00000034532	Hucho_hucho
ENSMUNP00000006716	ENSMUNG00000005393	Melopsittacus_undulatus
ENSMNEP00000033272	ENSMNEG00000039906	Macaca_nemestrina
ENSPMAP00000001554	ENSPMAG00000001412	Petromyzon_marinus
ENSMODP00000011618	ENSMODG00000009300	Monodelphis_domestica
ENSCGRP00015007715	ENSCGRG00015006005	Cricetulus_griseus_CriGri-PICR
ENSOARP00000007348	ENSOARG00000006862	Ovis_aries
ENSCPUP00000005484	ENSCPUG00000004024	Calidris_pugnax
ENSMMUP00000068670	ENSMMUG00000022273	Macaca_mulatta
ENSCPGP00000013985	ENSCPGG00000009891	Calidris_pygmaea
ENSNPEP00000019251	ENSNPEG00000014350	Nothoprocta_perdicaria	ENSNPET00000019749
ENSZALP00000018987	ENSZALG00000015134	Zonotrichia_albicollis
ENSBTAP00000059939	ENSBTAG00000015255	Bos_taurus
ENSPCAP00000000526	ENSPCAG00000000580	Procavia_capensis
ENSXETP00000002676	ENSXETG00000005487	Xenopus_tropicalis
ENSLACP00000016710	ENSLACG00000014719	Latimeria_chalumnae
ENSPSIP00000002872	ENSPSIG00000002787	Pelodiscus_sinensis
ENSCCEP00000011290	ENSCCEG00000011084	Cyanistes_caeruleus
ENSONIP00000011750	ENSONIG00000009350	Oreochromis_niloticus
ENSPMAP00000009260	ENSPMAG00000008405	Petromyzon_marinus
ENSCPBP00000040758	ENSCPBG00000027985	Chrysemys_picta_bellii
ENSACIP00000026032	ENSACIG00000020178	Amphilophus_citrinellus
ENSLSDP00000004765	ENSLSDG00000003726	Lonchura_striata_domestica
ENSLAFP00000017319	ENSLAFG00000021338	Loxodonta_africana
ENSSMRP00000030183	ENSSMRG00000023151	Salvator_merianae	ENSSMRT00000035217
ENSPRNP00000013228	ENSPRNG00000007268	Parambassis_ranga
ENSSSCP00000055456	ENSSSCG00000017177	Sus_scrofa_strain_reference
ENSCANP00000040331	ENSCANG00000043853	Colobus_angolensis_palliatus
ENSTGUP00000008057	ENSTGUG00000007819	Taeniopygia_guttata
ENSOGAP00000007928	ENSOGAG00000008840	Otolemur_garnettii
ENSMVIP00005027280	ENSMVIG00005019034	Manacus_vitellinus
ENSGGOP00000021393	ENSGGOG00000012241	Gorilla_gorilla
ENSBIXP00005001274	ENSBIXG00005029323	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSAMEP00000010922	ENSAMEG00000010379	Ailuropoda_melanoleuca
ENSCVAP00000027677	ENSCVAG00000014197	Cyprinodon_variegatus
MGP_PahariEiJ_P0037921	MGP_PahariEiJ_G0018582	Mus_pahari_strain_PAHARI_EIJ
ENSPCOP00000015114	ENSPCOG00000019278	Propithecus_coquereli
ENSMEUP00000007349	ENSMEUG00000008052	Notamacropus_eugenii
ENSVVUP00000020611	ENSVVUG00000015168	Vulpes_vulpes
ENSTSYP00000006384	ENSTSYG00000007003	Carlito_syrichta
ENSLCRP00005013462	ENSLCRG00005005843	Larimichthys_crocea
ENSCJAP00000024833	ENSCJAG00000013500	Callithrix_jacchus
ENSTBEP00000000469	ENSTBEG00000000547	Tupaia_belangeri
ENSCHAP00000006652	ENSCHAG00000004133	Clupea_harengus
ENSUAMP00000016856	ENSUAMG00000013385	Ursus_americanus
ENSAMXP00000028154	ENSAMXG00000041660	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPVIP00000012167	ENSPVIG00000009505	Pogona_vitticeps	ENSPVIT00000015336
ENSSLDP00000029939	ENSSLDG00000023092	Seriola_lalandi_dorsalis
ENSCGRP00001013901	ENSCGRG00001014926	Cricetulus_griseus_CHOK1GS_HDv1
ENSSCAP00000003953	ENSSCAG00000003261	Serinus_canaria
ENSECRP00000022432	ENSECRG00000015168	Erpetoichthys_calabaricus
ENSCAFP00020007695	ENSCAFG00020006213	Canis_lupus_dingo
ENSCPRP00005010084	ENSCPRG00005007196	Crocodylus_porosus
ENSPTRP00000054178	ENSPTRG00000009685	Pan_troglodytes
ENSELUP00000017965	ENSELUG00000017573	Esox_lucius
ENSATEP00000024931	ENSATEG00000017313	Anabas_testudineus
ENSFCAP00000011196	ENSFCAG00000012068	Felis_catus
ENSPEMP00000016986	ENSPEMG00000016035	Peromyscus_maniculatus_bairdii
ENSSFOP00015006024	ENSSFOG00015003928	Scleropages_formosus
ENSLCOP00000019071	ENSLCOG00000013487	Lepidothrix_coronata
ENSOANP00000023645	ENSOANG00000015021	Ornithorhynchus_anatinus
ENSCAPP00000009105	ENSCAPG00000010649	Cavia_aperea
ENSMSIP00000031834	ENSMSIG00000026644	Mus_spicilegus
ENSPPRP00000017421	ENSPPRG00000009383	Panthera_pardus
ENSAPLP00000025822	ENSAPLG00000029589	Anas_platyrhynchos_platyrhynchos
ENSCHIP00000018691	ENSCHIG00000018016	Capra_hircus
ENSCJPP00005026617	ENSCJPG00005020702	Coturnix_japonica
ENSDARP00000132134	ENSDARG00000101405	Danio_rerio
ENSLCAP00010050061	ENSLCAG00010023319	Lates_calcarifer
ENSNGAP00000019693	ENSNGAG00000019432	Nannospalax_galili
ENSTTRP00000015095	ENSTTRG00000015929	Tursiops_truncatus
ENSPMAP00000001221	ENSPMAG00000001101	Petromyzon_marinus
ENSCATP00000008430	ENSCATG00000025440	Cercocebus_atys
ENSMAMP00000026386	ENSMAMG00000017691	Mastacembelus_armatus
ENSPMJP00000010542	ENSPMJG00000008286	Parus_major
ENSMPUP00000013333	ENSMPUG00000013433	Mustela_putorius_furo
ENSMALP00000011842	ENSMALG00000008392	Monopterus_albus
ENSPTIP00000016338	ENSPTIG00000015150	Panthera_tigris_altaica
ENSCHOP00000001182	ENSCHOG00000001334	Choloepus_hoffmanni
ENSNVIP00000016588	ENSNVIG00000012979	Neovison_vison
ENSLOCP00000013890	ENSLOCG00000011302	Lepisosteus_oculatus
ENSCABP00000011515	ENSCABG00000008591	Chelonoidis_abingdonii
