ENSETEP00000008433	ENSETEG00000010382	Echinops_telfairi
ENSLCOP00000017148	ENSLCOG00000012147	Lepidothrix_coronata	ENSLCOT00000018123
ENSAMXP00000043616	ENSAMXG00000038226	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSEEUP00000003747	ENSEEUG00000004132	Erinaceus_europaeus
ENSPSIP00000014525	ENSPSIG00000013026	Pelodiscus_sinensis
ENSOPRP00000015827	ENSOPRG00000017340	Ochotona_princeps
ENSATEP00000011755	ENSATEG00000008192	Anabas_testudineus
ENSNVIP00000029312	ENSNVIG00000022585	Neovison_vison
ENSGAGP00000032180	ENSGAGG00000023035	Gopherus_agassizii
ENSSMAP00000030903	ENSSMAG00000018938	Scophthalmus_maximus
ENSNGAP00000015902	ENSNGAG00000016797	Nannospalax_galili
ENSAHAP00000012848	ENSAHAG00000009271	Apteryx_haastii
ENSCGOP00000008446	ENSCGOG00000004381	Cottoperca_gobio
ENSCVAP00000023540	ENSCVAG00000006977	Cyprinodon_variegatus
ENSACAP00000010916	ENSACAG00000011146	Anolis_carolinensis
ENSUMAP00000011861	ENSUMAG00000008879	Ursus_maritimus
ENSPKIP00000008035	ENSPKIG00000023695	Paramormyrops_kingsleyae
ENSPTIP00000023585	ENSPTIG00000019990	Panthera_tigris_altaica
ENSCHAP00000040906	ENSCHAG00000019161	Clupea_harengus
ENSMZEP00005018859	ENSMZEG00005014137	Maylandia_zebra
ENSDCDP00000050618	ENSDCDG00000030838	Denticeps_clupeoides
ENSXETP00000042386	ENSXETG00000010297	Xenopus_tropicalis
ENSCATP00000044655	ENSCATG00000044798	Cercocebus_atys
ENSMUNP00000004243	ENSMUNG00000003540	Melopsittacus_undulatus
ENSGMOP00000011576	ENSGMOG00000010824	Gadus_morhua
ENSMLUP00000019689	ENSMLUG00000026962	Myotis_lucifugus
ENSPFOP00000001729	ENSPFOG00000001727	Poecilia_formosa
ENSPMJP00000024223	ENSPMJG00000017824	Parus_major	ENSPMJT00000031342
ENSNMEP00000022962	ENSNMEG00000019592	Numida_meleagris
ENSANAP00000024205	ENSANAG00000029836	Aotus_nancymaae
ENSPRNP00000027176	ENSPRNG00000013608	Parambassis_ranga
ENSTSYP00000010262	ENSTSYG00000011191	Carlito_syrichta
ENSCGRP00000001309	ENSCGRG00000001012	Cricetulus_griseus_CriGri_1.0
ENSCCNP00000027094	ENSCCNG00000026236	Castor_canadensis
ENSVPAP00000007099	ENSVPAG00000007635	Vicugna_pacos
ENSAPEP00000022773	ENSAPEG00000016197	Amphiprion_percula
ENSGGOP00000003892	ENSGGOG00000003966	Gorilla_gorilla
ENSSPAP00000016433	ENSSPAG00000012368	Stegastes_partitus
ENSCPBP00000000202	ENSCPBG00000000200	Chrysemys_picta_bellii
ENSOANP00000016584	ENSOANG00000010467	Ornithorhynchus_anatinus
ENSBMUP00000001975	ENSBMUG00000001595	Bos_mutus
ENSNPEP00000008797	ENSNPEG00000006609	Nothoprocta_perdicaria
ENSRROP00000029106	ENSRROG00000038352	Rhinopithecus_roxellana
ENSSHAP00000015000	ENSSHAG00000012799	Sarcophilus_harrisii
ENSPMGP00000014612	ENSPMGG00000011976	Periophthalmus_magnuspinnatus
ENSSBOP00000015740	ENSSBOG00000024589	Saimiri_boliviensis_boliviensis
ENSNBRP00000018222	ENSNBRG00000014045	Neolamprologus_brichardi
ENSCABP00000009240	ENSCABG00000006947	Chelonoidis_abingdonii
ENSCAPP00000018220	ENSCAPG00000017679	Cavia_aperea
ENSPPYP00000004383	ENSPPYG00000003830	Pongo_abelii
ENSMMOP00000014903	ENSMMOG00000011394	Mola_mola
ENSTNIP00000013190	ENSTNIG00000010287	Tetraodon_nigroviridis
ENSCAFP00020011096	ENSCAFG00020008995	Canis_lupus_dingo
ENSMUGP00000005528	ENSMUGG00000005102	Meriones_unguiculatus
ENSORLP00000013047	ENSORLG00000010413	Oryzias_latipes_ASM223467v1
ENSFCAP00000031132	ENSFCAG00000015606	Felis_catus
ENSHGLP00000022121	ENSHGLG00000015784	Heterocephalus_glaber_HetGla_female_1.0
ENSMMMP00000001219	ENSMMMG00000001143	Marmota_marmota_marmota
ENSONIP00000006364	ENSONIG00000005060	Oreochromis_niloticus
ENSPLAP00000006389	ENSPLAG00000008526	Poecilia_latipinna
ENSCPUP00000000912	ENSCPUG00000000713	Calidris_pugnax
ENSACLP00000033569	ENSACLG00000022742	Astatotilapia_calliptera
ENSPTRP00000007292	ENSPTRG00000004235	Pan_troglodytes
ENSORLP00015021634	ENSORLG00015023295	Oryzias_latipes_ASM223469v1
ENSAMEP00000000394	ENSAMEG00000000382	Ailuropoda_melanoleuca
ENSLBEP00000025019	ENSLBEG00000019116	Labrus_bergylta
ENSTTRP00000003165	ENSTTRG00000003376	Tursiops_truncatus
ENSLOCP00000008235	ENSLOCG00000006804	Lepisosteus_oculatus
ENSOARP00000002834	ENSOARG00000002667	Ovis_aries
ENSPCIP00000032833	ENSPCIG00000024380	Phascolarctos_cinereus
ENSRBIP00000033967	ENSRBIG00000040710	Rhinopithecus_bieti
ENSPSMP00000001977	ENSPSMG00000001492	Prolemur_simus
ENSELUP00000029135	ENSELUG00000005963	Esox_lucius
ENSPCAP00000013296	ENSPCAG00000014232	Procavia_capensis
ENSMUSP00000148445	ENSMUSG00000025893	Mus_musculus_strain_reference_(CL57BL6)
ENSCPOP00000003423	ENSCPOG00000003792	Cavia_porcellus
ENSGALP00000043444	ENSGALG00000028658	Gallus_gallus
ENSHBUP00000028227	ENSHBUG00000011896	Haplochromis_burtoni
ENSPREP00000030999	ENSPREG00000020989	Poecilia_reticulata
ENSPTEP00000031187	ENSPTEG00000030199	Piliocolobus_tephrosceles
MGP_SPRETEiJ_P0090154	MGP_SPRETEiJ_G0032860	Mus_spretus_strain_SPRET/EiJ
ENSODEP00000016426	ENSODEG00000012092	Octodon_degus
ENSBIXP00000005879	ENSBIXG00000012020	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMLEP00000019675	ENSMLEG00000034039	Mandrillus_leucophaeus
ENSCGRP00015002979	ENSCGRG00015002393	Cricetulus_griseus_CriGri-PICR
ENSMMUP00000014401	ENSMMUG00000010989	Macaca_mulatta
ENSMODP00000018416	ENSMODG00000014731	Monodelphis_domestica
ENSAPOP00000021183	ENSAPOG00000001582	Acanthochromis_polyacanthus
