ENSIPUP00000010497	ENSIPUG00000007171	Ictalurus_punctatus
ENSBIXP00000040357	ENSBIXG00000024413	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPSMP00000018705	ENSPSMG00000013234	Prolemur_simus
ENSPTIP00000015204	ENSPTIG00000014363	Panthera_tigris_altaica
ENSZALP00000013347	ENSZALG00000011106	Zonotrichia_albicollis
ENSHHUP00000055707	ENSHHUG00000033309	Hucho_hucho
ENSBSLP00000037658	ENSBSLG00000018391	Betta_splendens
ENSAOWP00000017004	ENSAOWG00000011618	Apteryx_owenii
ENSOANP00000032202	ENSOANG00000032035	Ornithorhynchus_anatinus
ENSECRP00000014375	ENSECRG00000009598	Erpetoichthys_calabaricus	ENSECRT00000014629
ENSTSYP00000033535	ENSTSYG00000031663	Carlito_syrichta
ENSCGRP00015023221	ENSCGRG00015017647	Cricetulus_griseus_CriGri-PICR
ENSONIP00000021858	ENSONIG00000017333	Oreochromis_niloticus
ENSCCEP00000004574	ENSCCEG00000005017	Cyanistes_caeruleus
ENSMVIP00005024503	ENSMVIG00005017198	Manacus_vitellinus
ENSPKIP00000038924	ENSPKIG00000016494	Paramormyrops_kingsleyae
ENSCHAP00000001200	ENSCHAG00000000878	Clupea_harengus
ENSMLUP00000019371	ENSMLUG00000022320	Myotis_lucifugus
ENSMLEP00000018873	ENSMLEG00000033634	Mandrillus_leucophaeus
ENSPVIP00000034192	ENSPVIG00000024987	Pogona_vitticeps
ENSMODP00000005925	ENSMODG00000004814	Monodelphis_domestica
ENSCABP00000006349	ENSCABG00000004796	Chelonoidis_abingdonii
ENSPCOP00000003766	ENSPCOG00000011285	Propithecus_coquereli
ENSLAFP00000015979	ENSLAFG00000020517	Loxodonta_africana
ENSPPAP00000033656	ENSPPAG00000039689	Pan_paniscus
ENSORLP00000029846	ENSORLG00000013997	Oryzias_latipes_ASM223467v1	ENSORLT00000038372
ENSSCAP00000018722	ENSSCAG00000013541	Serinus_canaria
ENSSSCP00000066344	ENSSSCG00000014043	Sus_scrofa_strain_reference
ENSCPBP00000031672	ENSCPBG00000022236	Chrysemys_picta_bellii
ENSCCAP00000029395	ENSCCAG00000032754	Cebus_capucinus_imitator
ENSOARP00000004408	ENSOARG00000004122	Ovis_aries
ENSDARP00000070635	ENSDARG00000054032	Danio_rerio
ENSNGAP00000013210	ENSNGAG00000014857	Nannospalax_galili
ENSMUSP00000046188	ENSMUSG00000034789	Mus_musculus_strain_reference_(CL57BL6)
ENSCPUP00000011273	ENSCPUG00000007986	Calidris_pugnax
ENSPMGP00000015118	ENSPMGG00000012389	Periophthalmus_magnuspinnatus
ENSKMAP00000025353	ENSKMAG00000018779	Kryptolebias_marmoratus	ENSKMAT00000025673
ENSMPUP00000012152	ENSMPUG00000012249	Mustela_putorius_furo
ENSRBIP00000025981	ENSRBIG00000036872	Rhinopithecus_bieti
ENSMMMP00000005441	ENSMMMG00000004914	Marmota_marmota_marmota
ENSTGEP00000019122	ENSTGEG00000015383	Theropithecus_gelada
ENSMSIP00000020821	ENSMSIG00000017691	Mus_spicilegus
ENSCANP00000010566	ENSCANG00000028681	Colobus_angolensis_palliatus
ENSGALP00000004713	ENSGALG00000002984	Gallus_gallus
ENSCGRP00000024529	ENSCGRG00000017782	Cricetulus_griseus_CriGri_1.0
MGP_PahariEiJ_P0041108	MGP_PahariEiJ_G0019620	Mus_pahari_strain_PAHARI_EIJ
ENSFCAP00000037731	ENSFCAG00000016207	Felis_catus
ENSOANP00000031868	ENSOANG00000028845	Ornithorhynchus_anatinus
ENSPPRP00000007279	ENSPPRG00000002474	Panthera_pardus
ENSAPEP00000030918	ENSAPEG00000021960	Amphiprion_percula
ENSCHIP00000006684	ENSCHIG00000010441	Capra_hircus
ENSCPGP00000020301	ENSCPGG00000014211	Calidris_pygmaea
ENSPLAP00000005471	ENSPLAG00000007415	Poecilia_latipinna	ENSPLAT00000007888
ENSLOCP00000015104	ENSLOCG00000012274	Lepisosteus_oculatus
ENSPREP00000008692	ENSPREG00000005950	Poecilia_reticulata
ENSAHAP00000015123	ENSAHAG00000010884	Apteryx_haastii
ENSSMRP00000008868	ENSSMRG00000007099	Salvator_merianae
ENSNMEP00000020977	ENSNMEG00000017988	Numida_meleagris
ENSSDAP00000003010	ENSSDAG00000002887	Spermophilus_dauricus
MGP_CAROLIEiJ_P0034486	MGP_CAROLIEiJ_G0018555	Mus_caroli_strain_CAROLI_EIJ
ENSSPAP00000007024	ENSSPAG00000005388	Stegastes_partitus
ENSPRNP00000031345	ENSPRNG00000015740	Parambassis_ranga	ENSPRNT00000033398
ENSHGLP00100024877	ENSHGLG00100018262	Heterocephalus_glaber_HetGla_1.0
ENSCAFP00020014728	ENSCAFG00020011899	Canis_lupus_dingo
ENSLCAP00010025815	ENSLCAG00010012072	Lates_calcarifer
ENSTRUP00000012977	ENSTRUG00000005407	Takifugu_rubripes	ENSTRUT00000013038
ENSLACP00000013141	ENSLACG00000011573	Latimeria_chalumnae	ENSLACT00000013237
ENSLCOP00000011859	ENSLCOG00000008584	Lepidothrix_coronata
ENSMMUP00000011856	ENSMMUG00000009045	Macaca_mulatta
ENSCJPP00005011686	ENSCJPG00005010022	Coturnix_japonica
ENSANAP00000011127	ENSANAG00000023517	Aotus_nancymaae
ENSPMJP00000008387	ENSPMJG00000006662	Parus_major
ENSMUGP00000019617	ENSMUGG00000016611	Meriones_unguiculatus
ENSHGLP00000011587	ENSHGLG00000008311	Heterocephalus_glaber_HetGla_female_1.0
ENSBBBP00000001597	ENSBBBG00000010702	Bison_bison_bison
ENSOGAP00000018345	ENSOGAG00000028442	Otolemur_garnettii
ENSMOCP00000024808	ENSMOCG00000021113	Microtus_ochrogaster
ENSLCRP00005042725	ENSLCRG00005016390	Larimichthys_crocea
ENSVURP00010000567	ENSVURG00010000503	Vombatus_ursinus
ENSECAP00000021579	ENSECAG00000024046	Equus_caballus
ENSOCUP00000038565	ENSOCUG00000029699	Oryctolagus_cuniculus
ENSCSEP00000025618	ENSCSEG00000016355	Cynoglossus_semilaevis	ENSCSET00000025955
ENSOPRP00000016184	ENSOPRG00000018449	Ochotona_princeps
ENSMNEP00000001890	ENSMNEG00000008581	Macaca_nemestrina
ENSBMUP00000009317	ENSBMUG00000007258	Bos_mutus
ENSCMIP00000010960	ENSCMIG00000005751	Callorhinchus_milii
ENSELUP00000011121	ENSELUG00000011543	Esox_lucius
ENSCSAP00000005175	ENSCSAG00000008917	Chlorocebus_sabaeus
ENSCLAP00000022976	ENSCLAG00000015766	Chinchilla_lanigera
ENSPNAP00000029623	ENSPNAG00000015814	Pygocentrus_nattereri
ENSSLDP00000020801	ENSSLDG00000016258	Seriola_lalandi_dorsalis
ENSXETP00000010973	ENSXETG00000016449	Xenopus_tropicalis
ENSACIP00000003170	ENSACIG00000002522	Amphilophus_citrinellus
ENSMAMP00000029786	ENSMAMG00000020077	Mastacembelus_armatus
ENSPCAP00000009767	ENSPCAG00000010519	Procavia_capensis
ENSDNOP00000016191	ENSDNOG00000023713	Dasypus_novemcinctus
ENSNSUP00000010270	ENSNSUG00000007820	Notechis_scutatus
ENSDNVP00000020296	ENSDNVG00000014204	Dromaius_novaehollandiae
