ENSUPAP00010014703	ENSUPAG00010011776	Urocitellus_parryii	ENSUPAT00010016794
ENSMMMP00000006342	ENSMMMG00000005681	Marmota_marmota_marmota
ENSBIXP00005002822	ENSBIXG00005009145	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000017887	ENSBTAG00000013444	Bos_taurus
ENSBMUP00000022742	ENSBMUG00000017098	Bos_mutus
ENSBBBP00000027117	ENSBBBG00000000320	Bison_bison_bison
ENSTTRP00000002085	ENSTTRG00000002226	Tursiops_truncatus
ENSSSCP00000003130	ENSSSCG00000002906	Sus_scrofa_strain_reference
ENSUMAP00000027850	ENSUMAG00000020231	Ursus_maritimus
ENSUAMP00000026772	ENSUAMG00000020709	Ursus_americanus
ENSAMEP00000000581	ENSAMEG00000000548	Ailuropoda_melanoleuca
ENSMPUP00000006228	ENSMPUG00000006282	Mustela_putorius_furo
ENSNVIP00000022582	ENSNVIG00000017600	Neovison_vison
ENSCAFP00020023620	ENSCAFG00020018622	Canis_lupus_dingo
ENSVVUP00000020540	ENSVVUG00000015116	Vulpes_vulpes
ENSPPRP00000017606	ENSPPRG00000009509	Panthera_pardus
ENSPTIP00000024225	ENSPTIG00000020392	Panthera_tigris_altaica
ENSFCAP00000061060	ENSFCAG00000006377	Felis_catus
ENSPVAP00000012087	ENSPVAG00000012816	Pteropus_vampyrus
ENSMLUP00000010341	ENSMLUG00000011347	Myotis_lucifugus
ENSECAP00000008388	ENSECAG00000010488	Equus_caballus
ENSEASP00005001311	ENSEASG00005001080	Equus_asinus_asinus
ENSSARP00000009715	ENSSARG00000010742	Sorex_araneus
ENSDNOP00000005256	ENSDNOG00000006775	Dasypus_novemcinctus
ENSLAFP00000020287	ENSLAFG00000031833	Loxodonta_africana
ENSETEP00000000105	ENSETEG00000000140	Echinops_telfairi
ENSDORP00000007875	ENSDORG00000008392	Dipodomys_ordii
ENSJJAP00000024736	ENSJJAG00000024116	Jaculus_jaculus
ENSPCIP00000020706	ENSPCIG00000015732	Phascolarctos_cinereus
ENSMEUP00000014894	ENSMEUG00000016282	Notamacropus_eugenii
ENSMODP00000043684	ENSMODG00000045053	Monodelphis_domestica
ENSSHAP00000010344	ENSSHAG00000008931	Sarcophilus_harrisii
