ENSLCOP00000007667	ENSLCOG00000005646	Lepidothrix_coronata	ENSLCOT00000008168
ENSMVIP00005027011	ENSMVIG00005018818	Manacus_vitellinus	ENSMVIT00005030369
ENSMUNP00000010609	ENSMUNG00000008335	Melopsittacus_undulatus
ENSPNAP00000020265	ENSPNAG00000027046	Pygocentrus_nattereri
ENSIPUP00000021159	ENSIPUG00000014359	Ictalurus_punctatus
ENSDARP00000072270	ENSDARG00000055445	Danio_rerio
ENSHHUP00000056836	ENSHHUG00000033901	Hucho_hucho
ENSELUP00000004010	ENSELUG00000005195	Esox_lucius
ENSCSEP00000006711	ENSCSEG00000004341	Cynoglossus_semilaevis
ENSPMGP00000009450	ENSPMGG00000007822	Periophthalmus_magnuspinnatus
ENSGWIP00000042557	ENSGWIG00000021214	Gouania_willdenowi
ENSHCOP00000015318	ENSHCOG00000018929	Hippocampus_comes
ENSXCOP00000006925	ENSXCOG00000005353	Xiphophorus_couchianus
ENSXMAP00000006703	ENSXMAG00000006658	Xiphophorus_maculatus
ENSGAFP00000021774	ENSGAFG00000014682	Gambusia_affinis
ENSPFOP00000017741	ENSPFOG00000017646	Poecilia_formosa
ENSPLAP00000019445	ENSPLAG00000001577	Poecilia_latipinna
ENSPMEP00000001317	ENSPMEG00000002202	Poecilia_mexicana
ENSPREP00000016490	ENSPREG00000011151	Poecilia_reticulata
ENSCVAP00000023415	ENSCVAG00000006765	Cyprinodon_variegatus
ENSBSLP00000029846	ENSBSLG00000014817	Betta_splendens
ENSTNIP00000021861	ENSTNIG00000018684	Tetraodon_nigroviridis
ENSTRUP00000031685	ENSTRUG00000012512	Takifugu_rubripes
ENSORLP00015024848	ENSORLG00015005645	Oryzias_latipes_ASM223469v1
ENSORLP00000002586	ENSORLG00000002073	Oryzias_latipes_ASM223467v1
ENSOMEP00000021891	ENSOMEG00000001131	Oryzias_melastigma
ENSSDUP00000007418	ENSSDUG00000005448	Seriola_dumerili
ENSSLDP00000031654	ENSSLDG00000024308	Seriola_lalandi_dorsalis
ENSSMAP00000006754	ENSSMAG00000004175	Scophthalmus_maximus
ENSGACP00000014689	ENSGACG00000011099	Gasterosteus_aculeatus
ENSAPEP00000019362	ENSAPEG00000013765	Amphiprion_percula
ENSAOCP00000011211	ENSAOCG00000015503	Amphiprion_ocellaris
ENSAPOP00000027330	ENSAPOG00000000328	Acanthochromis_polyacanthus
ENSSPAP00000023437	ENSSPAG00000017643	Stegastes_partitus
ENSHBUP00000003380	ENSHBUG00000004621	Haplochromis_burtoni
ENSACLP00000002476	ENSACLG00000001714	Astatotilapia_calliptera
ENSMZEP00005003878	ENSMZEG00005002979	Maylandia_zebra
ENSNBRP00000009240	ENSNBRG00000007193	Neolamprologus_brichardi
ENSONIP00000019464	ENSONIG00000015470	Oreochromis_niloticus
ENSACIP00000015456	ENSACIG00000011991	Amphilophus_citrinellus
ENSKMAP00000023360	ENSKMAG00000017345	Kryptolebias_marmoratus
ENSLCRP00005050578	ENSLCRG00005019032	Larimichthys_crocea
ENSLCAP00010003650	ENSLCAG00010001883	Lates_calcarifer
ENSMMOP00000009877	ENSMMOG00000007649	Mola_mola
ENSPRNP00000026876	ENSPRNG00000013481	Parambassis_ranga
ENSPRNP00000026896	ENSPRNG00000013490	Parambassis_ranga
ENSMAMP00000033594	ENSMAMG00000022583	Mastacembelus_armatus
ENSATEP00000027606	ENSATEG00000019085	Anabas_testudineus
ENSMALP00000014807	ENSMALG00000010382	Monopterus_albus
ENSFHEP00000024701	ENSFHEG00000006452	Fundulus_heteroclitus
ENSAPOP00000011815	ENSAPOG00000014437	Acanthochromis_polyacanthus
ENSLBEP00000001958	ENSLBEG00000001502	Labrus_bergylta
ENSLBEP00000001860	ENSLBEG00000001452	Labrus_bergylta
ENSGMOP00000013084	ENSGMOG00000012218	Gadus_morhua
ENSLOCP00000008405	ENSLOCG00000006947	Lepisosteus_oculatus
ENSECRP00000001746	ENSECRG00000001206	Erpetoichthys_calabaricus
ENSCMIP00000000602	ENSCMIG00000000418	Callorhinchus_milii
