ENSPTIP00000024900	ENSPTIG00000020844	Panthera_tigris_altaica
ENSGAFP00000006839	ENSGAFG00000004663	Gambusia_affinis
ENSCAFP00000022241	ENSCAFG00000015088	Canis_lupus_familiaris
ENSMLEP00000018951	ENSMLEG00000033675	Mandrillus_leucophaeus
ENSPSIP00000002153	ENSPSIG00000002151	Pelodiscus_sinensis
ENSMPUP00000015645	ENSMPUG00000015754	Mustela_putorius_furo
ENSCPOP00000019552	ENSCPOG00000026098	Cavia_porcellus	ENSCPOT00000025770
ENSPTEP00000032181	ENSPTEG00000030969	Piliocolobus_tephrosceles
ENSCGOP00000028770	ENSCGOG00000013424	Cottoperca_gobio
ENSFALP00000014453	ENSFALG00000013849	Ficedula_albicollis
ENSCJAP00000079021	ENSCJAG00000054264	Callithrix_jacchus
ENSAMXP00000019320	ENSAMXG00000018766	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSSFOP00015033246	ENSSFOG00015021210	Scleropages_formosus
ENSNGAP00000022630	ENSNGAG00000021441	Nannospalax_galili
ENSDCDP00000059273	ENSDCDG00000034249	Denticeps_clupeoides
ENSNSUP00000022429	ENSNSUG00000016264	Notechis_scutatus
ENSCAPP00000015518	ENSCAPG00000015625	Cavia_aperea
ENSSDUP00000013498	ENSSDUG00000009801	Seriola_dumerili
ENSMEUP00000006477	ENSMEUG00000007096	Notamacropus_eugenii	ENSMEUT00000007111
ENSCPRP00005023542	ENSCPRG00005016350	Crocodylus_porosus
ENSPMJP00000014273	ENSPMJG00000010834	Parus_major
ENSBIXP00005009472	ENSBIXG00005001918	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSORLP00015009164	ENSORLG00015009966	Oryzias_latipes_ASM223469v1
ENSCANP00000031936	ENSCANG00000039637	Colobus_angolensis_palliatus
ENSMUNP00000004806	ENSMUNG00000003996	Melopsittacus_undulatus
ENSATEP00000024169	ENSATEG00000016769	Anabas_testudineus
ENSGAGP00000000259	ENSGAGG00000000214	Gopherus_agassizii
ENSMUNP00000000349	ENSMUNG00000000343	Melopsittacus_undulatus
ENSEEEP00000011526	ENSEEEG00000005735	Electrophorus_electricus
ENSLOCP00000002578	ENSLOCG00000002205	Lepisosteus_oculatus
ENSBMUP00000034499	ENSBMUG00000025675	Bos_mutus
ENSNBRP00000028796	ENSNBRG00000021928	Neolamprologus_brichardi
ENSUMAP00000013313	ENSUMAG00000009844	Ursus_maritimus
ENSMNEP00000041371	ENSMNEG00000043515	Macaca_nemestrina
ENSMVIP00005015437	ENSMVIG00005011116	Manacus_vitellinus
ENSNPEP00000014919	ENSNPEG00000011146	Nothoprocta_perdicaria
ENSDARP00000017762	ENSDARG00000020761	Danio_rerio
ENSSBOP00000016231	ENSSBOG00000024827	Saimiri_boliviensis_boliviensis
ENSETEP00000004507	ENSETEG00000005542	Echinops_telfairi	ENSETET00000005542
ENSVVUP00000013838	ENSVVUG00000010141	Vulpes_vulpes
ENSVPAP00000010038	ENSVPAG00000010781	Vicugna_pacos
ENSCJAP00000025811	ENSCJAG00000036002	Callithrix_jacchus
ENSHHUP00000047649	ENSHHUG00000028943	Hucho_hucho
ENSGMOP00000008119	ENSGMOG00000007586	Gadus_morhua
ENSDNVP00000017979	ENSDNVG00000012541	Dromaius_novaehollandiae
ENSSCAP00000004293	ENSSCAG00000003515	Serinus_canaria
ENSMICP00000045220	ENSMICG00000048039	Microcebus_murinus
ENSECAP00000014182	ENSECAG00000016486	Equus_caballus
ENSMOCP00000007051	ENSMOCG00000006806	Microtus_ochrogaster
ENSLCRP00005001652	ENSLCRG00005000824	Larimichthys_crocea
ENSMUSP00000002989	ENSMUSG00000002910	Mus_musculus_strain_reference_(CL57BL6)
ENSLACP00000004094	ENSLACG00000003637	Latimeria_chalumnae
ENSRBIP00000036433	ENSRBIG00000041831	Rhinopithecus_bieti
ENSTTRP00000011709	ENSTTRG00000012342	Tursiops_truncatus
ENSAPEP00000008989	ENSAPEG00000006466	Amphiprion_percula
ENSNMEP00000003373	ENSNMEG00000003946	Numida_meleagris
ENSVURP00010019439	ENSVURG00010014827	Vombatus_ursinus	ENSVURT00010022125
ENSAPLP00000020343	ENSAPLG00000030665	Anas_platyrhynchos_platyrhynchos
ENSIPUP00000020055	ENSIPUG00000013615	Ictalurus_punctatus
ENSCGRP00000018585	ENSCGRG00000013533	Cricetulus_griseus_CriGri_1.0
ENSUAMP00000017823	ENSUAMG00000014143	Ursus_americanus
ENSUPAP00010023892	ENSUPAG00010018949	Urocitellus_parryii
ENSRROP00000016623	ENSRROG00000032443	Rhinopithecus_roxellana
ENSMAUP00000022076	ENSMAUG00000019621	Mesocricetus_auratus
ENSCPGP00000020010	ENSCPGG00000014022	Calidris_pygmaea
ENSMMUP00000009711	ENSMMUG00000007401	Macaca_mulatta
ENSNLEP00000007162	ENSNLEG00000005917	Nomascus_leucogenys
MGP_CAROLIEiJ_P0084844	MGP_CAROLIEiJ_G0031169	Mus_caroli_strain_CAROLI_EIJ
ENSTGEP00000016806	ENSTGEG00000013589	Theropithecus_gelada
ENSXETP00000026471	ENSXETG00000009861	Xenopus_tropicalis
ENSPEMP00000003932	ENSPEMG00000005917	Peromyscus_maniculatus_bairdii
ENSEBUP00000001020	ENSEBUG00000000987	Eptatretus_burgeri
ENSLAFP00000019524	ENSLAFG00000026674	Loxodonta_africana
ENSBSLP00000000688	ENSBSLG00000000561	Betta_splendens
ENSSMAP00000034347	ENSSMAG00000021012	Scophthalmus_maximus
ENSOARP00000015031	ENSOARG00000014005	Ovis_aries
ENSCMIP00000010845	ENSCMIG00000005694	Callorhinchus_milii
ENSPCAP00000000239	ENSPCAG00000000266	Procavia_capensis	ENSPCAT00000000259
ENSPNAP00000027692	ENSPNAG00000002642	Pygocentrus_nattereri
ENSAPOP00000026896	ENSAPOG00000011057	Acanthochromis_polyacanthus
ENSPMGP00000025580	ENSPMGG00000020624	Periophthalmus_magnuspinnatus
ENSGWIP00000054532	ENSGWIG00000026056	Gouania_willdenowi
ENSSPUP00000012576	ENSSPUG00000009652	Sphenodon_punctatus
ENSPTRP00000018241	ENSPTRG00000010690	Pan_troglodytes
ENSCHAP00000056144	ENSCHAG00000025421	Clupea_harengus
ENSPVAP00000001931	ENSPVAG00000002043	Pteropus_vampyrus
ENSTGUP00000000421	ENSTGUG00000000411	Taeniopygia_guttata
ENSORLP00020030177	ENSORLG00020014511	Oryzias_latipes_ASM223471v1
ENSPKIP00000021609	ENSPKIG00000005934	Paramormyrops_kingsleyae
ENSCCAP00000012677	ENSCCAG00000024128	Cebus_capucinus_imitator
ENSJJAP00000021842	ENSJJAG00000022083	Jaculus_jaculus
MGP_PahariEiJ_P0047719	MGP_PahariEiJ_G0021634	Mus_pahari_strain_PAHARI_EIJ
ENSMODP00000041586	ENSMODG00000011475	Monodelphis_domestica	ENSMODT00000067655
ENSCGRP00015001888	ENSCGRG00015001544	Cricetulus_griseus_CriGri-PICR
ENSOMEP00000002849	ENSOMEG00000003802	Oryzias_melastigma
ENSSTOP00000002678	ENSSTOG00000002995	Ictidomys_tridecemlineatus
ENSABRP00000004054	ENSABRG00000003384	Anser_brachyrhynchus
ENSCVAP00000008571	ENSCVAG00000010398	Cyprinodon_variegatus
ENSMVIP00005002113	ENSMVIG00005001657	Manacus_vitellinus
ENSPPAP00000014818	ENSPPAG00000030581	Pan_paniscus
ENSAMXP00005041193	ENSAMXG00005019167	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCJPP00005014283	ENSCJPG00005011929	Coturnix_japonica
ENSBBBP00000001773	ENSBBBG00000010896	Bison_bison_bison
ENSHGLP00000004218	ENSHGLG00000003087	Heterocephalus_glaber_HetGla_female_1.0
ENSJHYP00000013236	ENSJHYG00000010279	Junco_hyemalis
ENSCCAP00000032323	ENSCCAG00000034197	Cebus_capucinus_imitator
ENSGGOP00000005678	ENSGGOG00000005798	Gorilla_gorilla
ENSRNOP00000025956	ENSRNOG00000019009	Rattus_norvegicus
ENSSSCP00000071038	ENSSSCG00000013893	Sus_scrofa_strain_reference
ENSPSMP00000036967	ENSPSMG00000025428	Prolemur_simus
ENSTRUP00000008773	ENSTRUG00000003734	Takifugu_rubripes
ENSHHUP00000024086	ENSHHUG00000015063	Hucho_hucho
ENSSPAP00000014957	ENSSPAG00000011266	Stegastes_partitus
ENSMALP00000025813	ENSMALG00000017943	Monopterus_albus
ENSMLUP00000007247	ENSMLUG00000007938	Myotis_lucifugus
ENSMFAP00000034641	ENSMFAG00000003817	Macaca_fascicularis
ENSPVIP00000023493	ENSPVIG00000017750	Pogona_vitticeps
ENSPPRP00000025356	ENSPPRG00000015630	Panthera_pardus
ENSAMEP00000011565	ENSAMEG00000010986	Ailuropoda_melanoleuca
ENSMUGP00000016514	ENSMUGG00000014156	Meriones_unguiculatus
ENSPPYP00000024419	ENSPPYG00000009728	Pongo_abelii
ENSECRP00000017350	ENSECRG00000011566	Erpetoichthys_calabaricus
ENSGALP00000054781	ENSGALG00000003527	Gallus_gallus
ENSANAP00000038645	ENSANAG00000036755	Aotus_nancymaae
ENSMAMP00000009480	ENSMAMG00000006395	Mastacembelus_armatus
ENSCSEP00000025375	ENSCSEG00000016199	Cynoglossus_semilaevis
ENSARWP00000027750	ENSARWG00000018744	Apteryx_rowi
ENSXCOP00000007443	ENSXCOG00000005739	Xiphophorus_couchianus
ENSFHEP00000030691	ENSFHEG00000016141	Fundulus_heteroclitus
ENSSHAP00000008435	ENSSHAG00000007311	Sarcophilus_harrisii
ENSPLAP00000012749	ENSPLAG00000016132	Poecilia_latipinna
ENSPMEP00000013797	ENSPMEG00000016144	Poecilia_mexicana
ENSCHIP00000003486	ENSCHIG00000007606	Capra_hircus
ENSAOCP00000002924	ENSAOCG00000006142	Amphiprion_ocellaris
ENSCCEP00000026855	ENSCCEG00000023502	Cyanistes_caeruleus
ENSHBUP00000007579	ENSHBUG00000009097	Haplochromis_burtoni
