MGP_CAROLIEiJ_P0045985	MGP_CAROLIEiJ_G0021976	Mus_caroli_strain_CAROLI_EIJ
ENSODEP00000002897	ENSODEG00000002223	Octodon_degus
ENSNSUP00000014833	ENSNSUG00000010975	Notechis_scutatus	ENSNSUT00000015789
ENSMMOP00000019956	ENSMMOG00000015156	Mola_mola
ENSGMOP00000018728	ENSGMOG00000017409	Gadus_morhua
ENSNBRP00000030694	ENSNBRG00000023344	Neolamprologus_brichardi
ENSGACP00000000746	ENSGACG00000000573	Gasterosteus_aculeatus
ENSONIP00000008257	ENSONIG00000006544	Oreochromis_niloticus
ENSSMAP00000012419	ENSSMAG00000007644	Scophthalmus_maximus
ENSMMOP00000015050	ENSMMOG00000011502	Mola_mola
ENSCGOP00000030106	ENSCGOG00000013760	Cottoperca_gobio
ENSSDAP00000005616	ENSSDAG00000005182	Spermophilus_dauricus
ENSLBEP00000001674	ENSLBEG00000001326	Labrus_bergylta
ENSMAMP00000018262	ENSMAMG00000012333	Mastacembelus_armatus
ENSORLP00020007021	ENSORLG00020007928	Oryzias_latipes_ASM223471v1
ENSAPEP00000021252	ENSAPEG00000015133	Amphiprion_percula
ENSSBOP00000005261	ENSSBOG00000019273	Saimiri_boliviensis_boliviensis
ENSACLP00000003026	ENSACLG00000002051	Astatotilapia_calliptera
ENSCJPP00005003315	ENSCJPG00005003384	Coturnix_japonica
ENSJHYP00000009940	ENSJHYG00000007828	Junco_hyemalis
ENSSCAP00000011565	ENSSCAG00000008673	Serinus_canaria
ENSDNOP00000004416	ENSDNOG00000005698	Dasypus_novemcinctus
ENSCPOP00000002273	ENSCPOG00000002494	Cavia_porcellus
ENSCMIP00000022095	ENSCMIG00000009918	Callorhinchus_milii
ENSOMEP00000000166	ENSOMEG00000023841	Oryzias_melastigma
ENSMLEP00000026188	ENSMLEG00000037215	Mandrillus_leucophaeus
ENSLCAP00010000344	ENSLCAG00010000241	Lates_calcarifer
ENSDCDP00000033574	ENSDCDG00000022569	Denticeps_clupeoides
ENSHBUP00000026331	ENSHBUG00000008928	Haplochromis_burtoni
ENSAOCP00000029470	ENSAOCG00000019803	Amphiprion_ocellaris
ENSORLP00000027888	ENSORLG00000001949	Oryzias_latipes_ASM223467v1
ENSPMJP00000006969	ENSPMJG00000005808	Parus_major
ENSBIXP00000013154	ENSBIXG00000018138	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSELUP00000006551	ENSELUG00000007428	Esox_lucius
ENSOANP00000009652	ENSOANG00000006058	Ornithorhynchus_anatinus
ENSSPUP00000007410	ENSSPUG00000005725	Sphenodon_punctatus	ENSSPUT00000007897
ENSLBEP00000025689	ENSLBEG00000019573	Labrus_bergylta
ENSMAMP00000017448	ENSMAMG00000011789	Mastacembelus_armatus
ENSBTAP00000002038	ENSBTAG00000001552	Bos_taurus
ENSMGAP00000006254	ENSMGAG00000006246	Meleagris_gallopavo
ENSPRNP00000032076	ENSPRNG00000016032	Parambassis_ranga
ENSDORP00000019562	ENSDORG00000025588	Dipodomys_ordii
ENSTRUP00000013517	ENSTRUG00000005603	Takifugu_rubripes
ENSSSCP00000035661	ENSSSCG00000011028	Sus_scrofa_strain_reference
ENSGAFP00000025084	ENSGAFG00000016918	Gambusia_affinis
ENSACIP00000026328	ENSACIG00000020388	Amphilophus_citrinellus
ENSIPUP00000023859	ENSIPUG00000016101	Ictalurus_punctatus
ENSMSIP00000022605	ENSMSIG00000019175	Mus_spicilegus
ENSMEUP00000000552	ENSMEUG00000000599	Notamacropus_eugenii
ENSTGUP00000016107	ENSTGUG00000015778	Taeniopygia_guttata
ENSDARP00000078658	ENSDARG00000060054	Danio_rerio
ENSMPUP00000012969	ENSMPUG00000013065	Mustela_putorius_furo
ENSCHOP00000011310	ENSCHOG00000012768	Choloepus_hoffmanni
ENSMLUP00000006971	ENSMLUG00000007630	Myotis_lucifugus
ENSAOWP00000007987	ENSAOWG00000005471	Apteryx_owenii	ENSAOWT00000009041
ENSRBIP00000015523	ENSRBIG00000031851	Rhinopithecus_bieti
ENSAMXP00005045860	ENSAMXG00005021124	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSJJAP00000011549	ENSJJAG00000014857	Jaculus_jaculus
MGP_SPRETEiJ_P0047913	MGP_SPRETEiJ_G0022892	Mus_spretus_strain_SPRET/EiJ
ENSPLAP00000023669	ENSPLAG00000009208	Poecilia_latipinna
ENSGAGP00000024659	ENSGAGG00000018003	Gopherus_agassizii
ENSCPUP00000028619	ENSCPUG00000019249	Calidris_pugnax
ENSNBRP00000008177	ENSNBRG00000006395	Neolamprologus_brichardi
ENSBBBP00000019469	ENSBBBG00000012832	Bison_bison_bison
ENSSDUP00000011562	ENSSDUG00000008421	Seriola_dumerili
ENSEBUP00000027326	ENSEBUG00000016750	Eptatretus_burgeri
ENSPTEP00000032586	ENSPTEG00000031278	Piliocolobus_tephrosceles
ENSCANP00000011996	ENSCANG00000029362	Colobus_angolensis_palliatus
ENSPCOP00000027242	ENSPCOG00000026087	Propithecus_coquereli
ENSMMOP00000004989	ENSMMOG00000003969	Mola_mola
ENSPFOP00000002106	ENSPFOG00000002050	Poecilia_formosa
ENSECRP00000007960	ENSECRG00000005301	Erpetoichthys_calabaricus	ENSECRT00000008086
ENSCHAP00000032054	ENSCHAG00000014987	Clupea_harengus
MGP_PahariEiJ_P0038597	MGP_PahariEiJ_G0018714	Mus_pahari_strain_PAHARI_EIJ
ENSNSUP00000002305	ENSNSUG00000001886	Notechis_scutatus	ENSNSUT00000002488
ENSELUP00000003124	ENSELUG00000004429	Esox_lucius
ENSLSDP00000002212	ENSLSDG00000001758	Lonchura_striata_domestica
ENSGGOP00000007911	ENSGGOG00000008088	Gorilla_gorilla
ENSCHIP00000002518	ENSCHIG00000005911	Capra_hircus
ENSCGRP00015035735	ENSCGRG00015026810	Cricetulus_griseus_CriGri-PICR
ENSSLDP00000033061	ENSSLDG00000025311	Seriola_lalandi_dorsalis
ENSHHUP00000069163	ENSHHUG00000040746	Hucho_hucho
ENSCABP00000004621	ENSCABG00000003476	Chelonoidis_abingdonii
ENSNLEP00000022030	ENSNLEG00000018134	Nomascus_leucogenys
ENSONIP00000018877	ENSONIG00000014994	Oreochromis_niloticus
ENSOPRP00000007699	ENSOPRG00000008412	Ochotona_princeps
ENSSTOP00000028424	ENSSTOG00000011902	Ictidomys_tridecemlineatus
ENSBMUP00000011913	ENSBMUG00000009137	Bos_mutus
ENSPREP00000032673	ENSPREG00000022140	Poecilia_reticulata
ENSCVAP00000010288	ENSCVAG00000012400	Cyprinodon_variegatus
ENSCJAP00000025135	ENSCJAG00000013637	Callithrix_jacchus
ENSMOCP00000012296	ENSMOCG00000012449	Microtus_ochrogaster
ENSNBRP00000008189	ENSNBRG00000006402	Neolamprologus_brichardi
ENSNGAP00000022097	ENSNGAG00000021089	Nannospalax_galili
ENSANAP00000011978	ENSANAG00000023928	Aotus_nancymaae
ENSCGRP00000005889	ENSCGRG00000004318	Cricetulus_griseus_CriGri_1.0
ENSSMAP00000011582	ENSSMAG00000007101	Scophthalmus_maximus
ENSAPEP00000009117	ENSAPEG00000006522	Amphiprion_percula
ENSMALP00000015714	ENSMALG00000011016	Monopterus_albus
ENSHCOP00000021678	ENSHCOG00000008724	Hippocampus_comes
ENSGWIP00000055707	ENSGWIG00000026479	Gouania_willdenowi
ENSPMAP00000005506	ENSPMAG00000005022	Petromyzon_marinus
ENSMNEP00000004834	ENSMNEG00000021935	Macaca_nemestrina
ENSXMAP00000014342	ENSXMAG00000014323	Xiphophorus_maculatus
ENSEEEP00000007166	ENSEEEG00000003757	Electrophorus_electricus
ENSKMAP00000029504	ENSKMAG00000021843	Kryptolebias_marmoratus
ENSOCUP00000017087	ENSOCUG00000000789	Oryctolagus_cuniculus
ENSCLAP00000011699	ENSCLAG00000008070	Chinchilla_lanigera
ENSORLP00020001863	ENSORLG00020002637	Oryzias_latipes_ASM223471v1
ENSOARP00000014318	ENSOARG00000013354	Ovis_aries
ENSLCAP00010056566	ENSLCAG00010026402	Lates_calcarifer
ENSAPOP00000002409	ENSAPOG00000003859	Acanthochromis_polyacanthus
ENSGACP00000002113	ENSGACG00000001615	Gasterosteus_aculeatus
ENSACAP00000006902	ENSACAG00000007015	Anolis_carolinensis	ENSACAT00000007053
ENSMODP00000009442	ENSMODG00000007604	Monodelphis_domestica
ENSCPRP00005010513	ENSCPRG00005007478	Crocodylus_porosus
ENSAPLP00000022530	ENSAPLG00000008897	Anas_platyrhynchos_platyrhynchos
ENSHHUP00000071537	ENSHHUG00000042033	Hucho_hucho
ENSCAFP00000006083	ENSCAFG00000004100	Canis_lupus_familiaris
ENSPEMP00000021730	ENSPEMG00000019284	Peromyscus_maniculatus_bairdii
ENSEBUP00000019696	ENSEBUG00000012177	Eptatretus_burgeri
ENSABRP00000000846	ENSABRG00000000910	Anser_brachyrhynchus
ENSNMEP00000008980	ENSNMEG00000008751	Numida_meleagris
ENSODEP00000002910	ENSODEG00000002234	Octodon_degus
ENSANAP00000018230	ENSANAG00000026940	Aotus_nancymaae
ENSORLP00000040597	ENSORLG00000028688	Oryzias_latipes_ASM223467v1
ENSETEP00000000349	ENSETEG00000000440	Echinops_telfairi
ENSOGAP00000016716	ENSOGAG00000026425	Otolemur_garnettii
ENSMALP00000006122	ENSMALG00000004367	Monopterus_albus
ENSEASP00005014689	ENSEASG00005010243	Equus_asinus_asinus
ENSAMXP00005049909	ENSAMXG00005022614	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSXMAP00000006258	ENSXMAG00000006236	Xiphophorus_maculatus
ENSFDAP00000016855	ENSFDAG00000005532	Fukomys_damarensis
ENSTRUP00000045807	ENSTRUG00000017859	Takifugu_rubripes
ENSLCRP00005038710	ENSLCRG00005015004	Larimichthys_crocea
ENSTSYP00000003847	ENSTSYG00000004202	Carlito_syrichta
ENSTGUP00000001019	ENSTGUG00000000995	Taeniopygia_guttata
ENSZALP00000021569	ENSZALG00000016874	Zonotrichia_albicollis
ENSPFOP00000015574	ENSPFOG00000015392	Poecilia_formosa
ENSLAFP00000009701	ENSLAFG00000011607	Loxodonta_africana
ENSSDUP00000015889	ENSSDUG00000011588	Seriola_dumerili
ENSEEUP00000007093	ENSEEUG00000007764	Erinaceus_europaeus
ENSLCRP00005060826	ENSLCRG00005022402	Larimichthys_crocea
ENSPMAP00000007404	ENSPMAG00000006713	Petromyzon_marinus
ENSCVAP00000027287	ENSCVAG00000000344	Cyprinodon_variegatus
ENSPCIP00000026687	ENSPCIG00000020008	Phascolarctos_cinereus
ENSPMGP00000018171	ENSPMGG00000014867	Periophthalmus_magnuspinnatus
ENSTRUP00000006868	ENSTRUG00000002943	Takifugu_rubripes
ENSNPEP00000006279	ENSNPEG00000004752	Nothoprocta_perdicaria	ENSNPET00000006436
ENSACLP00000015687	ENSACLG00000010682	Astatotilapia_calliptera
ENSRROP00000033308	ENSRROG00000040244	Rhinopithecus_roxellana
ENSHHUP00000071420	ENSHHUG00000041959	Hucho_hucho
ENSHHUP00000078374	ENSHHUG00000045744	Hucho_hucho
ENSGWIP00000031781	ENSGWIG00000016399	Gouania_willdenowi
ENSCSEP00000000324	ENSCSEG00000000239	Cynoglossus_semilaevis
ENSVURP00010031322	ENSVURG00010023973	Vombatus_ursinus
ENSPMEP00000006546	ENSPMEG00000008063	Poecilia_mexicana
ENSLCOP00000014652	ENSLCOG00000010497	Lepidothrix_coronata
ENSHGLP00100004042	ENSHGLG00100003083	Heterocephalus_glaber_HetGla_1.0
ENSCATP00000001039	ENSCATG00000004828	Cercocebus_atys
ENSRNOP00000019968	ENSRNOG00000014834	Rattus_norvegicus
ENSMUGP00000031840	ENSMUGG00000026467	Meriones_unguiculatus
ENSCSEP00000033656	ENSCSEG00000021593	Cynoglossus_semilaevis
ENSPLAP00000021649	ENSPLAG00000005586	Poecilia_latipinna
ENSCPGP00000002494	ENSCPGG00000001814	Calidris_pygmaea
ENSMUNP00000008803	ENSMUNG00000006964	Melopsittacus_undulatus
ENSCAFP00020033774	ENSCAFG00020026228	Canis_lupus_dingo
ENSCAFP00020033775	ENSCAFG00020026229	Canis_lupus_dingo
ENSPANP00000020108	ENSPANG00000022892	Papio_anubis
ENSHBUP00000012812	ENSHBUG00000014728	Haplochromis_burtoni
ENSMAUP00000017580	ENSMAUG00000016417	Mesocricetus_auratus
ENSSPAP00000025653	ENSSPAG00000019358	Stegastes_partitus
ENSPMGP00000015435	ENSPMGG00000012628	Periophthalmus_magnuspinnatus
ENSMZEP00005006910	ENSMZEG00005005306	Maylandia_zebra
ENSTTRP00000001432	ENSTTRG00000001517	Tursiops_truncatus
ENSPPRP00000001143	ENSPPRG00000024340	Panthera_pardus
ENSXCOP00000026641	ENSXCOG00000019896	Xiphophorus_couchianus
ENSHHUP00000015363	ENSHHUG00000009558	Hucho_hucho
ENSTNIP00000016616	ENSTNIG00000013617	Tetraodon_nigroviridis
ENSORLP00015002150	ENSORLG00015002818	Oryzias_latipes_ASM223469v1
ENSUAMP00000009954	ENSUAMG00000008227	Ursus_americanus
ENSLCAP00010059416	ENSLCAG00010027697	Lates_calcarifer
ENSPTIP00000023201	ENSPTIG00000019741	Panthera_tigris_altaica
ENSPVAP00000000030	ENSPVAG00000000030	Pteropus_vampyrus
ENSMICP00000033166	ENSMICG00000033721	Microcebus_murinus
ENSTBEP00000000128	ENSTBEG00000000154	Tupaia_belangeri
ENSAOCP00000004562	ENSAOCG00000007995	Amphiprion_ocellaris
ENSDARP00000131685	ENSDARG00000101579	Danio_rerio
ENSTNIP00000010794	ENSTNIG00000007972	Tetraodon_nigroviridis
ENSHCOP00000023253	ENSHCOG00000011627	Hippocampus_comes
ENSBSLP00000053749	ENSBSLG00000025233	Betta_splendens
ENSOMEP00000023004	ENSOMEG00000002868	Oryzias_melastigma
ENSPPAP00000018905	ENSPPAG00000032605	Pan_paniscus
ENSCHAP00000011332	ENSCHAG00000006205	Clupea_harengus
ENSNGAP00000020373	ENSNGAG00000019893	Nannospalax_galili
ENSSLDP00000005125	ENSSLDG00000004073	Seriola_lalandi_dorsalis
ENSPKIP00000033573	ENSPKIG00000013234	Paramormyrops_kingsleyae
ENSEEEP00000021781	ENSEEEG00000010595	Electrophorus_electricus
ENSUMAP00000021926	ENSUMAG00000016043	Ursus_maritimus
ENSCCNP00000017626	ENSCCNG00000017904	Castor_canadensis
ENSSMRP00000018355	ENSSMRG00000014272	Salvator_merianae	ENSSMRT00000021496
ENSFHEP00000022942	ENSFHEG00000003639	Fundulus_heteroclitus
ENSAPOP00000011261	ENSAPOG00000013858	Acanthochromis_polyacanthus
ENSPNYP00000001309	ENSPNYG00000001004	Pundamilia_nyererei
ENSAMXP00000012574	ENSAMXG00000012237	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSDCDP00000062353	ENSDCDG00000035336	Denticeps_clupeoides
ENSPKIP00000030450	ENSPKIG00000011304	Paramormyrops_kingsleyae
ENSCSAP00000007785	ENSCSAG00000011587	Chlorocebus_sabaeus
ENSMMUP00000078687	ENSMMUG00000012451	Macaca_mulatta
ENSDNVP00000007297	ENSDNVG00000005188	Dromaius_novaehollandiae	ENSDNVT00000008825
ENSARWP00000005846	ENSARWG00000004166	Apteryx_rowi	ENSARWT00000006703
ENSLACP00000004709	ENSLACG00000004189	Latimeria_chalumnae
ENSPTRP00000004091	ENSPTRG00000002410	Pan_troglodytes
ENSJJAP00000010533	ENSJJAG00000014119	Jaculus_jaculus
ENSMUSP00000028100	ENSMUSG00000024240	Mus_musculus_strain_reference_(CL57BL6)
ENSGMOP00000017560	ENSGMOG00000016358	Gadus_morhua
ENSSARP00000007994	ENSSARG00000008826	Sorex_araneus
ENSFCAP00000048606	ENSFCAG00000023583	Felis_catus
ENSMZEP00005026341	ENSMZEG00005019649	Maylandia_zebra
ENSAMEP00000010891	ENSAMEG00000010349	Ailuropoda_melanoleuca
ENSFALP00000007419	ENSFALG00000007109	Ficedula_albicollis
ENSATEP00000032819	ENSATEG00000022602	Anabas_testudineus
ENSSPAP00000024952	ENSSPAG00000018840	Stegastes_partitus
ENSEEEP00000043694	ENSEEEG00000020658	Electrophorus_electricus
ENSVVUP00000005935	ENSVVUG00000004635	Vulpes_vulpes
ENSVPAP00000000454	ENSVPAG00000000485	Vicugna_pacos
ENSMAUP00000016342	ENSMAUG00000015511	Mesocricetus_auratus
ENSXETP00000040715	ENSXETG00000010392	Xenopus_tropicalis
ENSMVIP00005011297	ENSMVIG00005008276	Manacus_vitellinus
ENSKMAP00000029311	ENSKMAG00000021711	Kryptolebias_marmoratus
ENSPLAP00000031068	ENSPLAG00000022757	Poecilia_latipinna
ENSNVIP00000000811	ENSNVIG00000000608	Neovison_vison
ENSUAMP00000007143	ENSUAMG00000006225	Ursus_americanus
ENSGAFP00000001013	ENSGAFG00000000695	Gambusia_affinis
ENSECAP00000022208	ENSECAG00000024648	Equus_caballus
ENSMOCP00000000581	ENSMOCG00000000443	Microtus_ochrogaster
ENSDORP00000017593	ENSDORG00000030026	Dipodomys_ordii
ENSCAPP00000003749	ENSCAPG00000006427	Cavia_aperea
ENSPPYP00000002555	ENSPPYG00000002193	Pongo_abelii
ENSIPUP00000015798	ENSIPUG00000010736	Ictalurus_punctatus
ENSHGLP00000026345	ENSHGLG00000018745	Heterocephalus_glaber_HetGla_female_1.0
ENSPNAP00000030317	ENSPNAG00000016937	Pygocentrus_nattereri
