ENSSPUP00000023599	ENSSPUG00000018095	Sphenodon_punctatus	ENSSPUT00000025174
ENSMLEP00000012140	ENSMLEG00000030219	Mandrillus_leucophaeus
ENSETEP00000002771	ENSETEG00000003372	Echinops_telfairi
ENSTSYP00000032506	ENSTSYG00000034793	Carlito_syrichta
ENSPNAP00000011675	ENSPNAG00000017465	Pygocentrus_nattereri
ENSEEEP00000025253	ENSEEEG00000012252	Electrophorus_electricus
ENSCLAP00000016639	ENSCLAG00000011432	Chinchilla_lanigera
ENSAOCP00000006111	ENSAOCG00000009808	Amphiprion_ocellaris
ENSFDAP00000018346	ENSFDAG00000009910	Fukomys_damarensis
ENSCSEP00000005902	ENSCSEG00000003794	Cynoglossus_semilaevis
ENSSLDP00000000564	ENSSLDG00000000412	Seriola_lalandi_dorsalis
ENSAOCP00000020485	ENSAOCG00000004661	Amphiprion_ocellaris
ENSNLEP00000018418	ENSNLEG00000015158	Nomascus_leucogenys
ENSSMAP00000024496	ENSSMAG00000014868	Scophthalmus_maximus
ENSLBEP00000025793	ENSLBEG00000019678	Labrus_bergylta
ENSORLP00000034970	ENSORLG00000002020	Oryzias_latipes_ASM223467v1
ENSCGOP00000003748	ENSCGOG00000001989	Cottoperca_gobio
ENSGACP00000018824	ENSGACG00000014253	Gasterosteus_aculeatus
ENSFCAP00000056242	ENSFCAG00000026860	Felis_catus
ENSCGRP00000019676	ENSCGRG00000014332	Cricetulus_griseus_CriGri_1.0
ENSPMEP00000022133	ENSPMEG00000002865	Poecilia_mexicana
ENSLOCP00000000187	ENSLOCG00000000168	Lepisosteus_oculatus
ENSRNOP00000036263	ENSRNOG00000025518	Rattus_norvegicus
ENSORLP00015001174	ENSORLG00015001765	Oryzias_latipes_ASM223469v1
ENSGWIP00000039183	ENSGWIG00000019936	Gouania_willdenowi
ENSBBBP00000014387	ENSBBBG00000022145	Bison_bison_bison
ENSMPUP00000006210	ENSMPUG00000006264	Mustela_putorius_furo
ENSSTOP00000006719	ENSSTOG00000007478	Ictidomys_tridecemlineatus
ENSRROP00000031183	ENSRROG00000039285	Rhinopithecus_roxellana
ENSIPUP00000012650	ENSIPUG00000008579	Ictalurus_punctatus
ENSAPOP00000025986	ENSAPOG00000009596	Acanthochromis_polyacanthus
ENSBIXP00000039417	ENSBIXG00000004616	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMLUP00000008729	ENSMLUG00000009535	Myotis_lucifugus
ENSNGAP00000005703	ENSNGAG00000008140	Nannospalax_galili
ENSCVAP00000023204	ENSCVAG00000006424	Cyprinodon_variegatus
ENSLCAP00010015692	ENSLCAG00010007454	Lates_calcarifer
ENSCAFP00020005893	ENSCAFG00020004716	Canis_lupus_dingo
ENSBIXP00005024354	ENSBIXG00005026954	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSBOP00000023035	ENSSBOG00000027988	Saimiri_boliviensis_boliviensis
ENSMUGP00000009283	ENSMUGG00000008251	Meriones_unguiculatus
ENSTNIP00000004636	ENSTNIG00000007951	Tetraodon_nigroviridis
ENSTNIP00000020784	ENSTNIG00000017636	Tetraodon_nigroviridis
ENSDARP00000144560	ENSDARG00000086990	Danio_rerio
ENSPMEP00000025811	ENSPMEG00000000608	Poecilia_mexicana
ENSCAPP00000016496	ENSCAPG00000016352	Cavia_aperea
ENSUAMP00000031222	ENSUAMG00000023954	Ursus_americanus
ENSPFOP00000027826	ENSPFOG00000024473	Poecilia_formosa
ENSFHEP00000000407	ENSFHEG00000001131	Fundulus_heteroclitus
ENSCCAP00000027434	ENSCCAG00000031515	Cebus_capucinus_imitator
ENSNVIP00000028368	ENSNVIG00000021872	Neovison_vison
ENSGACP00000018937	ENSGACG00000014346	Gasterosteus_aculeatus
ENSSDUP00000031613	ENSSDUG00000022698	Seriola_dumerili
ENSSPAP00000021272	ENSSPAG00000015972	Stegastes_partitus
ENSONIP00000011428	ENSONIG00000009088	Oreochromis_niloticus
ENSGMOP00000013800	ENSGMOG00000012889	Gadus_morhua
ENSORLP00015003795	ENSORLG00015004566	Oryzias_latipes_ASM223469v1
ENSBMUP00000033111	ENSBMUG00000024728	Bos_mutus
ENSSLDP00000013194	ENSSLDG00000010501	Seriola_lalandi_dorsalis
ENSEEEP00000026292	ENSEEEG00000012717	Electrophorus_electricus
ENSODEP00000003227	ENSODEG00000002479	Octodon_degus
ENSGAGP00000001537	ENSGAGG00000001208	Gopherus_agassizii	ENSGAGT00000001753
ENSLCAP00010013239	ENSLCAG00010006207	Lates_calcarifer
ENSJJAP00000008317	ENSJJAG00000012478	Jaculus_jaculus
ENSVVUP00000040918	ENSVVUG00000029110	Vulpes_vulpes
ENSGAFP00000028705	ENSGAFG00000019399	Gambusia_affinis
ENSHBUP00000002257	ENSHBUG00000003522	Haplochromis_burtoni
ENSMALP00000015072	ENSMALG00000010536	Monopterus_albus
ENSGAFP00000020861	ENSGAFG00000014068	Gambusia_affinis
ENSCJAP00000013788	ENSCJAG00000007382	Callithrix_jacchus
ENSPMGP00000025196	ENSPMGG00000020353	Periophthalmus_magnuspinnatus
ENSOANP00000032495	ENSOANG00000028513	Ornithorhynchus_anatinus
ENSCCNP00000005698	ENSCCNG00000006004	Castor_canadensis
ENSAMXP00005048860	ENSAMXG00005022263	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMAUP00000025618	ENSMAUG00000022089	Mesocricetus_auratus
ENSIPUP00000010438	ENSIPUG00000007075	Ictalurus_punctatus
ENSHGLP00100023213	ENSHGLG00100017057	Heterocephalus_glaber_HetGla_1.0
ENSOMEP00000029726	ENSOMEG00000013557	Oryzias_melastigma
ENSSMAP00000024531	ENSSMAG00000014915	Scophthalmus_maximus
ENSSMRP00000004903	ENSSMRG00000004027	Salvator_merianae	ENSSMRT00000005785
ENSNSUP00000023419	ENSNSUG00000016945	Notechis_scutatus
ENSPLAP00000014750	ENSPLAG00000018589	Poecilia_latipinna
ENSCATP00000015900	ENSCATG00000031871	Cercocebus_atys
ENSDORP00000011194	ENSDORG00000011909	Dipodomys_ordii
ENSHCOP00000012473	ENSHCOG00000015525	Hippocampus_comes
ENSPNAP00000008825	ENSPNAG00000014413	Pygocentrus_nattereri
ENSGGOP00000015565	ENSGGOG00000015944	Gorilla_gorilla
ENSACIP00000005932	ENSACIG00000004617	Amphilophus_citrinellus
ENSTBEP00000011772	ENSTBEG00000013520	Tupaia_belangeri
ENSAPOP00000019489	ENSAPOG00000023014	Acanthochromis_polyacanthus
ENSORLP00020007509	ENSORLG00020008432	Oryzias_latipes_ASM223471v1
ENSPRNP00000043352	ENSPRNG00000021144	Parambassis_ranga
ENSCPOP00000009784	ENSCPOG00000010892	Cavia_porcellus
ENSSHAP00000019477	ENSSHAG00000016540	Sarcophilus_harrisii
ENSSLDP00000013162	ENSSLDG00000010446	Seriola_lalandi_dorsalis
ENSHHUP00000051031	ENSHHUG00000030726	Hucho_hucho
ENSMZEP00005034501	ENSMZEG00005025777	Maylandia_zebra
ENSOARP00000020687	ENSOARG00000019255	Ovis_aries
ENSMMOP00000008877	ENSMMOG00000006856	Mola_mola
ENSMEUP00000007390	ENSMEUG00000008057	Notamacropus_eugenii
ENSMMMP00000014397	ENSMMMG00000012792	Marmota_marmota_marmota
ENSGALP00000052659	ENSGALG00000038527	Gallus_gallus
ENSMSIP00000016894	ENSMSIG00000014393	Mus_spicilegus
ENSXCOP00000011518	ENSXCOG00000008695	Xiphophorus_couchianus
ENSCGRP00001021072	ENSCGRG00001019971	Cricetulus_griseus_CHOK1GS_HDv1
ENSPTEP00000002043	ENSPTEG00000002327	Piliocolobus_tephrosceles
ENSOGAP00000012522	ENSOGAG00000013985	Otolemur_garnettii
ENSHHUP00000061197	ENSHHUG00000036236	Hucho_hucho
ENSAMEP00000017503	ENSAMEG00000016550	Ailuropoda_melanoleuca
ENSPCOP00000002069	ENSPCOG00000006244	Propithecus_coquereli
ENSUPAP00010012427	ENSUPAG00010010070	Urocitellus_parryii
ENSPPYP00000006454	ENSPPYG00000005676	Pongo_abelii
ENSBSLP00000016198	ENSBSLG00000008401	Betta_splendens
ENSDCDP00000034060	ENSDCDG00000023086	Denticeps_clupeoides
ENSOANP00000027428	ENSOANG00000021539	Ornithorhynchus_anatinus
ENSECAP00000049963	ENSECAG00000008025	Equus_caballus
ENSGWIP00000025277	ENSGWIG00000013122	Gouania_willdenowi
ENSMMOP00000016626	ENSMMOG00000012658	Mola_mola
ENSXMAP00000021565	ENSXMAG00000006023	Xiphophorus_maculatus
ENSHGLP00000006255	ENSHGLG00000004564	Heterocephalus_glaber_HetGla_female_1.0
ENSPNYP00000025932	ENSPNYG00000019499	Pundamilia_nyererei
ENSACLP00000021976	ENSACLG00000014832	Astatotilapia_calliptera
ENSMZEP00005026905	ENSMZEG00005020068	Maylandia_zebra
ENSPPRP00000015258	ENSPPRG00000007936	Panthera_pardus
