ENSPPAP00000034556	ENSPPAG00000040120	Pan_paniscus
ENSGAGP00000035710	ENSGAGG00000025357	Gopherus_agassizii
ENSCPBP00000021329	ENSCPBG00000015331	Chrysemys_picta_bellii
ENSPSIP00000009742	ENSPSIG00000008808	Pelodiscus_sinensis
ENSCPRP00005010848	ENSCPRG00005007749	Crocodylus_porosus
ENSSPUP00000011080	ENSSPUG00000008498	Sphenodon_punctatus
ENSACAP00000008832	ENSACAG00000009022	Anolis_carolinensis
ENSPVIP00000024506	ENSPVIG00000018364	Pogona_vitticeps
ENSNSUP00000015164	ENSNSUG00000011206	Notechis_scutatus
ENSSMRP00000027857	ENSSMRG00000021457	Salvator_merianae
ENSHHUP00000014429	ENSHHUG00000008937	Hucho_hucho
ENSHHUP00000027482	ENSHHUG00000017431	Hucho_hucho
ENSPVIP00000024528	ENSPVIG00000018462	Pogona_vitticeps
ENSARWP00000003977	ENSARWG00000002930	Apteryx_rowi	ENSARWT00000004612
ENSAHAP00000002522	ENSAHAG00000001991	Apteryx_haastii	ENSAHAT00000002863
ENSAOWP00000001720	ENSAOWG00000001200	Apteryx_owenii	ENSAOWT00000001950
ENSDNVP00000012077	ENSDNVG00000008515	Dromaius_novaehollandiae
ENSAPLP00000007823	ENSAPLG00000008162	Anas_platyrhynchos_platyrhynchos
ENSABRP00000014160	ENSABRG00000012480	Anser_brachyrhynchus
ENSMGAP00000013226	ENSMGAG00000012556	Meleagris_gallopavo
ENSCJPP00005005807	ENSCJPG00005005492	Coturnix_japonica
ENSGALP00000053516	ENSGALG00000043787	Gallus_gallus
ENSNMEP00000008248	ENSNMEG00000008082	Numida_meleagris
ENSPMJP00000014838	ENSPMJG00000011253	Parus_major
ENSCCEP00000008116	ENSCCEG00000008431	Cyanistes_caeruleus
ENSLSDP00000004515	ENSLSDG00000003516	Lonchura_striata_domestica
ENSTGUP00000012749	ENSTGUG00000012381	Taeniopygia_guttata
ENSJHYP00000008749	ENSJHYG00000006940	Junco_hyemalis
ENSZALP00000017408	ENSZALG00000014065	Zonotrichia_albicollis
ENSFALP00000002482	ENSFALG00000002385	Ficedula_albicollis
ENSSCAP00000009211	ENSSCAG00000007032	Serinus_canaria
ENSMVIP00005017771	ENSMVIG00005012663	Manacus_vitellinus
ENSLCOP00000014256	ENSLCOG00000010231	Lepidothrix_coronata
ENSMUNP00000022205	ENSMUNG00000016702	Melopsittacus_undulatus
ENSCPUP00000010884	ENSCPUG00000007717	Calidris_pugnax
ENSCPGP00000016537	ENSCPGG00000011613	Calidris_pygmaea
ENSGAGP00000003357	ENSGAGG00000002711	Gopherus_agassizii
ENSNSUP00000002257	ENSNSUG00000001896	Notechis_scutatus
ENSNPEP00000015147	ENSNPEG00000011265	Nothoprocta_perdicaria
ENSHHUP00000065625	ENSHHUG00000038749	Hucho_hucho
ENSHHUP00000008110	ENSHHUG00000004979	Hucho_hucho
ENSPMEP00000006664	ENSPMEG00000008205	Poecilia_mexicana
ENSPKIP00000000287	ENSPKIG00000019001	Paramormyrops_kingsleyae
ENSSFOP00015007590	ENSSFOG00015004956	Scleropages_formosus
ENSPKIP00000009623	ENSPKIG00000024652	Paramormyrops_kingsleyae
ENSELUP00000042277	ENSELUG00000023449	Esox_lucius
ENSHHUP00000014436	ENSHHUG00000008940	Hucho_hucho
ENSTRUP00000031589	ENSTRUG00000012469	Takifugu_rubripes
ENSTNIP00000012522	ENSTNIG00000009645	Tetraodon_nigroviridis
ENSBSLP00000049357	ENSBSLG00000023466	Betta_splendens
ENSCGOP00000020914	ENSCGOG00000010119	Cottoperca_gobio
ENSGACP00000009380	ENSGACG00000007081	Gasterosteus_aculeatus
ENSLCRP00005015162	ENSLCRG00005006448	Larimichthys_crocea
ENSAPEP00000027353	ENSAPEG00000019438	Amphiprion_percula
ENSAOCP00000028869	ENSAOCG00000018807	Amphiprion_ocellaris
ENSAPOP00000023178	ENSAPOG00000004815	Acanthochromis_polyacanthus
ENSSPAP00000029957	ENSSPAG00000022529	Stegastes_partitus
ENSGWIP00000038351	ENSGWIG00000019637	Gouania_willdenowi
ENSPNYP00000006240	ENSPNYG00000004816	Pundamilia_nyererei
ENSACLP00000019251	ENSACLG00000013080	Astatotilapia_calliptera
ENSMZEP00005018123	ENSMZEG00005013618	Maylandia_zebra
ENSHBUP00000029455	ENSHBUG00000013888	Haplochromis_burtoni
ENSNBRP00000029010	ENSNBRG00000022094	Neolamprologus_brichardi
ENSONIP00000008597	ENSONIG00000006812	Oreochromis_niloticus
ENSGAFP00000003156	ENSGAFG00000002169	Gambusia_affinis
ENSXMAP00000036678	ENSXMAG00000010825	Xiphophorus_maculatus
ENSPFOP00000011466	ENSPFOG00000011332	Poecilia_formosa
ENSPFOP00000011292	ENSPFOG00000011294	Poecilia_formosa
ENSPMEP00000008825	ENSPMEG00000010615	Poecilia_mexicana
ENSPLAP00000008994	ENSPLAG00000011668	Poecilia_latipinna
ENSPREP00000013821	ENSPREG00000009382	Poecilia_reticulata
ENSFHEP00000001079	ENSFHEG00000001836	Fundulus_heteroclitus
ENSCVAP00000016740	ENSCVAG00000019760	Cyprinodon_variegatus
ENSKMAP00000028230	ENSKMAG00000020928	Kryptolebias_marmoratus
ENSORLP00000041626	ENSORLG00000004604	Oryzias_latipes_ASM223467v1
ENSORLP00015007313	ENSORLG00015008148	Oryzias_latipes_ASM223469v1
ENSORLP00020000062	ENSORLG00020022621	Oryzias_latipes_ASM223471v1
ENSOMEP00000010271	ENSOMEG00000011556	Oryzias_melastigma
ENSMAMP00000035698	ENSMAMG00000023989	Mastacembelus_armatus
ENSMALP00000011186	ENSMALG00000007949	Monopterus_albus
ENSATEP00000034733	ENSATEG00000023870	Anabas_testudineus
ENSSLDP00000021855	ENSSLDG00000017059	Seriola_lalandi_dorsalis
ENSSDUP00000022896	ENSSDUG00000016646	Seriola_dumerili
ENSSMAP00000003974	ENSSMAG00000002445	Scophthalmus_maximus
ENSACIP00000014150	ENSACIG00000011002	Amphilophus_citrinellus
ENSPRNP00000045291	ENSPRNG00000021952	Parambassis_ranga
ENSLCAP00010011044	ENSLCAG00010005241	Lates_calcarifer
ENSLBEP00000008406	ENSLBEG00000006472	Labrus_bergylta
ENSMMOP00000011634	ENSMMOG00000008942	Mola_mola
ENSPMGP00000028236	ENSPMGG00000022734	Periophthalmus_magnuspinnatus
ENSCSEP00000008076	ENSCSEG00000005169	Cynoglossus_semilaevis
ENSHCOP00000009488	ENSHCOG00000011939	Hippocampus_comes
ENSGMOP00000014659	ENSGMOG00000013707	Gadus_morhua
ENSHHUP00000017215	ENSHHUG00000010737	Hucho_hucho
ENSHHUP00000065162	ENSHHUG00000038481	Hucho_hucho
ENSPFOP00000027087	ENSPFOG00000024352	Poecilia_formosa
ENSCHAP00000015384	ENSCHAG00000008201	Clupea_harengus
ENSDCDP00000037741	ENSDCDG00000025350	Denticeps_clupeoides
ENSIPUP00000013020	ENSIPUG00000008868	Ictalurus_punctatus
ENSEEEP00000026880	ENSEEEG00000012975	Electrophorus_electricus
ENSPNAP00000000152	ENSPNAG00000007317	Pygocentrus_nattereri
ENSAMXP00000036304	ENSAMXG00000042482	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSDARP00000123498	ENSDARG00000040930	Danio_rerio
ENSLOCP00000011202	ENSLOCG00000009183	Lepisosteus_oculatus
ENSLACP00000013774	ENSLACG00000012127	Latimeria_chalumnae
ENSCMIP00000024675	ENSCMIG00000010920	Callorhinchus_milii
ENSEBUP00000005468	ENSEBUG00000003676	Eptatretus_burgeri
ENSPMAP00000006459	ENSPMAG00000005864	Petromyzon_marinus
