ENSPNYP00000026522	ENSPNYG00000019946	Pundamilia_nyererei
ENSCAFP00000052521	ENSCAFG00000010388	Canis_lupus_familiaris
ENSTRUP00000016345	ENSTRUG00000006650	Takifugu_rubripes
ENSSBOP00000005809	ENSSBOG00000019773	Saimiri_boliviensis_boliviensis
ENSGALP00000006591	ENSGALG00000004153	Gallus_gallus
ENSCPBP00000019489	ENSCPBG00000014079	Chrysemys_picta_bellii
ENSORLP00015010669	ENSORLG00015011487	Oryzias_latipes_ASM223469v1
ENSCSAP00000005682	ENSCSAG00000009433	Chlorocebus_sabaeus
ENSCPUP00000005831	ENSCPUG00000004266	Calidris_pugnax
ENSPPRP00000000112	ENSPPRG00000025032	Panthera_pardus
ENSMALP00000017914	ENSMALG00000012470	Monopterus_albus
ENSAHAP00000024732	ENSAHAG00000017028	Apteryx_haastii
ENSONIP00000004339	ENSONIG00000003446	Oreochromis_niloticus
ENSSCAP00000010818	ENSSCAG00000008149	Serinus_canaria	ENSSCAT00000012218
ENSCCAP00000017698	ENSCCAG00000026674	Cebus_capucinus_imitator
ENSCPRP00005013556	ENSCPRG00005009582	Crocodylus_porosus
ENSMAUP00000020709	ENSMAUG00000018638	Mesocricetus_auratus
ENSECRP00000020051	ENSECRG00000013464	Erpetoichthys_calabaricus
ENSPMEP00000027436	ENSPMEG00000011808	Poecilia_mexicana
ENSFDAP00000003597	ENSFDAG00000013005	Fukomys_damarensis
ENSSLDP00000019597	ENSSLDG00000015331	Seriola_lalandi_dorsalis
ENSPKIP00000006342	ENSPKIG00000022645	Paramormyrops_kingsleyae
ENSGWIP00000031852	ENSGWIG00000016430	Gouania_willdenowi
ENSBMUP00000013757	ENSBMUG00000010489	Bos_mutus
ENSPMEP00000015862	ENSPMEG00000018476	Poecilia_mexicana
ENSTNIP00000005995	ENSTNIG00000003408	Tetraodon_nigroviridis
ENSDARP00000137823	ENSDARG00000101378	Danio_rerio
ENSCLAP00000023463	ENSCLAG00000016090	Chinchilla_lanigera
ENSPANP00000001788	ENSPANG00000011530	Papio_anubis
ENSMMOP00000020147	ENSMMOG00000015311	Mola_mola
ENSRROP00000007111	ENSRROG00000026981	Rhinopithecus_roxellana
ENSDNVP00000018601	ENSDNVG00000012961	Dromaius_novaehollandiae
ENSACLP00000000537	ENSACLG00000000412	Astatotilapia_calliptera
ENSCVAP00000015840	ENSCVAG00000018739	Cyprinodon_variegatus
ENSDCDP00000053033	ENSDCDG00000031887	Denticeps_clupeoides
ENSAPEP00000004366	ENSAPEG00000003083	Amphiprion_percula
ENSAMXP00000035136	ENSAMXG00000033181	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCHAP00000057819	ENSCHAG00000026058	Clupea_harengus
FBpp0073675	FBgn0030512	Drosophila_melanogaster
ENSPVAP00000012348	ENSPVAG00000013090	Pteropus_vampyrus
ENSIPUP00000029192	ENSIPUG00000019689	Ictalurus_punctatus
ENSPSMP00000016522	ENSPSMG00000011720	Prolemur_simus
ENSXETP00000025946	ENSXETG00000010096	Xenopus_tropicalis
ENSAMXP00000010043	ENSAMXG00000009740	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSXCOP00000019958	ENSXCOG00000014986	Xiphophorus_couchianus
ENSODEP00000023932	ENSODEG00000017514	Octodon_degus
ENSACIP00000010524	ENSACIG00000008223	Amphilophus_citrinellus
ENSAOCP00000003358	ENSAOCG00000006673	Amphiprion_ocellaris
ENSHHUP00000034601	ENSHHUG00000021759	Hucho_hucho
ENSPCIP00000025432	ENSPCIG00000019137	Phascolarctos_cinereus
ENSMPUP00000004864	ENSMPUG00000004904	Mustela_putorius_furo
ENSBSLP00000010775	ENSBSLG00000005479	Betta_splendens
ENSMOCP00000016103	ENSMOCG00000015097	Microtus_ochrogaster
ENSPRNP00000023411	ENSPRNG00000011166	Parambassis_ranga
ENSNLEP00000013084	ENSNLEG00000010685	Nomascus_leucogenys
ENSSMRP00000004843	ENSSMRG00000003982	Salvator_merianae
ENSAMXP00005054150	ENSAMXG00005024198	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSLOCP00000006059	ENSLOCG00000005029	Lepisosteus_oculatus
ENSMLUP00000016175	ENSMLUG00000017731	Myotis_lucifugus
ENSCPOP00000013656	ENSCPOG00000015147	Cavia_porcellus
C24F3.4a.1	WBGene00007698	Caenorhabditis_elegans_strain_N2
ENSDNOP00000003403	ENSDNOG00000004407	Dasypus_novemcinctus
ENSPCIP00000016140	ENSPCIG00000012494	Phascolarctos_cinereus
ENSNVIP00000012543	ENSNVIG00000009952	Neovison_vison
ENSSPUP00000016022	ENSSPUG00000012371	Sphenodon_punctatus
ENSSHAP00000008619	ENSSHAG00000007467	Sarcophilus_harrisii
ENSCCEP00000007271	ENSCCEG00000007664	Cyanistes_caeruleus
ENSCATP00000012969	ENSCATG00000030630	Cercocebus_atys
ENSANAP00000021780	ENSANAG00000028675	Aotus_nancymaae
ENSOARP00000001647	ENSOARG00000001571	Ovis_aries
ENSSTOP00000001367	ENSSTOG00000001522	Ictidomys_tridecemlineatus
ENSUPAP00010027422	ENSUPAG00010021674	Urocitellus_parryii
ENSSMAP00000027301	ENSSMAG00000016657	Scophthalmus_maximus
ENSOMEP00000001566	ENSOMEG00000002492	Oryzias_melastigma
ENSTRUP00000050190	ENSTRUG00000024570	Takifugu_rubripes
ENSCGRP00000000248	ENSCGRG00000000241	Cricetulus_griseus_CriGri_1.0
ENSJHYP00000006567	ENSJHYG00000005285	Junco_hyemalis	ENSJHYT00000008016
ENSMLEP00000040860	ENSMLEG00000044446	Mandrillus_leucophaeus
ENSGGOP00000006413	ENSGGOG00000006551	Gorilla_gorilla
ENSSSCP00000063495	ENSSSCG00000012859	Sus_scrofa_strain_reference
ENSELUP00000022212	ENSELUG00000021225	Esox_lucius
ENSTTRP00000005492	ENSTTRG00000005810	Tursiops_truncatus
ENSHCOP00000017546	ENSHCOG00000001454	Hippocampus_comes
ENSORLP00000024320	ENSORLG00000019547	Oryzias_latipes_ASM223467v1
ENSLCOP00000016356	ENSLCOG00000011656	Lepidothrix_coronata
ENSCGRP00015029386	ENSCGRG00015022118	Cricetulus_griseus_CriGri-PICR
ENSAPOP00000006013	ENSAPOG00000007854	Acanthochromis_polyacanthus
ENSFCAP00000059624	ENSFCAG00000004116	Felis_catus
ENSPTIP00000005438	ENSPTIG00000007665	Panthera_tigris_altaica
YHR074W_mRNA	YHR074W	Saccharomyces_cerevisiae_strain_S288C
ENSXMAP00000037063	ENSXMAG00000022550	Xiphophorus_maculatus
ENSSDUP00000018900	ENSSDUG00000013776	Seriola_dumerili
ENSOGAP00000001112	ENSOGAG00000001243	Otolemur_garnettii
ENSDORP00000024739	ENSDORG00000014370	Dipodomys_ordii
ENSNVIP00000011049	ENSNVIG00000008754	Neovison_vison
ENSJJAP00000008259	ENSJJAG00000012419	Jaculus_jaculus
ENSCSEP00000011755	ENSCSEG00000007556	Cynoglossus_semilaevis
ENSLAFP00000020086	ENSLAFG00000030417	Loxodonta_africana
ENSEEEP00000038481	ENSEEEG00000018007	Electrophorus_electricus
ENSMMUP00000069835	ENSMMUG00000011977	Macaca_mulatta
ENSPMEP00000024300	ENSPMEG00000000603	Poecilia_mexicana
ENSHBUP00000034540	ENSHBUG00000022195	Haplochromis_burtoni
ENSECAP00000021169	ENSECAG00000023476	Equus_caballus
ENSPMJP00000009724	ENSPMJG00000007755	Parus_major
ENSGAGP00000013236	ENSGAGG00000010136	Gopherus_agassizii
ENSCABP00000008988	ENSCABG00000006733	Chelonoidis_abingdonii
ENSARWP00000009569	ENSARWG00000006612	Apteryx_rowi
ENSMAMP00000017135	ENSMAMG00000011586	Mastacembelus_armatus
ENSFALP00000009197	ENSFALG00000008807	Ficedula_albicollis
ENSHGLP00000014654	ENSHGLG00000010490	Heterocephalus_glaber_HetGla_female_1.0
ENSMZEP00005003293	ENSMZEG00005002498	Maylandia_zebra
ENSAOWP00000001217	ENSAOWG00000000766	Apteryx_owenii
ENSBBBP00000003587	ENSBBBG00000006985	Bison_bison_bison
ENSATEP00000018638	ENSATEG00000012923	Anabas_testudineus
ENSTBEP00000011378	ENSTBEG00000013118	Tupaia_belangeri
ENSMMMP00000004629	ENSMMMG00000004190	Marmota_marmota_marmota
ENSPTEP00000006336	ENSPTEG00000007257	Piliocolobus_tephrosceles
ENSMODP00000015129	ENSMODG00000007384	Monodelphis_domestica
ENSMICP00000041553	ENSMICG00000017100	Microcebus_murinus
ENSGACP00000019180	ENSGACG00000014530	Gasterosteus_aculeatus
ENSXCOP00000004920	ENSXCOG00000003857	Xiphophorus_couchianus
ENSPLAP00000025015	ENSPLAG00000011707	Poecilia_latipinna
ENSNGAP00000001018	ENSNGAG00000000715	Nannospalax_galili
ENSPNAP00000033449	ENSPNAG00000022104	Pygocentrus_nattereri
ENSHGLP00100010800	ENSHGLG00100008016	Heterocephalus_glaber_HetGla_1.0
ENSPREP00000033012	ENSPREG00000022367	Poecilia_reticulata
ENSUAMP00000024949	ENSUAMG00000019442	Ursus_americanus
ENSFHEP00000030038	ENSFHEG00000015241	Fundulus_heteroclitus
ENSUMAP00000009271	ENSUMAG00000007007	Ursus_maritimus
ENSNBRP00000001593	ENSNBRG00000001182	Neolamprologus_brichardi
ENSMUSP00000033415	ENSMUSG00000031090	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000034977	ENSMSIG00000029170	Mus_spicilegus
ENSZALP00000006564	ENSZALG00000005794	Zonotrichia_albicollis	ENSZALT00000009546
ENSPVIP00000016931	ENSPVIG00000013067	Pogona_vitticeps
ENSRBIP00000032635	ENSRBIG00000040100	Rhinopithecus_bieti
ENSRNOP00000028175	ENSRNOG00000020736	Rattus_norvegicus
ENSCGRP00001006855	ENSCGRG00001009314	Cricetulus_griseus_CHOK1GS_HDv1
ENSEASP00005015905	ENSEASG00005011055	Equus_asinus_asinus
ENSACAP00000015645	ENSACAG00000015847	Anolis_carolinensis
ENSLACP00000017676	ENSLACG00000015568	Latimeria_chalumnae
ENSSPAP00000011936	ENSSPAG00000009042	Stegastes_partitus
ENSLBEP00000038433	ENSLBEG00000028647	Labrus_bergylta
ENSPPYP00000003421	ENSPPYG00000002948	Pongo_abelii
ENSPTRP00000070011	ENSPTRG00000004014	Pan_troglodytes
ENSMGAP00000001996	ENSMGAG00000002415	Meleagris_gallopavo
MGP_CAROLIEiJ_P0083501	MGP_CAROLIEiJ_G0030749	Mus_caroli_strain_CAROLI_EIJ
ENSPPAP00000000446	ENSPPAG00000001380	Pan_paniscus
ENSSPUP00000017648	ENSSPUG00000013614	Sphenodon_punctatus
ENSBIXP00000029290	ENSBIXG00000010861	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSGMOP00000000358	ENSGMOG00000000357	Gadus_morhua
ENSCHIP00000003484	ENSCHIG00000007275	Capra_hircus
ENSEBUP00000005918	ENSEBUG00000003929	Eptatretus_burgeri
ENSBTAP00000074390	ENSBTAG00000016470	Bos_taurus
ENSPMGP00000004463	ENSPMGG00000003765	Periophthalmus_magnuspinnatus
