ENSSDUP00000012125	ENSSDUG00000008829	Seriola_dumerili
ENSMUSP00000136147	ENSMUSG00000095139	Mus_musculus_strain_reference_(CL57BL6)
ENSONIP00000026216	ENSONIG00000020913	Oreochromis_niloticus
ENSSPAP00000026199	ENSSPAG00000019757	Stegastes_partitus
ENSNMEP00000027186	ENSNMEG00000022784	Numida_meleagris
ENSAPOP00000031382	ENSAPOG00000018566	Acanthochromis_polyacanthus
ENSEBUP00000017417	ENSEBUG00000010881	Eptatretus_burgeri
ENSHGLP00000027824	ENSHGLG00000019894	Heterocephalus_glaber_HetGla_female_1.0
ENSPKIP00000032797	ENSPKIG00000012751	Paramormyrops_kingsleyae
ENSCPUP00000013518	ENSCPUG00000009567	Calidris_pugnax
ENSHHUP00000013255	ENSHHUG00000008145	Hucho_hucho
ENSXMAP00000039888	ENSXMAG00000023537	Xiphophorus_maculatus
ENSHCOP00000024784	ENSHCOG00000014409	Hippocampus_comes
ENSJHYP00000022125	ENSJHYG00000016692	Junco_hyemalis
ENSCSAP00000018493	ENSCSAG00000018978	Chlorocebus_sabaeus
ENSBSLP00000045162	ENSBSLG00000021582	Betta_splendens
ENSARWP00000009649	ENSARWG00000006740	Apteryx_rowi	ENSARWT00000011002
ENSEASP00005008521	ENSEASG00005006129	Equus_asinus_asinus
ENSCANP00000000510	ENSCANG00000001817	Colobus_angolensis_palliatus
ENSACAP00000017001	ENSACAG00000017258	Anolis_carolinensis
ENSPMEP00000003091	ENSPMEG00000004181	Poecilia_mexicana
ENSSMRP00000017149	ENSSMRG00000013358	Salvator_merianae
ENSACAP00000020332	ENSACAG00000023192	Anolis_carolinensis
ENSFCAP00000059581	ENSFCAG00000022988	Felis_catus
ENSSFOP00015019678	ENSSFOG00015012651	Scleropages_formosus
ENSCMIP00000006949	ENSCMIG00000003885	Callorhinchus_milii
ENSAOWP00000023443	ENSAOWG00000015828	Apteryx_owenii
ENSGWIP00000013209	ENSGWIG00000007548	Gouania_willdenowi
ENSNVIP00000000901	ENSNVIG00000000788	Neovison_vison
ENSDNOP00000034408	ENSDNOG00000007219	Dasypus_novemcinctus
ENSODEP00000001633	ENSODEG00000001291	Octodon_degus
ENSDNVP00000006557	ENSDNVG00000004696	Dromaius_novaehollandiae
ENSPCIP00000007273	ENSPCIG00000006169	Phascolarctos_cinereus
ENSFHEP00000008592	ENSFHEG00000009795	Fundulus_heteroclitus
ENSCPGP00000007291	ENSCPGG00000005218	Calidris_pygmaea
ENSDCDP00000048454	ENSDCDG00000029997	Denticeps_clupeoides
ENSCABP00000021710	ENSCABG00000015999	Chelonoidis_abingdonii
ENSNPEP00000006131	ENSNPEG00000004621	Nothoprocta_perdicaria	ENSNPET00000006282
ENSDNVP00000004122	ENSDNVG00000002935	Dromaius_novaehollandiae	ENSDNVT00000004961
ENSGAGP00000009555	ENSGAGG00000007554	Gopherus_agassizii
ENSCSEP00000021482	ENSCSEG00000013711	Cynoglossus_semilaevis
ENSLCAP00010032555	ENSLCAG00010015318	Lates_calcarifer
ENSAPOP00000022239	ENSAPOG00000003310	Acanthochromis_polyacanthus
ENSECRP00000002222	ENSECRG00000001530	Erpetoichthys_calabaricus
ENSFALP00000005137	ENSFALG00000004933	Ficedula_albicollis
ENSCAFP00020021187	ENSCAFG00020016738	Canis_lupus_dingo
ENSPRNP00000041858	ENSPRNG00000020504	Parambassis_ranga
ENSMMUP00000047299	ENSMMUG00000001658	Macaca_mulatta
ENSPRNP00000024729	ENSPRNG00000012575	Parambassis_ranga
ENSVURP00010009124	ENSVURG00010007077	Vombatus_ursinus
ENSHHUP00000059360	ENSHHUG00000035271	Hucho_hucho
ENSPSMP00000010829	ENSPSMG00000007825	Prolemur_simus
ENSCSEP00000030652	ENSCSEG00000019638	Cynoglossus_semilaevis
ENSCPRP00005025018	ENSCPRG00005017364	Crocodylus_porosus
ENSLACP00000016493	ENSLACG00000014532	Latimeria_chalumnae
ENSLBEP00000003538	ENSLBEG00000002729	Labrus_bergylta
ENSLCOP00000004131	ENSLCOG00000003130	Lepidothrix_coronata
ENSTRUP00000055203	ENSTRUG00000023897	Takifugu_rubripes
ENSAMEP00000011843	ENSAMEG00000011263	Ailuropoda_melanoleuca
ENSTGUP00000002477	ENSTGUG00000002412	Taeniopygia_guttata
ENSPVIP00000010599	ENSPVIG00000008397	Pogona_vitticeps
ENSBIXP00005027496	ENSBIXG00005030555	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSHBUP00000013795	ENSHBUG00000015593	Haplochromis_burtoni
ENSABRP00000002857	ENSABRG00000002751	Anser_brachyrhynchus
ENSP00000329170	ENSG00000184486	Homo_sapiens
ENSMALP00000031221	ENSMALG00000021553	Monopterus_albus
ENSETEP00000016527	ENSETEG00000020341	Echinops_telfairi
ENSTGEP00000026936	ENSTGEG00000021717	Theropithecus_gelada
ENSCGOP00000024008	ENSCGOG00000011445	Cottoperca_gobio
ENSGMOP00000006355	ENSGMOG00000005989	Gadus_morhua
ENSSPUP00000015232	ENSSPUG00000011770	Sphenodon_punctatus
ENSMUNP00000015736	ENSMUNG00000012121	Melopsittacus_undulatus
ENSSPUP00000003041	ENSSPUG00000002364	Sphenodon_punctatus
ENSCCEP00000026229	ENSCCEG00000023091	Cyanistes_caeruleus
ENSPREP00000023425	ENSPREG00000015810	Poecilia_reticulata
ENSLACP00000014342	ENSLACG00000012622	Latimeria_chalumnae
ENSLSDP00000018395	ENSLSDG00000013128	Lonchura_striata_domestica
ENSSMAP00000014536	ENSSMAG00000008912	Scophthalmus_maximus
ENSORLP00000029735	ENSORLG00000028857	Oryzias_latipes_ASM223467v1
ENSECAP00000038973	ENSECAG00000032190	Equus_caballus
ENSRBIP00000010870	ENSRBIG00000029294	Rhinopithecus_bieti
ENSSTOP00000029100	ENSSTOG00000033420	Ictidomys_tridecemlineatus
ENSAOCP00000028818	ENSAOCG00000018712	Amphiprion_ocellaris
ENSGAFP00000000837	ENSGAFG00000000597	Gambusia_affinis
ENSMSIP00000012753	ENSMSIG00000011067	Mus_spicilegus
ENSPLAP00000026513	ENSPLAG00000014375	Poecilia_latipinna
ENSBIXP00000011535	ENSBIXG00000016757	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSGALP00000070462	ENSGALG00000031482	Gallus_gallus
ENSKMAP00000003482	ENSKMAG00000002640	Kryptolebias_marmoratus
ENSSBOP00000036332	ENSSBOG00000034311	Saimiri_boliviensis_boliviensis
ENSMAUP00000008946	ENSMAUG00000010245	Mesocricetus_auratus
ENSCGRP00001006121	ENSCGRG00001008214	Cricetulus_griseus_CHOK1GS_HDv1
ENSMMOP00000023485	ENSMMOG00000017873	Mola_mola
ENSCPBP00000022610	ENSCPBG00000016149	Chrysemys_picta_bellii
ENSEEEP00000011433	ENSEEEG00000005777	Electrophorus_electricus
ENSCJAP00000064214	ENSCJAG00000039179	Callithrix_jacchus
ENSXETP00000010951	ENSXETG00000016470	Xenopus_tropicalis
ENSCPOP00000016820	ENSCPOG00000003168	Cavia_porcellus
ENSPMJP00000020337	ENSPMJG00000015156	Parus_major
ENSTRUP00000038476	ENSTRUG00000015061	Takifugu_rubripes
ENSAOWP00000001011	ENSAOWG00000000752	Apteryx_owenii
ENSCJPP00005019485	ENSCJPG00005015786	Coturnix_japonica
ENSPFOP00000020991	ENSPFOG00000020869	Poecilia_formosa
ENSZALP00000013127	ENSZALG00000010955	Zonotrichia_albicollis
ENSGACP00000006561	ENSGACG00000004969	Gasterosteus_aculeatus
ENSCPRP00005015797	ENSCPRG00005011059	Crocodylus_porosus
ENSMLUP00000018418	ENSMLUG00000016141	Myotis_lucifugus
ENSMODP00000029696	ENSMODG00000018122	Monodelphis_domestica
ENSPNYP00000005352	ENSPNYG00000004152	Pundamilia_nyererei
ENSLSDP00000020862	ENSLSDG00000014765	Lonchura_striata_domestica
ENSCVAP00000030507	ENSCVAG00000019075	Cyprinodon_variegatus
ENSUMAP00000029847	ENSUMAG00000021596	Ursus_maritimus
ENSMZEP00005029697	ENSMZEG00005022149	Maylandia_zebra
ENSACLP00000036834	ENSACLG00000024941	Astatotilapia_calliptera
ENSMPUP00000001514	ENSMPUG00000001529	Mustela_putorius_furo
ENSNBRP00000009451	ENSNBRG00000007370	Neolamprologus_brichardi
ENSSFOP00015028173	ENSSFOG00015018066	Scleropages_formosus
ENSLCRP00005030603	ENSLCRG00005012148	Larimichthys_crocea
ENSCPBP00000004357	ENSCPBG00000003544	Chrysemys_picta_bellii
ENSPEMP00000002169	ENSPEMG00000002130	Peromyscus_maniculatus_bairdii
ENSMVIP00005013155	ENSMVIG00005009537	Manacus_vitellinus
ENSORLP00015015443	ENSORLG00015016365	Oryzias_latipes_ASM223469v1
MGP_SPRETEiJ_P0064026	MGP_SPRETEiJ_G0026800	Mus_spretus_strain_SPRET/EiJ
ENSHHUP00000001691	ENSHHUG00000001124	Hucho_hucho
ENSLOCP00000021978	ENSLOCG00000017875	Lepisosteus_oculatus
ENSMUGP00000020693	ENSMUGG00000017458	Meriones_unguiculatus
ENSBBBP00000012094	ENSBBBG00000005119	Bison_bison_bison
ENSOGAP00000017414	ENSOGAG00000024248	Otolemur_garnettii
ENSCHIP00000003986	ENSCHIG00000008214	Capra_hircus
ENSPFOP00000009634	ENSPFOG00000009683	Poecilia_formosa
ENSCPUP00000011252	ENSCPUG00000007974	Calidris_pugnax
ENSCGRP00015012870	ENSCGRG00015009894	Cricetulus_griseus_CriGri-PICR
ENSMOCP00000004293	ENSMOCG00000003520	Microtus_ochrogaster
ENSSCAP00000014557	ENSSCAG00000010701	Serinus_canaria
ENSXCOP00000000616	ENSXCOG00000000534	Xiphophorus_couchianus
ENSABRP00000021684	ENSABRG00000018401	Anser_brachyrhynchus
ENSORLP00020000524	ENSORLG00020001223	Oryzias_latipes_ASM223471v1
ENSPCIP00000000443	ENSPCIG00000000353	Phascolarctos_cinereus
ENSXETP00000008491	ENSXETG00000006935	Xenopus_tropicalis
ENSVURP00010008060	ENSVURG00010006241	Vombatus_ursinus
ENSMODP00000021554	ENSMODG00000017269	Monodelphis_domestica
ENSPCAP00000008171	ENSPCAG00000008737	Procavia_capensis
ENSCABP00000010901	ENSCABG00000008145	Chelonoidis_abingdonii
ENSMAMP00000004393	ENSMAMG00000002968	Mastacembelus_armatus
ENSMALP00000024686	ENSMALG00000017195	Monopterus_albus
ENSTRUP00000050382	ENSTRUG00000025003	Takifugu_rubripes
ENSOMEP00000004764	ENSOMEG00000005757	Oryzias_melastigma
ENSCPBP00000014452	ENSCPBG00000010760	Chrysemys_picta_bellii
ENSPTEP00000005832	ENSPTEG00000006738	Piliocolobus_tephrosceles
