ENSFDAP00000009542	ENSFDAG00000017526	Fukomys_damarensis
ENSOARP00000007702	ENSOARG00000007186	Ovis_aries
ENSHHUP00000012783	ENSHHUG00000007838	Hucho_hucho
ENSBMUP00000001927	ENSBMUG00000001552	Bos_mutus
ENSODEP00000017397	ENSODEG00000012827	Octodon_degus
MGP_PahariEiJ_P0047299	MGP_PahariEiJ_G0021508	Mus_pahari_strain_PAHARI_EIJ
ENSPTRP00000092761	ENSPTRG00000016632	Pan_troglodytes
ENSPNAP00000004835	ENSPNAG00000011214	Pygocentrus_nattereri
ENSPMGP00000005253	ENSPMGG00000004414	Periophthalmus_magnuspinnatus
ENSTTRP00000006259	ENSTTRG00000006616	Tursiops_truncatus
ENSAPEP00000014873	ENSAPEG00000010576	Amphiprion_percula
ENSVPAP00000005333	ENSVPAG00000005743	Vicugna_pacos
ENSUAMP00000005272	ENSUAMG00000004713	Ursus_americanus
ENSGALP00000067003	ENSGALG00000010658	Gallus_gallus
ENSANAP00000020697	ENSANAG00000028135	Aotus_nancymaae
MGP_CAROLIEiJ_P0084407	MGP_CAROLIEiJ_G0031041	Mus_caroli_strain_CAROLI_EIJ
ENSECRP00000003972	ENSECRG00000002715	Erpetoichthys_calabaricus
ENSUPAP00010014842	ENSUPAG00010011891	Urocitellus_parryii
ENSCJAP00000060163	ENSCJAG00000045540	Callithrix_jacchus
ENSAMXP00005029860	ENSAMXG00005014732	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSOGAP00000014955	ENSOGAG00000016709	Otolemur_garnettii
FBpp0080648	FBgn0032703	Drosophila_melanogaster
ENSDORP00000013434	ENSDORG00000014285	Dipodomys_ordii
ENSPCOP00000023355	ENSPCOG00000023814	Propithecus_coquereli
ENSTBEP00000012627	ENSTBEG00000014565	Tupaia_belangeri
ENSEASP00005027072	ENSEASG00005018438	Equus_asinus_asinus
ENSLAFP00000018036	ENSLAFG00000027005	Loxodonta_africana
ENSPPRP00000021530	ENSPPRG00000012348	Panthera_pardus
ENSACAP00000022880	ENSACAG00000028821	Anolis_carolinensis
ENSBIXP00005011357	ENSBIXG00005015843	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSLBEP00000032022	ENSLBEG00000024143	Labrus_bergylta
ENSCLAP00000020649	ENSCLAG00000014148	Chinchilla_lanigera
ENSZALP00000014063	ENSZALG00000011677	Zonotrichia_albicollis
ENSHGLP00000024113	ENSHGLG00000017188	Heterocephalus_glaber_HetGla_female_1.0
ENSMODP00000050039	ENSMODG00000004223	Monodelphis_domestica
ENSETEP00000008202	ENSETEG00000010099	Echinops_telfairi
ENSMVIP00005017672	ENSMVIG00005012600	Manacus_vitellinus
ENSMICP00000023105	ENSMICG00000000687	Microcebus_murinus
ENSTGUP00000015492	ENSTGUG00000015145	Taeniopygia_guttata
ENSJJAP00000021909	ENSJJAG00000022133	Jaculus_jaculus
ENSPNYP00000006449	ENSPNYG00000004937	Pundamilia_nyererei
ENSCJPP00005011154	ENSCJPG00005009609	Coturnix_japonica
ENSEEEP00000040833	ENSEEEG00000019343	Electrophorus_electricus
ENSPANP00000045434	ENSPANG00000015801	Papio_anubis
ENSECAP00000053997	ENSECAG00000011336	Equus_caballus
ENSPMEP00000023691	ENSPMEG00000005450	Poecilia_mexicana
ENSNLEP00000034158	ENSNLEG00000034868	Nomascus_leucogenys
ENSPREP00000006365	ENSPREG00000004405	Poecilia_reticulata
ENSEBUP00000021901	ENSEBUG00000013508	Eptatretus_burgeri
ENSABRP00000000175	ENSABRG00000000208	Anser_brachyrhynchus
ENSHGLP00100009114	ENSHGLG00100006775	Heterocephalus_glaber_HetGla_1.0
ENSAPOP00000006825	ENSAPOG00000008718	Acanthochromis_polyacanthus
ENSMLEP00000015501	ENSMLEG00000031916	Mandrillus_leucophaeus
ENSP00000388920	ENSG00000182552	Homo_sapiens
ENSMNEP00000009830	ENSMNEG00000029331	Macaca_nemestrina
ENSCAFP00020002636	ENSCAFG00020002212	Canis_lupus_dingo
ENSSDAP00000023632	ENSSDAG00000021526	Spermophilus_dauricus
ENSGMOP00000008038	ENSGMOG00000007513	Gadus_morhua
ENSCAFP00020014773	ENSCAFG00020011921	Canis_lupus_dingo
ENSMGAP00000006496	ENSMGAG00000006479	Meleagris_gallopavo
ENSDNVP00000001591	ENSDNVG00000001165	Dromaius_novaehollandiae
ENSMMMP00000014106	ENSMMMG00000012560	Marmota_marmota_marmota
ENSAMEP00000008700	ENSAMEG00000008268	Ailuropoda_melanoleuca
ENSSARP00000005934	ENSSARG00000006531	Sorex_araneus
ENSMLUP00000006211	ENSMLUG00000006800	Myotis_lucifugus
ENSCHOP00000004683	ENSCHOG00000005290	Choloepus_hoffmanni
ENSSPUP00000012959	ENSSPUG00000009982	Sphenodon_punctatus
ENSSDUP00000003129	ENSSDUG00000002393	Seriola_dumerili
ENSMPUP00000010958	ENSMPUG00000011048	Mustela_putorius_furo
ENSCPBP00000010862	ENSCPBG00000008322	Chrysemys_picta_bellii
ENSGAGP00000025465	ENSGAGG00000018605	Gopherus_agassizii
ENSCAFP00000058090	ENSCAFG00000010782	Canis_lupus_familiaris
ENSORLP00000030814	ENSORLG00000023239	Oryzias_latipes_ASM223467v1
ENSCGOP00000055699	ENSCGOG00000024269	Cottoperca_gobio
ENSLCOP00000000754	ENSLCOG00000000652	Lepidothrix_coronata
ENSELUP00000032313	ENSELUG00000001520	Esox_lucius
ENSRROP00000024168	ENSRROG00000035896	Rhinopithecus_roxellana
ENSCGRP00000010028	ENSCGRG00000007321	Cricetulus_griseus_CriGri_1.0
ENSXMAP00000007730	ENSXMAG00000007705	Xiphophorus_maculatus
ENSDARP00000089387	ENSDARG00000068256	Danio_rerio
ENSKMAP00000007497	ENSKMAG00000005646	Kryptolebias_marmoratus
ENSLCRP00005020687	ENSLCRG00005008424	Larimichthys_crocea
ENSATEP00000002145	ENSATEG00000001495	Anabas_testudineus
ENSSMRP00000012304	ENSSMRG00000009615	Salvator_merianae
ENSTRUP00000056459	ENSTRUG00000022882	Takifugu_rubripes
ENSJJAP00000018649	ENSJJAG00000019860	Jaculus_jaculus
ENSUPAP00010002565	ENSUPAG00010002132	Urocitellus_parryii
ENSAHAP00000005632	ENSAHAG00000004349	Apteryx_haastii
ENSSTOP00000025190	ENSSTOG00000034364	Ictidomys_tridecemlineatus
ENSAOWP00000012233	ENSAOWG00000008383	Apteryx_owenii
ENSGAFP00000028503	ENSGAFG00000019271	Gambusia_affinis
ENSPCIP00000044695	ENSPCIG00000010832	Phascolarctos_cinereus
ENSPEMP00000016060	ENSPEMG00000015398	Peromyscus_maniculatus_bairdii
ENSPTEP00000017841	ENSPTEG00000019345	Piliocolobus_tephrosceles
ENSOPRP00000013826	ENSOPRG00000015147	Ochotona_princeps
ENSTSYP00000006004	ENSTSYG00000006599	Carlito_syrichta
ENSACIP00000021573	ENSACIG00000016685	Amphilophus_citrinellus
ENSJHYP00000012452	ENSJHYG00000009722	Junco_hyemalis
ENSPSIP00000011593	ENSPSIG00000010480	Pelodiscus_sinensis
ENSCHAP00000025680	ENSCHAG00000012547	Clupea_harengus
MGP_SPRETEiJ_P0087888	MGP_SPRETEiJ_G0032155	Mus_spretus_strain_SPRET/EiJ
ENSFHEP00000020481	ENSFHEG00000022434	Fundulus_heteroclitus
ENSTGUP00000006762	ENSTGUG00000006580	Taeniopygia_guttata
ENSOMEP00000004061	ENSOMEG00000005015	Oryzias_melastigma
ENSPCAP00000006958	ENSPCAG00000007453	Procavia_capensis
ENSVVUP00000017928	ENSVVUG00000013184	Vulpes_vulpes
ENSRBIP00000025847	ENSRBIG00000036803	Rhinopithecus_bieti
ENSBTAP00000071810	ENSBTAG00000003081	Bos_taurus
ENSPTRP00000072662	ENSPTRG00000049435	Pan_troglodytes
ENSTNIP00000008088	ENSTNIG00000005403	Tetraodon_nigroviridis
ENSHBUP00000009871	ENSHBUG00000011410	Haplochromis_burtoni
ENSCPUP00000022660	ENSCPUG00000015379	Calidris_pugnax
ENSCPRP00005000102	ENSCPRG00005000113	Crocodylus_porosus
ENSCGRP00015027397	ENSCGRG00015020767	Cricetulus_griseus_CriGri-PICR
ENSMOCP00000002721	ENSMOCG00000002163	Microtus_ochrogaster
ENSCMIP00000034064	ENSCMIG00000014478	Callorhinchus_milii
ENSPPAP00000038517	ENSPPAG00000041963	Pan_paniscus
ENSCATP00000022213	ENSCATG00000034736	Cercocebus_atys
ENSCINP00000035564	ENSCING00000020462	Ciona_intestinalis
ENSORLP00020027979	ENSORLG00020011222	Oryzias_latipes_ASM223471v1
ENSAMXP00000018757	ENSAMXG00000018206	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSJJAP00000022061	ENSJJAG00000022236	Jaculus_jaculus
ENSMAMP00000002796	ENSMAMG00000001945	Mastacembelus_armatus
ENSCPGP00000017606	ENSCPGG00000012344	Calidris_pygmaea
ENSSMAP00000006096	ENSSMAG00000003737	Scophthalmus_maximus
ENSMMUP00000045614	ENSMMUG00000023650	Macaca_mulatta
ENSSPAP00000005212	ENSSPAG00000004035	Stegastes_partitus
ENSRNOP00000073640	ENSRNOG00000022500	Rattus_norvegicus
ENSMUNP00000001632	ENSMUNG00000001392	Melopsittacus_undulatus
ENSBSLP00000012883	ENSBSLG00000006769	Betta_splendens
ENSTGEP00000028791	ENSTGEG00000023178	Theropithecus_gelada
ENSCANP00000038352	ENSCANG00000042844	Colobus_angolensis_palliatus
ENSUMAP00000029385	ENSUMAG00000021296	Ursus_maritimus
ENSONIP00000019762	ENSONIG00000015703	Oreochromis_niloticus
ENSPVIP00000000603	ENSPVIG00000000550	Pogona_vitticeps
ENSSLDP00000018460	ENSSLDG00000014523	Seriola_lalandi_dorsalis
ENSCHIP00000014037	ENSCHIG00000015219	Capra_hircus
ENSMALP00000029445	ENSMALG00000020349	Monopterus_albus
ENSMALP00000030040	ENSMALG00000020784	Monopterus_albus
ENSACLP00000009091	ENSACLG00000006200	Astatotilapia_calliptera
ENSCAFP00000053349	ENSCAFG00000007880	Canis_lupus_familiaris
ENSARWP00000027043	ENSARWG00000018285	Apteryx_rowi
ENSHCOP00000009156	ENSHCOG00000011547	Hippocampus_comes
ENSETEP00000010791	ENSETEG00000013309	Echinops_telfairi
ENSCSEP00000022658	ENSCSEG00000014432	Cynoglossus_semilaevis
ENSAPLP00000001932	ENSAPLG00000002484	Anas_platyrhynchos_platyrhynchos
ENSSTOP00000011726	ENSSTOG00000013086	Ictidomys_tridecemlineatus
ENSMMMP00000010431	ENSMMMG00000009285	Marmota_marmota_marmota
ENSPTRP00000093320	ENSPTRG00000049835	Pan_troglodytes
ENSSSCP00000016716	ENSSSCG00000015776	Sus_scrofa_strain_reference
ENSNPEP00000019758	ENSNPEG00000014705	Nothoprocta_perdicaria
ENSCCEP00000002000	ENSCCEG00000002318	Cyanistes_caeruleus
ENSXETP00000014997	ENSXETG00000000405	Xenopus_tropicalis
ENSGACP00000001111	ENSGACG00000000853	Gasterosteus_aculeatus
ENSSBOP00000006079	ENSSBOG00000019970	Saimiri_boliviensis_boliviensis
ENSPMJP00000002475	ENSPMJG00000002084	Parus_major
ENSVURP00010009051	ENSVURG00010006994	Vombatus_ursinus
ENSODEP00000001564	ENSODEG00000001230	Octodon_degus
ENSNSUP00000012899	ENSNSUG00000009648	Notechis_scutatus
ENSGGOP00000051891	ENSGGOG00000011982	Gorilla_gorilla
ENSMFAP00000045660	ENSMFAG00000000543	Macaca_fascicularis
ENSCSAP00000015016	ENSCSAG00000003024	Chlorocebus_sabaeus
ENSOANP00000010073	ENSOANG00000006299	Ornithorhynchus_anatinus
ENSETEP00000008505	ENSETEG00000010471	Echinops_telfairi
ENSLSDP00000013390	ENSLSDG00000009727	Lonchura_striata_domestica
ENSCCAP00000026511	ENSCCAG00000031031	Cebus_capucinus_imitator
ENSPFOP00000014250	ENSPFOG00000014193	Poecilia_formosa
ENSCSAVP00000006730	ENSCSAVG00000004029	Ciona_savignyi
ENSLCAP00010047409	ENSLCAG00010022001	Lates_calcarifer
ENSDCDP00000007143	ENSDCDG00000003758	Denticeps_clupeoides
ENSSFOP00015025406	ENSSFOG00015016340	Scleropages_formosus	ENSSFOT00015025687
ENSPRNP00000028146	ENSPRNG00000014063	Parambassis_ranga
ENSMUSP00000033973	ENSMUSG00000031568	Mus_musculus_strain_reference_(CL57BL6)
ENSEEUP00000012287	ENSEEUG00000013482	Erinaceus_europaeus
ENSPKIP00000023711	ENSPKIG00000007232	Paramormyrops_kingsleyae	ENSPKIT00000004398
ENSCABP00000018720	ENSCABG00000013827	Chelonoidis_abingdonii
ENSODEP00000006279	ENSODEG00000004702	Octodon_degus
ENSCVAP00000004906	ENSCVAG00000006241	Cyprinodon_variegatus
ENSSCAP00000013472	ENSSCAG00000009990	Serinus_canaria
ENSXCOP00000004670	ENSXCOG00000003685	Xiphophorus_couchianus
ENSMSIP00000037129	ENSMSIG00000030943	Mus_spicilegus
ENSNVIP00000005967	ENSNVIG00000004735	Neovison_vison
ENSLACP00000012556	ENSLACG00000011062	Latimeria_chalumnae
ENSNGAP00000006707	ENSNGAG00000009985	Nannospalax_galili
ENSPPYP00000017013	ENSPPYG00000015230	Pongo_abelii
