MGP_CAROLIEiJ_P0052618	MGP_CAROLIEiJ_G0023722	Mus_caroli_strain_CAROLI_EIJ
ENSCCEP00000021864	ENSCCEG00000019793	Cyanistes_caeruleus
ENSAMXP00005027927	ENSAMXG00005013980	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSTRUP00000049000	ENSTRUG00000023681	Takifugu_rubripes
ENSTTRP00000001973	ENSTTRG00000002101	Tursiops_truncatus
ENSCHAP00000028497	ENSCHAG00000013753	Clupea_harengus
ENSJJAP00000017904	ENSJJAG00000019325	Jaculus_jaculus
ENSATEP00000017780	ENSATEG00000012363	Anabas_testudineus
ENSACLP00000019937	ENSACLG00000013564	Astatotilapia_calliptera
ENSSTOP00000027575	ENSSTOG00000029880	Ictidomys_tridecemlineatus
ENSMMOP00000004044	ENSMMOG00000003231	Mola_mola
ENSAMEP00000015400	ENSAMEG00000014622	Ailuropoda_melanoleuca
ENSPNAP00000036018	ENSPNAG00000026503	Pygocentrus_nattereri
ENSPKIP00000024499	ENSPKIG00000007722	Paramormyrops_kingsleyae
ENSSSCP00000042612	ENSSSCG00000032364	Sus_scrofa_strain_reference
ENSXCOP00000002870	ENSXCOG00000002285	Xiphophorus_couchianus
ENSPPRP00000006643	ENSPPRG00000002014	Panthera_pardus
ENSNSUP00000023456	ENSNSUG00000016975	Notechis_scutatus	ENSNSUT00000024947
ENSORLP00015033862	ENSORLG00015019507	Oryzias_latipes_ASM223469v1
ENSPCAP00000001257	ENSPCAG00000001381	Procavia_capensis
ENSAPLP00000000046	ENSAPLG00000000642	Anas_platyrhynchos_platyrhynchos
ENSUAMP00000014159	ENSUAMG00000011379	Ursus_americanus
ENSNBRP00000006657	ENSNBRG00000005237	Neolamprologus_brichardi
ENSAOCP00000024063	ENSAOCG00000010635	Amphiprion_ocellaris
ENSNMEP00000002375	ENSNMEG00000003081	Numida_meleagris	ENSNMET00000004968
ENSCPGP00000004856	ENSCPGG00000003491	Calidris_pygmaea
ENSSFOP00015000929	ENSSFOG00015000668	Scleropages_formosus
ENSORLP00020015625	ENSORLG00020016640	Oryzias_latipes_ASM223471v1
ENSLBEP00000013314	ENSLBEG00000010245	Labrus_bergylta
ENSCGRP00001001713	ENSCGRG00001001580	Cricetulus_griseus_CHOK1GS_HDv1
ENSSBOP00000024270	ENSSBOG00000028625	Saimiri_boliviensis_boliviensis
ENSBSLP00000018048	ENSBSLG00000009467	Betta_splendens
ENSABRP00000006240	ENSABRG00000005754	Anser_brachyrhynchus	ENSABRT00000008966
ENSGWIP00000046785	ENSGWIG00000023081	Gouania_willdenowi
ENSTSYP00000005609	ENSTSYG00000006128	Carlito_syrichta
ENSXMAP00000025411	ENSXMAG00000021768	Xiphophorus_maculatus
ENSMUSP00000099706	ENSMUSG00000076437	Mus_musculus_strain_reference_(CL57BL6)
ENSACLP00000019925	ENSACLG00000013541	Astatotilapia_calliptera
ENSFHEP00000013242	ENSFHEG00000014738	Fundulus_heteroclitus
ENSSDUP00000019904	ENSSDUG00000014472	Seriola_dumerili
ENSSPAP00000021318	ENSSPAG00000016067	Stegastes_partitus
ENSSCAP00000013511	ENSSCAG00000010016	Serinus_canaria
MGP_SPRETEiJ_P0054708	MGP_SPRETEiJ_G0024642	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0063613	MGP_PahariEiJ_G0025173	Mus_pahari_strain_PAHARI_EIJ
ENSBIXP00000013114	ENSBIXG00000003125	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSELUP00000042716	ENSELUG00000024043	Esox_lucius
ENSCPOP00000023824	ENSCPOG00000036995	Cavia_porcellus
ENSMZEP00005003622	ENSMZEG00005002790	Maylandia_zebra
ENSPVAP00000015354	ENSPVAG00000016277	Pteropus_vampyrus
ENSPMGP00000014846	ENSPMGG00000012169	Periophthalmus_magnuspinnatus
ENSCPRP00005012420	ENSCPRG00005008810	Crocodylus_porosus
ENSPLAP00000017888	ENSPLAG00000022425	Poecilia_latipinna
ENSPSIP00000005570	ENSPSIG00000005180	Pelodiscus_sinensis
ENSODEP00000015845	ENSODEG00000011683	Octodon_degus
ENSLSDP00000005535	ENSLSDG00000004305	Lonchura_striata_domestica
ENSACAP00000018689	ENSACAG00000025279	Anolis_carolinensis
ENSHHUP00000048087	ENSHHUG00000029175	Hucho_hucho
ENSCPBP00000023597	ENSCPBG00000016847	Chrysemys_picta_bellii
ENSSPUP00000021970	ENSSPUG00000016863	Sphenodon_punctatus	ENSSPUT00000023414
