ENSTRUP00000052851	ENSTRUG00000017712	Takifugu_rubripes
ENSCCEP00000018482	ENSCCEG00000016927	Cyanistes_caeruleus
ENSPMJP00000002359	ENSPMJG00000001939	Parus_major
ENSFALP00000011747	ENSFALG00000011235	Ficedula_albicollis
ENSTGUP00000006641	ENSTGUG00000006447	Taeniopygia_guttata
ENSLSDP00000009479	ENSLSDG00000007027	Lonchura_striata_domestica
ENSSCAP00000023805	ENSSCAG00000017034	Serinus_canaria
ENSLCOP00000020822	ENSLCOG00000014739	Lepidothrix_coronata
ENSMVIP00005003669	ENSMVIG00005002858	Manacus_vitellinus
ENSMUNP00000016013	ENSMUNG00000012330	Melopsittacus_undulatus
ENSCPGP00000015996	ENSCPGG00000011272	Calidris_pygmaea
ENSCPGP00000005136	ENSCPGG00000003709	Calidris_pygmaea
ENSCCEP00000018477	ENSCCEG00000016924	Cyanistes_caeruleus
ENSARWP00000003300	ENSARWG00000002474	Apteryx_rowi
ENSMGAP00000009974	ENSMGAG00000009638	Meleagris_gallopavo
ENSAPLP00000026615	ENSAPLG00000008575	Anas_platyrhynchos_platyrhynchos
ENSABRP00000001087	ENSABRG00000001150	Anser_brachyrhynchus
ENSCPRP00005009926	ENSCPRG00005007086	Crocodylus_porosus
ENSZALP00000002420	ENSZALG00000002612	Zonotrichia_albicollis
ENSZALP00000002400	ENSZALG00000002600	Zonotrichia_albicollis
ENSPVIP00000021004	ENSPVIG00000015971	Pogona_vitticeps
ENSACAP00000013924	ENSACAG00000014162	Anolis_carolinensis
ENSNSUP00000025360	ENSNSUG00000018245	Notechis_scutatus
ENSSMRP00000004131	ENSSMRG00000003446	Salvator_merianae
ENSSPUP00000024114	ENSSPUG00000018473	Sphenodon_punctatus
ENSVURP00010018250	ENSVURG00010013921	Vombatus_ursinus
ENSPCIP00000008577	ENSPCIG00000007081	Phascolarctos_cinereus
ENSMEUP00000000927	ENSMEUG00000001005	Notamacropus_eugenii
ENSSHAP00000002295	ENSSHAG00000002038	Sarcophilus_harrisii
ENSVURP00010014023	ENSVURG00010010758	Vombatus_ursinus
ENSSHAP00000017384	ENSSHAG00000014772	Sarcophilus_harrisii
ENSMODP00000041492	ENSMODG00000039426	Monodelphis_domestica
ENSMODP00000058216	ENSMODG00000019900	Monodelphis_domestica
ENSMODP00000048323	ENSMODG00000002278	Monodelphis_domestica
ENSPCAP00000003752	ENSPCAG00000004032	Procavia_capensis
ENSETEP00000015988	ENSETEG00000019683	Echinops_telfairi
ENSSARP00000003990	ENSSARG00000004409	Sorex_araneus
ENSOANP00000022242	ENSOANG00000014101	Ornithorhynchus_anatinus
ENSCLAP00000010327	ENSCLAG00000007138	Chinchilla_lanigera
ENSODEP00000022571	ENSODEG00000016565	Octodon_degus
ENSCPOP00000032938	ENSCPOG00000038392	Cavia_porcellus
ENSCAPP00000004985	ENSCAPG00000007411	Cavia_aperea
ENSHGLP00000010528	ENSHGLG00000007553	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100020606	ENSHGLG00100015185	Heterocephalus_glaber_HetGla_1.0
ENSDORP00000014069	ENSDORG00000014951	Dipodomys_ordii
ENSSTOP00000015789	ENSSTOG00000022115	Ictidomys_tridecemlineatus
ENSMMMP00000009151	ENSMMMG00000008198	Marmota_marmota_marmota
ENSSDAP00000001671	ENSSDAG00000001637	Spermophilus_dauricus
ENSUPAP00010018273	ENSUPAG00010014523	Urocitellus_parryii
ENSOGAP00000022152	ENSOGAG00000031905	Otolemur_garnettii
ENSPSMP00000001065	ENSPSMG00000000766	Prolemur_simus
ENSMPUP00000019234	ENSMPUG00000019361	Mustela_putorius_furo
ENSNVIP00000019022	ENSNVIG00000014915	Neovison_vison
ENSAMEP00000020875	ENSAMEG00000019816	Ailuropoda_melanoleuca
ENSCAFP00020028443	ENSCAFG00020022287	Canis_lupus_dingo
ENSPTIP00000024876	ENSPTIG00000020841	Panthera_tigris_altaica
ENSMLUP00000003988	ENSMLUG00000004382	Myotis_lucifugus
ENSECAP00000004267	ENSECAG00000006129	Equus_caballus
ENSEASP00005011819	ENSEASG00005008278	Equus_asinus_asinus
ENSTTRP00000014178	ENSTTRG00000014957	Tursiops_truncatus
ENSSSCP00000049152	ENSSSCG00000040333	Sus_scrofa_strain_reference
ENSCHIP00000009099	ENSCHIG00000012083	Capra_hircus
ENSOARP00000014673	ENSOARG00000013686	Ovis_aries
ENSBMUP00000006406	ENSBMUG00000005054	Bos_mutus
ENSBIXP00005027102	ENSBIXG00005001804	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000066819	ENSBTAG00000050948	Bos_taurus
ENSBBBP00000000781	ENSBBBG00000009933	Bison_bison_bison
ENSOCUP00000045601	ENSOCUG00000023981	Oryctolagus_cuniculus
ENSDNOP00000022938	ENSDNOG00000025273	Dasypus_novemcinctus
ENSP00000471191	ENSG00000213024	Homo_sapiens
ENSPPAP00000004130	ENSPPAG00000017521	Pan_paniscus
ENSPPYP00000011496	ENSPPYG00000010270	Pongo_abelii
ENSNLEP00000031417	ENSNLEG00000033607	Nomascus_leucogenys
ENSMMUP00000031514	ENSMMUG00000044817	Macaca_mulatta
ENSCSAP00000019142	ENSCSAG00000019646	Chlorocebus_sabaeus
ENSRROP00000012033	ENSRROG00000030340	Rhinopithecus_roxellana
ENSRBIP00000038690	ENSRBIG00000042837	Rhinopithecus_bieti
ENSPTEP00000038963	ENSPTEG00000036138	Piliocolobus_tephrosceles
ENSMFAP00000032750	ENSMFAG00000002930	Macaca_fascicularis
ENSMNEP00000037006	ENSMNEG00000041582	Macaca_nemestrina
ENSPANP00000004691	ENSPANG00000004839	Papio_anubis
ENSMLEP00000011249	ENSMLEG00000029810	Mandrillus_leucophaeus
ENSCATP00000042545	ENSCATG00000043873	Cercocebus_atys
ENSCANP00000020819	ENSCANG00000033845	Colobus_angolensis_palliatus
ENSCJAP00000006541	ENSCJAG00000044088	Callithrix_jacchus
ENSCCAP00000015476	ENSCCAG00000025528	Cebus_capucinus_imitator
ENSCJAP00000050564	ENSCJAG00000003603	Callithrix_jacchus
ENSMSIP00000025611	ENSMSIG00000021640	Mus_spicilegus
ENSMUSP00000056785	ENSMUSG00000109511	Mus_musculus_strain_reference_(CL57BL6)
ENSRNOP00000067556	ENSRNOG00000048733	Rattus_norvegicus
ENSMUGP00000009789	ENSMUGG00000008716	Meriones_unguiculatus
ENSMUGP00000011393	ENSMUGG00000009971	Meriones_unguiculatus
ENSCGRP00000017782	ENSCGRG00000012924	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015025769	ENSCGRG00015019572	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001015863	ENSCGRG00001016364	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000022493	ENSMAUG00000019906	Mesocricetus_auratus
ENSPEMP00000009227	ENSPEMG00000010597	Peromyscus_maniculatus_bairdii
ENSNGAP00000020978	ENSNGAG00000020299	Nannospalax_galili
ENSJJAP00000012824	ENSJJAG00000015756	Jaculus_jaculus
ENSLAFP00000016896	ENSLAFG00000020923	Loxodonta_africana
ENSPCAP00000003007	ENSPCAG00000003242	Procavia_capensis
ENSXETP00000009147	ENSXETG00000011888	Xenopus_tropicalis
ENSLACP00000016159	ENSLACG00000014233	Latimeria_chalumnae
ENSEBUP00000009884	ENSEBUG00000006343	Eptatretus_burgeri
ENSPMAP00000000957	ENSPMAG00000000863	Petromyzon_marinus
