ENSAOCP00000018841	ENSAOCG00000024021	Amphiprion_ocellaris
ENSMFAP00000042025	ENSMFAG00000039805	Macaca_fascicularis
ENSLACP00000013688	ENSLACG00000012046	Latimeria_chalumnae
ENSSDUP00000000023	ENSSDUG00000000046	Seriola_dumerili
ENSRNOP00000059247	ENSRNOG00000008105	Rattus_norvegicus
ENSSLDP00000006483	ENSSLDG00000005172	Seriola_lalandi_dorsalis
ENSKMAP00000030150	ENSKMAG00000022287	Kryptolebias_marmoratus
ENSCJAP00000057733	ENSCJAG00000041134	Callithrix_jacchus
ENSVPAP00000006923	ENSVPAG00000007442	Vicugna_pacos
MGP_SPRETEiJ_P0066074	MGP_SPRETEiJ_G0027257	Mus_spretus_strain_SPRET/EiJ
ENSELUP00000007273	ENSELUG00000008044	Esox_lucius
ENSRBIP00000013988	ENSRBIG00000031089	Rhinopithecus_bieti
ENSEEUP00000009333	ENSEEUG00000010248	Erinaceus_europaeus
ENSPCAP00000006382	ENSPCAG00000006879	Procavia_capensis
ENSHCOP00000001533	ENSHCOG00000002508	Hippocampus_comes
ENSNSUP00000022453	ENSNSUG00000016323	Notechis_scutatus
ENSOMEP00000027512	ENSOMEG00000010018	Oryzias_melastigma
ENSMUNP00000014114	ENSMUNG00000010993	Melopsittacus_undulatus
ENSAPEP00000032127	ENSAPEG00000022824	Amphiprion_percula
ENSXCOP00000014240	ENSXCOG00000010786	Xiphophorus_couchianus
ENSECRP00000013358	ENSECRG00000008913	Erpetoichthys_calabaricus
ENSCCNP00000001217	ENSCCNG00000001336	Castor_canadensis
ENSORLP00020029973	ENSORLG00020014205	Oryzias_latipes_ASM223471v1
ENSGWIP00000020159	ENSGWIG00000010951	Gouania_willdenowi
ENSCGRP00015030068	ENSCGRG00015022616	Cricetulus_griseus_CriGri-PICR
ENSHHUP00000072129	ENSHHUG00000042339	Hucho_hucho
ENSMPUP00000007103	ENSMPUG00000007160	Mustela_putorius_furo
ENSPCIP00000049890	ENSPCIG00000030921	Phascolarctos_cinereus
ENSCPGP00000018168	ENSCPGG00000012710	Calidris_pygmaea
ENSMOCP00000020922	ENSMOCG00000018451	Microtus_ochrogaster
ENSPVAP00000005410	ENSPVAG00000005723	Pteropus_vampyrus
ENSNPEP00000020373	ENSNPEG00000015143	Nothoprocta_perdicaria
ENSCPUP00000017153	ENSCPUG00000011836	Calidris_pugnax
ENSPEMP00000036147	ENSPEMG00000028558	Peromyscus_maniculatus_bairdii
ENSGACP00000014740	ENSGACG00000011145	Gasterosteus_aculeatus
ENSANAP00000030840	ENSANAG00000033164	Aotus_nancymaae
ENSECAP00000033659	ENSECAG00000029061	Equus_caballus
ENSCGRP00001008329	ENSCGRG00001010624	Cricetulus_griseus_CHOK1GS_HDv1
ENSLCRP00005027034	ENSLCRG00005010788	Larimichthys_crocea
ENSPPAP00000020656	ENSPPAG00000033541	Pan_paniscus
ENSPNYP00000028820	ENSPNYG00000021701	Pundamilia_nyererei
ENSCSEP00000031399	ENSCSEG00000020108	Cynoglossus_semilaevis
ENSDNOP00000031068	ENSDNOG00000041150	Dasypus_novemcinctus
ENSSBOP00000016895	ENSSBOG00000025121	Saimiri_boliviensis_boliviensis
ENSMSIP00000012625	ENSMSIG00000010966	Mus_spicilegus
ENSMUGP00000028418	ENSMUGG00000023573	Meriones_unguiculatus
ENSMALP00000023516	ENSMALG00000016374	Monopterus_albus
ENSLAFP00000017950	ENSLAFG00000021953	Loxodonta_africana
ENSCJPP00005012061	ENSCJPG00005010277	Coturnix_japonica
ENSFCAP00000043820	ENSFCAG00000045950	Felis_catus
ENSEBUP00000017273	ENSEBUG00000010790	Eptatretus_burgeri
ENSSMAP00000011137	ENSSMAG00000006876	Scophthalmus_maximus
ENSGAFP00000023300	ENSGAFG00000015737	Gambusia_affinis
ENSLBEP00000019584	ENSLBEG00000015054	Labrus_bergylta
ENSUAMP00000027237	ENSUAMG00000021110	Ursus_americanus
ENSMZEP00005014156	ENSMZEG00005010669	Maylandia_zebra
ENSCPBP00000013384	ENSCPBG00000010018	Chrysemys_picta_bellii
ENSGAGP00000016678	ENSGAGG00000012469	Gopherus_agassizii
ENSPTRP00000001245	ENSPTRG00000000724	Pan_troglodytes
ENSCSAP00000016755	ENSCSAG00000001259	Chlorocebus_sabaeus
ENSEASP00005015364	ENSEASG00005010730	Equus_asinus_asinus
ENSMMUP00000066645	ENSMMUG00000052908	Macaca_mulatta
ENSMICP00000043139	ENSMICG00000044233	Microcebus_murinus
ENSPMEP00000029678	ENSPMEG00000015574	Poecilia_mexicana
ENSORLP00000036460	ENSORLG00000025898	Oryzias_latipes_ASM223467v1
ENSHHUP00000058704	ENSHHUG00000034923	Hucho_hucho
ENSDARP00000057589	ENSDARG00000039412	Danio_rerio
ENSEEEP00000002626	ENSEEEG00000001514	Electrophorus_electricus
ENSHGLP00000001986	ENSHGLG00000001509	Heterocephalus_glaber_HetGla_female_1.0
ENSBSLP00000012407	ENSBSLG00000006289	Betta_splendens
ENSNVIP00000023722	ENSNVIG00000018412	Neovison_vison
ENSCHIP00000012470	ENSCHIG00000014219	Capra_hircus
ENSODEP00000008744	ENSODEG00000006537	Octodon_degus
ENSGALP00000048266	ENSGALG00000031423	Gallus_gallus
ENSPTEP00000028239	ENSPTEG00000027941	Piliocolobus_tephrosceles
ENSXETP00000007456	ENSXETG00000007996	Xenopus_tropicalis
ENSTRUP00000004209	ENSTRUG00000001824	Takifugu_rubripes
ENSMNEP00000025819	ENSMNEG00000036377	Macaca_nemestrina
ENSJHYP00000012439	ENSJHYG00000009715	Junco_hyemalis
ENSDCDP00000010742	ENSDCDG00000005360	Denticeps_clupeoides
MGP_PahariEiJ_P0078689	MGP_PahariEiJ_G0028621	Mus_pahari_strain_PAHARI_EIJ
ENSGMOP00000001030	ENSGMOG00000000998	Gadus_morhua
ENSCANP00000020734	ENSCANG00000033807	Colobus_angolensis_palliatus
ENSMAUP00000011644	ENSMAUG00000012169	Mesocricetus_auratus
ENSPSMP00000003734	ENSPSMG00000003033	Prolemur_simus
ENSMAMP00000005862	ENSMAMG00000003990	Mastacembelus_armatus
ENSIPUP00000001944	ENSIPUG00000001399	Ictalurus_punctatus
ENSCATP00000025853	ENSCATG00000036373	Cercocebus_atys
ENSACLP00000004367	ENSACLG00000002937	Astatotilapia_calliptera
ENSRROP00000003319	ENSRROG00000013168	Rhinopithecus_roxellana
ENSLCAP00010057828	ENSLCAG00010026986	Lates_calcarifer
ENSHGLP00100003011	ENSHGLG00100002316	Heterocephalus_glaber_HetGla_1.0
ENSHBUP00000008226	ENSHBUG00000009712	Haplochromis_burtoni
ENSCVAP00000019831	ENSCVAG00000023246	Cyprinodon_variegatus
ENSAMXP00005000477	ENSAMXG00005000276	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSGGOP00000033399	ENSGGOG00000013269	Gorilla_gorilla
ENSPMAP00000003992	ENSPMAG00000003668	Petromyzon_marinus
ENSVURP00010023714	ENSVURG00010018172	Vombatus_ursinus
ENSMODP00000001502	ENSMODG00000001251	Monodelphis_domestica
ENSCMIP00000031108	ENSCMIG00000013377	Callorhinchus_milii
ENSMVIP00005016170	ENSMVIG00005011618	Manacus_vitellinus
ENSMUSP00000060441	ENSMUSG00000047143	Mus_musculus_strain_reference_(CL57BL6)
ENSMMOP00000026793	ENSMMOG00000020261	Mola_mola
ENSFALP00000005576	ENSFALG00000005353	Ficedula_albicollis
