ENSPCIP00000041082	ENSPCIG00000030046	Phascolarctos_cinereus	ENSPCIT00000050626
ENSVURP00010004577	ENSVURG00010003648	Vombatus_ursinus	ENSVURT00010005203
ENSMEUP00000014170	ENSMEUG00000015520	Notamacropus_eugenii	ENSMEUT00000015566
ENSMODP00000003023	ENSMODG00000002491	Monodelphis_domestica	ENSMODT00000003088
ENSSHAP00000021690	ENSSHAG00000018367	Sarcophilus_harrisii	ENSSHAT00000021864
ENSCCAP00000004562	ENSCCAG00000019822	Cebus_capucinus_imitator
ENSOGAP00000001895	ENSOGAG00000002120	Otolemur_garnettii
ENSOCUP00000037527	ENSOCUG00000025603	Oryctolagus_cuniculus
ENSOPRP00000015231	ENSOPRG00000016679	Ochotona_princeps
ENSPVAP00000008568	ENSPVAG00000009081	Pteropus_vampyrus
ENSMLUP00000015722	ENSMLUG00000017244	Myotis_lucifugus
ENSECAP00000034483	ENSECAG00000000385	Equus_caballus
ENSTTRP00000008054	ENSTTRG00000008484	Tursiops_truncatus
ENSSSCP00000006731	ENSSSCG00000006312	Sus_scrofa_strain_reference
ENSCHIP00000012393	ENSCHIG00000014178	Capra_hircus
ENSOARP00000012832	ENSOARG00000011969	Ovis_aries
ENSBTAP00000012054	ENSBTAG00000009148	Bos_taurus
ENSBIXP00000043387	ENSBIXG00000027490	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000018792	ENSBMUG00000014238	Bos_mutus
ENSBIXP00005040271	ENSBIXG00005022858	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000023869	ENSBBBG00000004639	Bison_bison_bison
ENSVPAP00000000071	ENSVPAG00000000078	Vicugna_pacos
ENSUMAP00000022667	ENSUMAG00000016556	Ursus_maritimus
ENSUAMP00000023529	ENSUAMG00000018440	Ursus_americanus
ENSAMEP00000000019	ENSAMEG00000000019	Ailuropoda_melanoleuca
ENSNVIP00000010446	ENSNVIG00000008264	Neovison_vison
ENSMPUP00000015572	ENSMPUG00000015681	Mustela_putorius_furo
ENSCAFP00000022917	ENSCAFG00000015579	Canis_lupus_familiaris
ENSCAFP00020029204	ENSCAFG00020022816	Canis_lupus_dingo
ENSVVUP00000036798	ENSVVUG00000026340	Vulpes_vulpes
ENSPTIP00000014575	ENSPTIG00000013953	Panthera_tigris_altaica
ENSPPRP00000004772	ENSPPRG00000000746	Panthera_pardus
ENSFCAP00000004766	ENSFCAG00000005142	Felis_catus
ENSEASP00005028113	ENSEASG00005019121	Equus_asinus_asinus
ENSDNOP00000021903	ENSDNOG00000040420	Dasypus_novemcinctus
ENSCHOP00000000229	ENSCHOG00000000263	Choloepus_hoffmanni
ENSMSIP00000015249	ENSMSIG00000013055	Mus_spicilegus	ENSMSIT00000019355
ENSMUSP00000060147	ENSMUSG00000000544	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0022027	MGP_SPRETEiJ_G0015620	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0022027
MGP_CAROLIEiJ_P0020963	MGP_CAROLIEiJ_G0014813	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0076230	MGP_PahariEiJ_G0028050	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000004986	ENSRNOG00000003740	Rattus_norvegicus
ENSMUGP00000018785	ENSMUGG00000015931	Meriones_unguiculatus
ENSMUGP00000018767	ENSMUGG00000015927	Meriones_unguiculatus
ENSCGRP00000023300	ENSCGRG00000016871	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001026387	ENSCGRG00001023721	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015010886	ENSCGRG00015008368	Cricetulus_griseus_CriGri-PICR
ENSPEMP00000025200	ENSPEMG00000021697	Peromyscus_maniculatus_bairdii
ENSNGAP00000020691	ENSNGAG00000020099	Nannospalax_galili
ENSCAPP00000007364	ENSCAPG00000009312	Cavia_aperea	ENSCAPT00000011055
ENSCPOP00000000076	ENSCPOG00000000085	Cavia_porcellus	ENSCPOT00000000086
ENSODEP00000003045	ENSODEG00000002337	Octodon_degus	ENSODET00000003111
ENSSTOP00000009388	ENSSTOG00000010462	Ictidomys_tridecemlineatus
ENSSDAP00000004617	ENSSDAG00000004328	Spermophilus_dauricus
ENSUPAP00010008290	ENSUPAG00010006665	Urocitellus_parryii
ENSMMMP00000023460	ENSMMMG00000020543	Marmota_marmota_marmota
ENSDORP00000023031	ENSDORG00000029392	Dipodomys_ordii	ENSDORT00000035660
ENSEEUP00000006573	ENSEEUG00000007213	Erinaceus_europaeus
ENSLAFP00000015654	ENSLAFG00000018676	Loxodonta_africana
ENSPCAP00000008201	ENSPCAG00000008797	Procavia_capensis
ENSETEP00000016111	ENSETEG00000019832	Echinops_telfairi
ENSOANP00000030994	ENSOANG00000031339	Ornithorhynchus_anatinus
ENSPVIP00000013744	ENSPVIG00000010631	Pogona_vitticeps
ENSACAP00000009473	ENSACAG00000009675	Anolis_carolinensis
ENSNSUP00000022254	ENSNSUG00000016187	Notechis_scutatus
ENSSMRP00000002567	ENSSMRG00000002230	Salvator_merianae
ENSSPUP00000024221	ENSSPUG00000018567	Sphenodon_punctatus
ENSCPUP00000005476	ENSCPUG00000004014	Calidris_pugnax
ENSCPGP00000000507	ENSCPGG00000000425	Calidris_pygmaea
ENSMUNP00000009191	ENSMUNG00000007257	Melopsittacus_undulatus
ENSLSDP00000013727	ENSLSDG00000009944	Lonchura_striata_domestica
ENSTGUP00000013910	ENSTGUG00000013510	Taeniopygia_guttata
ENSSCAP00000016923	ENSSCAG00000012307	Serinus_canaria
ENSJHYP00000003373	ENSJHYG00000002686	Junco_hyemalis
ENSZALP00000017530	ENSZALG00000014151	Zonotrichia_albicollis
ENSFALP00000001616	ENSFALG00000001556	Ficedula_albicollis
ENSCCEP00000002499	ENSCCEG00000002774	Cyanistes_caeruleus
ENSPMJP00000016188	ENSPMJG00000012251	Parus_major
ENSMVIP00005007290	ENSMVIG00005005484	Manacus_vitellinus
ENSLCOP00000012138	ENSLCOG00000008803	Lepidothrix_coronata
ENSMGAP00000015279	ENSMGAG00000014436	Meleagris_gallopavo
ENSCJPP00005003111	ENSCJPG00005003349	Coturnix_japonica
ENSGALP00000064471	ENSGALG00000044138	Gallus_gallus
ENSNMEP00000011042	ENSNMEG00000010390	Numida_meleagris
ENSABRP00000001608	ENSABRG00000001649	Anser_brachyrhynchus
ENSAPLP00000006054	ENSAPLG00000006451	Anas_platyrhynchos_platyrhynchos
ENSAOWP00000003606	ENSAOWG00000002537	Apteryx_owenii
ENSAHAP00000017126	ENSAHAG00000012202	Apteryx_haastii
ENSARWP00000003951	ENSARWG00000002924	Apteryx_rowi
ENSDNVP00000006574	ENSDNVG00000004708	Dromaius_novaehollandiae
ENSNPEP00000018973	ENSNPEG00000014144	Nothoprocta_perdicaria
ENSCPRP00005015985	ENSCPRG00005011174	Crocodylus_porosus
ENSGAGP00000014909	ENSGAGG00000011273	Gopherus_agassizii
ENSCABP00000008380	ENSCABG00000006326	Chelonoidis_abingdonii
ENSCPBP00000007725	ENSCPBG00000006080	Chrysemys_picta_bellii
ENSPSIP00000010814	ENSPSIG00000009806	Pelodiscus_sinensis
ENSXETP00000011705	ENSXETG00000015411	Xenopus_tropicalis
ENSAMXP00000031621	ENSAMXG00000030850	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005029159	ENSAMXG00005014436	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000005289	ENSPNAG00000011569	Pygocentrus_nattereri
ENSEEEP00000024610	ENSEEEG00000011929	Electrophorus_electricus
ENSIPUP00000016958	ENSIPUG00000011515	Ictalurus_punctatus
ENSIPUP00000017119	ENSIPUG00000011576	Ictalurus_punctatus
ENSIPUP00000017013	ENSIPUG00000011542	Ictalurus_punctatus
ENSCHAP00000051700	ENSCHAG00000023641	Clupea_harengus
ENSORLP00015033602	ENSORLG00015019087	Oryzias_latipes_ASM223469v1
ENSORLP00015033580	ENSORLG00015019077	Oryzias_latipes_ASM223469v1
ENSORLP00015018011	ENSORLG00015019069	Oryzias_latipes_ASM223469v1
ENSORLP00000041907	ENSORLG00000027047	Oryzias_latipes_ASM223467v1
ENSORLP00020033655	ENSORLG00020019765	Oryzias_latipes_ASM223471v1
ENSOMEP00000011250	ENSOMEG00000012559	Oryzias_melastigma
ENSORLP00015017961	ENSORLG00015019001	Oryzias_latipes_ASM223469v1
ENSOMEP00000011277	ENSOMEG00000000321	Oryzias_melastigma
ENSGWIP00000049869	ENSGWIG00000024302	Gouania_willdenowi
ENSATEP00000023107	ENSATEG00000016019	Anabas_testudineus
ENSMZEP00005007978	ENSMZEG00005006086	Maylandia_zebra
ENSHBUP00000035123	ENSHBUG00000000969	Haplochromis_burtoni
ENSNBRP00000027012	ENSNBRG00000020594	Neolamprologus_brichardi
ENSMZEP00005007936	ENSMZEG00005006050	Maylandia_zebra
ENSACLP00000030698	ENSACLG00000020784	Astatotilapia_calliptera
ENSONIP00000004264	ENSONIG00000003386	Oreochromis_niloticus
ENSGWIP00000004469	ENSGWIG00000002411	Gouania_willdenowi
ENSXMAP00000001917	ENSXMAG00000001917	Xiphophorus_maculatus
ENSXCOP00000000768	ENSXCOG00000000652	Xiphophorus_couchianus
ENSGAFP00000012704	ENSGAFG00000008579	Gambusia_affinis
ENSPMEP00000021105	ENSPMEG00000001062	Poecilia_mexicana
ENSPLAP00000031558	ENSPLAG00000023648	Poecilia_latipinna
ENSPLAP00000031574	ENSPLAG00000023685	Poecilia_latipinna
ENSFHEP00000008866	ENSFHEG00000010075	Fundulus_heteroclitus
ENSCVAP00000007976	ENSCVAG00000009724	Cyprinodon_variegatus
ENSCVAP00000007940	ENSCVAG00000009686	Cyprinodon_variegatus
ENSKMAP00000015122	ENSKMAG00000011310	Kryptolebias_marmoratus
ENSAPOP00000012538	ENSAPOG00000015231	Acanthochromis_polyacanthus
ENSMALP00000019585	ENSMALG00000013679	Monopterus_albus
ENSCSEP00000001543	ENSCSEG00000001046	Cynoglossus_semilaevis
ENSAOCP00000012344	ENSAOCG00000016794	Amphiprion_ocellaris
ENSAPEP00000034599	ENSAPEG00000024570	Amphiprion_percula
ENSSPAP00000020055	ENSSPAG00000015105	Stegastes_partitus
ENSHCOP00000027996	ENSHCOG00000020286	Hippocampus_comes
ENSSLDP00000014066	ENSSLDG00000011227	Seriola_lalandi_dorsalis
ENSSMAP00000021489	ENSSMAG00000013175	Scophthalmus_maximus
ENSLCAP00010012737	ENSLCAG00010006032	Lates_calcarifer
ENSMAMP00000014985	ENSMAMG00000010179	Mastacembelus_armatus
ENSLCRP00005034390	ENSLCRG00005013495	Larimichthys_crocea
ENSLBEP00000033907	ENSLBEG00000025525	Labrus_bergylta
ENSGACP00000019952	ENSGACG00000015128	Gasterosteus_aculeatus
ENSTNIP00000012381	ENSTNIG00000009508	Tetraodon_nigroviridis
ENSTNIP00000022922	ENSTNIG00000019677	Tetraodon_nigroviridis
ENSTRUP00000043620	ENSTRUG00000017031	Takifugu_rubripes
ENSMMOP00000024483	ENSMMOG00000018626	Mola_mola
ENSHHUP00000050898	ENSHHUG00000030683	Hucho_hucho
ENSELUP00000011652	ENSELUG00000011977	Esox_lucius
ENSPNAP00000017086	ENSPNAG00000023290	Pygocentrus_nattereri
ENSAMXP00000002432	ENSAMXG00000002379	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSIPUP00000021305	ENSIPUG00000014457	Ictalurus_punctatus
ENSDARP00000121018	ENSDARG00000040898	Danio_rerio
ENSCHAP00000043453	ENSCHAG00000020206	Clupea_harengus
ENSHHUP00000019160	ENSHHUG00000011961	Hucho_hucho
ENSELUP00000040444	ENSELUG00000020919	Esox_lucius
ENSTNIP00000016899	ENSTNIG00000013894	Tetraodon_nigroviridis
ENSLCRP00005029374	ENSLCRG00005011646	Larimichthys_crocea
ENSXMAP00000036216	ENSXMAG00000011769	Xiphophorus_maculatus
ENSXCOP00000025273	ENSXCOG00000018874	Xiphophorus_couchianus
ENSGAFP00000031559	ENSGAFG00000021265	Gambusia_affinis
ENSPFOP00000014913	ENSPFOG00000014866	Poecilia_formosa
ENSPLAP00000016306	ENSPLAG00000020425	Poecilia_latipinna
ENSPMEP00000033898	ENSPMEG00000022702	Poecilia_mexicana
ENSPREP00000014342	ENSPREG00000009722	Poecilia_reticulata
ENSFHEP00000012555	ENSFHEG00000014050	Fundulus_heteroclitus
ENSCVAP00000012589	ENSCVAG00000015004	Cyprinodon_variegatus
ENSKMAP00000000557	ENSKMAG00000000391	Kryptolebias_marmoratus
ENSORLP00000044385	ENSORLG00000012710	Oryzias_latipes_ASM223467v1
ENSORLP00020027259	ENSORLG00020010161	Oryzias_latipes_ASM223471v1
ENSORLP00015012482	ENSORLG00015013383	Oryzias_latipes_ASM223469v1
ENSOMEP00000009177	ENSOMEG00000010363	Oryzias_melastigma
ENSAOCP00000008284	ENSAOCG00000012250	Amphiprion_ocellaris
ENSAPEP00000010578	ENSAPEG00000007598	Amphiprion_percula
ENSAPOP00000006524	ENSAPOG00000000220	Acanthochromis_polyacanthus
ENSMMOP00000026225	ENSMMOG00000019886	Mola_mola
ENSSDUP00000008136	ENSSDUG00000005959	Seriola_dumerili
ENSSLDP00000023861	ENSSLDG00000018601	Seriola_lalandi_dorsalis
ENSSMAP00000031866	ENSSMAG00000019530	Scophthalmus_maximus
ENSMALP00000008520	ENSMALG00000006063	Monopterus_albus
ENSMAMP00000024036	ENSMAMG00000016075	Mastacembelus_armatus
ENSPRNP00000055207	ENSPRNG00000025899	Parambassis_ranga
ENSLCAP00010050444	ENSLCAG00010023532	Lates_calcarifer
ENSCSEP00000006351	ENSCSEG00000004112	Cynoglossus_semilaevis
ENSMZEP00005029568	ENSMZEG00005022051	Maylandia_zebra
ENSACLP00000002402	ENSACLG00000001621	Astatotilapia_calliptera
ENSHBUP00000004016	ENSHBUG00000005310	Haplochromis_burtoni
ENSONIP00000017825	ENSONIG00000014182	Oreochromis_niloticus
ENSNBRP00000005140	ENSNBRG00000004045	Neolamprologus_brichardi
ENSACIP00000029040	ENSACIG00000022491	Amphilophus_citrinellus
ENSBSLP00000028167	ENSBSLG00000014058	Betta_splendens
ENSHCOP00000002944	ENSHCOG00000004183	Hippocampus_comes
ENSCGOP00000007251	ENSCGOG00000003699	Cottoperca_gobio
ENSGACP00000004144	ENSGACG00000003161	Gasterosteus_aculeatus
ENSGWIP00000033006	ENSGWIG00000016957	Gouania_willdenowi
ENSPMGP00000012969	ENSPMGG00000010696	Periophthalmus_magnuspinnatus
ENSGMOP00000012406	ENSGMOG00000011606	Gadus_morhua
ENSDCDP00000061904	ENSDCDG00000035202	Denticeps_clupeoides
ENSSFOP00015013018	ENSSFOG00015008380	Scleropages_formosus
ENSLOCP00000011823	ENSLOCG00000009679	Lepisosteus_oculatus
ENSECRP00000003518	ENSECRG00000002415	Erpetoichthys_calabaricus
ENSCMIP00000000478	ENSCMIG00000000336	Callorhinchus_milii
