ENSPCIP00000021194	ENSPCIG00000016085	Phascolarctos_cinereus	ENSPCIT00000026151
ENSVURP00010017338	ENSVURG00010013236	Vombatus_ursinus	ENSVURT00010019691
ENSMEUP00000003159	ENSMEUG00000003452	Notamacropus_eugenii	ENSMEUT00000003470
ENSSHAP00000010884	ENSSHAG00000009383	Sarcophilus_harrisii	ENSSHAT00000010978
ENSMODP00000002395	ENSMODG00000001964	Monodelphis_domestica	ENSMODT00000002445
ENSMNEP00000021424	ENSMNEG00000034444	Macaca_nemestrina
ENSMUGP00000031421	ENSMUGG00000026136	Meriones_unguiculatus
ENSNGAP00000018481	ENSNGAG00000018597	Nannospalax_galili
ENSJJAP00000022213	ENSJJAG00000022320	Jaculus_jaculus
ENSOCUP00000004570	ENSOCUG00000005266	Oryctolagus_cuniculus
ENSOPRP00000003740	ENSOPRG00000004050	Ochotona_princeps
ENSPVAP00000009317	ENSPVAG00000009883	Pteropus_vampyrus
ENSMLUP00000007839	ENSMLUG00000008565	Myotis_lucifugus
ENSECAP00000009484	ENSECAG00000011448	Equus_caballus
ENSEASP00005016080	ENSEASG00005011056	Equus_asinus_asinus
ENSOARP00000019712	ENSOARG00000018358	Ovis_aries
ENSCHIP00000003621	ENSCHIG00000007729	Capra_hircus
ENSBIXP00000043891	ENSBIXG00000028070	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005036310	ENSBIXG00005018029	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000022522	ENSBTAG00000016932	Bos_taurus
ENSBMUP00000013480	ENSBMUG00000010085	Bos_mutus
ENSBBBP00000013032	ENSBBBG00000020990	Bison_bison_bison
ENSTTRP00000014213	ENSTTRG00000014982	Tursiops_truncatus
ENSSSCP00000023033	ENSSSCG00000021791	Sus_scrofa_strain_reference
ENSVPAP00000011375	ENSVPAG00000012233	Vicugna_pacos
ENSAMEP00000004005	ENSAMEG00000003787	Ailuropoda_melanoleuca	ENSAMET00000004168
ENSUMAP00000003936	ENSUMAG00000002805	Ursus_maritimus	ENSUMAT00000004812
ENSNVIP00000022672	ENSNVIG00000017530	Neovison_vison	ENSNVIT00000026382
ENSMPUP00000011593	ENSMPUG00000011687	Mustela_putorius_furo
ENSCAFP00000037040	ENSCAFG00000029915	Canis_lupus_familiaris
ENSCAFP00020011372	ENSCAFG00020008889	Canis_lupus_dingo
ENSVVUP00000029720	ENSVVUG00000021731	Vulpes_vulpes
ENSPTIP00000017853	ENSPTIG00000015934	Panthera_tigris_altaica
ENSPPRP00000005466	ENSPPRG00000001509	Panthera_pardus
ENSFCAP00000017502	ENSFCAG00000026175	Felis_catus
ENSEEUP00000003124	ENSEEUG00000003382	Erinaceus_europaeus
ENSSARP00000007450	ENSSARG00000008214	Sorex_araneus
ENSCHOP00000000994	ENSCHOG00000001119	Choloepus_hoffmanni
ENSNGAP00000008163	ENSNGAG00000011222	Nannospalax_galili
ENSTSYP00000018196	ENSTSYG00000013480	Carlito_syrichta
ENSDNOP00000005373	ENSDNOG00000006926	Dasypus_novemcinctus
ENSUAMP00000022071	ENSUAMG00000016519	Ursus_americanus	ENSUAMT00000024677
ENSLAFP00000004627	ENSLAFG00000005511	Loxodonta_africana
ENSPCAP00000000471	ENSPCAG00000000445	Procavia_capensis	ENSPCAT00000000502
ENSETEP00000010583	ENSETEG00000013041	Echinops_telfairi	ENSETET00000013044
ENSOANP00000011962	ENSOANG00000007510	Ornithorhynchus_anatinus	ENSOANT00000011964
ENSOANP00000029482	ENSOANG00000031056	Ornithorhynchus_anatinus	ENSOANT00000038726
ENSPVIP00000025940	ENSPVIG00000019397	Pogona_vitticeps
ENSPVIP00000003936	ENSPVIG00000003212	Pogona_vitticeps
ENSACAP00000011610	ENSACAG00000011843	Anolis_carolinensis
ENSNSUP00000021912	ENSNSUG00000015922	Notechis_scutatus
ENSSMRP00000005695	ENSSMRG00000004605	Salvator_merianae
ENSSPUP00000024297	ENSSPUG00000018566	Sphenodon_punctatus
ENSCCEP00000016918	ENSCCEG00000015726	Cyanistes_caeruleus
ENSPMJP00000014735	ENSPMJG00000011170	Parus_major
ENSFALP00000006775	ENSFALG00000006491	Ficedula_albicollis
ENSLSDP00000006901	ENSLSDG00000005203	Lonchura_striata_domestica
ENSTGUP00000014029	ENSTGUG00000013624	Taeniopygia_guttata
ENSSCAP00000023443	ENSSCAG00000016808	Serinus_canaria
ENSJHYP00000013024	ENSJHYG00000010117	Junco_hyemalis
ENSZALP00000019384	ENSZALG00000015380	Zonotrichia_albicollis
ENSMVIP00005015396	ENSMVIG00005011093	Manacus_vitellinus
ENSLCOP00000012530	ENSLCOG00000009065	Lepidothrix_coronata
ENSMUNP00000006220	ENSMUNG00000005022	Melopsittacus_undulatus
ENSCPUP00000006366	ENSCPUG00000004649	Calidris_pugnax
ENSCPGP00000009400	ENSCPGG00000006602	Calidris_pygmaea
ENSAPLP00000002124	ENSAPLG00000002660	Anas_platyrhynchos_platyrhynchos
ENSABRP00000009220	ENSABRG00000008233	Anser_brachyrhynchus
ENSGALP00000064367	ENSGALG00000044642	Gallus_gallus
ENSCJPP00005022031	ENSCJPG00005017602	Coturnix_japonica
ENSMGAP00000015206	ENSMGAG00000014372	Meleagris_gallopavo
ENSNMEP00000020106	ENSNMEG00000017264	Numida_meleagris
ENSARWP00000008460	ENSARWG00000005816	Apteryx_rowi
ENSAOWP00000026147	ENSAOWG00000017610	Apteryx_owenii
ENSAHAP00000021882	ENSAHAG00000015384	Apteryx_haastii
ENSDNVP00000010136	ENSDNVG00000007164	Dromaius_novaehollandiae
ENSNPEP00000007830	ENSNPEG00000005865	Nothoprocta_perdicaria
ENSCPRP00005015473	ENSCPRG00005010849	Crocodylus_porosus
ENSGAGP00000000204	ENSGAGG00000000157	Gopherus_agassizii
ENSCABP00000005228	ENSCABG00000003925	Chelonoidis_abingdonii
ENSCPBP00000005491	ENSCPBG00000004364	Chrysemys_picta_bellii
ENSPSIP00000004270	ENSPSIG00000004023	Pelodiscus_sinensis
ENSXETP00000038678	ENSXETG00000016985	Xenopus_tropicalis
ENSLACP00000000803	ENSLACG00000000719	Latimeria_chalumnae
ENSDCDP00000006115	ENSDCDG00000003108	Denticeps_clupeoides
ENSCHAP00000057487	ENSCHAG00000025967	Clupea_harengus
ENSAMXP00000031548	ENSAMXG00000042301	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005022429	ENSAMXG00005011562	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000020233	ENSPNAG00000027064	Pygocentrus_nattereri
ENSEEEP00000047284	ENSEEEG00000022256	Electrophorus_electricus
ENSIPUP00000014364	ENSIPUG00000009810	Ictalurus_punctatus
ENSDARP00000081302	ENSDARG00000061138	Danio_rerio
ENSSMAP00000000029	ENSSMAG00000000019	Scophthalmus_maximus
ENSCSEP00000013831	ENSCSEG00000008894	Cynoglossus_semilaevis
ENSORLP00000043761	ENSORLG00000029608	Oryzias_latipes_ASM223467v1
ENSORLP00015028538	ENSORLG00015011227	Oryzias_latipes_ASM223469v1
ENSOMEP00000005751	ENSOMEG00000006756	Oryzias_melastigma
ENSCVAP00000003423	ENSCVAG00000004590	Cyprinodon_variegatus
ENSGWIP00000003986	ENSGWIG00000002140	Gouania_willdenowi
ENSPMEP00000009766	ENSPMEG00000011635	Poecilia_mexicana
ENSPLAP00000024018	ENSPLAG00000009863	Poecilia_latipinna
ENSPFOP00000005218	ENSPFOG00000005264	Poecilia_formosa
ENSPREP00000015583	ENSPREG00000010522	Poecilia_reticulata
ENSGAFP00000000062	ENSGAFG00000000042	Gambusia_affinis
ENSXMAP00000006017	ENSXMAG00000006002	Xiphophorus_maculatus
ENSXCOP00000014546	ENSXCOG00000011025	Xiphophorus_couchianus
ENSFHEP00000009417	ENSFHEG00000010642	Fundulus_heteroclitus
ENSLCAP00010024164	ENSLCAG00010011326	Lates_calcarifer
ENSPRNP00000005250	ENSPRNG00000003091	Parambassis_ranga
ENSSDUP00000004580	ENSSDUG00000003411	Seriola_dumerili
ENSACLP00000010558	ENSACLG00000007218	Astatotilapia_calliptera
ENSHBUP00000020676	ENSHBUG00000022938	Haplochromis_burtoni
ENSACLP00000003554	ENSACLG00000002414	Astatotilapia_calliptera
ENSPNYP00000019743	ENSPNYG00000014935	Pundamilia_nyererei
ENSMZEP00005017583	ENSMZEG00005013233	Maylandia_zebra
ENSONIP00000011809	ENSONIG00000009397	Oreochromis_niloticus
ENSLBEP00000035627	ENSLBEG00000026725	Labrus_bergylta
ENSTRUP00000053244	ENSTRUG00000020241	Takifugu_rubripes
ENSCGOP00000032450	ENSCGOG00000015108	Cottoperca_gobio
ENSLCRP00005013747	ENSLCRG00005005953	Larimichthys_crocea
ENSATEP00000012032	ENSATEG00000008412	Anabas_testudineus
ENSMALP00000005717	ENSMALG00000004080	Monopterus_albus
ENSMAMP00000033705	ENSMAMG00000022662	Mastacembelus_armatus
ENSBSLP00000020452	ENSBSLG00000010456	Betta_splendens
ENSNBRP00000016495	ENSNBRG00000012731	Neolamprologus_brichardi
ENSGACP00000020341	ENSGACG00000015422	Gasterosteus_aculeatus
ENSMMOP00000017611	ENSMMOG00000013371	Mola_mola
ENSLCAP00010055472	ENSLCAG00010025885	Lates_calcarifer
ENSSLDP00000019673	ENSSLDG00000015406	Seriola_lalandi_dorsalis
ENSHCOP00000001689	ENSHCOG00000002694	Hippocampus_comes
ENSGMOP00000000427	ENSGMOG00000000432	Gadus_morhua
ENSHHUP00000086099	ENSHHUG00000049843	Hucho_hucho
ENSHHUP00000074044	ENSHHUG00000043444	Hucho_hucho
ENSHHUP00000002583	ENSHHUG00000001671	Hucho_hucho
ENSELUP00000025103	ENSELUG00000023782	Esox_lucius
ENSSFOP00015002816	ENSSFOG00015001868	Scleropages_formosus
ENSPKIP00000003308	ENSPKIG00000020865	Paramormyrops_kingsleyae
ENSHHUP00000072424	ENSHHUG00000042492	Hucho_hucho
ENSHHUP00000077608	ENSHHUG00000045318	Hucho_hucho
ENSELUP00000019961	ENSELUG00000001534	Esox_lucius
ENSTRUP00000056387	ENSTRUG00000019587	Takifugu_rubripes
ENSTNIP00000018054	ENSTNIG00000015005	Tetraodon_nigroviridis
ENSMMOP00000026092	ENSMMOG00000019786	Mola_mola
ENSLCRP00005041583	ENSLCRG00005015980	Larimichthys_crocea
ENSAOCP00000007609	ENSAOCG00000011462	Amphiprion_ocellaris
ENSPRNP00000044825	ENSPRNG00000021768	Parambassis_ranga
ENSFHEP00000010603	ENSFHEG00000011963	Fundulus_heteroclitus
ENSACIP00000027980	ENSACIG00000021662	Amphilophus_citrinellus
ENSGWIP00000023631	ENSGWIG00000012603	Gouania_willdenowi
ENSBSLP00000045612	ENSBSLG00000021716	Betta_splendens
ENSCSEP00000013000	ENSCSEG00000008395	Cynoglossus_semilaevis
ENSSLDP00000024845	ENSSLDG00000019365	Seriola_lalandi_dorsalis
ENSSDUP00000010845	ENSSDUG00000007932	Seriola_dumerili
ENSSMAP00000003078	ENSSMAG00000001897	Scophthalmus_maximus
ENSLCAP00010021813	ENSLCAG00010010273	Lates_calcarifer
ENSMALP00000005445	ENSMALG00000003919	Monopterus_albus
ENSPFOP00000017078	ENSPFOG00000017001	Poecilia_formosa
ENSPMEP00000032679	ENSPMEG00000020716	Poecilia_mexicana
ENSPLAP00000006030	ENSPLAG00000008075	Poecilia_latipinna
ENSPREP00000010851	ENSPREG00000007415	Poecilia_reticulata
ENSXMAP00000036382	ENSXMAG00000025103	Xiphophorus_maculatus
ENSGAFP00000031478	ENSGAFG00000021213	Gambusia_affinis
ENSCVAP00000012378	ENSCVAG00000014772	Cyprinodon_variegatus
ENSKMAP00000003555	ENSKMAG00000002703	Kryptolebias_marmoratus
ENSORLP00020011567	ENSORLG00020012499	Oryzias_latipes_ASM223471v1
ENSORLP00000034683	ENSORLG00000027938	Oryzias_latipes_ASM223467v1
ENSORLP00015014924	ENSORLG00015015849	Oryzias_latipes_ASM223469v1
ENSOMEP00000011582	ENSOMEG00000012897	Oryzias_melastigma
ENSAPOP00000024960	ENSAPOG00000001142	Acanthochromis_polyacanthus
ENSAPEP00000007593	ENSAPEG00000005498	Amphiprion_percula
ENSSPAP00000008143	ENSSPAG00000006220	Stegastes_partitus
ENSHBUP00000025826	ENSHBUG00000008054	Haplochromis_burtoni
ENSPNYP00000017325	ENSPNYG00000013105	Pundamilia_nyererei
ENSACLP00000040239	ENSACLG00000027114	Astatotilapia_calliptera
ENSMZEP00005029267	ENSMZEG00005021827	Maylandia_zebra
ENSNBRP00000003558	ENSNBRG00000002845	Neolamprologus_brichardi
ENSONIP00000008462	ENSONIG00000006700	Oreochromis_niloticus
ENSGACP00000003618	ENSGACG00000002766	Gasterosteus_aculeatus
ENSATEP00000011444	ENSATEG00000007992	Anabas_testudineus
ENSMAMP00000025821	ENSMAMG00000017332	Mastacembelus_armatus
ENSCGOP00000042895	ENSCGOG00000019376	Cottoperca_gobio
ENSLBEP00000007404	ENSLBEG00000005712	Labrus_bergylta
ENSPMGP00000012439	ENSPMGG00000010256	Periophthalmus_magnuspinnatus
ENSHCOP00000028372	ENSHCOG00000020995	Hippocampus_comes
ENSGMOP00000017772	ENSGMOG00000016566	Gadus_morhua
ENSAMXP00000028881	ENSAMXG00000029584	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005000098	ENSAMXG00005000051	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000000959	ENSPNAG00000000512	Pygocentrus_nattereri
ENSIPUP00000016435	ENSIPUG00000011141	Ictalurus_punctatus
ENSEEEP00000016674	ENSEEEG00000008260	Electrophorus_electricus
ENSDARP00000083972	ENSDARG00000062148	Danio_rerio
ENSDCDP00000006955	ENSDCDG00000003690	Denticeps_clupeoides
ENSCHAP00000011722	ENSCHAG00000006591	Clupea_harengus
ENSPKIP00000032607	ENSPKIG00000012646	Paramormyrops_kingsleyae
ENSSFOP00015015461	ENSSFOG00015009985	Scleropages_formosus
ENSLOCP00000011612	ENSLOCG00000009501	Lepisosteus_oculatus
ENSCMIP00000047803	ENSCMIG00000019563	Callorhinchus_milii
