ENSBBBP00000017691	ENSBBBG00000000059	Bison_bison_bison
ENSMZEP00005002078	ENSMZEG00005001667	Maylandia_zebra
ENSCPUP00000028694	ENSCPUG00000019291	Calidris_pugnax
ENSPMJP00000021980	ENSPMJG00000016323	Parus_major
ENSEEUP00000009159	ENSEEUG00000010057	Erinaceus_europaeus
ENSFHEP00000034368	ENSFHEG00000022030	Fundulus_heteroclitus
ENSCGRP00015024136	ENSCGRG00015018101	Cricetulus_griseus_CriGri-PICR
ENSCCNP00000014086	ENSCCNG00000014564	Castor_canadensis
ENSMLUP00000014980	ENSMLUG00000016434	Myotis_lucifugus
ENSMUSP00000084656	ENSMUSG00000029088	Mus_musculus_strain_reference_(CL57BL6)
ENSAMXP00005036063	ENSAMXG00005017260	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSHGLP00100004088	ENSHGLG00100003114	Heterocephalus_glaber_HetGla_1.0
ENSPRNP00000044958	ENSPRNG00000021827	Parambassis_ranga
ENSOMEP00000004723	ENSOMEG00000005776	Oryzias_melastigma
ENSSMAP00000016205	ENSSMAG00000009912	Scophthalmus_maximus
ENSCHOP00000002398	ENSCHOG00000002704	Choloepus_hoffmanni
ENSABRP00000016823	ENSABRG00000014740	Anser_brachyrhynchus
ENSSMRP00000001683	ENSSMRG00000001469	Salvator_merianae
ENSLSDP00000010157	ENSLSDG00000007485	Lonchura_striata_domestica
ENSNSUP00000014398	ENSNSUG00000010661	Notechis_scutatus
ENSGMOP00000008239	ENSGMOG00000007703	Gadus_morhua
ENSDORP00000014707	ENSDORG00000015626	Dipodomys_ordii
ENSSPUP00000005203	ENSSPUG00000004017	Sphenodon_punctatus
ENSLCOP00000013758	ENSLCOG00000009911	Lepidothrix_coronata
ENSFCAP00000051170	ENSFCAG00000014899	Felis_catus
ENSARWP00000005229	ENSARWG00000003760	Apteryx_rowi
ENSMOCP00000010404	ENSMOCG00000010621	Microtus_ochrogaster
ENSTGEP00000035214	ENSTGEG00000028044	Theropithecus_gelada
ENSEEEP00000009087	ENSEEEG00000004681	Electrophorus_electricus
ENSHGLP00000012595	ENSHGLG00000009003	Heterocephalus_glaber_HetGla_female_1.0
ENSCPRP00005006713	ENSCPRG00005004785	Crocodylus_porosus
ENSPTEP00000029338	ENSPTEG00000028740	Piliocolobus_tephrosceles
ENSPPYP00000016349	ENSPPYG00000014635	Pongo_abelii
ENSDARP00000108189	ENSDARG00000088100	Danio_rerio
ENSMSIP00000002027	ENSMSIG00000001903	Mus_spicilegus
ENSGALP00000057074	ENSGALG00000034621	Gallus_gallus
ENSAPLP00000031948	ENSAPLG00000009534	Anas_platyrhynchos_platyrhynchos
ENSXETP00000041907	ENSXETG00000020452	Xenopus_tropicalis
ENSORLP00015029339	ENSORLG00015012445	Oryzias_latipes_ASM223469v1
ENSAPEP00000031998	ENSAPEG00000022684	Amphiprion_percula
ENSACAP00000001175	ENSACAG00000001279	Anolis_carolinensis
ENSSBOP00000037547	ENSSBOG00000034826	Saimiri_boliviensis_boliviensis
ENSOCUP00000001890	ENSOCUG00000002189	Oryctolagus_cuniculus
ENSPPAP00000021306	ENSPPAG00000033844	Pan_paniscus
ENSPKIP00000019941	ENSPKIG00000004893	Paramormyrops_kingsleyae
ENSNMEP00000022400	ENSNMEG00000019178	Numida_meleagris
ENSMGAP00000013173	ENSMGAG00000012506	Meleagris_gallopavo
ENSUPAP00010022863	ENSUPAG00010017944	Urocitellus_parryii
MGP_SPRETEiJ_P0070764	MGP_SPRETEiJ_G0028206	Mus_spretus_strain_SPRET/EiJ
ENSBSLP00000035997	ENSBSLG00000017625	Betta_splendens
ENSSLDP00000009025	ENSSLDG00000007147	Seriola_lalandi_dorsalis
ENSPNAP00000001608	ENSPNAG00000008297	Pygocentrus_nattereri
ENSAMXP00000030997	ENSAMXG00000031041	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMODP00000060450	ENSMODG00000000625	Monodelphis_domestica
ENSCMIP00000023407	ENSCMIG00000010482	Callorhinchus_milii
ENSPMEP00000013793	ENSPMEG00000016127	Poecilia_mexicana
ENSCPOP00000028448	ENSCPOG00000038077	Cavia_porcellus
ENSPEMP00000000994	ENSPEMG00000000713	Peromyscus_maniculatus_bairdii
ENSGGOP00000044182	ENSGGOG00000038375	Gorilla_gorilla
ENSPSMP00000003635	ENSPSMG00000002608	Prolemur_simus
ENSONIP00000009615	ENSONIG00000007630	Oreochromis_niloticus
ENSMUGP00000030915	ENSMUGG00000025718	Meriones_unguiculatus
ENSCJPP00005023137	ENSCJPG00005018389	Coturnix_japonica
ENSECRP00000004502	ENSECRG00000003040	Erpetoichthys_calabaricus
ENSCAFP00000050425	ENSCAFG00000016537	Canis_lupus_familiaris
ENSBTAP00000073596	ENSBTAG00000047743	Bos_taurus
ENSACLP00000001902	ENSACLG00000001315	Astatotilapia_calliptera
ENSMEUP00000013309	ENSMEUG00000014572	Notamacropus_eugenii
ENSACIP00000012660	ENSACIG00000009882	Amphilophus_citrinellus
ENSJJAP00000013613	ENSJJAG00000016294	Jaculus_jaculus
ENSVVUP00000018051	ENSVVUG00000013290	Vulpes_vulpes
ENSLCAP00010036245	ENSLCAG00010016993	Lates_calcarifer
ENSCHIP00000032148	ENSCHIG00000026213	Capra_hircus
ENSPFOP00000001834	ENSPFOG00000001854	Poecilia_formosa
ENSPTIP00000013056	ENSPTIG00000012906	Panthera_tigris_altaica
ENSCPGP00000018108	ENSCPGG00000012664	Calidris_pygmaea
ENSMMUP00000058962	ENSMMUG00000030380	Macaca_mulatta
ENSDARP00000054201	ENSDARG00000037256	Danio_rerio
ENSSFOP00015028720	ENSSFOG00015018405	Scleropages_formosus
ENSBIXP00005035107	ENSBIXG00005016282	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSGAGP00000016487	ENSGAGG00000012335	Gopherus_agassizii
ENSAOCP00000010601	ENSAOCG00000014839	Amphiprion_ocellaris
ENSEEEP00000007400	ENSEEEG00000003883	Electrophorus_electricus
ENSETEP00000008326	ENSETEG00000010253	Echinops_telfairi
ENSSFOP00015002277	ENSSFOG00015001513	Scleropages_formosus	ENSSFOT00015002321
ENSSHAP00000021238	ENSSHAG00000018003	Sarcophilus_harrisii
ENSRBIP00000008310	ENSRBIG00000028034	Rhinopithecus_bieti
ENSCGRP00001019552	ENSCGRG00001018947	Cricetulus_griseus_CHOK1GS_HDv1
ENSBMUP00000010883	ENSBMUG00000008314	Bos_mutus
ENSCVAP00000032635	ENSCVAG00000022800	Cyprinodon_variegatus
ENSAMXP00005052454	ENSAMXG00005023607	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPANP00000039873	ENSPANG00000001124	Papio_anubis
ENSMPUP00000016639	ENSMPUG00000016743	Mustela_putorius_furo
ENSP00000371587	ENSG00000185774	Homo_sapiens
ENSMAMP00000007971	ENSMAMG00000005426	Mastacembelus_armatus
ENSMICP00000029525	ENSMICG00000035356	Microcebus_murinus
ENSCCAP00000003616	ENSCCAG00000018484	Cebus_capucinus_imitator
ENSPCAP00000002134	ENSPCAG00000002294	Procavia_capensis
ENSHHUP00000081998	ENSHHUG00000047651	Hucho_hucho
ENSATEP00000024216	ENSATEG00000016803	Anabas_testudineus
ENSUAMP00000029721	ENSUAMG00000022855	Ursus_americanus
ENSPNYP00000009124	ENSPNYG00000006925	Pundamilia_nyererei
ENSPSIP00000016193	ENSPSIG00000014413	Pelodiscus_sinensis
ENSBIXP00000024065	ENSBIXG00000005496	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSTOP00000012820	ENSSTOG00000014315	Ictidomys_tridecemlineatus
ENSHBUP00000024123	ENSHBUG00000005352	Haplochromis_burtoni
ENSRROP00000000563	ENSRROG00000001860	Rhinopithecus_roxellana
ENSOGAP00000011505	ENSOGAG00000012838	Otolemur_garnettii
ENSPKIP00000015576	ENSPKIG00000002241	Paramormyrops_kingsleyae	ENSPKIT00000040045
ENSSARP00000003392	ENSSARG00000003773	Sorex_araneus
ENSTGUP00000009859	ENSTGUG00000009548	Taeniopygia_guttata
ENSOPRP00000006901	ENSOPRG00000007545	Ochotona_princeps
ENSCABP00000009085	ENSCABG00000006825	Chelonoidis_abingdonii
ENSFALP00000009616	ENSFALG00000009214	Ficedula_albicollis
ENSORLP00000028742	ENSORLG00000004748	Oryzias_latipes_ASM223467v1
ENSPMAP00000010552	ENSPMAG00000009597	Petromyzon_marinus
ENSHHUP00000080311	ENSHHUG00000046758	Hucho_hucho
ENSPREP00000028128	ENSPREG00000018931	Poecilia_reticulata
ENSMUNP00000021280	ENSMUNG00000016099	Melopsittacus_undulatus
ENSMVIP00005009854	ENSMVIG00005007247	Manacus_vitellinus
ENSCANP00000030999	ENSCANG00000039142	Colobus_angolensis_palliatus
ENSORLP00020030449	ENSORLG00020014931	Oryzias_latipes_ASM223471v1
ENSPTRP00000046352	ENSPTRG00000015948	Pan_troglodytes
ENSOANP00000010651	ENSOANG00000006672	Ornithorhynchus_anatinus
