ENSSCAP00000022063	ENSSCAG00000015849	Serinus_canaria
ENSLAFP00000001484	ENSLAFG00000001776	Loxodonta_africana
ENSNBRP00000002558	ENSNBRG00000001791	Neolamprologus_brichardi
ENSMGAP00000001664	ENSMGAG00000014644	Meleagris_gallopavo
ENSPNAP00000033734	ENSPNAG00000022652	Pygocentrus_nattereri	ENSPNAT00000024949
ENSAOWP00000018211	ENSAOWG00000012441	Apteryx_owenii
ENSLSDP00000008765	ENSLSDG00000006536	Lonchura_striata_domestica
ENSCPUP00000012395	ENSCPUG00000008779	Calidris_pugnax
ENSPTRP00000067916	ENSPTRG00000021753	Pan_troglodytes
ENSTGEP00000029157	ENSTGEG00000023429	Theropithecus_gelada
ENSPMGP00000015885	ENSPMGG00000013016	Periophthalmus_magnuspinnatus
ENSMALP00000012832	ENSMALG00000009057	Monopterus_albus
FBpp0083514	FBgn0259113	Drosophila_melanogaster	FBtr0084115
ENSEASP00005025879	ENSEASG00005017209	Equus_asinus_asinus
ENSNMEP00000021595	ENSNMEG00000018514	Numida_meleagris
ENSCHAP00000010710	ENSCHAG00000003748	Clupea_harengus	ENSCHAT00000011954
ENSSTOP00000024501	ENSSTOG00000031337	Ictidomys_tridecemlineatus
ENSSMRP00000029710	ENSSMRG00000022838	Salvator_merianae
ENSMFAP00000003405	ENSMFAG00000001338	Macaca_fascicularis
ENSIPUP00000022720	ENSIPUG00000015224	Ictalurus_punctatus	ENSIPUT00000023695
ENSCGRP00000004249	ENSCGRG00000003125	Cricetulus_griseus_CriGri_1.0
ENSPCOP00000012099	ENSPCOG00000017586	Propithecus_coquereli
ENSSDUP00000003623	ENSSDUG00000002748	Seriola_dumerili
ENSNSUP00000014949	ENSNSUG00000011039	Notechis_scutatus
ENSSMAP00000029203	ENSSMAG00000017816	Scophthalmus_maximus
ENSLCOP00000002613	ENSLCOG00000001880	Lepidothrix_coronata
ENSOCUP00000013080	ENSOCUG00000015209	Oryctolagus_cuniculus
ENSDNVP00000009470	ENSDNVG00000006638	Dromaius_novaehollandiae
ENSCJPP00005021647	ENSCJPG00005017303	Coturnix_japonica
ENSABRP00000009372	ENSABRG00000008402	Anser_brachyrhynchus
ENSJJAP00000005689	ENSJJAG00000010480	Jaculus_jaculus
ENSRROP00000045156	ENSRROG00000045487	Rhinopithecus_roxellana
ENSMZEP00005028561	ENSMZEG00005021295	Maylandia_zebra
ENSMICP00000002315	ENSMICG00000002524	Microcebus_murinus
ENSMOCP00000021660	ENSMOCG00000018925	Microtus_ochrogaster
ENSP00000368358	ENSG00000101868	Homo_sapiens
ENSVVUP00000017067	ENSVVUG00000012501	Vulpes_vulpes
ENSXMAP00000022844	ENSXMAG00000019037	Xiphophorus_maculatus
ENSPSMP00000003307	ENSPSMG00000002673	Prolemur_simus
ENSPEMP00000005364	ENSPEMG00000007754	Peromyscus_maniculatus_bairdii
ENSPFOP00000003557	ENSPFOG00000002979	Poecilia_formosa
ENSMEUP00000004295	ENSMEUG00000004673	Notamacropus_eugenii
ENSPMJP00000014772	ENSPMJG00000011212	Parus_major
ENSECAP00000011374	ENSECAG00000013090	Equus_caballus
ENSCCAP00000010901	ENSCCAG00000023145	Cebus_capucinus_imitator
ENSPSIP00000010570	ENSPSIG00000009291	Pelodiscus_sinensis
ENSORLP00015033263	ENSORLG00015018579	Oryzias_latipes_ASM223469v1
ENSSARP00000004816	ENSSARG00000005284	Sorex_araneus
ENSPTIP00000014228	ENSPTIG00000013657	Panthera_tigris_altaica
ENSCINP00000029299	ENSCING00000017214	Ciona_intestinalis
ENSTRUP00000019793	ENSTRUG00000007947	Takifugu_rubripes
ENSMAMP00000034117	ENSMAMG00000022937	Mastacembelus_armatus
ENSSFOP00015027861	ENSSFOG00015017811	Scleropages_formosus
ENSEEEP00000016683	ENSEEEG00000008268	Electrophorus_electricus	ENSEEET00000016875
ENSCCNP00000010562	ENSCCNG00000011026	Castor_canadensis
ENSANAP00000027767	ENSANAG00000031620	Aotus_nancymaae
ENSSBOP00000005812	ENSSBOG00000019711	Saimiri_boliviensis_boliviensis
ENSGGOP00000018984	ENSGGOG00000016072	Gorilla_gorilla
ENSPMEP00000007899	ENSPMEG00000009713	Poecilia_mexicana
ENSAHAP00000021926	ENSAHAG00000015411	Apteryx_haastii
ENSMODP00000009125	ENSMODG00000007354	Monodelphis_domestica
ENSAPOP00000019528	ENSAPOG00000023130	Acanthochromis_polyacanthus
ENSMSIP00000032295	ENSMSIG00000027042	Mus_spicilegus
ENSCSAP00000010471	ENSCSAG00000014344	Chlorocebus_sabaeus
ENSLACP00000012128	ENSLACG00000010676	Latimeria_chalumnae
ENSORLP00020032505	ENSORLG00020018256	Oryzias_latipes_ASM223471v1
ENSBTAP00000010742	ENSBTAG00000008170	Bos_taurus
ENSPPYP00000022602	ENSPPYG00000020200	Pongo_abelii
ENSPNYP00000000485	ENSPNYG00000000349	Pundamilia_nyererei
ENSPANP00000037943	ENSPANG00000010729	Papio_anubis
ENSCPRP00005005255	ENSCPRG00005003771	Crocodylus_porosus
ENSSPUP00000000289	ENSSPUG00000000270	Sphenodon_punctatus
