ENSPSIP00000020304	ENSPSIG00000017972	Pelodiscus_sinensis
ENSMAMP00000029795	ENSMAMG00000020080	Mastacembelus_armatus
ENSLCAP00010031420	ENSLCAG00010014759	Lates_calcarifer
ENSMMOP00000005264	ENSMMOG00000004186	Mola_mola
ENSORLP00020002935	ENSORLG00020003705	Oryzias_latipes_ASM223471v1
ENSXCOP00000022182	ENSXCOG00000016573	Xiphophorus_couchianus
ENSXMAP00000013698	ENSXMAG00000013674	Xiphophorus_maculatus
ENSGWIP00000042776	ENSGWIG00000021431	Gouania_willdenowi
ENSGMOP00000001675	ENSGMOG00000001592	Gadus_morhua
ENSAMXP00000000208	ENSAMXG00000000202	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSEEEP00000030225	ENSEEEG00000014490	Electrophorus_electricus
ENSDCDP00000050735	ENSDCDG00000030909	Denticeps_clupeoides
ENSHHUP00000083790	ENSHHUG00000048605	Hucho_hucho
ENSPKIP00000000990	ENSPKIG00000019447	Paramormyrops_kingsleyae
ENSSFOP00015008656	ENSSFOG00015005648	Scleropages_formosus
