ENSAMEP00000007749	ENSAMEG00000007320	Ailuropoda_melanoleuca
ENSHCOP00000025844	ENSHCOG00000016342	Hippocampus_comes
ENSBSLP00000053993	ENSBSLG00000025331	Betta_splendens
ENSCSEP00000024177	ENSCSEG00000015418	Cynoglossus_semilaevis
ENSLCAP00010025420	ENSLCAG00010011859	Lates_calcarifer
ENSSMAP00000032560	ENSSMAG00000019948	Scophthalmus_maximus
ENSSDUP00000021785	ENSSDUG00000015848	Seriola_dumerili
ENSSLDP00000021902	ENSSLDG00000017074	Seriola_lalandi_dorsalis
ENSLCRP00005054341	ENSLCRG00005020258	Larimichthys_crocea
ENSLBEP00000030173	ENSLBEG00000022800	Labrus_bergylta
ENSMMOP00000010674	ENSMMOG00000008232	Mola_mola
ENSCGOP00000051629	ENSCGOG00000022763	Cottoperca_gobio
ENSGACP00000012696	ENSGACG00000009617	Gasterosteus_aculeatus
ENSMALP00000025779	ENSMALG00000017929	Monopterus_albus
ENSMAMP00000025889	ENSMAMG00000017378	Mastacembelus_armatus
ENSATEP00000010630	ENSATEG00000007492	Anabas_testudineus
ENSGAFP00000017322	ENSGAFG00000011719	Gambusia_affinis
ENSXMAP00000012661	ENSXMAG00000012632	Xiphophorus_maculatus
ENSPMEP00000015660	ENSPMEG00000018217	Poecilia_mexicana
ENSPLAP00000008641	ENSPLAG00000011295	Poecilia_latipinna
ENSPFOP00000017709	ENSPFOG00000017518	Poecilia_formosa
ENSPREP00000017388	ENSPREG00000011754	Poecilia_reticulata
ENSCVAP00000017060	ENSCVAG00000020135	Cyprinodon_variegatus
ENSKMAP00000027501	ENSKMAG00000020371	Kryptolebias_marmoratus
ENSORLP00020026585	ENSORLG00020009142	Oryzias_latipes_ASM223471v1
ENSORLP00015030474	ENSORLG00015014179	Oryzias_latipes_ASM223469v1
ENSORLP00000007213	ENSORLG00000005739	Oryzias_latipes_ASM223467v1
ENSOMEP00000007165	ENSOMEG00000008244	Oryzias_melastigma
ENSGWIP00000036011	ENSGWIG00000017558	Gouania_willdenowi
ENSAPEP00000010396	ENSAPEG00000007403	Amphiprion_percula
ENSAOCP00000012371	ENSAOCG00000001941	Amphiprion_ocellaris
ENSAPOP00000029059	ENSAPOG00000014743	Acanthochromis_polyacanthus
ENSSPAP00000000958	ENSSPAG00000000680	Stegastes_partitus
ENSAPOP00000033903	ENSAPOG00000022758	Acanthochromis_polyacanthus
ENSPRNP00000035122	ENSPRNG00000016774	Parambassis_ranga
ENSPNYP00000005657	ENSPNYG00000004320	Pundamilia_nyererei
ENSACLP00000025181	ENSACLG00000017084	Astatotilapia_calliptera
ENSHBUP00000015424	ENSHBUG00000017329	Haplochromis_burtoni
ENSMZEP00005036869	ENSMZEG00005027476	Maylandia_zebra
ENSONIP00000000627	ENSONIG00000000492	Oreochromis_niloticus
ENSNBRP00000021544	ENSNBRG00000016478	Neolamprologus_brichardi
ENSACIP00000006711	ENSACIG00000005251	Amphilophus_citrinellus
ENSPMGP00000011066	ENSPMGG00000009150	Periophthalmus_magnuspinnatus
ENSGMOP00000009793	ENSGMOG00000009161	Gadus_morhua
ENSHHUP00000026194	ENSHHUG00000016566	Hucho_hucho
ENSHHUP00000038083	ENSHHUG00000023755	Hucho_hucho
ENSELUP00000029697	ENSELUG00000006707	Esox_lucius
ENSEEEP00000036554	ENSEEEG00000017130	Electrophorus_electricus
ENSIPUP00000030377	ENSIPUG00000020504	Ictalurus_punctatus
ENSAMXP00000012089	ENSAMXG00000011729	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005039603	ENSAMXG00005018617	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000033570	ENSPNAG00000022411	Pygocentrus_nattereri
ENSDARP00000135966	ENSDARG00000079068	Danio_rerio
ENSLOCP00000009480	ENSLOCG00000007799	Lepisosteus_oculatus
ENSOANP00000030370	ENSOANG00000031747	Ornithorhynchus_anatinus
ENSOANP00000025770	ENSOANG00000013089	Ornithorhynchus_anatinus
ENSXETP00000054320	ENSXETG00000017474	Xenopus_tropicalis
ENSAHAP00000010460	ENSAHAG00000007574	Apteryx_haastii
ENSARWP00000014396	ENSARWG00000009960	Apteryx_rowi
ENSAOWP00000027872	ENSAOWG00000018729	Apteryx_owenii
ENSDNVP00000005185	ENSDNVG00000003720	Dromaius_novaehollandiae
ENSNPEP00000002960	ENSNPEG00000002247	Nothoprocta_perdicaria
ENSLCOP00000014174	ENSLCOG00000010183	Lepidothrix_coronata
ENSMVIP00005021840	ENSMVIG00005015258	Manacus_vitellinus
ENSTGUP00000011861	ENSTGUG00000011498	Taeniopygia_guttata
ENSLSDP00000014471	ENSLSDG00000010445	Lonchura_striata_domestica
ENSSCAP00000018379	ENSSCAG00000013286	Serinus_canaria
ENSPMJP00000007121	ENSPMJG00000005918	Parus_major
ENSCCEP00000020089	ENSCCEG00000018216	Cyanistes_caeruleus
ENSFALP00000001110	ENSFALG00000001070	Ficedula_albicollis
ENSJHYP00000014258	ENSJHYG00000011046	Junco_hyemalis
ENSZALP00000015273	ENSZALG00000012537	Zonotrichia_albicollis
ENSMUNP00000021650	ENSMUNG00000016317	Melopsittacus_undulatus
ENSCPUP00000029058	ENSCPUG00000019526	Calidris_pugnax
ENSCPGP00000014080	ENSCPGG00000009961	Calidris_pygmaea
ENSAPLP00000010855	ENSAPLG00000011037	Anas_platyrhynchos_platyrhynchos
ENSABRP00000006778	ENSABRG00000006234	Anser_brachyrhynchus
ENSGALP00000052705	ENSGALG00000041255	Gallus_gallus
ENSCJPP00005001135	ENSCJPG00005001198	Coturnix_japonica
ENSMGAP00000012318	ENSMGAG00000011743	Meleagris_gallopavo
ENSNMEP00000014089	ENSNMEG00000012688	Numida_meleagris
ENSCPRP00005013723	ENSCPRG00005009683	Crocodylus_porosus
ENSGAGP00000009967	ENSGAGG00000006813	Gopherus_agassizii
ENSCABP00000008456	ENSCABG00000006386	Chelonoidis_abingdonii
ENSCPBP00000040847	ENSCPBG00000028042	Chrysemys_picta_bellii
ENSPSIP00000006706	ENSPSIG00000005992	Pelodiscus_sinensis
ENSACAP00000000730	ENSACAG00000000456	Anolis_carolinensis
ENSPVIP00000005678	ENSPVIG00000004031	Pogona_vitticeps
ENSNSUP00000000303	ENSNSUG00000000295	Notechis_scutatus
ENSSMRP00000006268	ENSSMRG00000005049	Salvator_merianae
ENSSPUP00000016538	ENSSPUG00000012753	Sphenodon_punctatus
