ENSONIP00000005413	ENSONIG00000004294	Oreochromis_niloticus
ENSAMXP00005043491	ENSAMXG00005020245	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
MGP_CAROLIEiJ_P0035060	MGP_CAROLIEiJ_G0018759	Mus_caroli_strain_CAROLI_EIJ
ENSPNAP00000008415	ENSPNAG00000014011	Pygocentrus_nattereri
ENSSPUP00000006099	ENSSPUG00000004701	Sphenodon_punctatus	ENSSPUT00000006490
ENSAMXP00000034231	ENSAMXG00000031525	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSLSDP00000012497	ENSLSDG00000009123	Lonchura_striata_domestica
ENSORLP00000042587	ENSORLG00000023756	Oryzias_latipes_ASM223467v1
ENSPNYP00000019867	ENSPNYG00000015023	Pundamilia_nyererei
ENSMGAP00000003694	ENSMGAG00000003952	Meleagris_gallopavo
ENSCANP00000024488	ENSCANG00000035661	Colobus_angolensis_palliatus
ENSDNOP00000032516	ENSDNOG00000034483	Dasypus_novemcinctus
ENSPCOP00000018349	ENSPCOG00000021069	Propithecus_coquereli
ENSDARP00000113592	ENSDARG00000090963	Danio_rerio
ENSPREP00000028340	ENSPREG00000019169	Poecilia_reticulata
ENSPANP00000021810	ENSPANG00000030703	Papio_anubis
ENSSPAP00000011287	ENSSPAG00000008577	Stegastes_partitus
ENSMUSP00000105168	ENSMUSG00000078958	Mus_musculus_strain_reference_(CL57BL6)
ENSMMUP00000067643	ENSMMUG00000029954	Macaca_mulatta
ENSOMEP00000012682	ENSOMEG00000014098	Oryzias_melastigma
ENSTRUP00000050566	ENSTRUG00000025087	Takifugu_rubripes
ENSDORP00000018267	ENSDORG00000025510	Dipodomys_ordii
ENSMMMP00000008915	ENSMMMG00000007968	Marmota_marmota_marmota
ENSMVIP00005027074	ENSMVIG00005018870	Manacus_vitellinus
ENSSMRP00000008290	ENSSMRG00000006636	Salvator_merianae	ENSSMRT00000009672
ENSLCAP00010000995	ENSLCAG00010000608	Lates_calcarifer
ENSLCAP00010043539	ENSLCAG00010020274	Lates_calcarifer
ENSXETP00000033581	ENSXETG00000016031	Xenopus_tropicalis
ENSMSIP00000037104	ENSMSIG00000030916	Mus_spicilegus
ENSTGEP00000000156	ENSTGEG00000000193	Theropithecus_gelada
ENSRBIP00000014624	ENSRBIG00000031414	Rhinopithecus_bieti
ENSCSAP00000011023	ENSCSAG00000014915	Chlorocebus_sabaeus
ENSLBEP00000012668	ENSLBEG00000009727	Labrus_bergylta
ENSSBOP00000005424	ENSSBOG00000019560	Saimiri_boliviensis_boliviensis
ENSMODP00000049067	ENSMODG00000037212	Monodelphis_domestica
ENSAOWP00000012797	ENSAOWG00000008735	Apteryx_owenii
ENSPVAP00000001971	ENSPVAG00000002084	Pteropus_vampyrus
ENSCATP00000035716	ENSCATG00000040706	Cercocebus_atys
ENSLACP00000017652	ENSLACG00000015549	Latimeria_chalumnae
ENSMMOP00000016784	ENSMMOG00000012784	Mola_mola
ENSATEP00000034308	ENSATEG00000023574	Anabas_testudineus
ENSSPAP00000006315	ENSSPAG00000004849	Stegastes_partitus
ENSCSEP00000028946	ENSCSEG00000018534	Cynoglossus_semilaevis
ENSSTOP00000004681	ENSSTOG00000005230	Ictidomys_tridecemlineatus
ENSDCDP00000027388	ENSDCDG00000020009	Denticeps_clupeoides
ENSMLUP00000012689	ENSMLUG00000013943	Myotis_lucifugus
ENSGAGP00000020792	ENSGAGG00000015305	Gopherus_agassizii
ENSHHUP00000086715	ENSHHUG00000050168	Hucho_hucho
ENSMEUP00000010325	ENSMEUG00000011317	Notamacropus_eugenii
ENSTTRP00000013737	ENSTTRG00000014490	Tursiops_truncatus
ENSECAP00000044155	ENSECAG00000020318	Equus_caballus
ENSXMAP00000036591	ENSXMAG00000025029	Xiphophorus_maculatus
ENSTBEP00000007096	ENSTBEG00000008209	Tupaia_belangeri
ENSCPOP00000010010	ENSCPOG00000011131	Cavia_porcellus
ENSFHEP00000017264	ENSFHEG00000018989	Fundulus_heteroclitus
ENSPPYP00000017449	ENSPPYG00000015609	Pongo_abelii
ENSHGLP00100000636	ENSHGLG00100000534	Heterocephalus_glaber_HetGla_1.0
ENSPPRP00000014320	ENSPPRG00000007261	Panthera_pardus
ENSAOCP00000027446	ENSAOCG00000016366	Amphiprion_ocellaris
ENSDCDP00000027300	ENSDCDG00000019978	Denticeps_clupeoides
ENSPTEP00000000162	ENSPTEG00000000221	Piliocolobus_tephrosceles
ENSNBRP00000020470	ENSNBRG00000015751	Neolamprologus_brichardi
ENSHHUP00000013379	ENSHHUG00000008245	Hucho_hucho
ENSBTAP00000068194	ENSBTAG00000050733	Bos_taurus
ENSXMAP00000034177	ENSXMAG00000013776	Xiphophorus_maculatus
ENSMZEP00005037801	ENSMZEG00005028201	Maylandia_zebra
ENSCPGP00000006037	ENSCPGG00000004326	Calidris_pygmaea
ENSCHAP00000054337	ENSCHAG00000024678	Clupea_harengus
ENSACLP00000013061	ENSACLG00000008913	Astatotilapia_calliptera
ENSHGLP00000012379	ENSHGLG00000008844	Heterocephalus_glaber_HetGla_female_1.0
ENSABRP00000009934	ENSABRG00000008899	Anser_brachyrhynchus	ENSABRT00000014172
ENSSCAP00000011588	ENSSCAG00000008690	Serinus_canaria
ENSGAFP00000002841	ENSGAFG00000001950	Gambusia_affinis
ENSMMOP00000017973	ENSMMOG00000013637	Mola_mola
ENSMAMP00000021424	ENSMAMG00000014396	Mastacembelus_armatus
ENSPNAP00000037390	ENSPNAG00000029042	Pygocentrus_nattereri
ENSOANP00000029701	ENSOANG00000031637	Ornithorhynchus_anatinus
ENSKMAP00000026616	ENSKMAG00000019742	Kryptolebias_marmoratus
ENSDCDP00000036952	ENSDCDG00000024788	Denticeps_clupeoides
ENSCGRP00000002494	ENSCGRG00000001821	Cricetulus_griseus_CriGri_1.0
ENSVPAP00000008773	ENSVPAG00000009428	Vicugna_pacos
ENSPKIP00000010773	ENSPKIG00000025358	Paramormyrops_kingsleyae
ENSPNYP00000017483	ENSPNYG00000013232	Pundamilia_nyererei
ENSNBRP00000025914	ENSNBRG00000019829	Neolamprologus_brichardi
ENSPMJP00000019039	ENSPMJG00000014288	Parus_major
ENSCCAP00000029142	ENSCCAG00000032614	Cebus_capucinus_imitator
ENSPMGP00000008169	ENSPMGG00000006759	Periophthalmus_magnuspinnatus
ENSAPEP00000000970	ENSAPEG00000000745	Amphiprion_percula
ENSPKIP00000020954	ENSPKIG00000005540	Paramormyrops_kingsleyae
ENSETEP00000014250	ENSETEG00000017549	Echinops_telfairi
MGP_SPRETEiJ_P0036730	MGP_SPRETEiJ_G0019642	Mus_spretus_strain_SPRET/EiJ
ENSTNIP00000020642	ENSTNIG00000017498	Tetraodon_nigroviridis
ENSPTRP00000073518	ENSPTRG00000050446	Pan_troglodytes
ENSOCUP00000012120	ENSOCUG00000014110	Oryctolagus_cuniculus
ENSUMAP00000004169	ENSUMAG00000003378	Ursus_maritimus
ENSATEP00000004510	ENSATEG00000003135	Anabas_testudineus
ENSGACP00000005127	ENSGACG00000003910	Gasterosteus_aculeatus
ENSORLP00015034687	ENSORLG00015000579	Oryzias_latipes_ASM223469v1
ENSAMXP00000037154	ENSAMXG00000036282	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSLCRP00005003195	ENSLCRG00005001577	Larimichthys_crocea
ENSMZEP00005036338	ENSMZEG00005027105	Maylandia_zebra
ENSARWP00000019521	ENSARWG00000013367	Apteryx_rowi
ENSCAFP00020003589	ENSCAFG00020003017	Canis_lupus_dingo
ENSMUGP00000009875	ENSMUGG00000008776	Meriones_unguiculatus
ENSIPUP00000020737	ENSIPUG00000014073	Ictalurus_punctatus
ENSVVUP00000032084	ENSVVUG00000023284	Vulpes_vulpes
ENSCJAP00000020708	ENSCJAG00000011241	Callithrix_jacchus
ENSUAMP00000003627	ENSUAMG00000003344	Ursus_americanus
ENSEEEP00000011917	ENSEEEG00000006008	Electrophorus_electricus
ENSPLAP00000018979	ENSPLAG00000023887	Poecilia_latipinna
ENSPRNP00000002080	ENSPRNG00000001276	Parambassis_ranga
ENSLBEP00000028728	ENSLBEG00000021742	Labrus_bergylta
ENSFCAP00000042243	ENSFCAG00000046011	Felis_catus
ENSMALP00000016678	ENSMALG00000011689	Monopterus_albus
ENSTRUP00000005093	ENSTRUG00000023267	Takifugu_rubripes
ENSLAFP00000011036	ENSLAFG00000013186	Loxodonta_africana
ENSOMEP00000034353	ENSOMEG00000020915	Oryzias_melastigma
ENSCCEP00000000085	ENSCCEG00000000104	Cyanistes_caeruleus
ENSBMUP00000010064	ENSBMUG00000007795	Bos_mutus
ENSCPBP00000014423	ENSCPBG00000010740	Chrysemys_picta_bellii
ENSBSLP00000037150	ENSBSLG00000018106	Betta_splendens
ENSXCOP00000000384	ENSXCOG00000000340	Xiphophorus_couchianus
ENSPREP00000033713	ENSPREG00000022841	Poecilia_reticulata
ENSNVIP00000029992	ENSNVIG00000023119	Neovison_vison
ENSTRUP00000012306	ENSTRUG00000025660	Takifugu_rubripes
ENSSFOP00015005311	ENSSFOG00015003491	Scleropages_formosus
ENSFDAP00000019223	ENSFDAG00000009289	Fukomys_damarensis
ENSACAP00000010913	ENSACAG00000011150	Anolis_carolinensis	ENSACAT00000011140
ENSJJAP00000012493	ENSJJAG00000015522	Jaculus_jaculus
ENSPCIP00000040866	ENSPCIG00000029901	Phascolarctos_cinereus
ENSUPAP00010008561	ENSUPAG00010006903	Urocitellus_parryii
ENSFALP00000013213	ENSFALG00000012660	Ficedula_albicollis
ENSCGRP00015018521	ENSCGRG00015014268	Cricetulus_griseus_CriGri-PICR
ENSAPOP00000015763	ENSAPOG00000018815	Acanthochromis_polyacanthus
ENSMOCP00000023966	ENSMOCG00000020532	Microtus_ochrogaster
ENSSHAP00000008962	ENSSHAG00000007765	Sarcophilus_harrisii
ENSHBUP00000021118	ENSHBUG00000023386	Haplochromis_burtoni
ENSMFAP00000028276	ENSMFAG00000045507	Macaca_fascicularis
ENSCGRP00001003187	ENSCGRG00001003786	Cricetulus_griseus_CHOK1GS_HDv1
ENSP00000391381	ENSG00000205464	Homo_sapiens
ENSORLP00020003666	ENSORLG00020004457	Oryzias_latipes_ASM223471v1
ENSSDUP00000028380	ENSSDUG00000020493	Seriola_dumerili
ENSTNIP00000018064	ENSTNIG00000015013	Tetraodon_nigroviridis
ENSHBUP00000005965	ENSHBUG00000007384	Haplochromis_burtoni
ENSACLP00000014860	ENSACLG00000010120	Astatotilapia_calliptera
ENSLCRP00005018317	ENSLCRG00005007545	Larimichthys_crocea
ENSRNOP00000050073	ENSRNOG00000040201	Rattus_norvegicus
ENSSLDP00000001438	ENSSLDG00000001183	Seriola_lalandi_dorsalis
ENSSSCP00000015027	ENSSSCG00000014132	Sus_scrofa_strain_reference
ENSPCAP00000014309	ENSPCAG00000015337	Procavia_capensis
ENSCHAP00000020014	ENSCHAG00000010172	Clupea_harengus
ENSMAMP00000013541	ENSMAMG00000009171	Mastacembelus_armatus
ENSCJPP00005000431	ENSCJPG00005000521	Coturnix_japonica
ENSCPRP00005002891	ENSCPRG00005002117	Crocodylus_porosus
ENSCCNP00000003480	ENSCCNG00000003723	Castor_canadensis
ENSEEUP00000001345	ENSEEUG00000001491	Erinaceus_europaeus
ENSPSIP00000018014	ENSPSIG00000016026	Pelodiscus_sinensis
ENSTGUP00000007138	ENSTGUG00000006935	Taeniopygia_guttata
ENSAHAP00000025688	ENSAHAG00000017907	Apteryx_haastii
ENSCAPP00000006574	ENSCAPG00000008706	Cavia_aperea
ENSAOCP00000017515	ENSAOCG00000022606	Amphiprion_ocellaris
ENSBIXP00000025936	ENSBIXG00000028039	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSELUP00000032386	ENSELUG00000010271	Esox_lucius
ENSOARP00000016658	ENSOARG00000015534	Ovis_aries
ENSPFOP00000006103	ENSPFOG00000006174	Poecilia_formosa
ENSMPUP00000008043	ENSMPUG00000008101	Mustela_putorius_furo
ENSMLEP00000028454	ENSMLEG00000038446	Mandrillus_leucophaeus
ENSHCOP00000011020	ENSHCOG00000013758	Hippocampus_comes
ENSSLDP00000025519	ENSSLDG00000019855	Seriola_lalandi_dorsalis
ENSPMEP00000003645	ENSPMEG00000004810	Poecilia_mexicana
ENSOGAP00000007308	ENSOGAG00000008165	Otolemur_garnettii
ENSPFOP00000011832	ENSPFOG00000011830	Poecilia_formosa
ENSMAUP00000001650	ENSMAUG00000001232	Mesocricetus_auratus
ENSLOCP00000016362	ENSLOCG00000013280	Lepisosteus_oculatus
ENSAMEP00000016856	ENSAMEG00000015974	Ailuropoda_melanoleuca
ENSECRP00000028240	ENSECRG00000019045	Erpetoichthys_calabaricus
ENSMICP00000012731	ENSMICG00000013969	Microcebus_murinus
ENSGGOP00000013582	ENSGGOG00000013925	Gorilla_gorilla
ENSSDAP00000013416	ENSSDAG00000012117	Spermophilus_dauricus
ENSHHUP00000020376	ENSHHUG00000012753	Hucho_hucho
ENSLBEP00000008647	ENSLBEG00000006635	Labrus_bergylta
ENSNLEP00000016021	ENSNLEG00000013214	Nomascus_leucogenys
MGP_PahariEiJ_P0026722	MGP_PahariEiJ_G0015838	Mus_pahari_strain_PAHARI_EIJ
ENSFHEP00000018999	ENSFHEG00000020920	Fundulus_heteroclitus
ENSDNVP00000019826	ENSDNVG00000013878	Dromaius_novaehollandiae
ENSCAFP00000034469	ENSCAFG00000008646	Canis_lupus_familiaris
ENSPMEP00000023839	ENSPMEG00000005695	Poecilia_mexicana
ENSGWIP00000040118	ENSGWIG00000020305	Gouania_willdenowi
ENSKMAP00000024953	ENSKMAG00000018495	Kryptolebias_marmoratus
ENSGALP00000025131	ENSGALG00000015618	Gallus_gallus
ENSCGOP00000009121	ENSCGOG00000004712	Cottoperca_gobio
ENSCHOP00000009707	ENSCHOG00000010963	Choloepus_hoffmanni
ENSPVIP00000034768	ENSPVIG00000025372	Pogona_vitticeps	ENSPVIT00000042537
ENSCPUP00000019781	ENSCPUG00000013560	Calidris_pugnax
ENSMNEP00000001962	ENSMNEG00000008902	Macaca_nemestrina
ENSBSLP00000006480	ENSBSLG00000003252	Betta_splendens
ENSAPEP00000008166	ENSAPEG00000005903	Amphiprion_percula
ENSOPRP00000011938	ENSOPRG00000013095	Ochotona_princeps
ENSMZEP00005021491	ENSMZEG00005016140	Maylandia_zebra
ENSORLP00000021801	ENSORLG00000017436	Oryzias_latipes_ASM223467v1
ENSSMAP00000011072	ENSSMAG00000006821	Scophthalmus_maximus
ENSCABP00000027733	ENSCABG00000020388	Chelonoidis_abingdonii
ENSXCOP00000010687	ENSXCOG00000008071	Xiphophorus_couchianus
ENSAPOP00000015093	ENSAPOG00000018079	Acanthochromis_polyacanthus
ENSNPEP00000021421	ENSNPEG00000015886	Nothoprocta_perdicaria
ENSBBBP00000021136	ENSBBBG00000001222	Bison_bison_bison
ENSAMXP00005023266	ENSAMXG00005011960	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSGMOP00000011930	ENSGMOG00000011155	Gadus_morhua
ENSORLP00015003373	ENSORLG00015004105	Oryzias_latipes_ASM223469v1
ENSIPUP00000010448	ENSIPUG00000007139	Ictalurus_punctatus
ENSORLP00020027494	ENSORLG00020010481	Oryzias_latipes_ASM223471v1
ENSPLAP00000025994	ENSPLAG00000013442	Poecilia_latipinna
ENSEASP00005005604	ENSEASG00005004142	Equus_asinus_asinus
ENSSARP00000008042	ENSSARG00000008896	Sorex_araneus
ENSNGAP00000000566	ENSNGAG00000000435	Nannospalax_galili
ENSHHUP00000052062	ENSHHUG00000031326	Hucho_hucho
ENSGACP00000013360	ENSGACG00000010118	Gasterosteus_aculeatus
