ENSGMOP00000012307	ENSGMOG00000011511	Gadus_morhua
ENSCJPP00005002397	ENSCJPG00005002456	Coturnix_japonica
ENSGALP00000069746	ENSGALG00000047662	Gallus_gallus
ENSNMEP00000006679	ENSNMEG00000006829	Numida_meleagris
ENSLSDP00000010215	ENSLSDG00000007530	Lonchura_striata_domestica
ENSPMJP00000024360	ENSPMJG00000017927	Parus_major
ENSSCAP00000010623	ENSSCAG00000008026	Serinus_canaria
ENSFALP00000000441	ENSFALG00000000424	Ficedula_albicollis
ENSPMJP00000024359	ENSPMJG00000017926	Parus_major
ENSAPLP00000020419	ENSAPLG00000020809	Anas_platyrhynchos_platyrhynchos
ENSLCOP00000016048	ENSLCOG00000011452	Lepidothrix_coronata
ENSNPEP00000013980	ENSNPEG00000010442	Nothoprocta_perdicaria
ENSCPRP00005003920	ENSCPRG00005002877	Crocodylus_porosus
ENSGAGP00000024709	ENSGAGG00000018039	Gopherus_agassizii
ENSCABP00000014976	ENSCABG00000011186	Chelonoidis_abingdonii
ENSCPBP00000005728	ENSCPBG00000004578	Chrysemys_picta_bellii
ENSPVIP00000018638	ENSPVIG00000014254	Pogona_vitticeps
ENSACAP00000002780	ENSACAG00000002847	Anolis_carolinensis
ENSNSUP00000022575	ENSNSUG00000016400	Notechis_scutatus
ENSNSUP00000001377	ENSNSUG00000001206	Notechis_scutatus
ENSSMRP00000006849	ENSSMRG00000005552	Salvator_merianae
ENSPVAP00000008077	ENSPVAG00000008551	Pteropus_vampyrus
ENSMLUP00000009550	ENSMLUG00000010485	Myotis_lucifugus
ENSUMAP00000024287	ENSUMAG00000017680	Ursus_maritimus
ENSUAMP00000019321	ENSUAMG00000015266	Ursus_americanus
ENSAMEP00000008166	ENSAMEG00000007704	Ailuropoda_melanoleuca
ENSCAFP00020024096	ENSCAFG00020018963	Canis_lupus_dingo
ENSCAFP00000023799	ENSCAFG00000016150	Canis_lupus_familiaris
ENSVVUP00000001231	ENSVVUG00000001037	Vulpes_vulpes
ENSMPUP00000014808	ENSMPUG00000014919	Mustela_putorius_furo
ENSNVIP00000003669	ENSNVIG00000002922	Neovison_vison
ENSPTIP00000008108	ENSPTIG00000009557	Panthera_tigris_altaica
ENSPPRP00000004029	ENSPPRG00000000282	Panthera_pardus
ENSFCAP00000051997	ENSFCAG00000014996	Felis_catus
ENSEASP00005003775	ENSEASG00005002867	Equus_asinus_asinus
ENSECAP00000004793	ENSECAG00000006267	Equus_caballus
ENSBIXP00000004911	ENSBIXG00000011200	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005046359	ENSBIXG00005031215	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000065454	ENSBTAG00000012178	Bos_taurus
ENSBMUP00000004616	ENSBMUG00000003624	Bos_mutus
ENSBBBP00000028033	ENSBBBG00000024591	Bison_bison_bison
ENSOARP00000013954	ENSOARG00000013027	Ovis_aries
ENSCHIP00000017754	ENSCHIG00000017450	Capra_hircus
ENSTTRP00000016017	ENSTTRG00000016894	Tursiops_truncatus
ENSSSCP00000035770	ENSSSCG00000036933	Sus_scrofa_strain_reference
ENSEEUP00000008824	ENSEEUG00000009699	Erinaceus_europaeus
ENSSARP00000009356	ENSSARG00000010301	Sorex_araneus
ENSPPAP00000040506	ENSPPAG00000042906	Pan_paniscus
ENSPTRP00000015535	ENSPTRG00000009113	Pan_troglodytes
ENSP00000246672	ENSG00000126368	Homo_sapiens
ENSGGOP00000009444	ENSGGOG00000009668	Gorilla_gorilla
ENSPPYP00000009517	ENSPPYG00000008469	Pongo_abelii
ENSNLEP00000026806	ENSNLEG00000001535	Nomascus_leucogenys
ENSPTEP00000013424	ENSPTEG00000015039	Piliocolobus_tephrosceles
ENSCANP00000022737	ENSCANG00000034799	Colobus_angolensis_palliatus
ENSRBIP00000034732	ENSRBIG00000041040	Rhinopithecus_bieti
ENSRROP00000005657	ENSRROG00000023193	Rhinopithecus_roxellana
ENSCATP00000036327	ENSCATG00000040969	Cercocebus_atys
ENSMLEP00000024673	ENSMLEG00000036506	Mandrillus_leucophaeus
ENSMNEP00000002270	ENSMNEG00000010457	Macaca_nemestrina
ENSMMUP00000065330	ENSMMUG00000002933	Macaca_mulatta
ENSMFAP00000037772	ENSMFAG00000038118	Macaca_fascicularis
ENSTGEP00000006592	ENSTGEG00000005407	Theropithecus_gelada
ENSPANP00000040276	ENSPANG00000021704	Papio_anubis
ENSCSAP00000015276	ENSCSAG00000002772	Chlorocebus_sabaeus
ENSSBOP00000002265	ENSSBOG00000011841	Saimiri_boliviensis_boliviensis
ENSCCAP00000027829	ENSCCAG00000031787	Cebus_capucinus_imitator
ENSCJAP00000029454	ENSCJAG00000015973	Callithrix_jacchus
ENSANAP00000015147	ENSANAG00000025464	Aotus_nancymaae
ENSTSYP00000030303	ENSTSYG00000032107	Carlito_syrichta
ENSPCOP00000031053	ENSPCOG00000028277	Propithecus_coquereli
ENSMICP00000003008	ENSMICG00000003310	Microcebus_murinus
ENSPSMP00000015218	ENSPSMG00000010853	Prolemur_simus
ENSOGAP00000005171	ENSOGAG00000005780	Otolemur_garnettii
ENSCCNP00000006033	ENSCCNG00000006372	Castor_canadensis
ENSDORP00000024106	ENSDORG00000028821	Dipodomys_ordii
MGP_SPRETEiJ_P0031125	MGP_SPRETEiJ_G0017941	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000031607	ENSMSIG00000026443	Mus_spicilegus
ENSMUSP00000069505	ENSMUSG00000020889	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0029707	MGP_CAROLIEiJ_G0017097	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0036433	MGP_PahariEiJ_G0018226	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000012537	ENSRNOG00000009329	Rattus_norvegicus
ENSMUGP00000003344	ENSMUGG00000003114	Meriones_unguiculatus
ENSCGRP00001007427	ENSCGRG00001009842	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000003481	ENSCGRG00000002561	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015019541	ENSCGRG00015015027	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000020994	ENSMAUG00000018854	Mesocricetus_auratus
ENSPEMP00000016368	ENSPEMG00000015608	Peromyscus_maniculatus_bairdii
ENSMOCP00000002993	ENSMOCG00000002380	Microtus_ochrogaster
ENSNGAP00000012829	ENSNGAG00000014574	Nannospalax_galili
ENSJJAP00000023706	ENSJJAG00000023393	Jaculus_jaculus
ENSSTOP00000005658	ENSSTOG00000006333	Ictidomys_tridecemlineatus
ENSSDAP00000007031	ENSSDAG00000006482	Spermophilus_dauricus
ENSUPAP00010010091	ENSUPAG00010008169	Urocitellus_parryii
ENSMMMP00000008636	ENSMMMG00000007731	Marmota_marmota_marmota
ENSOCUP00000028192	ENSOCUG00000009732	Oryctolagus_cuniculus
ENSTBEP00000015155	ENSTBEG00000017425	Tupaia_belangeri
ENSCPOP00000013644	ENSCPOG00000015135	Cavia_porcellus
ENSCAPP00000017760	ENSCAPG00000017341	Cavia_aperea
ENSCLAP00000020627	ENSCLAG00000014130	Chinchilla_lanigera
ENSODEP00000024558	ENSODEG00000017976	Octodon_degus
ENSHGLP00000017113	ENSHGLG00000012254	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100001893	ENSHGLG00100001479	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000007379	ENSFDAG00000015904	Fukomys_damarensis
ENSOPRP00000011053	ENSOPRG00000012121	Ochotona_princeps
ENSDNOP00000034088	ENSDNOG00000047989	Dasypus_novemcinctus
ENSCHOP00000004888	ENSCHOG00000005511	Choloepus_hoffmanni
ENSLAFP00000023997	ENSLAFG00000015034	Loxodonta_africana
ENSETEP00000013596	ENSETEG00000016753	Echinops_telfairi
ENSPCAP00000001152	ENSPCAG00000001245	Procavia_capensis
ENSVURP00010006870	ENSVURG00010005321	Vombatus_ursinus
ENSPCIP00000052270	ENSPCIG00000025674	Phascolarctos_cinereus
ENSMEUP00000009132	ENSMEUG00000010010	Notamacropus_eugenii
ENSMODP00000016298	ENSMODG00000013032	Monodelphis_domestica
ENSSHAP00000015917	ENSSHAG00000013561	Sarcophilus_harrisii
ENSXETP00000024960	ENSXETG00000004076	Xenopus_tropicalis
ENSLACP00000011083	ENSLACG00000009752	Latimeria_chalumnae
ENSCMIP00000001459	ENSCMIG00000000933	Callorhinchus_milii
ENSPMAP00000000579	ENSPMAG00000000523	Petromyzon_marinus
