ENSCINP00000028521	ENSCING00000016466	Ciona_intestinalis	ENSCINT00000028767
ENSCSAVP00000017443	ENSCSAVG00000010273	Ciona_savignyi	ENSCSAVT00000017634
ENSPMGP00000011800	ENSPMGG00000009766	Periophthalmus_magnuspinnatus
ENSBSLP00000035051	ENSBSLG00000017039	Betta_splendens
ENSTRUP00000030947	ENSTRUG00000012224	Takifugu_rubripes
ENSTNIP00000016943	ENSTNIG00000013938	Tetraodon_nigroviridis
ENSHCOP00000003401	ENSHCOG00000004720	Hippocampus_comes
ENSGMOP00000004287	ENSGMOG00000004045	Gadus_morhua
ENSHHUP00000088079	ENSHHUG00000050912	Hucho_hucho
ENSHHUP00000055095	ENSHHUG00000032987	Hucho_hucho
ENSELUP00000003673	ENSELUG00000004869	Esox_lucius
ENSSFOP00015018966	ENSSFOG00015012200	Scleropages_formosus	ENSSFOT00015019182
ENSPKIP00000029974	ENSPKIG00000011008	Paramormyrops_kingsleyae	ENSPKIT00000010778
ENSSFOP00015017930	ENSSFOG00015011538	Scleropages_formosus	ENSSFOT00015018134
ENSPKIP00000026311	ENSPKIG00000008848	Paramormyrops_kingsleyae	ENSPKIT00000007065
ENSLOCP00000008393	ENSLOCG00000006932	Lepisosteus_oculatus
ENSECRP00000008696	ENSECRG00000005837	Erpetoichthys_calabaricus
ENSVURP00010002694	ENSVURG00010002215	Vombatus_ursinus
ENSVURP00010001298	ENSVURG00010001105	Vombatus_ursinus
ENSPCIP00000008417	ENSPCIG00000006969	Phascolarctos_cinereus
ENSMEUP00000013723	ENSMEUG00000015035	Notamacropus_eugenii
ENSSHAP00000021319	ENSSHAG00000018071	Sarcophilus_harrisii
ENSMODP00000023363	ENSMODG00000018738	Monodelphis_domestica
ENSMLUP00000000289	ENSMLUG00000000321	Myotis_lucifugus
ENSPVAP00000014877	ENSPVAG00000015771	Pteropus_vampyrus
ENSECAP00000020091	ENSECAG00000022581	Equus_caballus
ENSEASP00005010392	ENSEASG00005007375	Equus_asinus_asinus
ENSUAMP00000021562	ENSUAMG00000016929	Ursus_americanus
ENSUMAP00000013647	ENSUMAG00000010050	Ursus_maritimus
ENSAMEP00000018456	ENSAMEG00000017466	Ailuropoda_melanoleuca
ENSNVIP00000031411	ENSNVIG00000024149	Neovison_vison
ENSMPUP00000000616	ENSMPUG00000000622	Mustela_putorius_furo
ENSCAFP00020025500	ENSCAFG00020020101	Canis_lupus_dingo
ENSCAFP00000061309	ENSCAFG00000011059	Canis_lupus_familiaris
ENSVVUP00000009978	ENSVVUG00000007378	Vulpes_vulpes
ENSPPRP00000017275	ENSPPRG00000009304	Panthera_pardus
ENSPTIP00000009249	ENSPTIG00000010391	Panthera_tigris_altaica
ENSFCAP00000054470	ENSFCAG00000025430	Felis_catus
ENSOARP00000022088	ENSOARG00000020555	Ovis_aries
ENSCHIP00000029863	ENSCHIG00000024823	Capra_hircus
ENSBIXP00000021412	ENSBIXG00000004953	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005020932	ENSBIXG00005023973	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000062638	ENSBTAG00000017051	Bos_taurus
ENSBMUP00000008460	ENSBMUG00000006624	Bos_mutus
ENSBBBP00000011137	ENSBBBG00000004920	Bison_bison_bison
ENSTTRP00000011693	ENSTTRG00000012325	Tursiops_truncatus
ENSSSCP00000007141	ENSSSCG00000006697	Sus_scrofa_strain_reference
ENSEEUP00000010384	ENSEEUG00000011383	Erinaceus_europaeus
ENSPTRP00000002078	ENSPTRG00000001223	Pan_troglodytes
ENSPPAP00000016746	ENSPPAG00000031471	Pan_paniscus
ENSP00000463574	ENSG00000162836	Homo_sapiens
ENSGGOP00000003093	ENSGGOG00000003144	Gorilla_gorilla
ENSPPYP00000001102	ENSPPYG00000000948	Pongo_abelii
ENSNLEP00000000287	ENSNLEG00000000233	Nomascus_leucogenys
ENSTGEP00000014194	ENSTGEG00000011513	Theropithecus_gelada
ENSPANP00000002010	ENSPANG00000004993	Papio_anubis
ENSMFAP00000040269	ENSMFAG00000046287	Macaca_fascicularis
ENSMMUP00000039205	ENSMMUG00000013561	Macaca_mulatta
ENSMNEP00000036884	ENSMNEG00000041512	Macaca_nemestrina
ENSMLEP00000012228	ENSMLEG00000030267	Mandrillus_leucophaeus
ENSCATP00000003955	ENSCATG00000014613	Cercocebus_atys
ENSCSAP00000014391	ENSCSAG00000018383	Chlorocebus_sabaeus
ENSCANP00000021200	ENSCANG00000034020	Colobus_angolensis_palliatus
ENSPTEP00000033211	ENSPTEG00000031756	Piliocolobus_tephrosceles
ENSRROP00000041856	ENSRROG00000044098	Rhinopithecus_roxellana
ENSRBIP00000032277	ENSRBIG00000039939	Rhinopithecus_bieti
ENSCCAP00000008134	ENSCCAG00000021812	Cebus_capucinus_imitator
ENSSBOP00000007672	ENSSBOG00000020765	Saimiri_boliviensis_boliviensis
ENSCJAP00000004297	ENSCJAG00000002370	Callithrix_jacchus
ENSANAP00000037101	ENSANAG00000036043	Aotus_nancymaae
ENSTSYP00000005437	ENSTSYG00000005945	Carlito_syrichta
ENSPCOP00000000075	ENSPCOG00000000088	Propithecus_coquereli
ENSMICP00000028815	ENSMICG00000005556	Microcebus_murinus
ENSPSMP00000019264	ENSPSMG00000013564	Prolemur_simus
ENSOGAP00000003208	ENSOGAG00000003598	Otolemur_garnettii
ENSOCUP00000000390	ENSOCUG00000000444	Oryctolagus_cuniculus
ENSOPRP00000001727	ENSOPRG00000001877	Ochotona_princeps
ENSTBEP00000002381	ENSTBEG00000002749	Tupaia_belangeri
ENSHGLP00000006571	ENSHGLG00000004803	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100019490	ENSHGLG00100014366	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000006101	ENSFDAG00000014949	Fukomys_damarensis
ENSCLAP00000000853	ENSCLAG00000000662	Chinchilla_lanigera
ENSODEP00000001495	ENSODEG00000001175	Octodon_degus
ENSCPOP00000028255	ENSCPOG00000012209	Cavia_porcellus
ENSSTOP00000000767	ENSSTOG00000000856	Ictidomys_tridecemlineatus
ENSMMMP00000017041	ENSMMMG00000015008	Marmota_marmota_marmota
ENSUPAP00010004797	ENSUPAG00010003879	Urocitellus_parryii
MGP_SPRETEiJ_P0061779	MGP_SPRETEiJ_G0026344	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000026147	ENSMSIG00000022056	Mus_spicilegus
ENSMUSP00000088263	ENSMUSG00000028093	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0059394	MGP_CAROLIEiJ_G0025397	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0070357	MGP_PahariEiJ_G0026842	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000044125	ENSRNOG00000017494	Rattus_norvegicus
ENSMUGP00000018940	ENSMUGG00000016073	Meriones_unguiculatus
ENSCGRP00001027093	ENSCGRG00001024205	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000016296	ENSCGRG00000011825	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015033062	ENSCGRG00015024918	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000008324	ENSMAUG00000009766	Mesocricetus_auratus
ENSMOCP00000024812	ENSMOCG00000021116	Microtus_ochrogaster
ENSPEMP00000006719	ENSPEMG00000008867	Peromyscus_maniculatus_bairdii
ENSNGAP00000018030	ENSNGAG00000018284	Nannospalax_galili
ENSCCNP00000011985	ENSCCNG00000012443	Castor_canadensis
ENSDORP00000015054	ENSDORG00000016000	Dipodomys_ordii
ENSJJAP00000021646	ENSJJAG00000021945	Jaculus_jaculus
ENSDNOP00000014425	ENSDNOG00000018582	Dasypus_novemcinctus
ENSCHOP00000010951	ENSCHOG00000012362	Choloepus_hoffmanni
ENSLAFP00000012444	ENSLAFG00000014859	Loxodonta_africana
ENSPCAP00000002463	ENSPCAG00000002605	Procavia_capensis
ENSETEP00000014670	ENSETEG00000018054	Echinops_telfairi
ENSOANP00000004465	ENSOANG00000002805	Ornithorhynchus_anatinus
ENSAHAP00000001256	ENSAHAG00000000872	Apteryx_haastii
ENSARWP00000003979	ENSARWG00000002946	Apteryx_rowi
ENSAOWP00000003793	ENSAOWG00000002666	Apteryx_owenii
ENSDNVP00000006189	ENSDNVG00000004434	Dromaius_novaehollandiae
ENSNPEP00000008999	ENSNPEG00000006745	Nothoprocta_perdicaria
ENSJHYP00000004377	ENSJHYG00000003628	Junco_hyemalis
ENSZALP00000017550	ENSZALG00000014172	Zonotrichia_albicollis
ENSSCAP00000016597	ENSSCAG00000012098	Serinus_canaria
ENSTGUP00000013926	ENSTGUG00000013525	Taeniopygia_guttata
ENSLSDP00000025529	ENSLSDG00000017853	Lonchura_striata_domestica
ENSCCEP00000002386	ENSCCEG00000002614	Cyanistes_caeruleus
ENSPMJP00000016155	ENSPMJG00000012236	Parus_major
ENSFALP00000001558	ENSFALG00000001497	Ficedula_albicollis
ENSLCOP00000012114	ENSLCOG00000008784	Lepidothrix_coronata
ENSMVIP00005007156	ENSMVIG00005005383	Manacus_vitellinus
ENSMUNP00000009211	ENSMUNG00000007275	Melopsittacus_undulatus
ENSCPUP00000005398	ENSCPUG00000003965	Calidris_pugnax
ENSCPGP00000025284	ENSCPGG00000017433	Calidris_pygmaea
ENSABRP00000020028	ENSABRG00000017136	Anser_brachyrhynchus
ENSAPLP00000007947	ENSAPLG00000008285	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000015296	ENSMGAG00000014453	Meleagris_gallopavo
ENSGALP00000024926	ENSGALG00000015485	Gallus_gallus
ENSCJPP00005003149	ENSCJPG00005003385	Coturnix_japonica
ENSNMEP00000011065	ENSNMEG00000010425	Numida_meleagris
ENSCPRP00005016242	ENSCPRG00005011342	Crocodylus_porosus
ENSGAGP00000021338	ENSGAGG00000015670	Gopherus_agassizii
ENSCABP00000015331	ENSCABG00000011415	Chelonoidis_abingdonii
ENSCPBP00000007907	ENSCPBG00000006216	Chrysemys_picta_bellii
ENSPSIP00000012476	ENSPSIG00000011164	Pelodiscus_sinensis
ENSACAP00000013653	ENSACAG00000013881	Anolis_carolinensis
ENSPVIP00000013776	ENSPVIG00000010661	Pogona_vitticeps
ENSNSUP00000022327	ENSNSUG00000016231	Notechis_scutatus
ENSSMRP00000002268	ENSSMRG00000001942	Salvator_merianae
ENSSPUP00000014744	ENSSPUG00000011385	Sphenodon_punctatus
ENSXETP00000009623	ENSXETG00000011530	Xenopus_tropicalis
ENSEBUP00000015794	ENSEBUG00000009936	Eptatretus_burgeri
ENSEBUP00000007745	ENSEBUG00000005052	Eptatretus_burgeri
ENSCMIP00000033835	ENSCMIG00000014413	Callorhinchus_milii
ENSCSAVP00000003952	ENSCSAVG00000002347	Ciona_savignyi	ENSCSAVT00000004011
ENSCINP00000024652	ENSCING00000013420	Ciona_intestinalis	ENSCINT00000024898
