ZK1248.14.1	WBGene00001509	Caenorhabditis_elegans_strain_N2
ENSLBEP00000015938	ENSLBEG00000012337	Labrus_bergylta
ENSAOCP00000022110	ENSAOCG00000007392	Amphiprion_ocellaris
ENSAPEP00000020845	ENSAPEG00000014888	Amphiprion_percula
ENSAPOP00000030755	ENSAPOG00000017591	Acanthochromis_polyacanthus
ENSSPAP00000012240	ENSSPAG00000009269	Stegastes_partitus
ENSPRNP00000005629	ENSPRNG00000003293	Parambassis_ranga
ENSPFOP00000017237	ENSPFOG00000017078	Poecilia_formosa
ENSPLAP00000029219	ENSPLAG00000019259	Poecilia_latipinna
ENSPMEP00000020985	ENSPMEG00000000897	Poecilia_mexicana
ENSPREP00000012582	ENSPREG00000008521	Poecilia_reticulata
ENSXMAP00000004663	ENSXMAG00000004637	Xiphophorus_maculatus
ENSXCOP00000002651	ENSXCOG00000002115	Xiphophorus_couchianus
ENSGAFP00000022073	ENSGAFG00000014901	Gambusia_affinis
ENSFHEP00000010028	ENSFHEG00000011338	Fundulus_heteroclitus
ENSCVAP00000026095	ENSCVAG00000011379	Cyprinodon_variegatus
ENSKMAP00000018444	ENSKMAG00000013699	Kryptolebias_marmoratus
ENSORLP00000026370	ENSORLG00000025366	Oryzias_latipes_ASM223467v1
ENSORLP00015030859	ENSORLG00015014785	Oryzias_latipes_ASM223469v1
ENSORLP00020001134	ENSORLG00020001841	Oryzias_latipes_ASM223471v1
ENSOMEP00000021599	ENSOMEG00000023507	Oryzias_melastigma
ENSMALP00000000142	ENSMALG00000000047	Monopterus_albus
ENSMAMP00000012602	ENSMAMG00000008508	Mastacembelus_armatus
ENSATEP00000036135	ENSATEG00000024839	Anabas_testudineus
ENSLCRP00005059047	ENSLCRG00005021864	Larimichthys_crocea
ENSHBUP00000003163	ENSHBUG00000004438	Haplochromis_burtoni
ENSPNYP00000031972	ENSPNYG00000024126	Pundamilia_nyererei
ENSACLP00000006654	ENSACLG00000004451	Astatotilapia_calliptera
ENSMZEP00005024902	ENSMZEG00005018589	Maylandia_zebra
ENSNBRP00000028247	ENSNBRG00000021503	Neolamprologus_brichardi
ENSONIP00000002016	ENSONIG00000001607	Oreochromis_niloticus
ENSACIP00000017739	ENSACIG00000013827	Amphilophus_citrinellus
ENSSLDP00000032152	ENSSLDG00000024687	Seriola_lalandi_dorsalis
ENSSDUP00000001148	ENSSDUG00000000877	Seriola_dumerili
ENSLCAP00010016537	ENSLCAG00010007812	Lates_calcarifer
ENSSMAP00000005171	ENSSMAG00000003167	Scophthalmus_maximus
ENSGMOP00000003538	ENSGMOG00000003331	Gadus_morhua
ENSHHUP00000080131	ENSHHUG00000046635	Hucho_hucho
ENSELUP00000028739	ENSELUG00000005449	Esox_lucius
ENSPKIP00000034638	ENSPKIG00000013870	Paramormyrops_kingsleyae
ENSSFOP00015016221	ENSSFOG00015010453	Scleropages_formosus
ENSLOCP00000006501	ENSLOCG00000005375	Lepisosteus_oculatus
ENSECRP00000009149	ENSECRG00000006144	Erpetoichthys_calabaricus
ENSCMIP00000014283	ENSCMIG00000006931	Callorhinchus_milii
ENSDCDP00000023769	ENSDCDG00000017984	Denticeps_clupeoides
ENSCHAP00000055821	ENSCHAG00000024704	Clupea_harengus
ENSAMXP00005018558	ENSAMXG00005008743	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000020767	ENSAMXG00000020170	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000000396	ENSPNAG00000007467	Pygocentrus_nattereri
ENSEEEP00000007383	ENSEEEG00000003755	Electrophorus_electricus
ENSIPUP00000031710	ENSIPUG00000021322	Ictalurus_punctatus
ENSDARP00000140472	ENSDARG00000079219	Danio_rerio
ENSPFOP00000027960	ENSPFOG00000024230	Poecilia_formosa
ENSPLAP00000002494	ENSPLAG00000003794	Poecilia_latipinna
ENSPMEP00000027882	ENSPMEG00000012626	Poecilia_mexicana
ENSPREP00000022144	ENSPREG00000014938	Poecilia_reticulata
ENSXMAP00000018238	ENSXMAG00000018170	Xiphophorus_maculatus
ENSXCOP00000003773	ENSXCOG00000002951	Xiphophorus_couchianus
ENSGAFP00000019773	ENSGAFG00000013361	Gambusia_affinis
ENSCVAP00000023855	ENSCVAG00000007548	Cyprinodon_variegatus
ENSFHEP00000006523	ENSFHEG00000007621	Fundulus_heteroclitus
ENSKMAP00000029751	ENSKMAG00000022004	Kryptolebias_marmoratus
ENSORLP00015017435	ENSORLG00015018483	Oryzias_latipes_ASM223469v1
ENSORLP00000045607	ENSORLG00000005858	Oryzias_latipes_ASM223467v1
ENSORLP00020020307	ENSORLG00020021330	Oryzias_latipes_ASM223471v1
ENSOMEP00000030176	ENSOMEG00000014303	Oryzias_melastigma
ENSMZEP00005002617	ENSMZEG00005002022	Maylandia_zebra
ENSPNYP00000006953	ENSPNYG00000005303	Pundamilia_nyererei
ENSACLP00000028601	ENSACLG00000019301	Astatotilapia_calliptera
ENSHBUP00000020116	ENSHBUG00000022434	Haplochromis_burtoni
ENSNBRP00000022691	ENSNBRG00000017365	Neolamprologus_brichardi
ENSONIP00000002079	ENSONIG00000001659	Oreochromis_niloticus
ENSACIP00000016481	ENSACIG00000012823	Amphilophus_citrinellus
ENSGWIP00000055359	ENSGWIG00000026174	Gouania_willdenowi
ENSTNIP00000018620	ENSTNIG00000015548	Tetraodon_nigroviridis
ENSTRUP00000045020	ENSTRUG00000017563	Takifugu_rubripes
ENSMMOP00000025767	ENSMMOG00000019533	Mola_mola
ENSLBEP00000036352	ENSLBEG00000027183	Labrus_bergylta
ENSCSEP00000021160	ENSCSEG00000013502	Cynoglossus_semilaevis
ENSPMGP00000015800	ENSPMGG00000012943	Periophthalmus_magnuspinnatus
ENSHCOP00000015257	ENSHCOG00000018858	Hippocampus_comes
ENSCGOP00000049575	ENSCGOG00000022069	Cottoperca_gobio
ENSGACP00000013052	ENSGACG00000009857	Gasterosteus_aculeatus
ENSLCRP00005003376	ENSLCRG00005001258	Larimichthys_crocea
ENSSDUP00000004433	ENSSDUG00000003272	Seriola_dumerili
ENSSLDP00000022939	ENSSLDG00000017886	Seriola_lalandi_dorsalis
ENSLCAP00010048878	ENSLCAG00010022363	Lates_calcarifer
ENSSMAP00000004708	ENSSMAG00000002898	Scophthalmus_maximus
ENSMALP00000025117	ENSMALG00000017449	Monopterus_albus
ENSMAMP00000008869	ENSMAMG00000005965	Mastacembelus_armatus
ENSATEP00000014346	ENSATEG00000009967	Anabas_testudineus
ENSBSLP00000040623	ENSBSLG00000018717	Betta_splendens
ENSAOCP00000005005	ENSAOCG00000008499	Amphiprion_ocellaris
ENSAPEP00000007835	ENSAPEG00000005600	Amphiprion_percula
ENSAPOP00000016668	ENSAPOG00000019846	Acanthochromis_polyacanthus
ENSSPAP00000003279	ENSSPAG00000002472	Stegastes_partitus
ENSPRNP00000052122	ENSPRNG00000024632	Parambassis_ranga
ENSPRNP00000052072	ENSPRNG00000024602	Parambassis_ranga
ENSGMOP00000018541	ENSGMOG00000017233	Gadus_morhua
ENSHHUP00000015065	ENSHHUG00000009351	Hucho_hucho
ENSHHUP00000009208	ENSHHUG00000005495	Hucho_hucho
ENSHHUP00000075019	ENSHHUG00000043872	Hucho_hucho
ENSELUP00000003207	ENSELUG00000004472	Esox_lucius
ENSPKIP00000032783	ENSPKIG00000012717	Paramormyrops_kingsleyae
ENSSFOP00015028019	ENSSFOG00015017937	Scleropages_formosus
ENSCHAP00000037113	ENSCHAG00000017123	Clupea_harengus
ENSCHAP00000021615	ENSCHAG00000009245	Clupea_harengus
ENSDCDP00000029951	ENSDCDG00000021126	Denticeps_clupeoides
ENSDCDP00000030284	ENSDCDG00000021303	Denticeps_clupeoides
ENSAMXP00000054269	ENSAMXG00000037049	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005057128	ENSAMXG00005025273	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000026437	ENSPNAG00000001904	Pygocentrus_nattereri
ENSDARP00000109661	ENSDARG00000011884	Danio_rerio
ENSHHUP00000085004	ENSHHUG00000049185	Hucho_hucho
ENSELUP00000017035	ENSELUG00000016789	Esox_lucius
ENSCVAP00000002437	ENSCVAG00000003550	Cyprinodon_variegatus
ENSCVAP00000021464	ENSCVAG00000003530	Cyprinodon_variegatus
ENSFHEP00000011608	ENSFHEG00000013083	Fundulus_heteroclitus
ENSPFOP00000010916	ENSPFOG00000010519	Poecilia_formosa
ENSPLAP00000030011	ENSPLAG00000020728	Poecilia_latipinna
ENSPREP00000001474	ENSPREG00000001106	Poecilia_reticulata
ENSGAFP00000028039	ENSGAFG00000018955	Gambusia_affinis
ENSGAFP00000028041	ENSGAFG00000018957	Gambusia_affinis
ENSXCOP00000026769	ENSXCOG00000019997	Xiphophorus_couchianus
ENSXMAP00000004251	ENSXMAG00000004202	Xiphophorus_maculatus
ENSKMAP00000006900	ENSKMAG00000005207	Kryptolebias_marmoratus
ENSOMEP00000022578	ENSOMEG00000002185	Oryzias_melastigma
ENSOMEP00000001288	ENSOMEG00000002180	Oryzias_melastigma
ENSORLP00020015399	ENSORLG00020016400	Oryzias_latipes_ASM223471v1
ENSORLP00020031378	ENSORLG00020016388	Oryzias_latipes_ASM223471v1
ENSORLP00000044224	ENSORLG00000029782	Oryzias_latipes_ASM223467v1
ENSORLP00000009002	ENSORLG00000007178	Oryzias_latipes_ASM223467v1
ENSORLP00015012732	ENSORLG00015013590	Oryzias_latipes_ASM223469v1
ENSORLP00015030112	ENSORLG00015013607	Oryzias_latipes_ASM223469v1
ENSAPOP00000033595	ENSAPOG00000022283	Acanthochromis_polyacanthus
ENSAPOP00000033626	ENSAPOG00000022292	Acanthochromis_polyacanthus
ENSAPEP00000002984	ENSAPEG00000002172	Amphiprion_percula
ENSAOCP00000019496	ENSAOCG00000002936	Amphiprion_ocellaris
ENSSPAP00000011004	ENSSPAG00000008354	Stegastes_partitus
ENSACIP00000000406	ENSACIG00000000363	Amphilophus_citrinellus
ENSACIP00000000367	ENSACIG00000000340	Amphilophus_citrinellus
ENSONIP00000017687	ENSONIG00000014073	Oreochromis_niloticus
ENSNBRP00000021949	ENSNBRG00000016774	Neolamprologus_brichardi
ENSPNYP00000015879	ENSPNYG00000012018	Pundamilia_nyererei
ENSPNYP00000015909	ENSPNYG00000012044	Pundamilia_nyererei
ENSHBUP00000008494	ENSHBUG00000010006	Haplochromis_burtoni
ENSHBUP00000008457	ENSHBUG00000009981	Haplochromis_burtoni
ENSMZEP00005030369	ENSMZEG00005022630	Maylandia_zebra
ENSMZEP00005030374	ENSMZEG00005022634	Maylandia_zebra
ENSATEP00000006366	ENSATEG00000004500	Anabas_testudineus
ENSMAMP00000028175	ENSMAMG00000018955	Mastacembelus_armatus
ENSSLDP00000008568	ENSSLDG00000006788	Seriola_lalandi_dorsalis
ENSSLDP00000008598	ENSSLDG00000006816	Seriola_lalandi_dorsalis
ENSSDUP00000008135	ENSSDUG00000005964	Seriola_dumerili
ENSLCAP00010010342	ENSLCAG00010004934	Lates_calcarifer
ENSLCRP00005024726	ENSLCRG00005009874	Larimichthys_crocea
ENSMMOP00000023658	ENSMMOG00000018004	Mola_mola
ENSLBEP00000017133	ENSLBEG00000013155	Labrus_bergylta
ENSGACP00000002099	ENSGACG00000001587	Gasterosteus_aculeatus
ENSXMAP00000031335	ENSXMAG00000021517	Xiphophorus_maculatus
ENSXCOP00000026767	ENSXCOG00000019995	Xiphophorus_couchianus
ENSPMEP00000022376	ENSPMEG00000003263	Poecilia_mexicana
ENSMALP00000014153	ENSMALG00000009954	Monopterus_albus
ENSACLP00000026047	ENSACLG00000017694	Astatotilapia_calliptera
ENSMMOP00000023648	ENSMMOG00000017999	Mola_mola
ENSGMOP00000002928	ENSGMOG00000002749	Gadus_morhua
ENSSFOP00015024385	ENSSFOG00015015604	Scleropages_formosus
ENSLOCP00000001358	ENSLOCG00000001195	Lepisosteus_oculatus
ENSECRP00000017243	ENSECRG00000011447	Erpetoichthys_calabaricus
ENSABRP00000027044	ENSABRG00000022532	Anser_brachyrhynchus
ENSAPLP00000012358	ENSAPLG00000012500	Anas_platyrhynchos_platyrhynchos
ENSGALP00000058147	ENSGALG00000041873	Gallus_gallus
ENSCJPP00005017469	ENSCJPG00005014252	Coturnix_japonica
ENSMGAP00000010156	ENSMGAG00000009801	Meleagris_gallopavo
ENSNMEP00000022241	ENSNMEG00000019019	Numida_meleagris
ENSLCOP00000020207	ENSLCOG00000014324	Lepidothrix_coronata
ENSMVIP00005019829	ENSMVIG00005014019	Manacus_vitellinus
ENSTGUP00000011056	ENSTGUG00000010693	Taeniopygia_guttata
ENSLSDP00000007830	ENSLSDG00000005877	Lonchura_striata_domestica
ENSSCAP00000016944	ENSSCAG00000012323	Serinus_canaria
ENSJHYP00000009300	ENSJHYG00000007347	Junco_hyemalis
ENSZALP00000006366	ENSZALG00000005814	Zonotrichia_albicollis
ENSPMJP00000003016	ENSPMJG00000002684	Parus_major
ENSCCEP00000007045	ENSCCEG00000007467	Cyanistes_caeruleus
ENSFALP00000008738	ENSFALG00000008386	Ficedula_albicollis
ENSCPGP00000019022	ENSCPGG00000013311	Calidris_pygmaea
ENSCPUP00000016168	ENSCPUG00000011209	Calidris_pugnax
ENSMUNP00000010131	ENSMUNG00000008010	Melopsittacus_undulatus
ENSAOWP00000024244	ENSAOWG00000016369	Apteryx_owenii
ENSAHAP00000017733	ENSAHAG00000011710	Apteryx_haastii
ENSARWP00000025255	ENSARWG00000017175	Apteryx_rowi
ENSDNVP00000027001	ENSDNVG00000018760	Dromaius_novaehollandiae
ENSNPEP00000003638	ENSNPEG00000002790	Nothoprocta_perdicaria
ENSCPRP00005013890	ENSCPRG00005009802	Crocodylus_porosus
ENSGAGP00000022450	ENSGAGG00000016465	Gopherus_agassizii
ENSCABP00000025738	ENSCABG00000017278	Chelonoidis_abingdonii
ENSCPBP00000039062	ENSCPBG00000026929	Chrysemys_picta_bellii
ENSPSIP00000015039	ENSPSIG00000013354	Pelodiscus_sinensis
ENSPVIP00000012224	ENSPVIG00000009544	Pogona_vitticeps
ENSACAP00000004729	ENSACAG00000004702	Anolis_carolinensis
ENSNSUP00000005522	ENSNSUG00000004432	Notechis_scutatus
ENSSMRP00000030802	ENSSMRG00000023619	Salvator_merianae
ENSSPUP00000019083	ENSSPUG00000014691	Sphenodon_punctatus
ENSPCIP00000008149	ENSPCIG00000006771	Phascolarctos_cinereus
ENSVURP00010016385	ENSVURG00010012549	Vombatus_ursinus
ENSMEUP00000009808	ENSMEUG00000010737	Notamacropus_eugenii
ENSSHAP00000019832	ENSSHAG00000016834	Sarcophilus_harrisii
ENSMODP00000041923	ENSMODG00000021304	Monodelphis_domestica
ENSBIXP00005013360	ENSBIXG00005007801	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000021135	ENSBIXG00000004889	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000013860	ENSBTAG00000010485	Bos_taurus
ENSBMUP00000022212	ENSBMUG00000016720	Bos_mutus
ENSBBBP00000022699	ENSBBBG00000016746	Bison_bison_bison
ENSCHIP00000024001	ENSCHIG00000021326	Capra_hircus
ENSOARP00000022250	ENSOARG00000020701	Ovis_aries
ENSTTRP00000001480	ENSTTRG00000001572	Tursiops_truncatus
ENSSSCP00000038468	ENSSSCG00000039285	Sus_scrofa_strain_reference
ENSVPAP00000006148	ENSVPAG00000006617	Vicugna_pacos
ENSPVAP00000010179	ENSPVAG00000010800	Pteropus_vampyrus
ENSMLUP00000006954	ENSMLUG00000007603	Myotis_lucifugus
ENSUAMP00000009106	ENSUAMG00000007614	Ursus_americanus
ENSUMAP00000010069	ENSUMAG00000007570	Ursus_maritimus
ENSAMEP00000011386	ENSAMEG00000010816	Ailuropoda_melanoleuca
ENSNVIP00000023121	ENSNVIG00000018002	Neovison_vison
ENSMPUP00000017102	ENSMPUG00000017210	Mustela_putorius_furo
ENSCAFP00020029632	ENSCAFG00020023114	Canis_lupus_dingo
ENSCAFP00000016667	ENSCAFG00000011308	Canis_lupus_familiaris
ENSVVUP00000006140	ENSVVUG00000004780	Vulpes_vulpes
ENSPPRP00000005926	ENSPPRG00000001517	Panthera_pardus
ENSPTIP00000007098	ENSPTIG00000008839	Panthera_tigris_altaica
ENSFCAP00000031752	ENSFCAG00000028181	Felis_catus
ENSECAP00000016916	ENSECAG00000018551	Equus_caballus
ENSEASP00005024790	ENSEASG00005016871	Equus_asinus_asinus
ENSSARP00000012424	ENSSARG00000013749	Sorex_araneus
ENSEEUP00000001262	ENSEEUG00000001400	Erinaceus_europaeus
ENSGGOP00000009148	ENSGGOG00000009357	Gorilla_gorilla
