ENSMEUP00000008980	ENSMEUG00000009832	Notamacropus_eugenii
ENSPEMP00000020263	ENSPEMG00000018278	Peromyscus_maniculatus_bairdii
ENSMOCP00000005388	ENSMOCG00000004850	Microtus_ochrogaster
ENSNGAP00000025804	ENSNGAG00000023638	Nannospalax_galili
ENSJJAP00000002228	ENSJJAG00000003658	Jaculus_jaculus
ENSSDAP00000027402	ENSSDAG00000024830	Spermophilus_dauricus
ENSUPAP00010002693	ENSUPAG00010002235	Urocitellus_parryii
ENSSTOP00000005277	ENSSTOG00000005876	Ictidomys_tridecemlineatus
ENSMMMP00000013147	ENSMMMG00000011686	Marmota_marmota_marmota
ENSTSYP00000028491	ENSTSYG00000003479	Carlito_syrichta
ENSPSMP00000014360	ENSPSMG00000010297	Prolemur_simus
ENSSDAP00000025787	ENSSDAG00000023401	Spermophilus_dauricus
ENSCHOP00000010759	ENSCHOG00000012159	Choloepus_hoffmanni
ENSDNOP00000022041	ENSDNOG00000042429	Dasypus_novemcinctus
ENSLAFP00000015420	ENSLAFG00000018399	Loxodonta_africana
ENSPCAP00000012724	ENSPCAG00000013586	Procavia_capensis
ENSETEP00000001967	ENSETEG00000002417	Echinops_telfairi
ENSEEUP00000004809	ENSEEUG00000005252	Erinaceus_europaeus
ENSUMAP00000005557	ENSUMAG00000004384	Ursus_maritimus
ENSUAMP00000028713	ENSUAMG00000020630	Ursus_americanus
ENSAMEP00000019173	ENSAMEG00000018139	Ailuropoda_melanoleuca
ENSMPUP00000007745	ENSMPUG00000007802	Mustela_putorius_furo
ENSNVIP00000011485	ENSNVIG00000009086	Neovison_vison
ENSCAFP00020007957	ENSCAFG00020006437	Canis_lupus_dingo
ENSCAFP00000046228	ENSCAFG00000003272	Canis_lupus_familiaris
ENSVVUP00000040723	ENSVVUG00000028994	Vulpes_vulpes
ENSPPRP00000007076	ENSPPRG00000002372	Panthera_pardus
ENSPTIP00000020024	ENSPTIG00000017587	Panthera_tigris_altaica
ENSFCAP00000004282	ENSFCAG00000004630	Felis_catus
ENSEASP00005005463	ENSEASG00005004042	Equus_asinus_asinus
ENSECAP00000045386	ENSECAG00000019233	Equus_caballus
ENSPVAP00000016919	ENSPVAG00000017932	Pteropus_vampyrus
ENSOARP00000003827	ENSOARG00000003585	Ovis_aries
ENSCHIP00000023255	ENSCHIG00000020902	Capra_hircus
ENSBIXP00000035285	ENSBIXG00000000649	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005005189	ENSBIXG00005010974	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000070261	ENSBTAG00000003490	Bos_taurus
ENSBMUP00000010139	ENSBMUG00000007785	Bos_mutus
ENSBBBP00000000035	ENSBBBG00000009207	Bison_bison_bison
ENSTTRP00000012114	ENSTTRG00000012769	Tursiops_truncatus
ENSVPAP00000006117	ENSVPAG00000006584	Vicugna_pacos
ENSSDAP00000018410	ENSSDAG00000016837	Spermophilus_dauricus
ENSSHAP00000001934	ENSSHAG00000001721	Sarcophilus_harrisii
ENSOANP00000031361	ENSOANG00000030902	Ornithorhynchus_anatinus
ENSCPBP00000035928	ENSCPBG00000024980	Chrysemys_picta_bellii
ENSPMAP00000002209	ENSPMAG00000002020	Petromyzon_marinus
ENSCLAP00000018015	ENSCLAG00000012359	Chinchilla_lanigera
ENSODEP00000012066	ENSODEG00000008951	Octodon_degus
ENSCPOP00000022483	ENSCPOG00000005738	Cavia_porcellus
ENSHGLP00000011424	ENSHGLG00000008190	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100006703	ENSHGLG00100005032	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000004367	ENSFDAG00000013608	Fukomys_damarensis
ENSCAPP00000002826	ENSCAPG00000005738	Cavia_aperea
ENSCCNP00000009285	ENSCCNG00000009767	Castor_canadensis
ENSGAGP00000024378	ENSGAGG00000017770	Gopherus_agassizii
ENSCPBP00000035931	ENSCPBG00000024983	Chrysemys_picta_bellii
ENSAOWP00000013450	ENSAOWG00000009170	Apteryx_owenii
ENSARWP00000002431	ENSARWG00000001840	Apteryx_rowi
ENSAPLP00000006753	ENSAPLG00000007125	Anas_platyrhynchos_platyrhynchos
ENSCPGP00000028444	ENSCPGG00000019551	Calidris_pygmaea
ENSSPUP00000011972	ENSSPUG00000009172	Sphenodon_punctatus
ENSPCIP00000047175	ENSPCIG00000033160	Phascolarctos_cinereus
ENSPMEP00000018635	ENSPMEG00000021660	Poecilia_mexicana
ENSPLAP00000017720	ENSPLAG00000022184	Poecilia_latipinna
ENSOMEP00000012996	ENSOMEG00000014438	Oryzias_melastigma
ENSAPOP00000000567	ENSAPOG00000001773	Acanthochromis_polyacanthus
ENSACAP00000017442	ENSACAG00000017690	Anolis_carolinensis
ENSPVIP00000007377	ENSPVIG00000005251	Pogona_vitticeps
ENSNSUP00000014244	ENSNSUG00000010531	Notechis_scutatus
ENSSMRP00000024634	ENSSMRG00000018815	Salvator_merianae
ENSSPUP00000011927	ENSSPUG00000009143	Sphenodon_punctatus
ENSAOWP00000008737	ENSAOWG00000005985	Apteryx_owenii
ENSAHAP00000002777	ENSAHAG00000000953	Apteryx_haastii
ENSARWP00000007347	ENSARWG00000005143	Apteryx_rowi
ENSDNVP00000023827	ENSDNVG00000016373	Dromaius_novaehollandiae
ENSNPEP00000017645	ENSNPEG00000013084	Nothoprocta_perdicaria
ENSZALP00000010164	ENSZALG00000008183	Zonotrichia_albicollis
ENSJHYP00000006770	ENSJHYG00000004033	Junco_hyemalis
ENSSCAP00000014150	ENSSCAG00000010176	Serinus_canaria
ENSTGUP00000005758	ENSTGUG00000005533	Taeniopygia_guttata
ENSFALP00000002931	ENSFALG00000002814	Ficedula_albicollis
ENSLSDP00000004681	ENSLSDG00000003658	Lonchura_striata_domestica
ENSLSDP00000004670	ENSLSDG00000003650	Lonchura_striata_domestica
ENSCCEP00000013898	ENSCCEG00000013305	Cyanistes_caeruleus
ENSCCEP00000013899	ENSCCEG00000013307	Cyanistes_caeruleus
ENSCCEP00000013896	ENSCCEG00000013304	Cyanistes_caeruleus
ENSABRP00000013480	ENSABRG00000011971	Anser_brachyrhynchus
ENSPMJP00000015553	ENSPMJG00000010996	Parus_major
ENSLCOP00000022307	ENSLCOG00000015728	Lepidothrix_coronata
ENSMVIP00005015752	ENSMVIG00005010949	Manacus_vitellinus
ENSAPLP00000008816	ENSAPLG00000009118	Anas_platyrhynchos_platyrhynchos
ENSCPGP00000014258	ENSCPGG00000010099	Calidris_pygmaea
ENSCPUP00000004142	ENSCPUG00000001845	Calidris_pugnax
ENSMUNP00000019382	ENSMUNG00000014674	Melopsittacus_undulatus
ENSCJPP00005018165	ENSCJPG00005014784	Coturnix_japonica
ENSCJPP00005018164	ENSCJPG00005014782	Coturnix_japonica
ENSGALP00000043637	ENSGALG00000035492	Gallus_gallus
ENSMGAP00000012574	ENSMGAG00000011976	Meleagris_gallopavo
ENSNMEP00000022739	ENSNMEG00000019114	Numida_meleagris
ENSABRP00000026758	ENSABRG00000022294	Anser_brachyrhynchus
ENSCPRP00005015527	ENSCPRG00005010884	Crocodylus_porosus
ENSGAGP00000016444	ENSGAGG00000012309	Gopherus_agassizii
ENSCABP00000004201	ENSCABG00000003142	Chelonoidis_abingdonii
ENSCPBP00000035930	ENSCPBG00000024982	Chrysemys_picta_bellii
ENSPSIP00000018988	ENSPSIG00000016783	Pelodiscus_sinensis
ENSXETP00000008707	ENSXETG00000011561	Xenopus_tropicalis
ENSLACP00000012757	ENSLACG00000011236	Latimeria_chalumnae
ENSOANP00000031776	ENSOANG00000029580	Ornithorhynchus_anatinus
ENSDCDP00000059866	ENSDCDG00000034140	Denticeps_clupeoides
ENSCHAP00000031044	ENSCHAG00000014572	Clupea_harengus
ENSAMXP00005044336	ENSAMXG00005019376	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000052304	ENSAMXG00000003570	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000001071	ENSPNAG00000007948	Pygocentrus_nattereri
ENSIPUP00000033675	ENSIPUG00000022619	Ictalurus_punctatus
ENSEEEP00000012762	ENSEEEG00000006317	Electrophorus_electricus
ENSDARP00000132398	ENSDARG00000098753	Danio_rerio
ENSSFOP00015018106	ENSSFOG00015011599	Scleropages_formosus
ENSPKIP00000013057	ENSPKIG00000000608	Paramormyrops_kingsleyae
ENSHHUP00000043763	ENSHHUG00000026646	Hucho_hucho
ENSELUP00000040640	ENSELUG00000021205	Esox_lucius
ENSXCOP00000026991	ENSXCOG00000020164	Xiphophorus_couchianus
ENSXMAP00000025251	ENSXMAG00000002809	Xiphophorus_maculatus
ENSGAFP00000023356	ENSGAFG00000015764	Gambusia_affinis
ENSPFOP00000006041	ENSPFOG00000005937	Poecilia_formosa
ENSPREP00000006785	ENSPREG00000004642	Poecilia_reticulata
ENSFHEP00000006410	ENSFHEG00000007550	Fundulus_heteroclitus
ENSCVAP00000005339	ENSCVAG00000006800	Cyprinodon_variegatus
ENSPMGP00000029204	ENSPMGG00000023494	Periophthalmus_magnuspinnatus
ENSGACP00000007730	ENSGACG00000005835	Gasterosteus_aculeatus
ENSAPOP00000032937	ENSAPOG00000001090	Acanthochromis_polyacanthus
ENSAOCP00000030463	ENSAOCG00000021446	Amphiprion_ocellaris
ENSCGOP00000026384	ENSCGOG00000009313	Cottoperca_gobio
ENSPMEP00000029853	ENSPMEG00000015920	Poecilia_mexicana
ENSPLAP00000030122	ENSPLAG00000020943	Poecilia_latipinna
ENSMMOP00000026166	ENSMMOG00000019840	Mola_mola
ENSHCOP00000026795	ENSHCOG00000018083	Hippocampus_comes
ENSORLP00015010943	ENSORLG00015011787	Oryzias_latipes_ASM223469v1
ENSORLP00000004190	ENSORLG00000003371	Oryzias_latipes_ASM223467v1
ENSTNIP00000020118	ENSTNIG00000016993	Tetraodon_nigroviridis
ENSLCRP00005016137	ENSLCRG00005005097	Larimichthys_crocea
ENSKMAP00000003995	ENSKMAG00000002985	Kryptolebias_marmoratus
ENSCSEP00000012775	ENSCSEG00000008265	Cynoglossus_semilaevis
ENSTRUP00000029808	ENSTRUG00000011805	Takifugu_rubripes
ENSPRNP00000040112	ENSPRNG00000017602	Parambassis_ranga
ENSATEP00000023900	ENSATEG00000016530	Anabas_testudineus
ENSBSLP00000036903	ENSBSLG00000016879	Betta_splendens
ENSMAMP00000016832	ENSMAMG00000011399	Mastacembelus_armatus
ENSMALP00000024224	ENSMALG00000016842	Monopterus_albus
ENSLBEP00000001655	ENSLBEG00000001249	Labrus_bergylta
ENSSPAP00000019353	ENSSPAG00000014492	Stegastes_partitus
ENSAPEP00000021138	ENSAPEG00000015109	Amphiprion_percula
ENSGWIP00000042805	ENSGWIG00000020108	Gouania_willdenowi
ENSGWIP00000009457	ENSGWIG00000003589	Gouania_willdenowi
ENSACLP00000029468	ENSACLG00000019940	Astatotilapia_calliptera
ENSMZEP00005008202	ENSMZEG00005006212	Maylandia_zebra
ENSPNYP00000011916	ENSPNYG00000009038	Pundamilia_nyererei
ENSHBUP00000032682	ENSHBUG00000000569	Haplochromis_burtoni
ENSNBRP00000013252	ENSNBRG00000010259	Neolamprologus_brichardi
ENSONIP00000002715	ENSONIG00000002179	Oreochromis_niloticus
ENSACIP00000027968	ENSACIG00000021643	Amphilophus_citrinellus
ENSSLDP00000011524	ENSSLDG00000009100	Seriola_lalandi_dorsalis
ENSSDUP00000011655	ENSSDUG00000008440	Seriola_dumerili
ENSLCAP00010016597	ENSLCAG00010007762	Lates_calcarifer
ENSSMAP00000020595	ENSSMAG00000012599	Scophthalmus_maximus
ENSGMOP00000007381	ENSGMOG00000006928	Gadus_morhua
ENSDCDP00000030121	ENSDCDG00000021214	Denticeps_clupeoides
ENSCHAP00000025516	ENSCHAG00000012429	Clupea_harengus
ENSAMXP00000032120	ENSAMXG00000034048	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000046346
ENSAMXP00000054363	ENSAMXG00000029331	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000030413
ENSAMXP00005025407	ENSAMXG00005012889	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000035550	ENSPNAG00000003944	Pygocentrus_nattereri
ENSEEEP00000037245	ENSEEEG00000017704	Electrophorus_electricus
ENSIPUP00000003826	ENSIPUG00000002691	Ictalurus_punctatus
ENSDARP00000127630	ENSDARG00000055400	Danio_rerio
ENSHHUP00000081053	ENSHHUG00000047131	Hucho_hucho
ENSOMEP00000012931	ENSOMEG00000014354	Oryzias_melastigma
ENSSFOP00015000835	ENSSFOG00015000624	Scleropages_formosus
ENSPKIP00000004342	ENSPKIG00000021446	Paramormyrops_kingsleyae
ENSEEEP00000043679	ENSEEEG00000020647	Electrophorus_electricus
ENSLOCP00000008601	ENSLOCG00000007091	Lepisosteus_oculatus
ENSECRP00000022785	ENSECRG00000015389	Erpetoichthys_calabaricus
ENSPMAP00000002087	ENSPMAG00000001881	Petromyzon_marinus
ENSEBUP00000017897	ENSEBUG00000011189	Eptatretus_burgeri
ENSEBUP00000020696	ENSEBUG00000012797	Eptatretus_burgeri
ENSCMIP00000005592	ENSCMIG00000002328	Callorhinchus_milii
