C08B11.3a.1	WBGene00007433	Caenorhabditis_elegans_strain_N2
ENSCGRP00015003010	ENSCGRG00015002340	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000000239	ENSCGRG00000000235	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000009727	ENSMAUG00000010801	Mesocricetus_auratus
MGP_SPRETEiJ_P0041415	MGP_SPRETEiJ_G0021100	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000032135	ENSMSIG00000026910	Mus_spicilegus
ENSMUSP00000093969	ENSMUSG00000033237	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0039588	MGP_CAROLIEiJ_G0020204	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0042942	MGP_PahariEiJ_G0020208	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000006970	ENSRNOG00000004831	Rattus_norvegicus
ENSMUGP00000003294	ENSMUGG00000003082	Meriones_unguiculatus
ENSSTOP00000008040	ENSSTOG00000008936	Ictidomys_tridecemlineatus
ENSUPAP00010004357	ENSUPAG00010003534	Urocitellus_parryii
ENSSDAP00000000387	ENSSDAG00000000427	Spermophilus_dauricus
ENSMMMP00000025822	ENSMMMG00000022637	Marmota_marmota_marmota
ENSODEP00000005255	ENSODEG00000003976	Octodon_degus
ENSCLAP00000002732	ENSCLAG00000001973	Chinchilla_lanigera
ENSCPOP00000029054	ENSCPOG00000035312	Cavia_porcellus
ENSHGLP00000007397	ENSHGLG00000005387	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100001106	ENSHGLG00100000881	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000013596	ENSFDAG00000000334	Fukomys_damarensis
ENSOCUP00000011457	ENSOCUG00000013306	Oryctolagus_cuniculus
ENSOPRP00000005297	ENSOPRG00000005751	Ochotona_princeps
ENSCAPP00000005867	ENSCAPG00000008089	Cavia_aperea
ENSPVAP00000009269	ENSPVAG00000009834	Pteropus_vampyrus
ENSMLUP00000006324	ENSMLUG00000006908	Myotis_lucifugus
ENSEASP00005034442	ENSEASG00005023503	Equus_asinus_asinus
ENSECAP00000037900	ENSECAG00000019032	Equus_caballus
ENSCHIP00000007348	ENSCHIG00000010883	Capra_hircus
ENSOARP00000021007	ENSOARG00000019554	Ovis_aries
ENSBIXP00000017403	ENSBIXG00000021414	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005020253	ENSBIXG00005023392	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000065917	ENSBTAG00000011087	Bos_taurus
ENSBMUP00000008137	ENSBMUG00000006385	Bos_mutus
ENSBBBP00000004881	ENSBBBG00000007979	Bison_bison_bison
ENSTTRP00000004371	ENSTTRG00000004598	Tursiops_truncatus
ENSSSCP00000039026	ENSSSCG00000030685	Sus_scrofa_strain_reference
ENSVPAP00000004434	ENSVPAG00000004779	Vicugna_pacos
ENSUAMP00000016350	ENSUAMG00000012964	Ursus_americanus
ENSUMAP00000033725	ENSUMAG00000024221	Ursus_maritimus
ENSAMEP00000014124	ENSAMEG00000013404	Ailuropoda_melanoleuca
ENSNVIP00000008067	ENSNVIG00000006300	Neovison_vison
ENSMPUP00000000378	ENSMPUG00000000380	Mustela_putorius_furo
ENSCAFP00020013514	ENSCAFG00020010795	Canis_lupus_dingo
ENSCAFP00000054442	ENSCAFG00000009335	Canis_lupus_familiaris
ENSVVUP00000023239	ENSVVUG00000017041	Vulpes_vulpes
ENSPPRP00000027382	ENSPPRG00000018882	Panthera_pardus
ENSPTIP00000020750	ENSPTIG00000018094	Panthera_tigris_altaica
ENSFCAP00000042737	ENSFCAG00000012831	Felis_catus
ENSEEUP00000001438	ENSEEUG00000001577	Erinaceus_europaeus
ENSSARP00000006767	ENSSARG00000007415	Sorex_araneus
ENSPCAP00000014366	ENSPCAG00000015312	Procavia_capensis
ENSLAFP00000003686	ENSLAFG00000004415	Loxodonta_africana
ENSETEP00000016092	ENSETEG00000019809	Echinops_telfairi
ENSCHOP00000011859	ENSCHOG00000013380	Choloepus_hoffmanni
ENSDNOP00000011583	ENSDNOG00000014939	Dasypus_novemcinctus
ENSXETP00000004474	ENSXETG00000003841	Xenopus_tropicalis
ENSSPUP00000011717	ENSSPUG00000008990	Sphenodon_punctatus
ENSMICP00000043635	ENSMICG00000044858	Microcebus_murinus
ENSLACP00000005643	ENSLACG00000005013	Latimeria_chalumnae
ENSSFOP00015002017	ENSSFOG00015001259	Scleropages_formosus
ENSPKIP00000015700	ENSPKIG00000002325	Paramormyrops_kingsleyae
ENSHHUP00000016028	ENSHHUG00000009925	Hucho_hucho
ENSHHUP00000036888	ENSHHUG00000023120	Hucho_hucho
ENSELUP00000000452	ENSELUG00000002052	Esox_lucius
ENSSLDP00000022851	ENSSLDG00000017839	Seriola_lalandi_dorsalis
ENSSDUP00000021794	ENSSDUG00000015858	Seriola_dumerili
ENSBSLP00000030768	ENSBSLG00000014732	Betta_splendens
ENSLCAP00010056393	ENSLCAG00010026317	Lates_calcarifer
ENSSMAP00000021205	ENSSMAG00000012985	Scophthalmus_maximus
ENSATEP00000004748	ENSATEG00000003354	Anabas_testudineus
ENSMZEP00005019854	ENSMZEG00005014910	Maylandia_zebra
ENSACLP00000004452	ENSACLG00000002996	Astatotilapia_calliptera
ENSHBUP00000010080	ENSHBUG00000011615	Haplochromis_burtoni
ENSPNYP00000019271	ENSPNYG00000014572	Pundamilia_nyererei
ENSNBRP00000022792	ENSNBRG00000017384	Neolamprologus_brichardi
ENSONIP00000014982	ENSONIG00000011901	Oreochromis_niloticus
ENSACIP00000025215	ENSACIG00000019419	Amphilophus_citrinellus
ENSPRNP00000027070	ENSPRNG00000013559	Parambassis_ranga
ENSAOCP00000027409	ENSAOCG00000016297	Amphiprion_ocellaris
ENSAPEP00000030962	ENSAPEG00000021970	Amphiprion_percula
ENSAPOP00000033442	ENSAPOG00000022075	Acanthochromis_polyacanthus
ENSSPAP00000009008	ENSSPAG00000006874	Stegastes_partitus
ENSTNIP00000008487	ENSTNIG00000005771	Tetraodon_nigroviridis
ENSTRUP00000009662	ENSTRUG00000004073	Takifugu_rubripes
ENSMMOP00000013208	ENSMMOG00000010106	Mola_mola
ENSPLAP00000010543	ENSPLAG00000013482	Poecilia_latipinna
ENSPFOP00000011367	ENSPFOG00000011270	Poecilia_formosa
ENSPREP00000022141	ENSPREG00000014960	Poecilia_reticulata
ENSXMAP00000006665	ENSXMAG00000006636	Xiphophorus_maculatus
ENSXCOP00000020408	ENSXCOG00000015286	Xiphophorus_couchianus
ENSGAFP00000007331	ENSGAFG00000004976	Gambusia_affinis
ENSPMEP00000029498	ENSPMEG00000015261	Poecilia_mexicana
ENSFHEP00000013020	ENSFHEG00000014576	Fundulus_heteroclitus
ENSCVAP00000014338	ENSCVAG00000016961	Cyprinodon_variegatus
ENSKMAP00000028839	ENSKMAG00000021375	Kryptolebias_marmoratus
ENSGWIP00000042133	ENSGWIG00000021133	Gouania_willdenowi
ENSCGOP00000045560	ENSCGOG00000020260	Cottoperca_gobio
ENSGACP00000025804	ENSGACG00000019522	Gasterosteus_aculeatus
ENSORLP00000012097	ENSORLG00000009649	Oryzias_latipes_ASM223467v1
ENSORLP00020003082	ENSORLG00020003853	Oryzias_latipes_ASM223471v1
ENSOMEP00000021143	ENSOMEG00000023033	Oryzias_melastigma
ENSHCOP00000022418	ENSHCOG00000010380	Hippocampus_comes
ENSMAMP00000035090	ENSMAMG00000023558	Mastacembelus_armatus
ENSMALP00000016060	ENSMALG00000011264	Monopterus_albus
ENSLCRP00005047252	ENSLCRG00005017914	Larimichthys_crocea
ENSLBEP00000033342	ENSLBEG00000025089	Labrus_bergylta
ENSCSEP00000027047	ENSCSEG00000017204	Cynoglossus_semilaevis
ENSPMGP00000009584	ENSPMGG00000007951	Periophthalmus_magnuspinnatus
ENSGMOP00000017190	ENSGMOG00000016013	Gadus_morhua
ENSOMEP00000021123	ENSOMEG00000023006	Oryzias_melastigma
ENSCHAP00000028698	ENSCHAG00000013809	Clupea_harengus
ENSDCDP00000045063	ENSDCDG00000028057	Denticeps_clupeoides
ENSAMXP00000012550	ENSAMXG00000012189	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005019929	ENSAMXG00005008739	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000014957	ENSPNAG00000021000	Pygocentrus_nattereri
ENSIPUP00000023629	ENSIPUG00000015959	Ictalurus_punctatus
ENSEEEP00000014340	ENSEEEG00000007126	Electrophorus_electricus
ENSDARP00000011701	ENSDARG00000007413	Danio_rerio
ENSXCOP00000020425	ENSXCOG00000015303	Xiphophorus_couchianus
ENSLOCP00000020286	ENSLOCG00000016423	Lepisosteus_oculatus
ENSECRP00000016639	ENSECRG00000011073	Erpetoichthys_calabaricus
ENSCMIP00000038075	ENSCMIG00000016002	Callorhinchus_milii
ENSCMIP00000022654	ENSCMIG00000010187	Callorhinchus_milii
ENSPMAP00000009131	ENSPMAG00000008289	Petromyzon_marinus
ENSEBUP00000023905	ENSEBUG00000014711	Eptatretus_burgeri
