ENSMUGP00000010740	ENSMUGG00000009424	Meriones_unguiculatus
ENSOMEP00000027697	ENSOMEG00000010280	Oryzias_melastigma
ENSCHIP00000004788	ENSCHIG00000008939	Capra_hircus
ENSACAP00000004425	ENSACAG00000004525	Anolis_carolinensis
ENSCGRP00001026871	ENSCGRG00001024059	Cricetulus_griseus_CHOK1GS_HDv1
ENSPMEP00000017233	ENSPMEG00000020055	Poecilia_mexicana
ENSHBUP00000015245	ENSHBUG00000017158	Haplochromis_burtoni
ENSNSUP00000024772	ENSNSUG00000017894	Notechis_scutatus
ENSRNOP00000074801	ENSRNOG00000054423	Rattus_norvegicus
ENSMICP00000036341	ENSMICG00000035060	Microcebus_murinus
ENSNGAP00000004847	ENSNGAG00000006686	Nannospalax_galili
ENSSPUP00000004822	ENSSPUG00000003728	Sphenodon_punctatus
ENSMAMP00000000519	ENSMAMG00000000351	Mastacembelus_armatus
MGP_CAROLIEiJ_P0026977	MGP_CAROLIEiJ_G0016449	Mus_caroli_strain_CAROLI_EIJ
ENSPEMP00000008641	ENSPEMG00000010202	Peromyscus_maniculatus_bairdii
ENSSPAP00000002415	ENSSPAG00000001856	Stegastes_partitus
ENSDCDP00000011533	ENSDCDG00000005990	Denticeps_clupeoides
ENSAMEP00000002428	ENSAMEG00000002314	Ailuropoda_melanoleuca
ENSEASP00005025893	ENSEASG00005017673	Equus_asinus_asinus
ENSOPRP00000007940	ENSOPRG00000008679	Ochotona_princeps
ENSAMXP00005027452	ENSAMXG00005013757	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSLCOP00000018052	ENSLCOG00000012764	Lepidothrix_coronata
ENSLAFP00000004327	ENSLAFG00000005172	Loxodonta_africana
ENSCPOP00000027748	ENSCPOG00000036699	Cavia_porcellus
ENSFCAP00000059760	ENSFCAG00000005701	Felis_catus
ENSLCRP00005061149	ENSLCRG00005022560	Larimichthys_crocea
ENSCPGP00000009278	ENSCPGG00000006584	Calidris_pygmaea
ENSMLEP00000008887	ENSMLEG00000028645	Mandrillus_leucophaeus
ENSDNVP00000018288	ENSDNVG00000012792	Dromaius_novaehollandiae
ENSNLEP00000016475	ENSNLEG00000013580	Nomascus_leucogenys
ENSCAFP00000052421	ENSCAFG00000028791	Canis_lupus_familiaris
ENSSFOP00015031850	ENSSFOG00015020398	Scleropages_formosus
ENSCGRP00000005010	ENSCGRG00000003668	Cricetulus_griseus_CriGri_1.0
ENSLSDP00000009668	ENSLSDG00000007163	Lonchura_striata_domestica
ENSDORP00000014773	ENSDORG00000015700	Dipodomys_ordii
ENSTGEP00000005688	ENSTGEG00000004710	Theropithecus_gelada
ENSAOWP00000024409	ENSAOWG00000016487	Apteryx_owenii
ENSFHEP00000031819	ENSFHEG00000017959	Fundulus_heteroclitus
ENSXCOP00000002540	ENSXCOG00000002029	Xiphophorus_couchianus
ENSAPEP00000027411	ENSAPEG00000019464	Amphiprion_percula
ENSNVIP00000032285	ENSNVIG00000024891	Neovison_vison
ENSMNEP00000009168	ENSMNEG00000029046	Macaca_nemestrina
ENSMGAP00000004257	ENSMGAG00000004465	Meleagris_gallopavo
ENSVVUP00000042457	ENSVVUG00000030136	Vulpes_vulpes
ENSPPRP00000021598	ENSPPRG00000012373	Panthera_pardus
ENSORLP00015027623	ENSORLG00015009868	Oryzias_latipes_ASM223469v1
ENSECRP00000018969	ENSECRG00000012688	Erpetoichthys_calabaricus
ENSMMMP00000009382	ENSMMMG00000008383	Marmota_marmota_marmota
ENSDARP00000132700	ENSDARG00000103614	Danio_rerio
ENSJHYP00000006207	ENSJHYG00000005011	Junco_hyemalis
ENSUMAP00000006408	ENSUMAG00000005032	Ursus_maritimus
ENSPTIP00000022678	ENSPTIG00000019403	Panthera_tigris_altaica
ENSIPUP00000017571	ENSIPUG00000011866	Ictalurus_punctatus
ENSFDAP00000016532	ENSFDAG00000005117	Fukomys_damarensis
ENSEEUP00000006150	ENSEEUG00000006751	Erinaceus_europaeus
ENSCGRP00015023153	ENSCGRG00015017578	Cricetulus_griseus_CriGri-PICR
ENSLCAP00010035601	ENSLCAG00010016697	Lates_calcarifer
ENSPVIP00000023648	ENSPVIG00000017852	Pogona_vitticeps
ENSHGLP00100004636	ENSHGLG00100003502	Heterocephalus_glaber_HetGla_1.0
ENSCAPP00000008520	ENSCAPG00000010206	Cavia_aperea
ENSCPRP00005022992	ENSCPRG00005015993	Crocodylus_porosus
ENSMMUP00000008553	ENSMMUG00000006495	Macaca_mulatta
ENSGALP00000007770	ENSGALG00000004875	Gallus_gallus
ENSOARP00000001771	ENSOARG00000001684	Ovis_aries
ENSPLAP00000001306	ENSPLAG00000002341	Poecilia_latipinna
ENSLOCP00000002139	ENSLOCG00000001840	Lepisosteus_oculatus
ENSPREP00000031971	ENSPREG00000021660	Poecilia_reticulata
ENSMSIP00000023773	ENSMSIG00000020123	Mus_spicilegus
ENSECAP00000018017	ENSECAG00000020584	Equus_caballus
ENSHCOP00000024733	ENSHCOG00000014310	Hippocampus_comes
ENSLACP00000004961	ENSLACG00000004412	Latimeria_chalumnae
ENSPPYP00000009034	ENSPPYG00000008033	Pongo_abelii
ENSHGLP00000006591	ENSHGLG00000004818	Heterocephalus_glaber_HetGla_female_1.0
ENSCSAP00000004688	ENSCSAG00000008429	Chlorocebus_sabaeus
ENSPANP00000019745	ENSPANG00000023691	Papio_anubis
ENSCVAP00000012281	ENSCVAG00000014680	Cyprinodon_variegatus
ENSOCUP00000019003	ENSOCUG00000022137	Oryctolagus_cuniculus
ENSPPAP00000000607	ENSPPAG00000002104	Pan_paniscus
ENSMOCP00000024605	ENSMOCG00000020968	Microtus_ochrogaster
ENSAPOP00000005576	ENSAPOG00000007279	Acanthochromis_polyacanthus
ENSAOCP00000015670	ENSAOCG00000020460	Amphiprion_ocellaris
ENSAPLP00000016518	ENSAPLG00000019768	Anas_platyrhynchos_platyrhynchos
ENSBTAP00000068765	ENSBTAG00000016432	Bos_taurus
ENSCJAP00000043064	ENSCJAG00000008932	Callithrix_jacchus
ENSSMRP00000011234	ENSSMRG00000008840	Salvator_merianae
ENSETEP00000016341	ENSETEG00000020115	Echinops_telfairi
ENSBBBP00000021640	ENSBBBG00000001365	Bison_bison_bison
ENSANAP00000010320	ENSANAG00000023141	Aotus_nancymaae
ENSMFAP00000039434	ENSMFAG00000045924	Macaca_fascicularis
ENSPTEP00000029512	ENSPTEG00000028906	Piliocolobus_tephrosceles
ENSSSCP00000069491	ENSSSCG00000018055	Sus_scrofa_strain_reference
ENSAMXP00000037234	ENSAMXG00000040122	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSGGOP00000006740	ENSGGOG00000006888	Gorilla_gorilla
ENSCPBP00000029706	ENSCPBG00000020924	Chrysemys_picta_bellii
ENSSDAP00000025272	ENSSDAG00000022973	Spermophilus_dauricus
ENSODEP00000012028	ENSODEG00000008920	Octodon_degus
ENSOANP00000031838	ENSOANG00000001259	Ornithorhynchus_anatinus
ENSUPAP00010018421	ENSUPAG00010014628	Urocitellus_parryii
