ENSPNYP00000007872	ENSPNYG00000006003	Pundamilia_nyererei	ENSPNYT00000008063
ENSHCOP00000001418	ENSHCOG00000002378	Hippocampus_comes	ENSHCOT00000012146
ENSCHAP00000007544	ENSCHAG00000004690	Clupea_harengus	ENSCHAT00000008548
ENSFHEP00000003914	ENSFHEG00000004793	Fundulus_heteroclitus
ENSSLDP00000007443	ENSSLDG00000005895	Seriola_lalandi_dorsalis
ENSSDUP00000005998	ENSSDUG00000004409	Seriola_dumerili
ENSLCAP00010020626	ENSLCAG00010009750	Lates_calcarifer	ENSLCAT00010021082
ENSORLP00015028536	ENSORLG00015011255	Oryzias_latipes_ASM223469v1
ENSORLP00020011311	ENSORLG00020012271	Oryzias_latipes_ASM223471v1
ENSORLP00000003371	ENSORLG00000002702	Oryzias_latipes_ASM223467v1
ENSOMEP00000033483	ENSOMEG00000019506	Oryzias_melastigma
ENSGWIP00000002000	ENSGWIG00000001105	Gouania_willdenowi
ENSGMOP00000013869	ENSGMOG00000012963	Gadus_morhua
ENSHHUP00000055512	ENSHHUG00000033193	Hucho_hucho
ENSHHUP00000060327	ENSHHUG00000035783	Hucho_hucho
ENSELUP00000031737	ENSELUG00000009377	Esox_lucius
ENSNBRP00000022220	ENSNBRG00000017019	Neolamprologus_brichardi
ENSXCOP00000015073	ENSXCOG00000011424	Xiphophorus_couchianus
ENSACIP00000031229	ENSACIG00000024139	Amphilophus_citrinellus
ENSAPEP00000018252	ENSAPEG00000013045	Amphiprion_percula
ENSATEP00000001339	ENSATEG00000000949	Anabas_testudineus
ENSPMGP00000016486	ENSPMGG00000013546	Periophthalmus_magnuspinnatus
ENSDCDP00000008526	ENSDCDG00000004348	Denticeps_clupeoides
ENSPMEP00000002287	ENSPMEG00000003338	Poecilia_mexicana	ENSPMET00000012774
ENSPMEP00000020484	ENSPMEG00000023654	Poecilia_mexicana	ENSPMET00000030122
ENSPLAP00000010631	ENSPLAG00000013634	Poecilia_latipinna	ENSPLAT00000017789
ENSSPAP00000002975	ENSSPAG00000002256	Stegastes_partitus	ENSSPAT00000003019
ENSMMOP00000008004	ENSMMOG00000006213	Mola_mola	ENSMMOT00000008153
ENSKMAP00000020551	ENSKMAG00000015245	Kryptolebias_marmoratus	ENSKMAT00000020820
ENSPKIP00000024321	ENSPKIG00000007597	Paramormyrops_kingsleyae
ENSLOCP00000016864	ENSLOCG00000013676	Lepisosteus_oculatus
ENSPCIP00000003446	ENSPCIG00000001404	Phascolarctos_cinereus
ENSVURP00010008699	ENSVURG00010006746	Vombatus_ursinus
ENSMEUP00000010243	ENSMEUG00000011214	Notamacropus_eugenii
ENSSHAP00000020542	ENSSHAG00000017418	Sarcophilus_harrisii
ENSMODP00000015763	ENSMODG00000012598	Monodelphis_domestica
ENSCAFP00020029591	ENSCAFG00020023029	Canis_lupus_dingo
ENSCAFP00000024413	ENSCAFG00000016601	Canis_lupus_familiaris
ENSVVUP00000002961	ENSVVUG00000002319	Vulpes_vulpes
ENSNVIP00000006121	ENSNVIG00000004869	Neovison_vison
ENSMPUP00000015026	ENSMPUG00000015135	Mustela_putorius_furo
ENSPPRP00000015656	ENSPPRG00000008190	Panthera_pardus
ENSFCAP00000052433	ENSFCAG00000014494	Felis_catus
ENSEASP00005002360	ENSEASG00005001776	Equus_asinus_asinus
ENSBIXP00000029839	ENSBIXG00000011554	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005027527	ENSBIXG00005030533	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000015325	ENSBTAG00000011532	Bos_taurus
ENSBMUP00000001619	ENSBMUG00000001313	Bos_mutus
ENSBBBP00000026566	ENSBBBG00000008844	Bison_bison_bison
ENSCHIP00000021711	ENSCHIG00000019829	Capra_hircus
ENSSSCP00000036815	ENSSSCG00000032478	Sus_scrofa_strain_reference
ENSTTRP00000006272	ENSTTRG00000006620	Tursiops_truncatus
ENSAMEP00000004661	ENSAMEG00000004398	Ailuropoda_melanoleuca
ENSUMAP00000023455	ENSUMAG00000017019	Ursus_maritimus
ENSPTIP00000004745	ENSPTIG00000007153	Panthera_tigris_altaica
ENSOARP00000010329	ENSOARG00000009630	Ovis_aries
ENSPVAP00000002144	ENSPVAG00000002268	Pteropus_vampyrus
ENSUPAP00010008691	ENSUPAG00010006969	Urocitellus_parryii
ENSSTOP00000012754	ENSSTOG00000014229	Ictidomys_tridecemlineatus
ENSMMMP00000022986	ENSMMMG00000019996	Marmota_marmota_marmota
ENSSDAP00000003887	ENSSDAG00000003462	Spermophilus_dauricus
ENSCLAP00000020114	ENSCLAG00000013781	Chinchilla_lanigera
ENSODEP00000024060	ENSODEG00000017604	Octodon_degus
ENSCPOP00000005908	ENSCPOG00000006561	Cavia_porcellus
ENSCAPP00000002047	ENSCAPG00000004375	Cavia_aperea
ENSHGLP00000018016	ENSHGLG00000012901	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100013187	ENSHGLG00100009765	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000003371	ENSFDAG00000012852	Fukomys_damarensis
ENSCCNP00000025592	ENSCCNG00000024935	Castor_canadensis
ENSDORP00000015598	ENSDORG00000016578	Dipodomys_ordii
ENSCGRP00001023539	ENSCGRG00001021735	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015021576	ENSCGRG00015016433	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000013114	ENSCGRG00000009535	Cricetulus_griseus_CriGri_1.0
ENSMOCP00000002926	ENSMOCG00000002332	Microtus_ochrogaster
ENSPEMP00000015934	ENSPEMG00000015310	Peromyscus_maniculatus_bairdii
ENSMSIP00000020372	ENSMSIG00000017258	Mus_spicilegus
ENSMUSP00000045445	ENSMUSG00000038437	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0030971	MGP_SPRETEiJ_G0017905	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0029550	MGP_CAROLIEiJ_G0017059	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0036268	MGP_PahariEiJ_G0018188	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000074424	ENSRNOG00000053285	Rattus_norvegicus
ENSMUGP00000011021	ENSMUGG00000009641	Meriones_unguiculatus
ENSNGAP00000011736	ENSNGAG00000013769	Nannospalax_galili
ENSJJAP00000001096	ENSJJAG00000000902	Jaculus_jaculus
ENSOPRP00000006316	ENSOPRG00000006887	Ochotona_princeps
ENSPCOP00000010029	ENSPCOG00000016436	Propithecus_coquereli
ENSMICP00000046712	ENSMICG00000002976	Microcebus_murinus
ENSPSMP00000011560	ENSPSMG00000008343	Prolemur_simus
ENSOGAP00000010228	ENSOGAG00000011422	Otolemur_garnettii
ENSPTRP00000088175	ENSPTRG00000009072	Pan_troglodytes
ENSP00000479910	ENSG00000275023	Homo_sapiens
ENSGGOP00000023585	ENSGGOG00000015509	Gorilla_gorilla
ENSPPAP00000042899	ENSPPAG00000043999	Pan_paniscus
ENSPPYP00000009560	ENSPPYG00000008508	Pongo_abelii
ENSNLEP00000028231	ENSNLEG00000000567	Nomascus_leucogenys
ENSMMUP00000003552	ENSMMUG00000002637	Macaca_mulatta
ENSCSAP00000015406	ENSCSAG00000002640	Chlorocebus_sabaeus
ENSTGEP00000002473	ENSTGEG00000002166	Theropithecus_gelada
ENSMFAP00000044351	ENSMFAG00000039477	Macaca_fascicularis
ENSMNEP00000039518	ENSMNEG00000042666	Macaca_nemestrina
ENSCATP00000038869	ENSCATG00000042085	Cercocebus_atys
ENSPANP00000046226	ENSPANG00000022028	Papio_anubis
ENSMLEP00000012882	ENSMLEG00000030599	Mandrillus_leucophaeus
ENSRBIP00000038171	ENSRBIG00000042606	Rhinopithecus_bieti
ENSRROP00000004693	ENSRROG00000019386	Rhinopithecus_roxellana
ENSCANP00000015084	ENSCANG00000030993	Colobus_angolensis_palliatus
ENSPTEP00000019898	ENSPTEG00000021189	Piliocolobus_tephrosceles
ENSCCAP00000020828	ENSCCAG00000028213	Cebus_capucinus_imitator
ENSSBOP00000025531	ENSSBOG00000029198	Saimiri_boliviensis_boliviensis
ENSCJAP00000015108	ENSCJAG00000008169	Callithrix_jacchus
ENSANAP00000040511	ENSANAG00000037599	Aotus_nancymaae
ENSSARP00000003925	ENSSARG00000004276	Sorex_araneus
ENSTSYP00000014332	ENSTSYG00000034351	Carlito_syrichta
ENSETEP00000007901	ENSETEG00000009728	Echinops_telfairi
ENSEEUP00000014193	ENSEEUG00000015543	Erinaceus_europaeus
ENSUAMP00000037231	ENSUAMG00000028178	Ursus_americanus
ENSTBEP00000004921	ENSTBEG00000005682	Tupaia_belangeri
ENSOCUP00000018997	ENSOCUG00000027604	Oryctolagus_cuniculus
ENSECAP00000044525	ENSECAG00000012082	Equus_caballus
ENSPCAP00000007042	ENSPCAG00000007494	Procavia_capensis
ENSLAFP00000017510	ENSLAFG00000022685	Loxodonta_africana
ENSDNOP00000009649	ENSDNOG00000012419	Dasypus_novemcinctus
ENSOANP00000027263	ENSOANG00000021412	Ornithorhynchus_anatinus
ENSPVIP00000023018	ENSPVIG00000017376	Pogona_vitticeps
ENSACAP00000017695	ENSACAG00000017970	Anolis_carolinensis
ENSNSUP00000011567	ENSNSUG00000008711	Notechis_scutatus
ENSSMRP00000002740	ENSSMRG00000002340	Salvator_merianae
ENSSPUP00000023394	ENSSPUG00000017943	Sphenodon_punctatus
ENSFALP00000013837	ENSFALG00000013259	Ficedula_albicollis
ENSPMJP00000017729	ENSPMJG00000013290	Parus_major
ENSJHYP00000010985	ENSJHYG00000008600	Junco_hyemalis
ENSLSDP00000022547	ENSLSDG00000015935	Lonchura_striata_domestica
ENSTGUP00000003426	ENSTGUG00000003324	Taeniopygia_guttata
ENSSCAP00000007977	ENSSCAG00000006117	Serinus_canaria
ENSCCEP00000024635	ENSCCEG00000021849	Cyanistes_caeruleus
ENSFALP00000013468	ENSFALG00000012902	Ficedula_albicollis
ENSMVIP00005010020	ENSMVIG00005007363	Manacus_vitellinus
ENSZALP00000004568	ENSZALG00000004237	Zonotrichia_albicollis
ENSMGAP00000002196	ENSMGAG00000002588	Meleagris_gallopavo
ENSABRP00000005942	ENSABRG00000005520	Anser_brachyrhynchus
ENSAPLP00000008359	ENSAPLG00000008636	Anas_platyrhynchos_platyrhynchos
ENSGALP00000044191	ENSGALG00000034693	Gallus_gallus
ENSCJPP00005002149	ENSCJPG00005002307	Coturnix_japonica
ENSMGAP00000002173	ENSMGAG00000002580	Meleagris_gallopavo
ENSNMEP00000006211	ENSNMEG00000006388	Numida_meleagris
ENSMVIP00005015624	ENSMVIG00005011219	Manacus_vitellinus
ENSLCOP00000000655	ENSLCOG00000000544	Lepidothrix_coronata
ENSMUNP00000003134	ENSMUNG00000002687	Melopsittacus_undulatus
ENSCPGP00000002949	ENSCPGG00000002100	Calidris_pygmaea
ENSCPUP00000021051	ENSCPUG00000014387	Calidris_pugnax
ENSAHAP00000013801	ENSAHAG00000009918	Apteryx_haastii
ENSAOWP00000000797	ENSAOWG00000000557	Apteryx_owenii
ENSARWP00000000109	ENSARWG00000000129	Apteryx_rowi
ENSDNVP00000024725	ENSDNVG00000017134	Dromaius_novaehollandiae
ENSNPEP00000015718	ENSNPEG00000011720	Nothoprocta_perdicaria
ENSCPRP00005003070	ENSCPRG00005002254	Crocodylus_porosus
ENSCABP00000003430	ENSCABG00000002618	Chelonoidis_abingdonii
ENSGAGP00000032055	ENSGAGG00000022977	Gopherus_agassizii
ENSCPBP00000039933	ENSCPBG00000027478	Chrysemys_picta_bellii
ENSPSIP00000011502	ENSPSIG00000010345	Pelodiscus_sinensis
ENSXETP00000050470	ENSXETG00000019775	Xenopus_tropicalis
ENSLACP00000008133	ENSLACG00000007202	Latimeria_chalumnae
ENSLACP00000000358	ENSLACG00000000324	Latimeria_chalumnae
ENSCMIP00000036501	ENSCMIG00000015422	Callorhinchus_milii
ENSECRP00000031397	ENSECRG00000021273	Erpetoichthys_calabaricus
ENSCINP00000016786	ENSCING00000008217	Ciona_intestinalis
ENSCSAVP00000000199	ENSCSAVG00000000115	Ciona_savignyi
