ENSMODP00000019277	ENSMODG00000015443	Monodelphis_domestica
ENSORLP00000001576	ENSORLG00000001282	Oryzias_latipes_ASM223467v1
MGP_PahariEiJ_P0055307	MGP_PahariEiJ_G0023490	Mus_pahari_strain_PAHARI_EIJ
ENSTGUP00000003348	ENSTGUG00000003247	Taeniopygia_guttata
ENSHCOP00000000925	ENSHCOG00000001813	Hippocampus_comes
ENSPMGP00000008260	ENSPMGG00000006838	Periophthalmus_magnuspinnatus
ENSSDUP00000001097	ENSSDUG00000000864	Seriola_dumerili
ENSCAFP00000046060	ENSCAFG00000019360	Canis_lupus_familiaris
ENSHBUP00000012111	ENSHBUG00000013807	Haplochromis_burtoni
ENSGACP00000019638	ENSGACG00000014872	Gasterosteus_aculeatus
ENSMMMP00000010103	ENSMMMG00000009000	Marmota_marmota_marmota
ENSAPLP00000026163	ENSAPLG00000021841	Anas_platyrhynchos_platyrhynchos
ENSIPUP00000033389	ENSIPUG00000022425	Ictalurus_punctatus
ENSLCRP00005010061	ENSLCRG00005004633	Larimichthys_crocea
ENSPMEP00000024194	ENSPMEG00000006369	Poecilia_mexicana
ENSMPUP00000015202	ENSMPUG00000015312	Mustela_putorius_furo
ENSCCNP00000019375	ENSCCNG00000019485	Castor_canadensis
ENSNSUP00000001309	ENSNSUG00000001153	Notechis_scutatus
ENSEBUP00000007110	ENSEBUG00000004652	Eptatretus_burgeri
ENSEEEP00000040431	ENSEEEG00000019153	Electrophorus_electricus
ENSDNVP00000008840	ENSDNVG00000006288	Dromaius_novaehollandiae	ENSDNVT00000010661
ENSPTRP00000039489	ENSPTRG00000007654	Pan_troglodytes
ENSCVAP00000024947	ENSCVAG00000009368	Cyprinodon_variegatus
ENSGALP00000015013	ENSGALG00000009234	Gallus_gallus
ENSRBIP00000012320	ENSRBIG00000030106	Rhinopithecus_bieti
ENSPNYP00000017015	ENSPNYG00000012862	Pundamilia_nyererei
ENSTTRP00000007795	ENSTTRG00000008232	Tursiops_truncatus
ENSXETP00000038821	ENSXETG00000021422	Xenopus_tropicalis
ENSBIXP00005001487	ENSBIXG00005007995	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCPGP00000024670	ENSCPGG00000016995	Calidris_pygmaea	ENSCPGT00000026941
ENSGGOP00000024016	ENSGGOG00000023912	Gorilla_gorilla
ENSMZEP00005001990	ENSMZEG00005001569	Maylandia_zebra
ENSABRP00000004335	ENSABRG00000004007	Anser_brachyrhynchus
ENSPEMP00000021176	ENSPEMG00000018903	Peromyscus_maniculatus_bairdii
ENSEEUP00000013988	ENSEEUG00000015318	Erinaceus_europaeus
ENSOANP00000021454	ENSOANG00000013604	Ornithorhynchus_anatinus
ENSBIXP00000000556	ENSBIXG00000029679	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCPOP00000031102	ENSCPOG00000010046	Cavia_porcellus
ENSCAFP00020033570	ENSCAFG00020026059	Canis_lupus_dingo
ENSTRUP00000003540	ENSTRUG00000001542	Takifugu_rubripes
ENSCJPP00005023218	ENSCJPG00005018450	Coturnix_japonica
ENSMNEP00000026961	ENSMNEG00000036892	Macaca_nemestrina
ENSORLP00015026042	ENSORLG00015007511	Oryzias_latipes_ASM223469v1
ENSHHUP00000027455	ENSHHUG00000017411	Hucho_hucho
ENSPSIP00000006195	ENSPSIG00000005741	Pelodiscus_sinensis
ENSLSDP00000001361	ENSLSDG00000001075	Lonchura_striata_domestica
