ENSVURP00010031142	ENSVURG00010023820	Vombatus_ursinus	ENSVURT00010035455
ENSPCIP00000034703	ENSPCIG00000025669	Phascolarctos_cinereus	ENSPCIT00000042713
ENSSHAP00000001561	ENSSHAG00000001391	Sarcophilus_harrisii	ENSSHAT00000001578
ENSMODP00000019294	ENSMODG00000015458	Monodelphis_domestica	ENSMODT00000019642
ENSSARP00000007012	ENSSARG00000007753	Sorex_araneus
MGP_CAROLIEiJ_P0072793	MGP_CAROLIEiJ_G0028135	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0048916	MGP_PahariEiJ_G0021891	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000010019	ENSRNOG00000007608	Rattus_norvegicus
ENSCGRP00001018369	ENSCGRG00001018145	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015035837	ENSCGRG00015026898	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000017660	ENSCGRG00000012846	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000015194	ENSMAUG00000014725	Mesocricetus_auratus
ENSPEMP00000009150	ENSPEMG00000010541	Peromyscus_maniculatus_bairdii
ENSMOCP00000005266	ENSMOCG00000004729	Microtus_ochrogaster
ENSMUGP00000031250	ENSMUGG00000025982	Meriones_unguiculatus
ENSMUGP00000031253	ENSMUGG00000025985	Meriones_unguiculatus
ENSNGAP00000012622	ENSNGAG00000014433	Nannospalax_galili
ENSJJAP00000011490	ENSJJAG00000014803	Jaculus_jaculus
ENSCLAP00000010831	ENSCLAG00000007477	Chinchilla_lanigera
ENSODEP00000015637	ENSODEG00000011539	Octodon_degus
ENSCPOP00000011788	ENSCPOG00000013096	Cavia_porcellus
ENSHGLP00000008440	ENSHGLG00000006102	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100017032	ENSHGLG00100012560	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000005946	ENSFDAG00000014820	Fukomys_damarensis
ENSUPAP00010020202	ENSUPAG00010015995	Urocitellus_parryii
ENSSTOP00000020262	ENSSTOG00000022201	Ictidomys_tridecemlineatus
ENSSDAP00000009621	ENSSDAG00000008758	Spermophilus_dauricus
ENSMMMP00000016887	ENSMMMG00000015014	Marmota_marmota_marmota
ENSOCUP00000016040	ENSOCUG00000021285	Oryctolagus_cuniculus
ENSOPRP00000014148	ENSOPRG00000015502	Ochotona_princeps
ENSPPAP00000007979	ENSPPAG00000027222	Pan_paniscus
ENSPTRP00000080708	ENSPTRG00000019631	Pan_troglodytes
ENSP00000411145	ENSG00000128610	Homo_sapiens
ENSPPYP00000020132	ENSPPYG00000017951	Pongo_abelii
ENSNLEP00000014603	ENSNLEG00000012020	Nomascus_leucogenys
ENSTGEP00000023197	ENSTGEG00000018786	Theropithecus_gelada
ENSCATP00000028399	ENSCATG00000037503	Cercocebus_atys
ENSMNEP00000003717	ENSMNEG00000017416	Macaca_nemestrina
ENSMMUP00000028368	ENSMMUG00000021542	Macaca_mulatta
ENSPANP00000011128	ENSPANG00000013797	Papio_anubis
ENSMLEP00000020005	ENSMLEG00000034221	Mandrillus_leucophaeus
ENSCSAP00000006794	ENSCSAG00000010570	Chlorocebus_sabaeus
ENSPTEP00000024650	ENSPTEG00000025087	Piliocolobus_tephrosceles
ENSPTEP00000026330	ENSPTEG00000026419	Piliocolobus_tephrosceles
ENSRBIP00000034237	ENSRBIG00000040834	Rhinopithecus_bieti
ENSCANP00000007264	ENSCANG00000023930	Colobus_angolensis_palliatus
ENSRROP00000001177	ENSRROG00000004593	Rhinopithecus_roxellana
ENSMFAP00000001124	ENSMFAG00000034053	Macaca_fascicularis
ENSCCAP00000006378	ENSCCAG00000020936	Cebus_capucinus_imitator
ENSSBOP00000015521	ENSSBOG00000024490	Saimiri_boliviensis_boliviensis
ENSCJAP00000031906	ENSCJAG00000017326	Callithrix_jacchus
ENSANAP00000037104	ENSANAG00000036057	Aotus_nancymaae
ENSTSYP00000014855	ENSTSYG00000033563	Carlito_syrichta
ENSMICP00000016391	ENSMICG00000033586	Microcebus_murinus
ENSPCOP00000019425	ENSPCOG00000021658	Propithecus_coquereli
ENSPSMP00000020339	ENSPSMG00000014374	Prolemur_simus
ENSOGAP00000002383	ENSOGAG00000002663	Otolemur_garnettii
ENSTBEP00000004560	ENSTBEG00000005307	Tupaia_belangeri
ENSPCAP00000010695	ENSPCAG00000011405	Procavia_capensis	ENSPCAT00000011453
ENSLAFP00000020369	ENSLAFG00000013550	Loxodonta_africana	ENSLAFT00000027416
ENSETEP00000016472	ENSETEG00000020278	Echinops_telfairi	ENSETET00000020278
ENSDNOP00000002091	ENSDNOG00000002699	Dasypus_novemcinctus	ENSDNOT00000002699
ENSOANP00000031717	ENSOANG00000030214	Ornithorhynchus_anatinus
ENSCPGP00000006585	ENSCPGG00000004704	Calidris_pygmaea
ENSCPUP00000013376	ENSCPUG00000009484	Calidris_pugnax
ENSAPLP00000014897	ENSAPLG00000015055	Anas_platyrhynchos_platyrhynchos
ENSABRP00000014745	ENSABRG00000012997	Anser_brachyrhynchus
ENSMGAP00000008745	ENSMGAG00000008529	Meleagris_gallopavo
ENSGALP00000014521	ENSGALG00000008941	Gallus_gallus
ENSCJPP00005011264	ENSCJPG00005009701	Coturnix_japonica
ENSNMEP00000009894	ENSNMEG00000009464	Numida_meleagris
ENSMUNP00000022458	ENSMUNG00000016876	Melopsittacus_undulatus
ENSLSDP00000005422	ENSLSDG00000004241	Lonchura_striata_domestica
ENSTGUP00000004619	ENSTGUG00000004488	Taeniopygia_guttata
ENSSCAP00000000506	ENSSCAG00000000429	Serinus_canaria
ENSZALP00000008066	ENSZALG00000007072	Zonotrichia_albicollis
ENSJHYP00000019353	ENSJHYG00000014700	Junco_hyemalis
ENSFALP00000010356	ENSFALG00000009923	Ficedula_albicollis
ENSPMJP00000013130	ENSPMJG00000010035	Parus_major
ENSCCEP00000018978	ENSCCEG00000017276	Cyanistes_caeruleus
ENSLCOP00000019887	ENSLCOG00000014101	Lepidothrix_coronata
ENSMVIP00005002585	ENSMVIG00005002036	Manacus_vitellinus
ENSDNVP00000022891	ENSDNVG00000015919	Dromaius_novaehollandiae
ENSNPEP00000006091	ENSNPEG00000004591	Nothoprocta_perdicaria
ENSAOWP00000024860	ENSAOWG00000016804	Apteryx_owenii
ENSAHAP00000023786	ENSAHAG00000016631	Apteryx_haastii
ENSARWP00000027485	ENSARWG00000018573	Apteryx_rowi
ENSCPRP00005015385	ENSCPRG00005010783	Crocodylus_porosus
ENSGAGP00000025732	ENSGAGG00000018780	Gopherus_agassizii
ENSCABP00000021034	ENSCABG00000015505	Chelonoidis_abingdonii
ENSCPBP00000011040	ENSCPBG00000008446	Chrysemys_picta_bellii
ENSPSIP00000010850	ENSPSIG00000009843	Pelodiscus_sinensis
ENSACAP00000006540	ENSACAG00000006695	Anolis_carolinensis
ENSPVIP00000018003	ENSPVIG00000013790	Pogona_vitticeps
ENSNSUP00000016028	ENSNSUG00000011831	Notechis_scutatus
ENSSMRP00000015738	ENSSMRG00000012236	Salvator_merianae
ENSXETP00000051834	ENSXETG00000020527	Xenopus_tropicalis
ENSLACP00000003055	ENSLACG00000002734	Latimeria_chalumnae
ENSPKIP00000037203	ENSPKIG00000015478	Paramormyrops_kingsleyae
ENSSFOP00015010871	ENSSFOG00015007044	Scleropages_formosus
ENSPKIP00000004045	ENSPKIG00000021309	Paramormyrops_kingsleyae
ENSEEEP00000040749	ENSEEEG00000019314	Electrophorus_electricus
ENSDARP00000007655	ENSDARG00000010270	Danio_rerio
ENSCHAP00000051010	ENSCHAG00000023379	Clupea_harengus
ENSHHUP00000039089	ENSHHUG00000024328	Hucho_hucho
ENSHHUP00000004057	ENSHHUG00000002552	Hucho_hucho
ENSELUP00000028929	ENSELUG00000005702	Esox_lucius
ENSMALP00000021465	ENSMALG00000015012	Monopterus_albus
ENSBSLP00000048018	ENSBSLG00000022864	Betta_splendens
ENSCSEP00000002387	ENSCSEG00000001604	Cynoglossus_semilaevis
ENSTRUP00000041953	ENSTRUG00000016410	Takifugu_rubripes
ENSTNIP00000013321	ENSTNIG00000010414	Tetraodon_nigroviridis
ENSGACP00000011420	ENSGACG00000008652	Gasterosteus_aculeatus
ENSCGOP00000007590	ENSCGOG00000003856	Cottoperca_gobio
ENSLBEP00000005362	ENSLBEG00000004119	Labrus_bergylta
ENSLCRP00005055896	ENSLCRG00005020826	Larimichthys_crocea
ENSSMAP00000033341	ENSSMAG00000020407	Scophthalmus_maximus
ENSORLP00000024811	ENSORLG00000019987	Oryzias_latipes_ASM223467v1
ENSOMEP00000011932	ENSOMEG00000013274	Oryzias_melastigma
ENSKMAP00000028070	ENSKMAG00000020825	Kryptolebias_marmoratus
ENSMAMP00000033901	ENSMAMG00000022795	Mastacembelus_armatus
ENSSDUP00000021829	ENSSDUG00000015875	Seriola_dumerili
ENSSLDP00000023435	ENSSLDG00000018288	Seriola_lalandi_dorsalis
ENSLCAP00010028074	ENSLCAG00010013213	Lates_calcarifer
ENSATEP00000013722	ENSATEG00000009565	Anabas_testudineus
ENSAOCP00000029122	ENSAOCG00000019240	Amphiprion_ocellaris
ENSAPEP00000023538	ENSAPEG00000016744	Amphiprion_percula
ENSAPOP00000034725	ENSAPOG00000024104	Acanthochromis_polyacanthus
ENSSPAP00000026686	ENSSPAG00000020126	Stegastes_partitus
ENSPRNP00000041342	ENSPRNG00000020252	Parambassis_ranga
ENSMZEP00005031150	ENSMZEG00005023230	Maylandia_zebra
ENSPNYP00000010455	ENSPNYG00000007923	Pundamilia_nyererei
ENSACLP00000027480	ENSACLG00000018670	Astatotilapia_calliptera
ENSHBUP00000018672	ENSHBUG00000020774	Haplochromis_burtoni
ENSNBRP00000010443	ENSNBRG00000008132	Neolamprologus_brichardi
ENSONIP00000015971	ENSONIG00000012688	Oreochromis_niloticus
ENSACIP00000028631	ENSACIG00000022166	Amphilophus_citrinellus
ENSFHEP00000033346	ENSFHEG00000020444	Fundulus_heteroclitus
ENSCVAP00000002415	ENSCVAG00000003505	Cyprinodon_variegatus
ENSPFOP00000017487	ENSPFOG00000017410	Poecilia_formosa
ENSPLAP00000014805	ENSPLAG00000018580	Poecilia_latipinna
ENSPMEP00000030611	ENSPMEG00000017142	Poecilia_mexicana
ENSPREP00000011105	ENSPREG00000007572	Poecilia_reticulata
ENSXMAP00000002450	ENSXMAG00000002453	Xiphophorus_maculatus
ENSXCOP00000007141	ENSXCOG00000005517	Xiphophorus_couchianus
ENSGAFP00000004054	ENSGAFG00000002742	Gambusia_affinis
ENSGWIP00000041615	ENSGWIG00000020955	Gouania_willdenowi
ENSPMGP00000008104	ENSPMGG00000006704	Periophthalmus_magnuspinnatus
ENSHCOP00000007519	ENSHCOG00000009567	Hippocampus_comes
ENSGMOP00000011659	ENSGMOG00000010906	Gadus_morhua
ENSDCDP00000033196	ENSDCDG00000022687	Denticeps_clupeoides
ENSSFOP00015018636	ENSSFOG00015011943	Scleropages_formosus
ENSAMXP00000047486	ENSAMXG00000042074	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005010024	ENSAMXG00005005650	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000010159	ENSPNAG00000015673	Pygocentrus_nattereri
ENSIPUP00000027980	ENSIPUG00000018937	Ictalurus_punctatus
ENSLOCP00000019564	ENSLOCG00000015885	Lepisosteus_oculatus
ENSECRP00000001965	ENSECRG00000001380	Erpetoichthys_calabaricus
ENSOANP00000032471	ENSOANG00000029103	Ornithorhynchus_anatinus
ENSCMIP00000026944	ENSCMIG00000011752	Callorhinchus_milii
ENSEBUP00000012467	ENSEBUG00000007897	Eptatretus_burgeri
