ENSMMOP00000028470	ENSMMOG00000021504	Mola_mola
ENSCHOP00000001361	ENSCHOG00000001542	Choloepus_hoffmanni
ENSCGRP00015037817	ENSCGRG00015028273	Cricetulus_griseus_CriGri-PICR
ENSMLUP00000014093	ENSMLUG00000015460	Myotis_lucifugus
ENSAMXP00000008448	ENSAMXG00000008219	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSZALP00000007788	ENSZALG00000006868	Zonotrichia_albicollis
ENSEBUP00000001455	ENSEBUG00000001203	Eptatretus_burgeri
ENSPPRP00000010376	ENSPPRG00000004643	Panthera_pardus
ENSSTOP00000027359	ENSSTOG00000030490	Ictidomys_tridecemlineatus
ENSHHUP00000008544	ENSHHUG00000005235	Hucho_hucho
ENSHGLP00000024909	ENSHGLG00000017752	Heterocephalus_glaber_HetGla_female_1.0
ENSCPOP00000026623	ENSCPOG00000034984	Cavia_porcellus
ENSMODP00000008355	ENSMODG00000006741	Monodelphis_domestica
ENSXMAP00000023457	ENSXMAG00000024590	Xiphophorus_maculatus
ENSTGEP00000028872	ENSTGEG00000022983	Theropithecus_gelada
MGP_SPRETEiJ_P0034285	MGP_SPRETEiJ_G0018769	Mus_spretus_strain_SPRET/EiJ
ENSCHIP00000017697	ENSCHIG00000017411	Capra_hircus
ENSPPRP00000023668	ENSPPRG00000013911	Panthera_pardus
ENSPMEP00000015575	ENSPMEG00000018129	Poecilia_mexicana
ENSDORP00000020829	ENSDORG00000007326	Dipodomys_ordii
ENSTNIP00000000766	ENSTNIG00000003047	Tetraodon_nigroviridis
ENSVURP00010024719	ENSVURG00010018654	Vombatus_ursinus
ENSTRUP00000009552	ENSTRUG00000004027	Takifugu_rubripes
ENSAMEP00000019252	ENSAMEG00000018215	Ailuropoda_melanoleuca
ENSUMAP00000027736	ENSUMAG00000020131	Ursus_maritimus
ENSGALP00000043819	ENSGALG00000009300	Gallus_gallus
ENSSPAP00000003212	ENSSPAG00000002439	Stegastes_partitus
ENSBIXP00005024376	ENSBIXG00005027025	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSLOCP00000016443	ENSLOCG00000013341	Lepisosteus_oculatus
ENSPTEP00000030233	ENSPTEG00000029438	Piliocolobus_tephrosceles
ENSFHEP00000023802	ENSFHEG00000005009	Fundulus_heteroclitus
ENSSCAP00000019211	ENSSCAG00000013819	Serinus_canaria
ENSNBRP00000006012	ENSNBRG00000004710	Neolamprologus_brichardi
ENSCATP00000038445	ENSCATG00000041867	Cercocebus_atys
ENSPNYP00000013615	ENSPNYG00000010309	Pundamilia_nyererei
ENSPMAP00000006450	ENSPMAG00000005836	Petromyzon_marinus	ENSPMAT00000006479
ENSPTIP00000019217	ENSPTIG00000017010	Panthera_tigris_altaica
ENSGAFP00000026574	ENSGAFG00000017939	Gambusia_affinis
ENSUPAP00010020335	ENSUPAG00010016095	Urocitellus_parryii
ENSCJPP00005018370	ENSCJPG00005014963	Coturnix_japonica
ENSSBOP00000034513	ENSSBOG00000033352	Saimiri_boliviensis_boliviensis
ENSPKIP00000024883	ENSPKIG00000007949	Paramormyrops_kingsleyae
ENSPMJP00000020081	ENSPMJG00000014990	Parus_major	ENSPMJT00000026193
ENSLCRP00005009324	ENSLCRG00005004378	Larimichthys_crocea
ENSBTAP00000052600	ENSBTAG00000011683	Bos_taurus
ENSSSCP00000040817	ENSSSCG00000022178	Sus_scrofa_strain_reference
ENSPMEP00000023987	ENSPMEG00000006049	Poecilia_mexicana
ENSPSMP00000023544	ENSPSMG00000016550	Prolemur_simus
ENSTSYP00000026209	ENSTSYG00000010352	Carlito_syrichta
ENSPMAP00000001971	ENSPMAG00000001792	Petromyzon_marinus	ENSPMAT00000001981
ENSAPOP00000022727	ENSAPOG00000004095	Acanthochromis_polyacanthus
ENSAOWP00000018303	ENSAOWG00000012492	Apteryx_owenii	ENSAOWT00000020756
ENSHGLP00100017199	ENSHGLG00100012681	Heterocephalus_glaber_HetGla_1.0
ENSHHUP00000078314	ENSHHUG00000045714	Hucho_hucho
ENSHHUP00000078310	ENSHHUG00000045712	Hucho_hucho
ENSCGRP00000018399	ENSCGRG00000013392	Cricetulus_griseus_CriGri_1.0
ENSCGOP00000025543	ENSCGOG00000012058	Cottoperca_gobio
ENSAOCP00000004642	ENSAOCG00000008078	Amphiprion_ocellaris
ENSOMEP00000021645	ENSOMEG00000023564	Oryzias_melastigma
ENSCHAP00000039249	ENSCHAG00000018403	Clupea_harengus
ENSCVAP00000013602	ENSCVAG00000016142	Cyprinodon_variegatus
ENSJHYP00000002288	ENSJHYG00000001926	Junco_hyemalis
ENSLAFP00000000910	ENSLAFG00000001083	Loxodonta_africana
ENSMALP00000032490	ENSMALG00000022376	Monopterus_albus
ENSSFOP00015004776	ENSSFOG00015003111	Scleropages_formosus
ENSLCAP00010021341	ENSLCAG00010010079	Lates_calcarifer
ENSCPUP00000011266	ENSCPUG00000007985	Calidris_pugnax
ENSGGOP00000032937	ENSGGOG00000002141	Gorilla_gorilla
ENSCCAP00000023139	ENSCCAG00000029310	Cebus_capucinus_imitator
ENSPRNP00000046448	ENSPRNG00000022390	Parambassis_ranga
ENSSHAP00000013543	ENSSHAG00000011576	Sarcophilus_harrisii
ENSDNOP00000032644	ENSDNOG00000031669	Dasypus_novemcinctus
ENSCCEP00000011593	ENSCCEG00000011321	Cyanistes_caeruleus	ENSCCET00000018134
ENSMNEP00000020940	ENSMNEG00000034179	Macaca_nemestrina
ENSORLP00020023589	ENSORLG00020004526	Oryzias_latipes_ASM223471v1
ENSUAMP00000034052	ENSUAMG00000025944	Ursus_americanus
ENSORLP00000044537	ENSORLG00000018813	Oryzias_latipes_ASM223467v1
ENSCLAP00000006307	ENSCLAG00000004464	Chinchilla_lanigera
ENSSPUP00000001763	ENSSPUG00000001292	Sphenodon_punctatus
ENSVPAP00000003404	ENSVPAG00000003669	Vicugna_pacos
ENSMAMP00000000190	ENSMAMG00000000135	Mastacembelus_armatus
ENSSMRP00000012786	ENSSMRG00000009974	Salvator_merianae
ENSEEUP00000006902	ENSEEUG00000007572	Erinaceus_europaeus
ENSP00000451300	ENSG00000133961	Homo_sapiens
ENSEEEP00000002539	ENSEEEG00000001467	Electrophorus_electricus
ENSCLAP00000013711	ENSCLAG00000009474	Chinchilla_lanigera
ENSECRP00000027505	ENSECRG00000018622	Erpetoichthys_calabaricus
ENSCAFP00020005452	ENSCAFG00020004468	Canis_lupus_dingo
ENSPREP00000012443	ENSPREG00000008439	Poecilia_reticulata
ENSCSAP00000008902	ENSCSAG00000012724	Chlorocebus_sabaeus
ENSTBEP00000005977	ENSTBEG00000006922	Tupaia_belangeri
MGP_PahariEiJ_P0082887	MGP_PahariEiJ_G0029680	Mus_pahari_strain_PAHARI_EIJ
ENSSFOP00015009896	ENSSFOG00015006418	Scleropages_formosus
ENSMUGP00000026137	ENSMUGG00000021705	Meriones_unguiculatus
ENSGACP00000007086	ENSGACG00000005363	Gasterosteus_aculeatus
ENSNGAP00000009668	ENSNGAG00000012297	Nannospalax_galili
ENSNSUP00000024071	ENSNSUG00000017409	Notechis_scutatus
ENSUAMP00000016339	ENSUAMG00000013013	Ursus_americanus
ENSSARP00000010391	ENSSARG00000011509	Sorex_araneus
ENSPVAP00000003740	ENSPVAG00000003954	Pteropus_vampyrus
ENSRBIP00000039429	ENSRBIG00000043156	Rhinopithecus_bieti
ENSHCOP00000015339	ENSHCOG00000018976	Hippocampus_comes
ENSMAUP00000018747	ENSMAUG00000017202	Mesocricetus_auratus
ENSBMUP00000012419	ENSBMUG00000009175	Bos_mutus
ENSODEP00000021618	ENSODEG00000015906	Octodon_degus
ENSMMMP00000017999	ENSMMMG00000015813	Marmota_marmota_marmota
ENSARWP00000013073	ENSARWG00000009060	Apteryx_rowi	ENSARWT00000014928
ENSMICP00000016320	ENSMICG00000017925	Microcebus_murinus
ENSXCOP00000019080	ENSXCOG00000014337	Xiphophorus_couchianus
ENSECAP00000045293	ENSECAG00000016684	Equus_caballus
ENSPPAP00000005566	ENSPPAG00000022878	Pan_paniscus
ENSHHUP00000045720	ENSHHUG00000027891	Hucho_hucho
ENSETEP00000005697	ENSETEG00000007023	Echinops_telfairi
ENSABRP00000013816	ENSABRG00000011868	Anser_brachyrhynchus
ENSAHAP00000024382	ENSAHAG00000017025	Apteryx_haastii	ENSAHAT00000026859
ENSPEMP00000036099	ENSPEMG00000018950	Peromyscus_maniculatus_bairdii
ENSSLDP00000014259	ENSSLDG00000011373	Seriola_lalandi_dorsalis
ENSACAP00000015862	ENSACAG00000016123	Anolis_carolinensis
ENSPFOP00000022967	ENSPFOG00000004943	Poecilia_formosa
ENSOGAP00000008368	ENSOGAG00000009339	Otolemur_garnettii
ENSNMEP00000023439	ENSNMEG00000019969	Numida_meleagris
ENSNLEP00000003700	ENSNLEG00000002944	Nomascus_leucogenys
ENSATEP00000028682	ENSATEG00000019775	Anabas_testudineus
ENSCAPP00000007737	ENSCAPG00000009579	Cavia_aperea
ENSMMUP00000043487	ENSMMUG00000020196	Macaca_mulatta
ENSCINP00000010440	ENSCING00000005057	Ciona_intestinalis
ENSPTRP00000045621	ENSPTRG00000006513	Pan_troglodytes
ENSGWIP00000008294	ENSGWIG00000004900	Gouania_willdenowi
ENSPMGP00000026062	ENSPMGG00000021016	Periophthalmus_magnuspinnatus
ENSDCDP00000052774	ENSDCDG00000031763	Denticeps_clupeoides
ENSBBBP00000004613	ENSBBBG00000002909	Bison_bison_bison
ENSTGUP00000015198	ENSTGUG00000014843	Taeniopygia_guttata
ENSJJAP00000017486	ENSJJAG00000019014	Jaculus_jaculus
ENSPKIP00000006190	ENSPKIG00000022555	Paramormyrops_kingsleyae
ENSHGLP00000015033	ENSHGLG00000010770	Heterocephalus_glaber_HetGla_female_1.0
ENSMPUP00000003768	ENSMPUG00000003799	Mustela_putorius_furo
ENSLSDP00000024457	ENSLSDG00000017157	Lonchura_striata_domestica
ENSDNVP00000000089	ENSDNVG00000000053	Dromaius_novaehollandiae	ENSDNVT00000000103
ENSVVUP00000006101	ENSVVUG00000004724	Vulpes_vulpes
ENSPMEP00000031190	ENSPMEG00000018114	Poecilia_mexicana
ENSONIP00000000489	ENSONIG00000000387	Oreochromis_niloticus
ENSFALP00000005714	ENSFALG00000005491	Ficedula_albicollis	ENSFALT00000005741
ENSKMAP00000022665	ENSKMAG00000016822	Kryptolebias_marmoratus
ENSFDAP00000020930	ENSFDAG00000008081	Fukomys_damarensis
ENSMVIP00005014714	ENSMVIG00005010627	Manacus_vitellinus	ENSMVIT00005016679
ENSAMXP00005041191	ENSAMXG00005019256	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSMICP00000024665	ENSMICG00000012692	Microcebus_murinus
ENSLBEP00000030242	ENSLBEG00000022842	Labrus_bergylta
ENSFCAP00000050857	ENSFCAG00000026244	Felis_catus
ENSDARP00000094127	ENSDARG00000027279	Danio_rerio
ENSOPRP00000001900	ENSOPRG00000002064	Ochotona_princeps
ENSACIP00000015472	ENSACIG00000012015	Amphilophus_citrinellus
ENSEASP00005006439	ENSEASG00005004756	Equus_asinus_asinus
ENSHGLP00100011100	ENSHGLG00100008256	Heterocephalus_glaber_HetGla_1.0
MGP_CAROLIEiJ_P0032771	MGP_CAROLIEiJ_G0017924	Mus_caroli_strain_CAROLI_EIJ
ENSXCOP00000010968	ENSXCOG00000008285	Xiphophorus_couchianus
ENSPNAP00000024781	ENSPNAG00000009531	Pygocentrus_nattereri
ENSPCAP00000005489	ENSPCAG00000005887	Procavia_capensis
ENSPANP00000017215	ENSPANG00000026174	Papio_anubis
ENSSMAP00000015160	ENSSMAG00000009275	Scophthalmus_maximus
ENSBIXP00000020006	ENSBIXG00000004637	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBSLP00000055652	ENSBSLG00000026025	Betta_splendens
ENSNPEP00000018993	ENSNPEG00000014147	Nothoprocta_perdicaria	ENSNPET00000019481
ENSCCNP00000005563	ENSCCNG00000005838	Castor_canadensis
ENSLACP00000022974	ENSLACG00000006877	Latimeria_chalumnae
ENSOCUP00000009218	ENSOCUG00000010702	Oryctolagus_cuniculus
ENSSDAP00000020082	ENSSDAG00000018219	Spermophilus_dauricus
ENSHHUP00000008557	ENSHHUG00000005240	Hucho_hucho
ENSMZEP00005014958	ENSMZEG00005011237	Maylandia_zebra
ENSSTOP00000031271	ENSSTOG00000003900	Ictidomys_tridecemlineatus
ENSMFAP00000040656	ENSMFAG00000046300	Macaca_fascicularis
ENSUAMP00000005058	ENSUAMG00000004557	Ursus_americanus
ENSCANP00000034041	ENSCANG00000040642	Colobus_angolensis_palliatus
ENSPSIP00000010488	ENSPSIG00000009521	Pelodiscus_sinensis
ENSCPRP00005026410	ENSCPRG00005018289	Crocodylus_porosus
ENSGAGP00000034538	ENSGAGG00000024554	Gopherus_agassizii
ENSNVIP00000010791	ENSNVIG00000008276	Neovison_vison
ENSXETP00000015172	ENSXETG00000000326	Xenopus_tropicalis
ENSHGLP00000007989	ENSHGLG00000005785	Heterocephalus_glaber_HetGla_female_1.0
ENSOARP00000000469	ENSOARG00000000462	Ovis_aries
ENSCGRP00001015466	ENSCGRG00001016054	Cricetulus_griseus_CHOK1GS_HDv1
ENSMLEP00000005309	ENSMLEG00000023581	Mandrillus_leucophaeus
ENSHGLP00100008934	ENSHGLG00100006647	Heterocephalus_glaber_HetGla_1.0
ENSCABP00000020287	ENSCABG00000014970	Chelonoidis_abingdonii
ENSUPAP00010019339	ENSUPAG00010015200	Urocitellus_parryii
ENSMUSP00000119303	ENSMUSG00000021224	Mus_musculus_strain_reference_(CL57BL6)
ENSRNOP00000048410	ENSRNOG00000009653	Rattus_norvegicus
ENSMEUP00000013246	ENSMEUG00000014510	Notamacropus_eugenii
ENSTGUP00000011573	ENSTGUG00000011219	Taeniopygia_guttata	ENSTGUT00000011698
