ENSRBIP00000031595	ENSRBIG00000039620	Rhinopithecus_bieti
FBpp0075010	FBgn0036706	Drosophila_melanogaster	FBtr0075249
ENSBTAP00000052906	ENSBTAG00000004871	Bos_taurus
ENSMODP00000048345	ENSMODG00000021448	Monodelphis_domestica
ENSOANP00000008456	ENSOANG00000005310	Ornithorhynchus_anatinus
ENSDNOP00000019685	ENSDNOG00000001080	Dasypus_novemcinctus
ENSORLP00015006826	ENSORLG00015007678	Oryzias_latipes_ASM223469v1
ENSBMUP00000017934	ENSBMUG00000013558	Bos_mutus
ENSACIP00000026929	ENSACIG00000020683	Amphilophus_citrinellus
ENSPSIP00000006429	ENSPSIG00000005946	Pelodiscus_sinensis
ENSRNOP00000016965	ENSRNOG00000042503	Rattus_norvegicus
ENSNPEP00000001040	ENSNPEG00000000823	Nothoprocta_perdicaria
ENSCCEP00000000795	ENSCCEG00000001050	Cyanistes_caeruleus	ENSCCET00000001516
ENSUPAP00010014668	ENSUPAG00010011752	Urocitellus_parryii
ENSPMGP00000004006	ENSPMGG00000002170	Periophthalmus_magnuspinnatus
ENSCJAP00000057876	ENSCJAG00000004307	Callithrix_jacchus
ENSMFAP00000003643	ENSMFAG00000001487	Macaca_fascicularis
ENSLCAP00010052810	ENSLCAG00010024571	Lates_calcarifer
ENSPPYP00000010113	ENSPPYG00000009013	Pongo_abelii
ENSANAP00000007746	ENSANAG00000021943	Aotus_nancymaae
ENSKMAP00000027096	ENSKMAG00000020101	Kryptolebias_marmoratus
ENSORLP00020023803	ENSORLG00020004868	Oryzias_latipes_ASM223471v1
ENSOPRP00000011676	ENSOPRG00000012788	Ochotona_princeps
ENSPANP00000044083	ENSPANG00000035786	Papio_anubis
ENSMICP00000043609	ENSMICG00000038090	Microcebus_murinus
ENSODEP00000017233	ENSODEG00000012696	Octodon_degus
ENSCVAP00000021550	ENSCVAG00000003662	Cyprinodon_variegatus
ENSPTIP00000023359	ENSPTIG00000019842	Panthera_tigris_altaica
ENSNGAP00000001340	ENSNGAG00000000991	Nannospalax_galili
ENSPANP00000028637	ENSPANG00000008383	Papio_anubis
