ENSFALP00000001622	ENSFALG00000001560	Ficedula_albicollis
ENSPKIP00000028073	ENSPKIG00000009872	Paramormyrops_kingsleyae
ENSMPUP00000015542	ENSMPUG00000015652	Mustela_putorius_furo
ENSPNAP00000034195	ENSPNAG00000023329	Pygocentrus_nattereri
ENSAMXP00000002424	ENSAMXG00000002371	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSSLDP00000023830	ENSSLDG00000018572	Seriola_lalandi_dorsalis
ENSMUSP00000124738	ENSMUSG00000026565	Mus_musculus_strain_reference_(CL57BL6)
ENSARWP00000003947	ENSARWG00000002921	Apteryx_rowi
ENSANAP00000035305	ENSANAG00000035188	Aotus_nancymaae
ENSOMEP00000009261	ENSOMEG00000000766	Oryzias_melastigma
ENSPVIP00000013738	ENSPVIG00000010628	Pogona_vitticeps
ENSEEEP00000010116	ENSEEEG00000005130	Electrophorus_electricus
ENSCAPP00000003647	ENSCAPG00000006306	Cavia_aperea
ENSKMAP00000000607	ENSKMAG00000000503	Kryptolebias_marmoratus
ENSEEEP00000024633	ENSEEEG00000011940	Electrophorus_electricus
ENSORLP00015029985	ENSORLG00015013474	Oryzias_latipes_ASM223469v1
ENSJHYP00000003017	ENSJHYG00000002481	Junco_hyemalis
ENSNVIP00000010542	ENSNVIG00000008350	Neovison_vison
ENSBIXP00005019887	ENSBIXG00005005555	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSLACP00000007062	ENSLACG00000006267	Latimeria_chalumnae
ENSVPAP00000000074	ENSVPAG00000000081	Vicugna_pacos
ENSORLP00020027304	ENSORLG00020010245	Oryzias_latipes_ASM223471v1
ENSNGAP00000011011	ENSNGAG00000013279	Nannospalax_galili
ENSMOCP00000004981	ENSMOCG00000004319	Microtus_ochrogaster
ENSPPRP00000003922	ENSPPRG00000000216	Panthera_pardus
ENSAOWP00000003529	ENSAOWG00000002499	Apteryx_owenii
ENSELUP00000025466	ENSELUG00000024126	Esox_lucius
ENSPNYP00000019160	ENSPNYG00000014491	Pundamilia_nyererei
ENSDNVP00000006620	ENSDNVG00000004722	Dromaius_novaehollandiae
ENSCGRP00000014526	ENSCGRG00000010511	Cricetulus_griseus_CriGri_1.0
ENSTBEP00000002704	ENSTBEG00000003121	Tupaia_belangeri
ENSIPUP00000016848	ENSIPUG00000011393	Ictalurus_punctatus
ENSCVAP00000030099	ENSCVAG00000018375	Cyprinodon_variegatus
ENSUMAP00000022710	ENSUMAG00000016589	Ursus_maritimus
ENSSARP00000009232	ENSSARG00000010186	Sorex_araneus
ENSCATP00000006519	ENSCATG00000019885	Cercocebus_atys
ENSHGLP00100017230	ENSHGLG00100012706	Heterocephalus_glaber_HetGla_1.0
ENSHHUP00000070622	ENSHHUG00000041475	Hucho_hucho
ENSHHUP00000030087	ENSHHUG00000019166	Hucho_hucho
ENSMLUP00000013876	ENSMLUG00000015231	Myotis_lucifugus
ENSNMEP00000011031	ENSNMEG00000010374	Numida_meleagris
ENSORLP00000015919	ENSORLG00000012704	Oryzias_latipes_ASM223467v1
ENSSSCP00000058676	ENSSSCG00000006310	Sus_scrofa_strain_reference
ENSAMEP00000000021	ENSAMEG00000000021	Ailuropoda_melanoleuca
ENSACIP00000029099	ENSACIG00000022501	Amphilophus_citrinellus
ENSAMXP00005029276	ENSAMXG00005014496	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCABP00000010834	ENSCABG00000008115	Chelonoidis_abingdonii
ENSPREP00000020169	ENSPREG00000013636	Poecilia_reticulata	ENSPRET00000020383
ENSBSLP00000027409	ENSBSLG00000013759	Betta_splendens
ENSMLEP00000024264	ENSMLEG00000036268	Mandrillus_leucophaeus
ENSSBOP00000017204	ENSSBOG00000025169	Saimiri_boliviensis_boliviensis
ENSTRUP00000032462	ENSTRUG00000012822	Takifugu_rubripes
ENSCPBP00000007670	ENSCPBG00000006047	Chrysemys_picta_bellii
ENSCJPP00005003081	ENSCJPG00005001172	Coturnix_japonica
ENSVVUP00000036763	ENSVVUG00000026314	Vulpes_vulpes
ENSOANP00000006138	ENSOANG00000003876	Ornithorhynchus_anatinus
ENSDCDP00000061882	ENSDCDG00000035194	Denticeps_clupeoides
ENSSPAP00000008342	ENSSPAG00000006360	Stegastes_partitus
ENSPMEP00000033897	ENSPMEG00000022697	Poecilia_mexicana
ENSBBBP00000010488	ENSBBBG00000018640	Bison_bison_bison
ENSFHEP00000029356	ENSFHEG00000014004	Fundulus_heteroclitus
ENSPCIP00000041792	ENSPCIG00000030506	Phascolarctos_cinereus
ENSCSEP00000006361	ENSCSEG00000004122	Cynoglossus_semilaevis
ENSPREP00000014259	ENSPREG00000009681	Poecilia_reticulata
ENSGACP00000004127	ENSGACG00000003150	Gasterosteus_aculeatus
ENSEASP00005028107	ENSEASG00005019117	Equus_asinus_asinus
ENSCMIP00000000558	ENSCMIG00000000405	Callorhinchus_milii
ENSTGEP00000010193	ENSTGEG00000008347	Theropithecus_gelada
ENSNLEP00000045249	ENSNLEG00000014790	Nomascus_leucogenys
ENSMMOP00000026223	ENSMMOG00000019883	Mola_mola
ENSELUP00000021896	ENSELUG00000020909	Esox_lucius
ENSABRP00000001829	ENSABRG00000001711	Anser_brachyrhynchus
ENSCHIP00000032975	ENSCHIG00000026721	Capra_hircus
ENSAPEP00000010507	ENSAPEG00000007532	Amphiprion_percula
ENSHHUP00000038463	ENSHHUG00000023910	Hucho_hucho
ENSCHAP00000010672	ENSCHAG00000006127	Clupea_harengus
ENSSTOP00000028973	ENSSTOG00000005980	Ictidomys_tridecemlineatus
ENSSPUP00000024191	ENSSPUG00000018535	Sphenodon_punctatus
ENSDARP00000117781	ENSDARG00000007996	Danio_rerio
ENSMAMP00000024147	ENSMAMG00000016182	Mastacembelus_armatus
ENSDARP00000135902	ENSDARG00000102550	Danio_rerio
ENSMFAP00000032632	ENSMFAG00000002865	Macaca_fascicularis
ENSACLP00000002544	ENSACLG00000001697	Astatotilapia_calliptera
ENSPKIP00000025501	ENSPKIG00000008287	Paramormyrops_kingsleyae
ENSPPAP00000026762	ENSPPAG00000036465	Pan_paniscus
ENSCPUP00000005482	ENSCPUG00000004021	Calidris_pugnax
ENSDORP00000010891	ENSDORG00000011588	Dipodomys_ordii
ENSGALP00000029768	ENSGALG00000015446	Gallus_gallus
ENSMUGP00000003751	ENSMUGG00000003485	Meriones_unguiculatus
ENSIPUP00000021263	ENSIPUG00000014426	Ictalurus_punctatus
ENSGWIP00000032989	ENSGWIG00000016834	Gouania_willdenowi
ENSACAP00000009425	ENSACAG00000009565	Anolis_carolinensis
ENSPLAP00000029847	ENSPLAG00000020393	Poecilia_latipinna
ENSODEP00000002456	ENSODEG00000001913	Octodon_degus
ENSRBIP00000018779	ENSRBIG00000033382	Rhinopithecus_bieti
ENSRROP00000002597	ENSRROG00000010244	Rhinopithecus_roxellana
ENSNSUP00000022249	ENSNSUG00000016178	Notechis_scutatus
ENSMAUP00000020734	ENSMAUG00000018678	Mesocricetus_auratus
ENSAMXP00000050675	ENSAMXG00000037806	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSODEP00000002514	ENSODEG00000001956	Octodon_degus
ENSOCUP00000024450	ENSOCUG00000015479	Oryctolagus_cuniculus
ENSSMRP00000002619	ENSSMRG00000002261	Salvator_merianae
ENSCSAP00000007135	ENSCSAG00000010919	Chlorocebus_sabaeus
ENSDCDP00000053896	ENSDCDG00000032228	Denticeps_clupeoides
ENSTGUP00000013908	ENSTGUG00000013508	Taeniopygia_guttata
ENSPSIP00000010799	ENSPSIG00000009591	Pelodiscus_sinensis
ENSPANP00000039299	ENSPANG00000006362	Papio_anubis
ENSUAMP00000023540	ENSUAMG00000018445	Ursus_americanus
ENSSCAP00000016947	ENSSCAG00000012320	Serinus_canaria
ENSSMAP00000031881	ENSSMAG00000019533	Scophthalmus_maximus
ENSMICP00000010594	ENSMICG00000011644	Microcebus_murinus
ENSAMXP00005018378	ENSAMXG00005009501	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSTTRP00000008087	ENSTTRG00000008532	Tursiops_truncatus
ENSP00000356840	ENSG00000143190	Homo_sapiens
ENSCSAP00000007131	ENSCSAG00000010909	Chlorocebus_sabaeus
ENSLBEP00000002209	ENSLBEG00000001737	Labrus_bergylta
ENSUPAP00010020401	ENSUPAG00010015462	Urocitellus_parryii
ENSHHUP00000010840	ENSHHUG00000006639	Hucho_hucho
ENSCGRP00001024631	ENSCGRG00001022456	Cricetulus_griseus_CHOK1GS_HDv1
ENSMGAP00000015277	ENSMGAG00000014434	Meleagris_gallopavo
ENSPTIP00000018875	ENSPTIG00000016843	Panthera_tigris_altaica
ENSGGOP00000015848	ENSGGOG00000016243	Gorilla_gorilla
ENSDNOP00000003120	ENSDNOG00000004060	Dasypus_novemcinctus
ENSMZEP00005029576	ENSMZEG00005022060	Maylandia_zebra
ENSPMJP00000016189	ENSPMJG00000012253	Parus_major
ENSNPEP00000018971	ENSNPEG00000014141	Nothoprocta_perdicaria
ENSEBUP00000007091	ENSEBUG00000004646	Eptatretus_burgeri
ENSAPLP00000022425	ENSAPLG00000005929	Anas_platyrhynchos_platyrhynchos
ENSSDUP00000008161	ENSSDUG00000005992	Seriola_dumerili
ENSMEUP00000009503	ENSMEUG00000010420	Notamacropus_eugenii
ENSMUNP00000009189	ENSMUNG00000007254	Melopsittacus_undulatus
ENSCCNP00000033297	ENSCCNG00000031508	Castor_canadensis
ENSHBUP00000024052	ENSHBUG00000005279	Haplochromis_burtoni
ENSSHAP00000021932	ENSSHAG00000018562	Sarcophilus_harrisii
ENSCCEP00000002509	ENSCCEG00000002790	Cyanistes_caeruleus
ENSMUGP00000003713	ENSMUGG00000003447	Meriones_unguiculatus
ENSATEP00000014025	ENSATEG00000009788	Anabas_testudineus
ENSOGAP00000004532	ENSOGAG00000005069	Otolemur_garnettii
ENSPMGP00000012965	ENSPMGG00000010694	Periophthalmus_magnuspinnatus
ENSBTAP00000064680	ENSBTAG00000024534	Bos_taurus
ENSNBRP00000005273	ENSNBRG00000004114	Neolamprologus_brichardi
ENSXCOP00000025269	ENSXCOG00000018872	Xiphophorus_couchianus
ENSOPRP00000009571	ENSOPRG00000010465	Ochotona_princeps
ENSAOCP00000027957	ENSAOCG00000017255	Amphiprion_ocellaris
ENSCPOP00000007405	ENSCPOG00000008237	Cavia_porcellus
ENSLCAP00010050413	ENSLCAG00010023521	Lates_calcarifer
ENSPTEP00000019829	ENSPTEG00000021119	Piliocolobus_tephrosceles
ENSZALP00000017527	ENSZALG00000014149	Zonotrichia_albicollis
ENSLCRP00005029457	ENSLCRG00005011648	Larimichthys_crocea
ENSPPYP00000000645	ENSPPYG00000000552	Pongo_abelii
ENSTSYP00000029077	ENSTSYG00000009143	Carlito_syrichta
ENSGMOP00000012398	ENSGMOG00000011587	Gadus_morhua
ENSELUP00000019047	ENSELUG00000000792	Esox_lucius	ENSELUT00000029089
ENSCGOP00000007226	ENSCGOG00000003513	Cottoperca_gobio
ENSONIP00000017829	ENSONIG00000014184	Oreochromis_niloticus
MGP_SPRETEiJ_P0022008	MGP_SPRETEiJ_G0015618	Mus_spretus_strain_SPRET/EiJ
ENSMODP00000003129	ENSMODG00000002572	Monodelphis_domestica
ENSKMAP00000013231	ENSKMAG00000009941	Kryptolebias_marmoratus	ENSKMAT00000013434
ENSSFOP00015012838	ENSSFOG00015008295	Scleropages_formosus
ENSLAFP00000015251	ENSLAFG00000018204	Loxodonta_africana
ENSBMUP00000018896	ENSBMUG00000014307	Bos_mutus
ENSLOCP00000011863	ENSLOCG00000009711	Lepisosteus_oculatus
ENSAHAP00000017116	ENSAHAG00000011765	Apteryx_haastii
MGP_CAROLIEiJ_P0020946	MGP_CAROLIEiJ_G0014811	Mus_caroli_strain_CAROLI_EIJ
ENSCGRP00015010952	ENSCGRG00015008413	Cricetulus_griseus_CriGri-PICR
ENSMNEP00000016131	ENSMNEG00000032112	Macaca_nemestrina
ENSRNOP00000044416	ENSRNOG00000003581	Rattus_norvegicus
ENSMVIP00005007302	ENSMVIG00005005491	Manacus_vitellinus
ENSPCAP00000004331	ENSPCAG00000004617	Procavia_capensis
ENSHCOP00000002922	ENSHCOG00000004173	Hippocampus_comes
ENSSFOP00015000238	ENSSFOG00015000231	Scleropages_formosus
ENSPNAP00000026208	ENSPNAG00000011512	Pygocentrus_nattereri
ENSCPGP00000000520	ENSCPGG00000000437	Calidris_pygmaea
ENSPRNP00000055279	ENSPRNG00000025910	Parambassis_ranga
ENSCANP00000006833	ENSCANG00000022748	Colobus_angolensis_palliatus
ENSMMUP00000010676	ENSMMUG00000008155	Macaca_mulatta
ENSSDAP00000005339	ENSSDAG00000004448	Spermophilus_dauricus
ENSEEUP00000011387	ENSEEUG00000012468	Erinaceus_europaeus
ENSVURP00010004641	ENSVURG00010003684	Vombatus_ursinus
ENSECAP00000007553	ENSECAG00000009395	Equus_caballus
ENSPFOP00000014955	ENSPFOG00000014888	Poecilia_formosa
