ENSXETP00000019222	ENSXETG00000001399	Xenopus_tropicalis
ENSODEP00000014663	ENSODEG00000010841	Octodon_degus
ENSCPOP00000001035	ENSCPOG00000001148	Cavia_porcellus
ENSCAPP00000003772	ENSCAPG00000006433	Cavia_aperea
ENSHGLP00000026052	ENSHGLG00000018549	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100012714	ENSHGLG00100009414	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000017739	ENSFDAG00000010375	Fukomys_damarensis
ENSMMMP00000019233	ENSMMMG00000015844	Marmota_marmota_marmota
ENSSDAP00000026266	ENSSDAG00000023822	Spermophilus_dauricus
ENSUPAP00010002316	ENSUPAG00010001848	Urocitellus_parryii
ENSSTOP00000007871	ENSSTOG00000008740	Ictidomys_tridecemlineatus
ENSCCNP00000020260	ENSCCNG00000020202	Castor_canadensis
ENSDORP00000024091	ENSDORG00000006974	Dipodomys_ordii
ENSMUSP00000029676	ENSMUSG00000028041	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000031982	ENSMSIG00000026426	Mus_spicilegus
MGP_SPRETEiJ_P0060999	MGP_SPRETEiJ_G0026146	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0058652	MGP_CAROLIEiJ_G0025203	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0069610	MGP_PahariEiJ_G0026647	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000039351	ENSRNOG00000020590	Rattus_norvegicus
ENSMUGP00000000905	ENSMUGG00000000317	Meriones_unguiculatus
ENSMOCP00000009120	ENSMOCG00000009206	Microtus_ochrogaster
ENSPEMP00000012171	ENSPEMG00000012517	Peromyscus_maniculatus_bairdii
ENSCGRP00001020560	ENSCGRG00001019646	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000024405	ENSCGRG00000017689	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015004482	ENSCGRG00015002774	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000025081	ENSMAUG00000021725	Mesocricetus_auratus
ENSNGAP00000016052	ENSNGAG00000016881	Nannospalax_galili
ENSJJAP00000000777	ENSJJAG00000000587	Jaculus_jaculus
ENSTBEP00000003399	ENSTBEG00000003885	Tupaia_belangeri
ENSCHIP00000002553	ENSCHIG00000006033	Capra_hircus
ENSOARP00000003789	ENSOARG00000003543	Ovis_aries
ENSBIXP00005030663	ENSBIXG00005000597	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000023925	ENSBIXG00000026249	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000056713	ENSBTAG00000010663	Bos_taurus
ENSBMUP00000016114	ENSBMUG00000011712	Bos_mutus
ENSBBBP00000005402	ENSBBBG00000001414	Bison_bison_bison
ENSTTRP00000015324	ENSTTRG00000016167	Tursiops_truncatus
ENSSSCP00000006962	ENSSSCG00000006533	Sus_scrofa_strain_reference
ENSUAMP00000018147	ENSUAMG00000014398	Ursus_americanus
ENSUMAP00000027176	ENSUMAG00000019699	Ursus_maritimus
ENSAMEP00000012034	ENSAMEG00000011357	Ailuropoda_melanoleuca
ENSMPUP00000005730	ENSMPUG00000005777	Mustela_putorius_furo
ENSNVIP00000023882	ENSNVIG00000018533	Neovison_vison
ENSCAFP00020009690	ENSCAFG00020007880	Canis_lupus_dingo
ENSCAFP00000045240	ENSCAFG00000017100	Canis_lupus_familiaris
ENSVVUP00000002708	ENSVVUG00000002133	Vulpes_vulpes
ENSPPRP00000000132	ENSPPRG00000025022	Panthera_pardus
ENSPTIP00000026057	ENSPTIG00000021582	Panthera_tigris_altaica
ENSFCAP00000054687	ENSFCAG00000012163	Felis_catus
ENSEASP00005028601	ENSEASG00005019445	Equus_asinus_asinus
ENSECAP00000033798	ENSECAG00000008411	Equus_caballus
ENSMLUP00000003831	ENSMLUG00000004197	Myotis_lucifugus
ENSPVAP00000016804	ENSPVAG00000017814	Pteropus_vampyrus
ENSLAFP00000015508	ENSLAFG00000018498	Loxodonta_africana
ENSPCAP00000012759	ENSPCAG00000013587	Procavia_capensis
ENSETEP00000014630	ENSETEG00000018004	Echinops_telfairi
ENSDNOP00000010899	ENSDNOG00000014026	Dasypus_novemcinctus
ENSLACP00000015037	ENSLACG00000013230	Latimeria_chalumnae
ENSCHAP00000014056	ENSCHAG00000006981	Clupea_harengus	ENSCHAT00000015568
ENSDCDP00000033344	ENSDCDG00000021049	Denticeps_clupeoides	ENSDCDT00000042895
ENSAMXP00005039988	ENSAMXG00005018805	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000047712	ENSAMXG00000018254	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000023468	ENSPNAG00000000614	Pygocentrus_nattereri
ENSIPUP00000005883	ENSIPUG00000004032	Ictalurus_punctatus
ENSEEEP00000032221	ENSEEEG00000015367	Electrophorus_electricus
ENSDARP00000105508	ENSDARG00000089213	Danio_rerio
ENSGWIP00000003806	ENSGWIG00000002054	Gouania_willdenowi
ENSPMGP00000001124	ENSPMGG00000001009	Periophthalmus_magnuspinnatus
ENSKMAP00000021628	ENSKMAG00000016079	Kryptolebias_marmoratus
ENSCSEP00000001865	ENSCSEG00000001263	Cynoglossus_semilaevis
ENSTRUP00000024130	ENSTRUG00000009605	Takifugu_rubripes
ENSTNIP00000008935	ENSTNIG00000006187	Tetraodon_nigroviridis
ENSMMOP00000015846	ENSMMOG00000012092	Mola_mola
ENSGACP00000001138	ENSGACG00000000876	Gasterosteus_aculeatus
ENSFHEP00000031918	ENSFHEG00000018114	Fundulus_heteroclitus
ENSCVAP00000003731	ENSCVAG00000004947	Cyprinodon_variegatus
ENSPMEP00000008492	ENSPMEG00000010252	Poecilia_mexicana
ENSPLAP00000012108	ENSPLAG00000015341	Poecilia_latipinna
ENSPFOP00000003295	ENSPFOG00000003211	Poecilia_formosa
ENSGAFP00000021806	ENSGAFG00000014707	Gambusia_affinis
ENSXMAP00000007601	ENSXMAG00000007571	Xiphophorus_maculatus
ENSXCOP00000027866	ENSXCOG00000020784	Xiphophorus_couchianus
ENSORLP00020009228	ENSORLG00020010134	Oryzias_latipes_ASM223471v1
ENSORLP00015015088	ENSORLG00015015974	Oryzias_latipes_ASM223469v1
ENSORLP00000027112	ENSORLG00000016890	Oryzias_latipes_ASM223467v1
ENSOMEP00000024669	ENSOMEG00000005448	Oryzias_melastigma
ENSMAMP00000026143	ENSMAMG00000017562	Mastacembelus_armatus
ENSMALP00000023105	ENSMALG00000016119	Monopterus_albus
ENSATEP00000026774	ENSATEG00000018524	Anabas_testudineus
ENSAOCP00000012733	ENSAOCG00000017234	Amphiprion_ocellaris
ENSAPEP00000029644	ENSAPEG00000021072	Amphiprion_percula
ENSAPOP00000023694	ENSAPOG00000005650	Acanthochromis_polyacanthus
ENSSPAP00000022750	ENSSPAG00000017183	Stegastes_partitus
ENSPRNP00000047299	ENSPRNG00000022621	Parambassis_ranga
ENSHBUP00000029561	ENSHBUG00000014059	Haplochromis_burtoni
ENSMZEP00005022753	ENSMZEG00005017034	Maylandia_zebra
ENSACLP00000018546	ENSACLG00000012670	Astatotilapia_calliptera
ENSNBRP00000011187	ENSNBRG00000008606	Neolamprologus_brichardi
ENSPNYP00000021203	ENSPNYG00000015987	Pundamilia_nyererei
ENSONIP00000002606	ENSONIG00000002090	Oreochromis_niloticus
ENSACIP00000021127	ENSACIG00000016393	Amphilophus_citrinellus
ENSSDUP00000028045	ENSSDUG00000020268	Seriola_dumerili
ENSSLDP00000020708	ENSSLDG00000016192	Seriola_lalandi_dorsalis
ENSSMAP00000030173	ENSSMAG00000018468	Scophthalmus_maximus
ENSLCAP00010028733	ENSLCAG00010013460	Lates_calcarifer
ENSLCRP00005003229	ENSLCRG00005001612	Larimichthys_crocea
ENSLBEP00000038060	ENSLBEG00000028368	Labrus_bergylta
ENSHCOP00000008610	ENSHCOG00000010893	Hippocampus_comes
ENSGMOP00000019265	ENSGMOG00000017904	Gadus_morhua
ENSHHUP00000077422	ENSHHUG00000045226	Hucho_hucho
ENSHHUP00000064381	ENSHHUG00000037999	Hucho_hucho
ENSHHUP00000064438	ENSHHUG00000038009	Hucho_hucho
ENSELUP00000006892	ENSELUG00000000280	Esox_lucius
ENSPKIP00000034249	ENSPKIG00000013646	Paramormyrops_kingsleyae
ENSSFOP00015016245	ENSSFOG00015010478	Scleropages_formosus
ENSLOCP00000009525	ENSLOCG00000007839	Lepisosteus_oculatus
ENSECRP00000004574	ENSECRG00000003110	Erpetoichthys_calabaricus
ENSPMAP00000005092	ENSPMAG00000004641	Petromyzon_marinus
ENSCJPP00005007050	ENSCJPG00005006503	Coturnix_japonica
ENSCMIP00000026154	ENSCMIG00000011479	Callorhinchus_milii
ENSCSAVP00000009837	ENSCSAVG00000005781	Ciona_savignyi
