ENSOPRP00000004278	ENSOPRG00000004652	Ochotona_princeps
ENSORLP00000012383	ENSORLG00000009869	Oryzias_latipes_ASM223467v1
ENSMOCP00000020026	ENSMOCG00000017818	Microtus_ochrogaster
ENSKMAP00000028659	ENSKMAG00000021258	Kryptolebias_marmoratus
ENSUAMP00000012221	ENSUAMG00000009910	Ursus_americanus
ENSOGAP00000009735	ENSOGAG00000010876	Otolemur_garnettii
ENSBMUP00000016613	ENSBMUG00000012607	Bos_mutus
ENSAPOP00000024609	ENSAPOG00000007151	Acanthochromis_polyacanthus
ENSMEUP00000013951	ENSMEUG00000015280	Notamacropus_eugenii
ENSORLP00000028806	ENSORLG00000026135	Oryzias_latipes_ASM223467v1
ENSFCAP00000061638	ENSFCAG00000014091	Felis_catus
ENSSFOP00015011127	ENSSFOG00015007196	Scleropages_formosus
ENSCHAP00000038442	ENSCHAG00000017996	Clupea_harengus
ENSMUSP00000124066	ENSMUSG00000066441	Mus_musculus_strain_reference_(CL57BL6)
ENSXMAP00000022663	ENSXMAG00000025732	Xiphophorus_maculatus
ENSMSIP00000017872	ENSMSIG00000015246	Mus_spicilegus
MGP_SPRETEiJ_P0034152	MGP_SPRETEiJ_G0018734	Mus_spretus_strain_SPRET/EiJ
ENSCCNP00000008480	ENSCCNG00000008982	Castor_canadensis
ENSDORP00000014997	ENSDORG00000015941	Dipodomys_ordii
ENSLCRP00005008112	ENSLCRG00005003921	Larimichthys_crocea
ENSTNIP00000021845	ENSTNIG00000018669	Tetraodon_nigroviridis
ENSSLDP00000012849	ENSSLDG00000010235	Seriola_lalandi_dorsalis
ENSCGRP00000017868	ENSCGRG00000012995	Cricetulus_griseus_CriGri_1.0
ENSAHAP00000020391	ENSAHAG00000014362	Apteryx_haastii
ENSPSMP00000016501	ENSPSMG00000011747	Prolemur_simus
ENSOMEP00000020394	ENSOMEG00000022249	Oryzias_melastigma
ENSANAP00000041355	ENSANAG00000037974	Aotus_nancymaae
ENSMAMP00000000235	ENSMAMG00000000168	Mastacembelus_armatus
ENSSCAP00000018025	ENSSCAG00000012832	Serinus_canaria
ENSHCOP00000026933	ENSHCOG00000000759	Hippocampus_comes
ENSMMOP00000011818	ENSMMOG00000009070	Mola_mola
ENSONIP00000005339	ENSONIG00000004241	Oreochromis_niloticus
ENSPMGP00000007173	ENSPMGG00000005968	Periophthalmus_magnuspinnatus
ENSPSIP00000011907	ENSPSIG00000010721	Pelodiscus_sinensis
ENSOMEP00000035989	ENSOMEG00000023530	Oryzias_melastigma
MGP_PahariEiJ_P0082755	MGP_PahariEiJ_G0029645	Mus_pahari_strain_PAHARI_EIJ
ENSCABP00000022954	ENSCABG00000016883	Chelonoidis_abingdonii
ENSHGLP00100021927	ENSHGLG00100016149	Heterocephalus_glaber_HetGla_1.0
ENSMMMP00000000144	ENSMMMG00000000141	Marmota_marmota_marmota
ENSZALP00000007604	ENSZALG00000006743	Zonotrichia_albicollis
ENSPPAP00000028072	ENSPPAG00000037089	Pan_paniscus
ENSLBEP00000012348	ENSLBEG00000009475	Labrus_bergylta
ENSMGAP00000012558	ENSMGAG00000011960	Meleagris_gallopavo
ENSP00000450554	ENSG00000258466	Homo_sapiens
ENSDCDP00000030696	ENSDCDG00000021509	Denticeps_clupeoides	ENSDCDT00000039929
ENSBSLP00000054699	ENSBSLG00000025670	Betta_splendens
ENSSMAP00000016048	ENSSMAG00000009838	Scophthalmus_maximus
ENSTRUP00000055455	ENSTRUG00000004750	Takifugu_rubripes
ENSBTAP00000002535	ENSBTAG00000001950	Bos_taurus
ENSECRP00000027867	ENSECRG00000018874	Erpetoichthys_calabaricus
ENSRBIP00000043467	ENSRBIG00000044897	Rhinopithecus_bieti
ENSCGRP00015037368	ENSCGRG00015027996	Cricetulus_griseus_CriGri-PICR
ENSVVUP00000001057	ENSVVUG00000000921	Vulpes_vulpes
ENSACAP00000005655	ENSACAG00000005796	Anolis_carolinensis
ENSHBUP00000029283	ENSHBUG00000013610	Haplochromis_burtoni
ENSCGRP00001021746	ENSCGRG00001020500	Cricetulus_griseus_CHOK1GS_HDv1
ENSPVIP00000030913	ENSPVIG00000022722	Pogona_vitticeps
ENSPMGP00000001962	ENSPMGG00000001773	Periophthalmus_magnuspinnatus
ENSBIXP00000039880	ENSBIXG00000023887	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSACLP00000028857	ENSACLG00000019581	Astatotilapia_calliptera
ENSPREP00000018402	ENSPREG00000012474	Poecilia_reticulata
ENSSMRP00000012143	ENSSMRG00000009499	Salvator_merianae
ENSCCAP00000018469	ENSCCAG00000027074	Cebus_capucinus_imitator
ENSGACP00000016297	ENSGACG00000012312	Gasterosteus_aculeatus
ENSMODP00000056310	ENSMODG00000009998	Monodelphis_domestica
ENSMAUP00000018262	ENSMAUG00000016893	Mesocricetus_auratus
ENSPTIP00000022571	ENSPTIG00000019322	Panthera_tigris_altaica
ENSSMRP00000012149	ENSSMRG00000009504	Salvator_merianae
ENSGGOP00000005509	ENSGGOG00000005624	Gorilla_gorilla
ENSETEP00000004952	ENSETEG00000006102	Echinops_telfairi
ENSNGAP00000016228	ENSNGAG00000017024	Nannospalax_galili
ENSGWIP00000005911	ENSGWIG00000003437	Gouania_willdenowi
ENSPCAP00000008668	ENSPCAG00000009326	Procavia_capensis
ENSCAFP00000064481	ENSCAFG00000016442	Canis_lupus_familiaris
ENSBBBP00000015918	ENSBBBG00000023755	Bison_bison_bison
ENSCSEP00000019964	ENSCSEG00000012746	Cynoglossus_semilaevis
ENSPANP00000017132	ENSPANG00000013442	Papio_anubis
ENSMICP00000045736	ENSMICG00000010848	Microcebus_murinus
ENSSLDP00000031689	ENSSLDG00000024339	Seriola_lalandi_dorsalis
ENSLCAP00010045421	ENSLCAG00010021107	Lates_calcarifer
ENSAMXP00005010205	ENSAMXG00005005723	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPPYP00000006736	ENSPPYG00000005928	Pongo_abelii
ENSAPLP00000015070	ENSAPLG00000015195	Anas_platyrhynchos_platyrhynchos
ENSNPEP00000010990	ENSNPEG00000008254	Nothoprocta_perdicaria
ENSPMEP00000020919	ENSPMEG00000024467	Poecilia_mexicana
ENSCGOP00000027428	ENSCGOG00000012837	Cottoperca_gobio
ENSFDAP00000004657	ENSFDAG00000013819	Fukomys_damarensis
ENSNBRP00000003513	ENSNBRG00000002806	Neolamprologus_brichardi
ENSMUNP00000012994	ENSMUNG00000010158	Melopsittacus_undulatus
ENSSPAP00000014636	ENSSPAG00000011045	Stegastes_partitus
ENSUMAP00000014362	ENSUMAG00000010574	Ursus_maritimus
ENSONIP00000024708	ENSONIG00000019624	Oreochromis_niloticus
ENSUPAP00010015111	ENSUPAG00010012126	Urocitellus_parryii
ENSELUP00000007679	ENSELUG00000008429	Esox_lucius
ENSAPEP00000010753	ENSAPEG00000007711	Amphiprion_percula
ENSCAPP00000010601	ENSCAPG00000011837	Cavia_aperea
ENSLBEP00000024231	ENSLBEG00000018569	Labrus_bergylta
ENSELUP00000022833	ENSELUG00000021757	Esox_lucius
ENSORLP00015003323	ENSORLG00015004054	Oryzias_latipes_ASM223469v1
ENSSBOP00000017698	ENSSBOG00000025488	Saimiri_boliviensis_boliviensis
ENSPFOP00000004084	ENSPFOG00000004166	Poecilia_formosa
ENSRNOP00000069383	ENSRNOG00000054770	Rattus_norvegicus
ENSPTRP00000077209	ENSPTRG00000006469	Pan_troglodytes
ENSCVAP00000018283	ENSCVAG00000021525	Cyprinodon_variegatus
ENSSMAP00000013405	ENSSMAG00000008246	Scophthalmus_maximus
ENSIPUP00000002814	ENSIPUG00000001999	Ictalurus_punctatus
ENSHCOP00000006605	ENSHCOG00000008455	Hippocampus_comes
ENSEEEP00000048847	ENSEEEG00000022973	Electrophorus_electricus
ENSSSCP00000002493	ENSSSCG00000002296	Sus_scrofa_strain_reference
ENSLCOP00000023336	ENSLCOG00000016373	Lepidothrix_coronata
ENSHBUP00000011425	ENSHBUG00000013067	Haplochromis_burtoni
ENSAOCP00000019279	ENSAOCG00000024540	Amphiprion_ocellaris
ENSPREP00000013853	ENSPREG00000009340	Poecilia_reticulata
ENSNPEP00000010983	ENSNPEG00000008250	Nothoprocta_perdicaria
ENSPTEP00000036959	ENSPTEG00000034647	Piliocolobus_tephrosceles
ENSODEP00000017698	ENSODEG00000013053	Octodon_degus
ENSFALP00000005393	ENSFALG00000005180	Ficedula_albicollis
ENSJJAP00000015527	ENSJJAG00000017661	Jaculus_jaculus
ENSXCOP00000005629	ENSXCOG00000004385	Xiphophorus_couchianus
ENSMUGP00000008609	ENSMUGG00000007748	Meriones_unguiculatus
ENSSTOP00000028217	ENSSTOG00000000258	Ictidomys_tridecemlineatus
ENSGMOP00000014959	ENSGMOG00000014010	Gadus_morhua
ENSMALP00000019550	ENSMALG00000013632	Monopterus_albus
ENSSDAP00000023292	ENSSDAG00000021219	Spermophilus_dauricus
ENSPNAP00000007389	ENSPNAG00000013212	Pygocentrus_nattereri
ENSARWP00000003116	ENSARWG00000002333	Apteryx_rowi
ENSDNOP00000025727	ENSDNOG00000042867	Dasypus_novemcinctus
ENSPRNP00000047459	ENSPRNG00000022815	Parambassis_ranga
ENSAPEP00000019187	ENSAPEG00000013690	Amphiprion_percula
ENSMAMP00000027575	ENSMAMG00000018550	Mastacembelus_armatus
ENSSDUP00000019147	ENSSDUG00000013971	Seriola_dumerili
ENSDARP00000121735	ENSDARG00000018069	Danio_rerio
ENSMMUP00000074874	ENSMMUG00000015868	Macaca_mulatta
ENSMMOP00000007481	ENSMMOG00000005831	Mola_mola
ENSMZEP00005014804	ENSMZEG00005011145	Maylandia_zebra
ENSDNVP00000003005	ENSDNVG00000001867	Dromaius_novaehollandiae
ENSCHIP00000021997	ENSCHIG00000020123	Capra_hircus
ENSNBRP00000004612	ENSNBRG00000003665	Neolamprologus_brichardi
ENSBSLP00000053977	ENSBSLG00000025325	Betta_splendens
ENSTTRP00000015012	ENSTTRG00000015846	Tursiops_truncatus
ENSSPUP00000017927	ENSSPUG00000013833	Sphenodon_punctatus
ENSFHEP00000023882	ENSFHEG00000005164	Fundulus_heteroclitus
ENSPLAP00000015037	ENSPLAG00000018870	Poecilia_latipinna
ENSHHUP00000073500	ENSHHUG00000043137	Hucho_hucho
ENSCSAP00000009428	ENSCSAG00000013261	Chlorocebus_sabaeus
ENSCVAP00000014346	ENSCVAG00000016962	Cyprinodon_variegatus
ENSLBEP00000002418	ENSLBEG00000001914	Labrus_bergylta
ENSBIXP00005001094	ENSBIXG00005029495	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSTRUP00000014612	ENSTRUG00000006006	Takifugu_rubripes
ENSCATP00000043045	ENSCATG00000044096	Cercocebus_atys
ENSLCRP00005044286	ENSLCRG00005016952	Larimichthys_crocea
ENSPCOP00000000051	ENSPCOG00000000069	Propithecus_coquereli
ENSLOCP00000017472	ENSLOCG00000014184	Lepisosteus_oculatus
ENSLACP00000020227	ENSLACG00000017777	Latimeria_chalumnae
ENSPVAP00000011003	ENSPVAG00000011673	Pteropus_vampyrus
ENSCCEP00000015417	ENSCCEG00000014327	Cyanistes_caeruleus
ENSPMJP00000020225	ENSPMJG00000015065	Parus_major
ENSACAP00000022874	ENSACAG00000005799	Anolis_carolinensis
ENSHGLP00000016342	ENSHGLG00000011713	Heterocephalus_glaber_HetGla_female_1.0
ENSACIP00000025101	ENSACIG00000019449	Amphilophus_citrinellus
ENSLCAP00010048781	ENSLCAG00010022693	Lates_calcarifer
ENSVPAP00000009737	ENSVPAG00000010467	Vicugna_pacos
ENSPNYP00000024805	ENSPNYG00000018740	Pundamilia_nyererei
ENSNSUP00000024481	ENSNSUG00000017682	Notechis_scutatus
ENSPPRP00000013422	ENSPPRG00000006642	Panthera_pardus
ENSXMAP00000035645	ENSXMAG00000020818	Xiphophorus_maculatus
ENSNMEP00000023649	ENSNMEG00000020130	Numida_meleagris
ENSMZEP00005013824	ENSMZEG00005010416	Maylandia_zebra
ENSSARP00000001127	ENSSARG00000001237	Sorex_araneus
ENSOCUP00000028751	ENSOCUG00000000590	Oryctolagus_cuniculus
ENSGWIP00000052852	ENSGWIG00000025459	Gouania_willdenowi
ENSSPAP00000005700	ENSSPAG00000004416	Stegastes_partitus
ENSMVIP00005015378	ENSMVIG00005011077	Manacus_vitellinus
ENSPFOP00000017966	ENSPFOG00000017851	Poecilia_formosa
ENSHHUP00000002923	ENSHHUG00000001858	Hucho_hucho
ENSEASP00005012522	ENSEASG00005008743	Equus_asinus_asinus
ENSCAFP00020007805	ENSCAFG00020006316	Canis_lupus_dingo
ENSCJPP00005021767	ENSCJPG00005017373	Coturnix_japonica
ENSPKIP00000016970	ENSPKIG00000003068	Paramormyrops_kingsleyae
ENSATEP00000030118	ENSATEG00000020782	Anabas_testudineus
ENSGAFP00000026724	ENSGAFG00000018053	Gambusia_affinis
ENSORLP00020022298	ENSORLG00020002523	Oryzias_latipes_ASM223471v1
ENSCPGP00000010617	ENSCPGG00000007565	Calidris_pygmaea
ENSNLEP00000001000	ENSNLEG00000000821	Nomascus_leucogenys
ENSRROP00000040310	ENSRROG00000043419	Rhinopithecus_roxellana
ENSCLAP00000004636	ENSCLAG00000003299	Chinchilla_lanigera
ENSPRNP00000007063	ENSPRNG00000004206	Parambassis_ranga
ENSLAFP00000012630	ENSLAFG00000015081	Loxodonta_africana
ENSMLEP00000027346	ENSMLEG00000037880	Mandrillus_leucophaeus
ENSORLP00015035765	ENSORLG00015022550	Oryzias_latipes_ASM223469v1
ENSPNYP00000029920	ENSPNYG00000022556	Pundamilia_nyererei
ENSCMIP00000021187	ENSCMIG00000009703	Callorhinchus_milii
ENSCGOP00000033066	ENSCGOG00000015360	Cottoperca_gobio
ENSMLUP00000007001	ENSMLUG00000007669	Myotis_lucifugus
ENSAOWP00000002129	ENSAOWG00000001545	Apteryx_owenii
ENSAMXP00000021780	ENSAMXG00000021155	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPMEP00000015763	ENSPMEG00000018328	Poecilia_mexicana
