T19A6.2a.1	WBGene00003596	Caenorhabditis_elegans_strain_N2
ENSGGOP00000007538	ENSGGOG00000007704	Gorilla_gorilla
ENSPPAP00000000435	ENSPPAG00000001559	Pan_paniscus
ENSPTRP00000000969	ENSPTRG00000000549	Pan_troglodytes
ENSPPYP00000001765	ENSPPYG00000001529	Pongo_abelii
ENSNLEP00000014130	ENSNLEG00000011599	Nomascus_leucogenys
ENSPANP00000006917	ENSPANG00000025285	Papio_anubis
ENSTGEP00000025034	ENSTGEG00000020201	Theropithecus_gelada
ENSCATP00000008744	ENSCATG00000026503	Cercocebus_atys
ENSMLEP00000040798	ENSMLEG00000044421	Mandrillus_leucophaeus
ENSCSAP00000016903	ENSCSAG00000001110	Chlorocebus_sabaeus
ENSMFAP00000002863	ENSMFAG00000039033	Macaca_fascicularis
ENSMNEP00000041188	ENSMNEG00000043438	Macaca_nemestrina
ENSMMUP00000011036	ENSMMUG00000008419	Macaca_mulatta
ENSPTEP00000025110	ENSPTEG00000025475	Piliocolobus_tephrosceles
ENSCANP00000026701	ENSCANG00000036748	Colobus_angolensis_palliatus
ENSRBIP00000029004	ENSRBIG00000038390	Rhinopithecus_bieti
ENSRROP00000003617	ENSRROG00000014347	Rhinopithecus_roxellana
ENSCCAP00000033894	ENSCCAG00000034952	Cebus_capucinus_imitator
ENSSBOP00000006578	ENSSBOG00000020194	Saimiri_boliviensis_boliviensis
ENSCJAP00000003596	ENSCJAG00000001980	Callithrix_jacchus
ENSCJAP00000071791	ENSCJAG00000039316	Callithrix_jacchus
ENSANAP00000011023	ENSANAG00000023449	Aotus_nancymaae
ENSTSYP00000004171	ENSTSYG00000004537	Carlito_syrichta
ENSPSMP00000020421	ENSPSMG00000014401	Prolemur_simus
ENSPCOP00000010424	ENSPCOG00000016681	Propithecus_coquereli
ENSOGAP00000007748	ENSOGAG00000008643	Otolemur_garnettii
ENSOCUP00000045192	ENSOCUG00000010877	Oryctolagus_cuniculus
ENSOPRP00000002436	ENSOPRG00000002625	Ochotona_princeps
ENSDNOP00000012765	ENSDNOG00000016466	Dasypus_novemcinctus
ENSDNOP00000020740	ENSDNOG00000033314	Dasypus_novemcinctus
ENSCHOP00000008418	ENSCHOG00000009509	Choloepus_hoffmanni
ENSLAFP00000015696	ENSLAFG00000018723	Loxodonta_africana
ENSPCAP00000014784	ENSPCAG00000015772	Procavia_capensis
ENSSARP00000010280	ENSSARG00000011342	Sorex_araneus
ENSETEP00000013532	ENSETEG00000016674	Echinops_telfairi
ENSPCIP00000000143	ENSPCIG00000000135	Phascolarctos_cinereus
ENSVURP00010003474	ENSVURG00010002781	Vombatus_ursinus
ENSMODP00000055580	ENSMODG00000017773	Monodelphis_domestica
ENSMEUP00000013828	ENSMEUG00000015141	Notamacropus_eugenii
ENSSHAP00000014359	ENSSHAG00000012267	Sarcophilus_harrisii
ENSOANP00000003260	ENSOANG00000002057	Ornithorhynchus_anatinus
ENSAHAP00000025353	ENSAHAG00000017680	Apteryx_haastii
ENSAOWP00000014498	ENSAOWG00000009885	Apteryx_owenii
ENSARWP00000013259	ENSARWG00000009208	Apteryx_rowi
ENSDNVP00000015197	ENSDNVG00000010699	Dromaius_novaehollandiae
ENSNPEP00000006941	ENSNPEG00000005219	Nothoprocta_perdicaria
ENSAPLP00000006163	ENSAPLG00000006508	Anas_platyrhynchos_platyrhynchos
ENSABRP00000025140	ENSABRG00000021088	Anser_brachyrhynchus
ENSCJPP00005020412	ENSCJPG00005016439	Coturnix_japonica
ENSMGAP00000003001	ENSMGAG00000003267	Meleagris_gallopavo
ENSGALP00000003063	ENSGALG00000001973	Gallus_gallus
ENSNMEP00000006116	ENSNMEG00000006266	Numida_meleagris
ENSCCEP00000013185	ENSCCEG00000012687	Cyanistes_caeruleus
ENSFALP00000000945	ENSFALG00000000909	Ficedula_albicollis
ENSSCAP00000021102	ENSSCAG00000015204	Serinus_canaria
ENSLSDP00000020846	ENSLSDG00000014757	Lonchura_striata_domestica
ENSTGUP00000001602	ENSTGUG00000001547	Taeniopygia_guttata
ENSJHYP00000006401	ENSJHYG00000005173	Junco_hyemalis
ENSZALP00000014788	ENSZALG00000012236	Zonotrichia_albicollis
ENSMVIP00005018925	ENSMVIG00005013409	Manacus_vitellinus
ENSLCOP00000000479	ENSLCOG00000000424	Lepidothrix_coronata
ENSMUNP00000008974	ENSMUNG00000007077	Melopsittacus_undulatus
ENSCPRP00005003490	ENSCPRG00005002554	Crocodylus_porosus
ENSGAGP00000004753	ENSGAGG00000003905	Gopherus_agassizii
ENSCABP00000017557	ENSCABG00000013042	Chelonoidis_abingdonii
ENSCPBP00000026027	ENSCPBG00000018483	Chrysemys_picta_bellii
ENSPSIP00000008710	ENSPSIG00000007800	Pelodiscus_sinensis
ENSACAP00000016981	ENSACAG00000017224	Anolis_carolinensis
ENSPVIP00000021349	ENSPVIG00000016211	Pogona_vitticeps
ENSNSUP00000016304	ENSNSUG00000012049	Notechis_scutatus
ENSSMRP00000026900	ENSSMRG00000020772	Salvator_merianae
ENSSPUP00000004949	ENSSPUG00000003826	Sphenodon_punctatus
ENSLACP00000019325	ENSLACG00000016998	Latimeria_chalumnae
ENSXETP00000054592	ENSXETG00000017124	Xenopus_tropicalis
ENSECRP00000024750	ENSECRG00000016774	Erpetoichthys_calabaricus
ENSCMIP00000031130	ENSCMIG00000013350	Callorhinchus_milii
ENSCHAP00000035263	ENSCHAG00000016691	Clupea_harengus	ENSCHAT00000038200
ENSDCDP00000033191	ENSDCDG00000022680	Denticeps_clupeoides	ENSDCDT00000042731
ENSAMXP00005024709	ENSAMXG00005012191	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000020904	ENSAMXG00000020288	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000036622	ENSPNAG00000005426	Pygocentrus_nattereri
ENSIPUP00000025277	ENSIPUG00000017079	Ictalurus_punctatus
ENSEEEP00000014782	ENSEEEG00000006870	Electrophorus_electricus
ENSDARP00000140260	ENSDARG00000098080	Danio_rerio
ENSCGOP00000033788	ENSCGOG00000015253	Cottoperca_gobio
ENSGACP00000018106	ENSGACG00000013692	Gasterosteus_aculeatus
ENSLCRP00005025058	ENSLCRG00005010011	Larimichthys_crocea
ENSLBEP00000011086	ENSLBEG00000008518	Labrus_bergylta
ENSTNIP00000006333	ENSTNIG00000003733	Tetraodon_nigroviridis
ENSTRUP00000048547	ENSTRUG00000009789	Takifugu_rubripes
ENSMMOP00000024388	ENSMMOG00000018551	Mola_mola
ENSSDUP00000014301	ENSSDUG00000010382	Seriola_dumerili
ENSSLDP00000003990	ENSSLDG00000003122	Seriola_lalandi_dorsalis
ENSLCAP00010007119	ENSLCAG00010003490	Lates_calcarifer
ENSSMAP00000005709	ENSSMAG00000003472	Scophthalmus_maximus
ENSMAMP00000011587	ENSMAMG00000007823	Mastacembelus_armatus
ENSMALP00000016782	ENSMALG00000011736	Monopterus_albus
ENSATEP00000013368	ENSATEG00000009311	Anabas_testudineus
ENSBSLP00000044688	ENSBSLG00000021296	Betta_splendens
ENSAPEP00000007471	ENSAPEG00000005375	Amphiprion_percula
ENSAOCP00000010161	ENSAOCG00000014396	Amphiprion_ocellaris
ENSAPOP00000020882	ENSAPOG00000024507	Acanthochromis_polyacanthus
ENSSPAP00000023179	ENSSPAG00000017473	Stegastes_partitus
ENSPRNP00000029004	ENSPRNG00000014473	Parambassis_ranga
ENSMZEP00005009785	ENSMZEG00005007393	Maylandia_zebra
ENSMZEP00005011230	ENSMZEG00005008412	Maylandia_zebra
ENSNBRP00000013262	ENSNBRG00000010291	Neolamprologus_brichardi
ENSACIP00000023634	ENSACIG00000018346	Amphilophus_citrinellus
ENSCVAP00000029721	ENSCVAG00000017712	Cyprinodon_variegatus
ENSFHEP00000020675	ENSFHEG00000022857	Fundulus_heteroclitus
ENSXMAP00000014971	ENSXMAG00000014898	Xiphophorus_maculatus
ENSXMAP00000023944	ENSXMAG00000026406	Xiphophorus_maculatus
ENSXCOP00000002066	ENSXCOG00000001649	Xiphophorus_couchianus
ENSGAFP00000013053	ENSGAFG00000008794	Gambusia_affinis
ENSPFOP00000012971	ENSPFOG00000012893	Poecilia_formosa
ENSPLAP00000009691	ENSPLAG00000012483	Poecilia_latipinna
ENSPMEP00000016476	ENSPMEG00000019133	Poecilia_mexicana
ENSPREP00000008802	ENSPREG00000005988	Poecilia_reticulata
ENSKMAP00000025480	ENSKMAG00000018855	Kryptolebias_marmoratus
ENSORLP00020033037	ENSORLG00020018867	Oryzias_latipes_ASM223471v1
ENSORLP00015003194	ENSORLG00015003936	Oryzias_latipes_ASM223469v1
ENSORLP00000018355	ENSORLG00000014645	Oryzias_latipes_ASM223467v1
ENSOMEP00000017907	ENSOMEG00000019611	Oryzias_melastigma
ENSGWIP00000027053	ENSGWIG00000014186	Gouania_willdenowi
ENSPMGP00000002647	ENSPMGG00000002306	Periophthalmus_magnuspinnatus
ENSCSEP00000031678	ENSCSEG00000020296	Cynoglossus_semilaevis
ENSHCOP00000009623	ENSHCOG00000012109	Hippocampus_comes
ENSGMOP00000004721	ENSGMOG00000004427	Gadus_morhua
ENSHHUP00000037758	ENSHHUG00000023471	Hucho_hucho
ENSHHUP00000038995	ENSHHUG00000024270	Hucho_hucho
ENSELUP00000037723	ENSELUG00000000675	Esox_lucius
ENSSFOP00015031672	ENSSFOG00015020300	Scleropages_formosus
ENSPKIP00000020780	ENSPKIG00000005438	Paramormyrops_kingsleyae
ENSCINP00000000041	ENSCING00000010696	Ciona_intestinalis
ENSCSAVP00000002678	ENSCSAVG00000001583	Ciona_savignyi
FBpp0086063	FBgn0034243	Drosophila_melanogaster
YNR053C_mRNA	YNR053C	Saccharomyces_cerevisiae_strain_S288C
