ENSACLP00000011577	ENSACLG00000007909	Astatotilapia_calliptera
ENSNPEP00000008365	ENSNPEG00000006267	Nothoprocta_perdicaria
ENSSPAP00000027860	ENSSPAG00000020995	Stegastes_partitus
ENSCSEP00000002456	ENSCSEG00000001641	Cynoglossus_semilaevis
ENSLSDP00000024649	ENSLSDG00000017281	Lonchura_striata_domestica
ENSLCOP00000008717	ENSLCOG00000006361	Lepidothrix_coronata
ENSMAMP00000018673	ENSMAMG00000012517	Mastacembelus_armatus
ENSGAFP00000011780	ENSGAFG00000007989	Gambusia_affinis
ENSMICP00000001921	ENSMICG00000002096	Microcebus_murinus
ENSPREP00000026986	ENSPREG00000018233	Poecilia_reticulata
ENSPKIP00000005796	ENSPKIG00000022309	Paramormyrops_kingsleyae
ENSAMXP00005006020	ENSAMXG00005003606	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSSDUP00000001690	ENSSDUG00000001346	Seriola_dumerili
ENSMALP00000002364	ENSMALG00000001754	Monopterus_albus
ENSPTIP00000017312	ENSPTIG00000015768	Panthera_tigris_altaica
ENSAPLP00000025141	ENSAPLG00000011064	Anas_platyrhynchos_platyrhynchos
ENSZALP00000001908	ENSZALG00000002270	Zonotrichia_albicollis
ENSP00000363694	ENSG00000095203	Homo_sapiens
ENSXCOP00000026301	ENSXCOG00000019641	Xiphophorus_couchianus
ENSCHIP00000001555	ENSCHIG00000002945	Capra_hircus
ENSMVIP00005005618	ENSMVIG00005004301	Manacus_vitellinus
ENSSDAP00000014135	ENSSDAG00000012648	Spermophilus_dauricus
ENSPANP00000019000	ENSPANG00000025737	Papio_anubis
ENSMOCP00000023065	ENSMOCG00000019884	Microtus_ochrogaster
ENSACAP00000006816	ENSACAG00000006942	Anolis_carolinensis
ENSOARP00000007520	ENSOARG00000007009	Ovis_aries
ENSPVAP00000014048	ENSPVAG00000014904	Pteropus_vampyrus
ENSGALP00000047522	ENSGALG00000029935	Gallus_gallus
ENSLAFP00000005735	ENSLAFG00000006820	Loxodonta_africana
ENSEASP00005033682	ENSEASG00005023050	Equus_asinus_asinus
ENSAOCP00000028009	ENSAOCG00000017345	Amphiprion_ocellaris
ENSMMUP00000073598	ENSMMUG00000017515	Macaca_mulatta
ENSBIXP00000019850	ENSBIXG00000002695	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSRBIP00000039127	ENSRBIG00000043023	Rhinopithecus_bieti
ENSTBEP00000011701	ENSTBEG00000013485	Tupaia_belangeri
ENSTRUP00000022975	ENSTRUG00000009133	Takifugu_rubripes
ENSSHAP00000004114	ENSSHAG00000003628	Sarcophilus_harrisii
ENSODEP00000006470	ENSODEG00000004839	Octodon_degus
ENSPEMP00000025651	ENSPEMG00000022016	Peromyscus_maniculatus_bairdii
ENSOMEP00000003576	ENSOMEG00000004487	Oryzias_melastigma
ENSACAP00000017982	ENSACAG00000024496	Anolis_carolinensis
ENSPTRP00000036284	ENSPTRG00000021239	Pan_troglodytes
ENSNLEP00000021154	ENSNLEG00000017431	Nomascus_leucogenys
ENSOCUP00000013918	ENSOCUG00000016177	Oryctolagus_cuniculus
ENSJHYP00000017142	ENSJHYG00000013084	Junco_hyemalis
ENSFHEP00000012667	ENSFHEG00000014124	Fundulus_heteroclitus
ENSMFAP00000041850	ENSMFAG00000039720	Macaca_fascicularis
ENSHGLP00100015276	ENSHGLG00100011294	Heterocephalus_glaber_HetGla_1.0
ENSVPAP00000006629	ENSVPAG00000007125	Vicugna_pacos
ENSPSIP00000012990	ENSPSIG00000011694	Pelodiscus_sinensis
ENSNGAP00000007739	ENSNGAG00000010878	Nannospalax_galili
ENSMSIP00000007583	ENSMSIG00000006766	Mus_spicilegus
ENSCGRP00015036708	ENSCGRG00015027515	Cricetulus_griseus_CriGri-PICR
ENSCHOP00000005428	ENSCHOG00000006132	Choloepus_hoffmanni
ENSTSYP00000000125	ENSTSYG00000000137	Carlito_syrichta
ENSKMAP00000005843	ENSKMAG00000004406	Kryptolebias_marmoratus
ENSCPBP00000000502	ENSCPBG00000000456	Chrysemys_picta_bellii
ENSGMOP00000016054	ENSGMOG00000014989	Gadus_morhua
ENSPPYP00000021827	ENSPPYG00000019487	Pongo_abelii
ENSABRP00000022592	ENSABRG00000019133	Anser_brachyrhynchus
ENSSPUP00000017758	ENSSPUG00000013673	Sphenodon_punctatus
ENSTGUP00000016074	ENSTGUG00000015752	Taeniopygia_guttata
ENSPPRP00000019841	ENSPPRG00000011114	Panthera_pardus
ENSMEUP00000008108	ENSMEUG00000008852	Notamacropus_eugenii
ENSMMMP00000003341	ENSMMMG00000002983	Marmota_marmota_marmota
ENSPFOP00000017220	ENSPFOG00000017157	Poecilia_formosa
ENSFCAP00000034577	ENSFCAG00000010945	Felis_catus
ENSAMEP00000019089	ENSAMEG00000018056	Ailuropoda_melanoleuca
ENSAOWP00000004491	ENSAOWG00000003139	Apteryx_owenii
ENSPRNP00000055094	ENSPRNG00000025816	Parambassis_ranga
ENSCCAP00000009883	ENSCCAG00000022655	Cebus_capucinus_imitator
ENSEEEP00000042785	ENSEEEG00000020189	Electrophorus_electricus
ENSORLP00015017274	ENSORLG00015018294	Oryzias_latipes_ASM223469v1
ENSHBUP00000030632	ENSHBUG00000015785	Haplochromis_burtoni
ENSELUP00000031903	ENSELUG00000009630	Esox_lucius
ENSBTAP00000022699	ENSBTAG00000017063	Bos_taurus
ENSFALP00000004653	ENSFALG00000004459	Ficedula_albicollis
ENSEEUP00000006142	ENSEEUG00000006674	Erinaceus_europaeus
ENSPTEP00000035190	ENSPTEG00000033244	Piliocolobus_tephrosceles
ENSGALP00000067721	ENSGALG00000053013	Gallus_gallus
ENSNMEP00000008783	ENSNMEG00000008550	Numida_meleagris
ENSPCIP00000052011	ENSPCIG00000035920	Phascolarctos_cinereus
ENSTNIP00000000311	ENSTNIG00000000845	Tetraodon_nigroviridis
ENSTGUP00000008353	ENSTGUG00000008100	Taeniopygia_guttata
ENSCCEP00000014710	ENSCCEG00000014022	Cyanistes_caeruleus
ENSSBOP00000015206	ENSSBOG00000024341	Saimiri_boliviensis_boliviensis
ENSPVIP00000012421	ENSPVIG00000009676	Pogona_vitticeps
ENSBBBP00000026939	ENSBBBG00000023101	Bison_bison_bison
ENSRNOP00000072639	ENSRNOG00000056550	Rattus_norvegicus
ENSCJAP00000031662	ENSCJAG00000017184	Callithrix_jacchus
ENSCGOP00000022706	ENSCGOG00000010808	Cottoperca_gobio
ENSSMRP00000012902	ENSSMRG00000010064	Salvator_merianae
ENSMPUP00000007307	ENSMPUG00000007365	Mustela_putorius_furo
ENSDNOP00000012650	ENSDNOG00000016315	Dasypus_novemcinctus
ENSVVUP00000039931	ENSVVUG00000028376	Vulpes_vulpes
ENSECRP00000022102	ENSECRG00000014950	Erpetoichthys_calabaricus
ENSPPAP00000009881	ENSPPAG00000028167	Pan_paniscus
ENSCGRP00001009524	ENSCGRG00001011607	Cricetulus_griseus_CHOK1GS_HDv1
ENSCJPP00005018232	ENSCJPG00005014853	Coturnix_japonica
ENSXMAP00000024385	ENSXMAG00000021416	Xiphophorus_maculatus
ENSGWIP00000053259	ENSGWIG00000025604	Gouania_willdenowi
ENSSFOP00015018487	ENSSFOG00015011881	Scleropages_formosus
ENSACIP00000016184	ENSACIG00000012347	Amphilophus_citrinellus
ENSCSAP00000007799	ENSCSAG00000011705	Chlorocebus_sabaeus
ENSMLUP00000001998	ENSMLUG00000002183	Myotis_lucifugus
ENSHHUP00000052496	ENSHHUG00000031535	Hucho_hucho
ENSMNEP00000033139	ENSMNEG00000039820	Macaca_nemestrina
ENSCAFP00000004213	ENSCAFG00000002847	Canis_lupus_familiaris
ENSCPRP00005020505	ENSCPRG00005014251	Crocodylus_porosus
ENSGAGP00000017336	ENSGAGG00000012907	Gopherus_agassizii
ENSTGEP00000036382	ENSTGEG00000028950	Theropithecus_gelada
MGP_PahariEiJ_P0077595	MGP_PahariEiJ_G0028380	Mus_pahari_strain_PAHARI_EIJ
ENSSCAP00000007652	ENSSCAG00000005879	Serinus_canaria
ENSSTOP00000010964	ENSSTOG00000012217	Ictidomys_tridecemlineatus
ENSOGAP00000004932	ENSOGAG00000005508	Otolemur_garnettii
ENSAMXP00000005606	ENSAMXG00000005474	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSCAPP00000011450	ENSCAPG00000012517	Cavia_aperea
ENSECAP00000047256	ENSECAG00000018914	Equus_caballus
ENSAPOP00000013091	ENSAPOG00000000437	Acanthochromis_polyacanthus
ENSUPAP00010010847	ENSUPAG00010008702	Urocitellus_parryii
ENSMUSP00000030142	ENSMUSG00000028434	Mus_musculus_strain_reference_(CL57BL6)
ENSTTRP00000000391	ENSTTRG00000000418	Tursiops_truncatus
ENSDORP00000026429	ENSDORG00000012315	Dipodomys_ordii
ENSBMUP00000009028	ENSBMUG00000007028	Bos_mutus
ENSXETP00000041703	ENSXETG00000002417	Xenopus_tropicalis
ENSDCDP00000004617	ENSDCDG00000002159	Denticeps_clupeoides
ENSMMOP00000004263	ENSMMOG00000003408	Mola_mola
ENSPMEP00000014574	ENSPMEG00000016955	Poecilia_mexicana
ENSSBOP00000025308	ENSSBOG00000029117	Saimiri_boliviensis_boliviensis
ENSONIP00000007661	ENSONIG00000006082	Oreochromis_niloticus
ENSCMIP00000043125	ENSCMIG00000017882	Callorhinchus_milii
ENSOPRP00000012513	ENSOPRG00000013700	Ochotona_princeps
ENSORLP00020028509	ENSORLG00020012019	Oryzias_latipes_ASM223471v1
ENSPCAP00000006214	ENSPCAG00000006569	Procavia_capensis
ENSIPUP00000027598	ENSIPUG00000018673	Ictalurus_punctatus
ENSDARP00000081971	ENSDARG00000061398	Danio_rerio
ENSETEP00000009269	ENSETEG00000011423	Echinops_telfairi
ENSLCAP00010011394	ENSLCAG00010005407	Lates_calcarifer
ENSVURP00010015762	ENSVURG00010012050	Vombatus_ursinus
