ENSECRP00000005066	ENSECRG00000003413	Erpetoichthys_calabaricus
ENSSFOP00015024431	ENSSFOG00015015711	Scleropages_formosus
ENSDCDP00000048117	ENSDCDG00000028832	Denticeps_clupeoides
ENSCHAP00000041805	ENSCHAG00000019232	Clupea_harengus
ENSAMXP00000043554	ENSAMXG00000034626	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005038560	ENSAMXG00005018264	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000037815	ENSPNAG00000029871	Pygocentrus_nattereri
ENSEEEP00000037803	ENSEEEG00000017928	Electrophorus_electricus
ENSIPUP00000020473	ENSIPUG00000013844	Ictalurus_punctatus
ENSDARP00000048976	ENSDARG00000031795	Danio_rerio
ENSTNIP00000022678	ENSTNIG00000019465	Tetraodon_nigroviridis
ENSMAMP00000030019	ENSMAMG00000020247	Mastacembelus_armatus
ENSLACP00000005750	ENSLACG00000005105	Latimeria_chalumnae
ENSVPAP00000006047	ENSVPAG00000006512	Vicugna_pacos
ENSSSCP00000028530	ENSSSCG00000001346	Sus_scrofa_strain_reference
ENSCHIP00000017954	ENSCHIG00000017577	Capra_hircus
ENSOARP00000014387	ENSOARG00000013405	Ovis_aries
ENSBIXP00000030900	ENSBIXG00000013027	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005010416	ENSBIXG00005015059	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000009688	ENSBMUG00000007536	Bos_mutus
ENSBTAP00000068469	ENSBTAG00000006927	Bos_taurus
ENSBBBP00000018189	ENSBBBG00000006873	Bison_bison_bison
ENSTTRP00000007864	ENSTTRG00000008299	Tursiops_truncatus
ENSMLUP00000008011	ENSMLUG00000008772	Myotis_lucifugus
ENSUAMP00000009122	ENSUAMG00000005937	Ursus_americanus
ENSUMAP00000026752	ENSUMAG00000019024	Ursus_maritimus
ENSAMEP00000014104	ENSAMEG00000013325	Ailuropoda_melanoleuca
ENSNVIP00000023420	ENSNVIG00000018155	Neovison_vison
ENSMPUP00000011689	ENSMPUG00000011783	Mustela_putorius_furo
ENSCAFP00020022204	ENSCAFG00020017560	Canis_lupus_dingo
ENSCAFP00000037983	ENSCAFG00000030478	Canis_lupus_familiaris
ENSVVUP00000013063	ENSVVUG00000009585	Vulpes_vulpes
ENSPTIP00000022796	ENSPTIG00000019458	Panthera_tigris_altaica
ENSPPRP00000012994	ENSPPRG00000006388	Panthera_pardus
ENSFCAP00000007112	ENSFCAG00000007680	Felis_catus
ENSEEUP00000012927	ENSEEUG00000014130	Erinaceus_europaeus
ENSPVAP00000003762	ENSPVAG00000003974	Pteropus_vampyrus
ENSECAP00000022472	ENSECAG00000024907	Equus_caballus
ENSEASP00005027780	ENSEASG00005018632	Equus_asinus_asinus
ENSSDAP00000017398	ENSSDAG00000015731	Spermophilus_dauricus
ENSUPAP00010005364	ENSUPAG00010004338	Urocitellus_parryii
ENSMMMP00000022888	ENSMMMG00000020050	Marmota_marmota_marmota
ENSSDAP00000003764	ENSSDAG00000003560	Spermophilus_dauricus
ENSMMMP00000007941	ENSMMMG00000007118	Marmota_marmota_marmota
ENSSTOP00000031984	ENSSTOG00000031280	Ictidomys_tridecemlineatus
ENSDORP00000002990	ENSDORG00000003195	Dipodomys_ordii
ENSJJAP00000005603	ENSJJAG00000010508	Jaculus_jaculus
ENSTBEP00000003504	ENSTBEG00000003994	Tupaia_belangeri
ENSPTRP00000030585	ENSPTRG00000017930	Pan_troglodytes
ENSPPAP00000026530	ENSPPAG00000036348	Pan_paniscus
ENSGGOP00000019471	ENSGGOG00000000968	Gorilla_gorilla
ENSP00000313603	ENSG00000204574	Homo_sapiens
ENSPPYP00000018344	ENSPPYG00000016410	Pongo_abelii
ENSNLEP00000006281	ENSNLEG00000005108	Nomascus_leucogenys
ENSTGEP00000014206	ENSTGEG00000011527	Theropithecus_gelada
ENSTGEP00000012389	ENSTGEG00000010111	Theropithecus_gelada
ENSCATP00000036651	ENSCATG00000041106	Cercocebus_atys
ENSMFAP00000008152	ENSMFAG00000001346	Macaca_fascicularis
ENSMMUP00000047428	ENSMMUG00000001886	Macaca_mulatta
ENSMNEP00000024499	ENSMNEG00000035697	Macaca_nemestrina
ENSCSAP00000004475	ENSCSAG00000008215	Chlorocebus_sabaeus
ENSPTEP00000030239	ENSPTEG00000029488	Piliocolobus_tephrosceles
ENSCANP00000010657	ENSCANG00000028658	Colobus_angolensis_palliatus
ENSRROP00000024676	ENSRROG00000036112	Rhinopithecus_roxellana
ENSRBIP00000039917	ENSRBIG00000043397	Rhinopithecus_bieti
ENSMLEP00000006861	ENSMLEG00000027294	Mandrillus_leucophaeus
ENSPANP00000013944	ENSPANG00000022237	Papio_anubis
ENSCCAP00000016980	ENSCCAG00000026192	Cebus_capucinus_imitator
ENSCJAP00000037156	ENSCJAG00000019968	Callithrix_jacchus
ENSANAP00000003607	ENSANAG00000019758	Aotus_nancymaae
ENSTSYP00000014306	ENSTSYG00000033286	Carlito_syrichta
ENSPCOP00000029067	ENSPCOG00000027213	Propithecus_coquereli
ENSPSMP00000001934	ENSPSMG00000001418	Prolemur_simus
ENSMICP00000038185	ENSMICG00000014745	Microcebus_murinus
ENSOGAP00000018772	ENSOGAG00000033596	Otolemur_garnettii
ENSPCAP00000015915	ENSPCAG00000017000	Procavia_capensis
ENSLAFP00000014476	ENSLAFG00000017258	Loxodonta_africana
ENSSARP00000005624	ENSSARG00000006172	Sorex_araneus
ENSETEP00000002549	ENSETEG00000003105	Echinops_telfairi
ENSOCUP00000001834	ENSOCUG00000002121	Oryctolagus_cuniculus
ENSOPRP00000000009	ENSOPRG00000000009	Ochotona_princeps
ENSCGRP00015037722	ENSCGRG00015028261	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001018582	ENSCGRG00001018274	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000024449	ENSCGRG00000017721	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000011928	ENSMAUG00000012315	Mesocricetus_auratus
ENSPEMP00000004491	ENSPEMG00000006699	Peromyscus_maniculatus_bairdii
ENSMOCP00000010640	ENSMOCG00000010869	Microtus_ochrogaster
ENSMSIP00000018356	ENSMSIG00000015615	Mus_spicilegus
ENSMUSP00000036881	ENSMUSG00000038762	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0046540	MGP_SPRETEiJ_G0022450	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0044650	MGP_CAROLIEiJ_G0021545	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0044171	MGP_PahariEiJ_G0020537	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000001049	ENSRNOG00000000799	Rattus_norvegicus
ENSMUGP00000016012	ENSMUGG00000013746	Meriones_unguiculatus
ENSODEP00000024571	ENSODEG00000017985	Octodon_degus
ENSCLAP00000004845	ENSCLAG00000003440	Chinchilla_lanigera
ENSCAPP00000011490	ENSCAPG00000012514	Cavia_aperea
ENSCPOP00000020125	ENSCPOG00000021623	Cavia_porcellus
ENSHGLP00000027010	ENSHGLG00000019209	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100011183	ENSHGLG00100008305	Heterocephalus_glaber_HetGla_1.0
ENSDNOP00000018879	ENSDNOG00000045599	Dasypus_novemcinctus
ENSDNOP00000034248	ENSDNOG00000046485	Dasypus_novemcinctus
ENSVURP00010001400	ENSVURG00010001070	Vombatus_ursinus
ENSPCIP00000019611	ENSPCIG00000014977	Phascolarctos_cinereus
ENSMEUP00000009694	ENSMEUG00000010608	Notamacropus_eugenii
ENSSHAP00000007285	ENSSHAG00000006333	Sarcophilus_harrisii
ENSMODP00000019912	ENSMODG00000015953	Monodelphis_domestica
ENSOANP00000002155	ENSOANG00000001352	Ornithorhynchus_anatinus
ENSLSDP00000004778	ENSLSDG00000003677	Lonchura_striata_domestica
ENSLSDP00000009363	ENSLSDG00000006951	Lonchura_striata_domestica
ENSTGUP00000015555	ENSTGUG00000015213	Taeniopygia_guttata
ENSCCEP00000006678	ENSCCEG00000007126	Cyanistes_caeruleus
ENSCPBP00000004581	ENSCPBG00000003674	Chrysemys_picta_bellii
ENSMUNP00000004662	ENSMUNG00000003884	Melopsittacus_undulatus
ENSPVIP00000009952	ENSPVIG00000007540	Pogona_vitticeps
ENSNSUP00000003982	ENSNSUG00000003186	Notechis_scutatus	ENSNSUT00000004285
ENSGAGP00000025682	ENSGAGG00000018749	Gopherus_agassizii
ENSCABP00000001996	ENSCABG00000001320	Chelonoidis_abingdonii
ENSCPBP00000026503	ENSCPBG00000018826	Chrysemys_picta_bellii
ENSPSIP00000010764	ENSPSIG00000009765	Pelodiscus_sinensis
ENSSPUP00000019953	ENSSPUG00000015271	Sphenodon_punctatus
ENSPMAP00000007140	ENSPMAG00000006481	Petromyzon_marinus
ENSPMAP00000009586	ENSPMAG00000008701	Petromyzon_marinus
ENSEBUP00000018698	ENSEBUG00000011670	Eptatretus_burgeri
ENSCINP00000011067	ENSCING00000005370	Ciona_intestinalis
ENSCSAVP00000008418	ENSCSAVG00000005000	Ciona_savignyi
FBpp0310240	FBgn0030321	Drosophila_melanogaster
F18E2.2.1	WBGene00006512	Caenorhabditis_elegans_strain_N2
