ENSANAP00000013554	ENSANAG00000024676	Aotus_nancymaae
MGP_SPRETEiJ_P0083908	MGP_SPRETEiJ_G0031050	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0080553	MGP_CAROLIEiJ_G0029946	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000001308	ENSMSIG00000001299	Mus_spicilegus
MGP_PahariEiJ_P0017402	MGP_PahariEiJ_G0013167	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000017362	ENSRNOG00000012683	Rattus_norvegicus
ENSMUGP00000023509	ENSMUGG00000019699	Meriones_unguiculatus
ENSCGRP00001012674	ENSCGRG00001014026	Cricetulus_griseus_CHOK1GS_HDv1
ENSMOCP00000005692	ENSMOCG00000005210	Microtus_ochrogaster
ENSMMMP00000020885	ENSMMMG00000018438	Marmota_marmota_marmota
ENSUPAP00010017368	ENSUPAG00010013838	Urocitellus_parryii
ENSCCAP00000007300	ENSCCAG00000021401	Cebus_capucinus_imitator
ENSCJAP00000056258	ENSCJAG00000007705	Callithrix_jacchus
ENSPANP00000032322	ENSPANG00000030575	Papio_anubis
ENSMNEP00000017986	ENSMNEG00000032949	Macaca_nemestrina
ENSTGEP00000003010	ENSTGEG00000002595	Theropithecus_gelada
ENSCATP00000003948	ENSCATG00000014628	Cercocebus_atys
ENSCSAP00000011186	ENSCSAG00000015085	Chlorocebus_sabaeus
ENSRROP00000038663	ENSRROG00000042704	Rhinopithecus_roxellana
ENSBIXP00000007734	ENSBIXG00000013646	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005010444	ENSBIXG00005015074	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSSCP00000028282	ENSSSCG00000001782	Sus_scrofa_strain_reference
ENSCAFP00020019842	ENSCAFG00020015759	Canis_lupus_dingo
ENSETEP00000011110	ENSETEG00000013697	Echinops_telfairi
ENSDNOP00000018672	ENSDNOG00000042182	Dasypus_novemcinctus
ENSNSUP00000027051	ENSNSUG00000019383	Notechis_scutatus
ENSCLAP00000012030	ENSCLAG00000008301	Chinchilla_lanigera
ENSODEP00000021630	ENSODEG00000015913	Octodon_degus
ENSCPOP00000029726	ENSCPOG00000022314	Cavia_porcellus
ENSHGLP00000009762	ENSHGLG00000007004	Heterocephalus_glaber_HetGla_female_1.0
ENSJJAP00000000280	ENSJJAG00000000266	Jaculus_jaculus
ENSSBOP00000025409	ENSSBOG00000029179	Saimiri_boliviensis_boliviensis
ENSOARP00000016616	ENSOARG00000015492	Ovis_aries
ENSLAFP00000027696	ENSLAFG00000030635	Loxodonta_africana
ENSSHAP00000013830	ENSSHAG00000011827	Sarcophilus_harrisii
ENSCPRP00005024092	ENSCPRG00005016729	Crocodylus_porosus
ENSSDAP00000019323	ENSSDAG00000017608	Spermophilus_dauricus
ENSCGRP00000001176	ENSCGRG00000000915	Cricetulus_griseus_CriGri_1.0
ENSCAPP00000017414	ENSCAPG00000017084	Cavia_aperea
ENSFDAP00000007522	ENSFDAG00000016018	Fukomys_damarensis
ENSNLEP00000048348	ENSNLEG00000028272	Nomascus_leucogenys
ENSCABP00000003121	ENSCABG00000002382	Chelonoidis_abingdonii
ENSGAGP00000016899	ENSGAGG00000012618	Gopherus_agassizii
ENSCPBP00000009962	ENSCPBG00000007666	Chrysemys_picta_bellii
ENSPSIP00000011452	ENSPSIG00000010343	Pelodiscus_sinensis
ENSABRP00000026340	ENSABRG00000022010	Anser_brachyrhynchus
ENSAPLP00000010620	ENSAPLG00000010893	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000008356	ENSMGAG00000008179	Meleagris_gallopavo
ENSGALP00000010347	ENSGALG00000006420	Gallus_gallus
ENSCJPP00005026027	ENSCJPG00005020316	Coturnix_japonica
ENSNMEP00000027523	ENSNMEG00000023027	Numida_meleagris
ENSPMJP00000001040	ENSPMJG00000000860	Parus_major
ENSCCEP00000011912	ENSCCEG00000011553	Cyanistes_caeruleus
ENSFALP00000006057	ENSFALG00000005810	Ficedula_albicollis
ENSLSDP00000024582	ENSLSDG00000017243	Lonchura_striata_domestica
ENSTGUP00000008251	ENSTGUG00000008006	Taeniopygia_guttata
ENSZALP00000001146	ENSZALG00000001401	Zonotrichia_albicollis
ENSSCAP00000007224	ENSSCAG00000005580	Serinus_canaria
ENSLCOP00000021151	ENSLCOG00000014971	Lepidothrix_coronata
ENSMVIP00005019706	ENSMVIG00005013941	Manacus_vitellinus
ENSCPGP00000017179	ENSCPGG00000012066	Calidris_pygmaea
ENSCPUP00000027807	ENSCPUG00000018716	Calidris_pugnax
ENSMUNP00000003680	ENSMUNG00000003116	Melopsittacus_undulatus
ENSAHAP00000024141	ENSAHAG00000016863	Apteryx_haastii
ENSAOWP00000005153	ENSAOWG00000003553	Apteryx_owenii
ENSARWP00000019142	ENSARWG00000013128	Apteryx_rowi
ENSDNVP00000007616	ENSDNVG00000005410	Dromaius_novaehollandiae
ENSNPEP00000003493	ENSNPEG00000002678	Nothoprocta_perdicaria
ENSACAP00000011460	ENSACAG00000011706	Anolis_carolinensis
ENSPVIP00000033430	ENSPVIG00000024429	Pogona_vitticeps
ENSSMRP00000010535	ENSSMRG00000008342	Salvator_merianae
ENSSPUP00000016205	ENSSPUG00000012545	Sphenodon_punctatus
ENSPVAP00000010062	ENSPVAG00000010678	Pteropus_vampyrus
ENSPSMP00000004009	ENSPSMG00000003219	Prolemur_simus
ENSPNAP00000019738	ENSPNAG00000026420	Pygocentrus_nattereri
ENSJJAP00000005138	ENSJJAG00000010100	Jaculus_jaculus
ENSOCUP00000009588	ENSOCUG00000011140	Oryctolagus_cuniculus
ENSMMUP00000078952	ENSMMUG00000049824	Macaca_mulatta
ENSXETP00000049402	ENSXETG00000019869	Xenopus_tropicalis
ENSLACP00000012492	ENSLACG00000011007	Latimeria_chalumnae
ENSAMXP00000039492	ENSAMXG00000036243	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSDARP00000075766	ENSDARG00000058452	Danio_rerio
ENSEEEP00000029412	ENSEEEG00000014086	Electrophorus_electricus
ENSIPUP00000034572	ENSIPUG00000023223	Ictalurus_punctatus
ENSAMXP00000034559	ENSAMXG00000037465	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005031102	ENSAMXG00005015280	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000006321	ENSPNAG00000012333	Pygocentrus_nattereri
ENSDARP00000154058	ENSDARG00000114931	Danio_rerio
ENSDCDP00000054148	ENSDCDG00000032325	Denticeps_clupeoides	ENSDCDT00000066036
ENSCHAP00000021938	ENSCHAG00000011005	Clupea_harengus	ENSCHAT00000023968
ENSPNYP00000003934	ENSPNYG00000003056	Pundamilia_nyererei
ENSHBUP00000013882	ENSHBUG00000015694	Haplochromis_burtoni
ENSPMGP00000016209	ENSPMGG00000013307	Periophthalmus_magnuspinnatus
ENSSDUP00000016937	ENSSDUG00000012357	Seriola_dumerili
ENSSLDP00000013870	ENSSLDG00000011061	Seriola_lalandi_dorsalis
ENSLCAP00010019900	ENSLCAG00010009392	Lates_calcarifer
ENSMALP00000023549	ENSMALG00000016430	Monopterus_albus
ENSNBRP00000002110	ENSNBRG00000001710	Neolamprologus_brichardi
ENSONIP00000002474	ENSONIG00000001976	Oreochromis_niloticus
ENSMZEP00005022967	ENSMZEG00005017197	Maylandia_zebra
ENSACLP00000000222	ENSACLG00000000169	Astatotilapia_calliptera
ENSACIP00000002181	ENSACIG00000001739	Amphilophus_citrinellus
ENSPRNP00000005864	ENSPRNG00000003525	Parambassis_ranga
ENSAOCP00000010442	ENSAOCG00000014745	Amphiprion_ocellaris
ENSAPEP00000000372	ENSAPEG00000000272	Amphiprion_percula
ENSAPOP00000033844	ENSAPOG00000022658	Acanthochromis_polyacanthus
ENSSPAP00000016801	ENSSPAG00000012685	Stegastes_partitus
ENSBSLP00000027810	ENSBSLG00000013888	Betta_splendens
ENSGWIP00000021700	ENSGWIG00000011687	Gouania_willdenowi
ENSCSEP00000010617	ENSCSEG00000006810	Cynoglossus_semilaevis
ENSCGOP00000034317	ENSCGOG00000015924	Cottoperca_gobio
ENSLCRP00005050078	ENSLCRG00005018887	Larimichthys_crocea
ENSMAMP00000016380	ENSMAMG00000011095	Mastacembelus_armatus
ENSLBEP00000023033	ENSLBEG00000017667	Labrus_bergylta
ENSHCOP00000027272	ENSHCOG00000018950	Hippocampus_comes
ENSHCOP00000014563	ENSHCOG00000017983	Hippocampus_comes
ENSGACP00000018409	ENSGACG00000013938	Gasterosteus_aculeatus
ENSKMAP00000027494	ENSKMAG00000020394	Kryptolebias_marmoratus
ENSATEP00000017277	ENSATEG00000012032	Anabas_testudineus
ENSSMAP00000025816	ENSSMAG00000015812	Scophthalmus_maximus
ENSGMOP00000015618	ENSGMOG00000014602	Gadus_morhua
ENSHHUP00000057907	ENSHHUG00000034482	Hucho_hucho	ENSHHUT00000059896
ENSHHUP00000012717	ENSHHUG00000007794	Hucho_hucho	ENSHHUT00000013129
ENSELUP00000043139	ENSELUG00000024626	Esox_lucius
ENSSFOP00015025371	ENSSFOG00015016326	Scleropages_formosus
ENSHHUP00000033473	ENSHHUG00000021148	Hucho_hucho	ENSHHUT00000034822
ENSPKIP00000016814	ENSPKIG00000002983	Paramormyrops_kingsleyae
ENSLOCP00000015751	ENSLOCG00000012801	Lepisosteus_oculatus
ENSECRP00000029118	ENSECRG00000019733	Erpetoichthys_calabaricus
ENSMMOP00000020212	ENSMMOG00000015364	Mola_mola
ENSCMIP00000007674	ENSCMIG00000004185	Callorhinchus_milii
ENSPMAP00000006675	ENSPMAG00000006055	Petromyzon_marinus
