ENSLCAP00010011100	ENSLCAG00010005264	Lates_calcarifer
ENSMLUP00000020979	ENSMLUG00000003910	Myotis_lucifugus
ENSPSMP00000029990	ENSPSMG00000020788	Prolemur_simus
ENSPNAP00000010848	ENSPNAG00000007037	Pygocentrus_nattereri
ENSCGRP00000013145	ENSCGRG00000009563	Cricetulus_griseus_CriGri_1.0
ENSVURP00010024005	ENSVURG00010018385	Vombatus_ursinus
ENSBBBP00000004066	ENSBBBG00000007402	Bison_bison_bison
ENSCHAP00000011931	ENSCHAG00000006691	Clupea_harengus
ENSSFOP00015015297	ENSSFOG00015009849	Scleropages_formosus
ENSMMMP00000020438	ENSMMMG00000018043	Marmota_marmota_marmota
ENSCHOP00000012066	ENSCHOG00000013640	Choloepus_hoffmanni
ENSAOWP00000028836	ENSAOWG00000019429	Apteryx_owenii
ENSSDUP00000013735	ENSSDUG00000009983	Seriola_dumerili
ENSUPAP00010019675	ENSUPAG00010015512	Urocitellus_parryii
ENSVVUP00000039654	ENSVVUG00000028256	Vulpes_vulpes
ENSCGRP00001001211	ENSCGRG00001000933	Cricetulus_griseus_CHOK1GS_HDv1
ENSFDAP00000021477	ENSFDAG00000007679	Fukomys_damarensis
ENSSFOP00015015821	ENSSFOG00015010211	Scleropages_formosus	ENSSFOT00015016005
ENSANAP00000016781	ENSANAG00000026266	Aotus_nancymaae
ENSSARP00000012138	ENSSARG00000013450	Sorex_araneus
ENSPEMP00000033672	ENSPEMG00000024309	Peromyscus_maniculatus_bairdii
ENSPEMP00000031327	ENSPEMG00000027030	Peromyscus_maniculatus_bairdii
ENSTBEP00000010775	ENSTBEG00000012442	Tupaia_belangeri
ENSCAPP00000004845	ENSCAPG00000007303	Cavia_aperea
ENSMSIP00000001202	ENSMSIG00000001140	Mus_spicilegus
ENSORLP00000013695	ENSORLG00000010919	Oryzias_latipes_ASM223467v1
ENSMUGP00000007244	ENSMUGG00000006633	Meriones_unguiculatus
ENSANAP00000025628	ENSANAG00000030527	Aotus_nancymaae
ENSMODP00000053196	ENSMODG00000017384	Monodelphis_domestica
ENSMPUP00000008249	ENSMPUG00000008311	Mustela_putorius_furo
ENSDCDP00000011498	ENSDCDG00000005838	Denticeps_clupeoides
ENSHCOP00000020793	ENSHCOG00000000226	Hippocampus_comes
ENSMMUP00000038981	ENSMMUG00000008146	Macaca_mulatta
ENSFALP00000012570	ENSFALG00000012035	Ficedula_albicollis
ENSMODP00000042863	ENSMODG00000036377	Monodelphis_domestica
ENSCGRP00001007881	ENSCGRG00001010256	Cricetulus_griseus_CHOK1GS_HDv1
ENSCPBP00000036608	ENSCPBG00000025413	Chrysemys_picta_bellii
ENSSMAP00000034049	ENSSMAG00000020822	Scophthalmus_maximus
ENSPVAP00000010438	ENSPVAG00000011074	Pteropus_vampyrus
ENSPCIP00000050420	ENSPCIG00000029365	Phascolarctos_cinereus
ENSCGRP00015003634	ENSCGRG00015002895	Cricetulus_griseus_CriGri-PICR
ENSPNAP00000022046	ENSPNAG00000029301	Pygocentrus_nattereri
ENSGAFP00000005708	ENSGAFG00000003878	Gambusia_affinis
ENSDARP00000074293	ENSDARG00000057234	Danio_rerio
ENSPREP00000029830	ENSPREG00000020195	Poecilia_reticulata
ENSCPOP00000024534	ENSCPOG00000005829	Cavia_porcellus
ENSHHUP00000082275	ENSHHUG00000047810	Hucho_hucho
ENSCJAP00000064062	ENSCJAG00000046898	Callithrix_jacchus
ENSCPRP00005019485	ENSCPRG00005013595	Crocodylus_porosus
ENSPCOP00000021019	ENSPCOG00000022493	Propithecus_coquereli
ENSSTOP00000000594	ENSSTOG00000000660	Ictidomys_tridecemlineatus
ENSARWP00000011126	ENSARWG00000007740	Apteryx_rowi
ENSCSAVP00000015445	ENSCSAVG00000009065	Ciona_savignyi
MGP_CAROLIEiJ_P0058860	MGP_CAROLIEiJ_G0025239	Mus_caroli_strain_CAROLI_EIJ
ENSLACP00000009538	ENSLACG00000008410	Latimeria_chalumnae
ENSETEP00000001768	ENSETEG00000002178	Echinops_telfairi
ENSCGRP00001004104	ENSCGRG00001005128	Cricetulus_griseus_CHOK1GS_HDv1
ENSPPRP00000003396	ENSPPRG00000022794	Panthera_pardus
ENSPPYP00000000937	ENSPPYG00000000802	Pongo_abelii
ENSFHEP00000018830	ENSFHEG00000020720	Fundulus_heteroclitus
ENSSBOP00000024720	ENSSBOG00000028838	Saimiri_boliviensis_boliviensis
ENSRROP00000000715	ENSRROG00000002435	Rhinopithecus_roxellana
ENSCJAP00000019168	ENSCJAG00000010383	Callithrix_jacchus
ENSMOCP00000017528	ENSMOCG00000016097	Microtus_ochrogaster
ENSPTIP00000021743	ENSPTIG00000018801	Panthera_tigris_altaica
ENSFCAP00000002519	ENSFCAG00000034406	Felis_catus
ENSECAP00000037755	ENSECAG00000037545	Equus_caballus
ENSACLP00000024845	ENSACLG00000016919	Astatotilapia_calliptera
ENSHGLP00000014507	ENSHGLG00000010389	Heterocephalus_glaber_HetGla_female_1.0
ENSMNEP00000019496	ENSMNEG00000033601	Macaca_nemestrina
ENSMLUP00000014663	ENSMLUG00000016098	Myotis_lucifugus
ENSELUP00000027840	ENSELUG00000004210	Esox_lucius
ENSPPAP00000005731	ENSPPAG00000023376	Pan_paniscus
ENSCVAP00000030089	ENSCVAG00000018401	Cyprinodon_variegatus
ENSATEP00000019631	ENSATEG00000013680	Anabas_testudineus
ENSCGRP00000006885	ENSCGRG00000005017	Cricetulus_griseus_CriGri_1.0
ENSPLAP00000000384	ENSPLAG00000001205	Poecilia_latipinna
ENSUAMP00000003936	ENSUAMG00000003634	Ursus_americanus
MGP_PahariEiJ_P0069816	MGP_PahariEiJ_G0026683	Mus_pahari_strain_PAHARI_EIJ
ENSJJAP00000009158	ENSJJAG00000013126	Jaculus_jaculus
ENSHBUP00000025574	ENSHBUG00000007653	Haplochromis_burtoni
ENSTNIP00000007674	ENSTNIG00000005008	Tetraodon_nigroviridis
ENSTGEP00000023570	ENSTGEG00000019066	Theropithecus_gelada
ENSCCEP00000007386	ENSCCEG00000007792	Cyanistes_caeruleus
ENSDARP00000119098	ENSDARG00000070430	Danio_rerio
ENSPMEP00000001342	ENSPMEG00000002231	Poecilia_mexicana
ENSKMAP00000001158	ENSKMAG00000000906	Kryptolebias_marmoratus
ENSONIP00000013028	ENSONIG00000010364	Oreochromis_niloticus
ENSPPRP00000001108	ENSPPRG00000024369	Panthera_pardus
ENSGGOP00000047819	ENSGGOG00000016450	Gorilla_gorilla
ENSODEP00000003735	ENSODEG00000002861	Octodon_degus
ENSBMUP00000036073	ENSBMUG00000026795	Bos_mutus
ENSMLUP00000007286	ENSMLUG00000007996	Myotis_lucifugus
ENSAMEP00000012830	ENSAMEG00000012186	Ailuropoda_melanoleuca
ENSLAFP00000002221	ENSLAFG00000002658	Loxodonta_africana
ENSDNOP00000030529	ENSDNOG00000046338	Dasypus_novemcinctus
ENSNGAP00000022725	ENSNGAG00000021511	Nannospalax_galili
ENSJHYP00000009006	ENSJHYG00000007143	Junco_hyemalis
ENSZALP00000005463	ENSZALG00000005082	Zonotrichia_albicollis
ENSLBEP00000028253	ENSLBEG00000021424	Labrus_bergylta
ENSCGRP00001004199	ENSCGRG00001005278	Cricetulus_griseus_CHOK1GS_HDv1
ENSCANP00000037086	ENSCANG00000042200	Colobus_angolensis_palliatus
ENSOCUP00000022587	ENSOCUG00000026875	Oryctolagus_cuniculus
ENSCMIP00000010326	ENSCMIG00000005446	Callorhinchus_milii
ENSODEP00000015959	ENSODEG00000011754	Octodon_degus
ENSFCAP00000050107	ENSFCAG00000002740	Felis_catus
ENSCGRP00015016184	ENSCGRG00015012448	Cricetulus_griseus_CriGri-PICR
ENSCHOP00000011967	ENSCHOG00000013518	Choloepus_hoffmanni
ENSAMXP00005040530	ENSAMXG00005019023	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSDNVP00000012245	ENSDNVG00000008639	Dromaius_novaehollandiae
ENSPNYP00000025649	ENSPNYG00000019370	Pundamilia_nyererei
ENSAPOP00000028560	ENSAPOG00000013850	Acanthochromis_polyacanthus
ENSODEP00000002854	ENSODEG00000002191	Octodon_degus
ENSMICP00000012508	ENSMICG00000013715	Microcebus_murinus
ENSACAP00000011260	ENSACAG00000011482	Anolis_carolinensis
ENSAMXP00000029700	ENSAMXG00000029551	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000030759
ENSCPUP00000027084	ENSCPUG00000018241	Calidris_pugnax
ENSCAFP00000025837	ENSCAFG00000017537	Canis_lupus_familiaris
ENSMALP00000027920	ENSMALG00000019360	Monopterus_albus
ENSUMAP00000028477	ENSUMAG00000020689	Ursus_maritimus
ENSCPRP00005020164	ENSCPRG00005014052	Crocodylus_porosus
ENSOGAP00000009552	ENSOGAG00000010674	Otolemur_garnettii
ENSMAMP00000030390	ENSMAMG00000020484	Mastacembelus_armatus
ENSCATP00000021388	ENSCATG00000034384	Cercocebus_atys
ENSECAP00000018397	ENSECAG00000020889	Equus_caballus
ENSIPUP00000027270	ENSIPUG00000018468	Ictalurus_punctatus
ENSSSCP00000047977	ENSSSCG00000022107	Sus_scrofa_strain_reference
ENSNPEP00000000122	ENSNPEG00000000128	Nothoprocta_perdicaria
ENSRNOP00000069429	ENSRNOG00000058457	Rattus_norvegicus
ENSMSIP00000036870	ENSMSIG00000030695	Mus_spicilegus
ENSLCOP00000008764	ENSLCOG00000006407	Lepidothrix_coronata
ENSCGRP00001002745	ENSCGRG00001003119	Cricetulus_griseus_CHOK1GS_HDv1
ENSODEP00000003295	ENSODEG00000002534	Octodon_degus
ENSPEMP00000009506	ENSPEMG00000010788	Peromyscus_maniculatus_bairdii
ENSOARP00000000755	ENSOARG00000000735	Ovis_aries
ENSCABP00000003841	ENSCABG00000002900	Chelonoidis_abingdonii
ENSMFAP00000028273	ENSMFAG00000045452	Macaca_fascicularis
ENSCJPP00005017258	ENSCJPG00005014121	Coturnix_japonica
ENSTRUP00000056678	ENSTRUG00000003863	Takifugu_rubripes
ENSAOCP00000028721	ENSAOCG00000018537	Amphiprion_ocellaris
ENSCGRP00001003180	ENSCGRG00001003778	Cricetulus_griseus_CHOK1GS_HDv1
ENSNLEP00000012688	ENSNLEG00000010423	Nomascus_leucogenys
ENSNBRP00000023863	ENSNBRG00000018264	Neolamprologus_brichardi
ENSNMEP00000005969	ENSNMEG00000006143	Numida_meleagris
ENSP00000357679	ENSG00000160679	Homo_sapiens
ENSGWIP00000004362	ENSGWIG00000002341	Gouania_willdenowi
ENSCGRP00001001329	ENSCGRG00001001050	Cricetulus_griseus_CHOK1GS_HDv1
ENSCPGP00000008718	ENSCPGG00000006188	Calidris_pygmaea
ENSHHUP00000080607	ENSHHUG00000046924	Hucho_hucho
ENSAHAP00000005020	ENSAHAG00000003906	Apteryx_haastii
ENSPFOP00000000106	ENSPFOG00000000117	Poecilia_formosa
ENSMVIP00005018028	ENSMVIG00005012822	Manacus_vitellinus
ENSVPAP00000009543	ENSVPAG00000010259	Vicugna_pacos
ENSABRP00000025282	ENSABRG00000021199	Anser_brachyrhynchus
ENSVURP00010022360	ENSVURG00010017105	Vombatus_ursinus
ENSCGRP00015004181	ENSCGRG00015003295	Cricetulus_griseus_CriGri-PICR
ENSAPLP00000009643	ENSAPLG00000009925	Anas_platyrhynchos_platyrhynchos
ENSMSIP00000014154	ENSMSIG00000012206	Mus_spicilegus
ENSCGOP00000036076	ENSCGOG00000016682	Cottoperca_gobio
ENSPKIP00000035216	ENSPKIG00000014254	Paramormyrops_kingsleyae	ENSPKIT00000016144
ENSHGLP00100015421	ENSHGLG00100011397	Heterocephalus_glaber_HetGla_1.0
ENSDNOP00000025929	ENSDNOG00000037702	Dasypus_novemcinctus
ENSCCAP00000022311	ENSCCAG00000028905	Cebus_capucinus_imitator
ENSEASP00005001044	ENSEASG00005000890	Equus_asinus_asinus
ENSSPAP00000005322	ENSSPAG00000004128	Stegastes_partitus
ENSIPUP00000006279	ENSIPUG00000004356	Ictalurus_punctatus
ENSOMEP00000026672	ENSOMEG00000008602	Oryzias_melastigma
ENSCGRP00000008104	ENSCGRG00000005910	Cricetulus_griseus_CriGri_1.0
ENSACIP00000017195	ENSACIG00000013409	Amphilophus_citrinellus
ENSPMAP00000010364	ENSPMAG00000009425	Petromyzon_marinus
ENSBIXP00000041871	ENSBIXG00000026052	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPTRP00000069534	ENSPTRG00000001356	Pan_troglodytes
ENSPCOP00000011618	ENSPCOG00000017333	Propithecus_coquereli
ENSCHIP00000029386	ENSCHIG00000024530	Capra_hircus
ENSMAUP00000020481	ENSMAUG00000018496	Mesocricetus_auratus
ENSMAUP00000025347	ENSMAUG00000021914	Mesocricetus_auratus
ENSSMRP00000000711	ENSSMRG00000000646	Salvator_merianae
ENSPRNP00000009842	ENSPRNG00000005712	Parambassis_ranga
ENSFDAP00000003852	ENSFDAG00000013201	Fukomys_damarensis
ENSPEMP00000035213	ENSPEMG00000029028	Peromyscus_maniculatus_bairdii
ENSCGRP00000002681	ENSCGRG00000001959	Cricetulus_griseus_CriGri_1.0
ENSCAFP00020012827	ENSCAFG00020010322	Canis_lupus_dingo
ENSLCRP00005037289	ENSLCRG00005014521	Larimichthys_crocea
ENSECRP00000012569	ENSECRG00000008373	Erpetoichthys_calabaricus
ENSCJAP00000061357	ENSCJAG00000040530	Callithrix_jacchus
ENSPCAP00000015256	ENSPCAG00000016342	Procavia_capensis
ENSOCUP00000002390	ENSOCUG00000002756	Oryctolagus_cuniculus
ENSNSUP00000004657	ENSNSUG00000003723	Notechis_scutatus
ENSTGUP00000017702	ENSTGUG00000017423	Taeniopygia_guttata
ENSMOCP00000025315	ENSMOCG00000021472	Microtus_ochrogaster
ENSDORP00000008386	ENSDORG00000008934	Dipodomys_ordii
ENSCGRP00001009552	ENSCGRG00001011648	Cricetulus_griseus_CHOK1GS_HDv1
ENSTSYP00000026387	ENSTSYG00000027152	Carlito_syrichta
ENSRNOP00000010455	ENSRNOG00000012760	Rattus_norvegicus
ENSTSYP00000005988	ENSTSYG00000006591	Carlito_syrichta
ENSANAP00000000676	ENSANAG00000004035	Aotus_nancymaae
ENSXCOP00000002942	ENSXCOG00000002341	Xiphophorus_couchianus
ENSAMXP00000033580	ENSAMXG00000031344	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSVURP00010005108	ENSVURG00010004019	Vombatus_ursinus
ENSCGRP00015009289	ENSCGRG00015007134	Cricetulus_griseus_CriGri-PICR
ENSLBEP00000032504	ENSLBEG00000024497	Labrus_bergylta
ENSTTRP00000000751	ENSTTRG00000000798	Tursiops_truncatus
ENSLSDP00000016150	ENSLSDG00000011638	Lonchura_striata_domestica
ENSCSEP00000024066	ENSCSEG00000015345	Cynoglossus_semilaevis
ENSMGAP00000015816	ENSMGAG00000014923	Meleagris_gallopavo
ENSCLAP00000004149	ENSCLAG00000002957	Chinchilla_lanigera
ENSXETP00000009800	ENSXETG00000011341	Xenopus_tropicalis
ENSSLDP00000015856	ENSSLDG00000012585	Seriola_lalandi_dorsalis
ENSPMGP00000000427	ENSPMGG00000000424	Periophthalmus_magnuspinnatus
ENSMODP00000054399	ENSMODG00000049437	Monodelphis_domestica
ENSSDAP00000002547	ENSSDAG00000002402	Spermophilus_dauricus
ENSSCAP00000008945	ENSSCAG00000006816	Serinus_canaria
ENSANAP00000009702	ENSANAG00000022828	Aotus_nancymaae
ENSBIXP00005001968	ENSBIXG00005008426	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
MGP_SPRETEiJ_P0061215	MGP_SPRETEiJ_G0026182	Mus_spretus_strain_SPRET/EiJ
ENSORLP00020017816	ENSORLG00020018813	Oryzias_latipes_ASM223471v1
ENSMEUP00000009362	ENSMEUG00000010269	Notamacropus_eugenii
ENSRBIP00000026146	ENSRBIG00000036950	Rhinopithecus_bieti
ENSGMOP00000011661	ENSGMOG00000010914	Gadus_morhua
ENSCSAP00000016169	ENSCSAG00000001862	Chlorocebus_sabaeus
ENSNVIP00000019273	ENSNVIG00000015071	Neovison_vison
ENSSPUP00000005056	ENSSPUG00000003875	Sphenodon_punctatus
ENSEEEP00000001484	ENSEEEG00000000957	Electrophorus_electricus
ENSPEMP00000036701	ENSPEMG00000027398	Peromyscus_maniculatus_bairdii
ENSPTEP00000039050	ENSPTEG00000036207	Piliocolobus_tephrosceles
ENSCHAP00000029589	ENSCHAG00000014236	Clupea_harengus
