ENSCSEP00000033569	ENSCSEG00000021543	Cynoglossus_semilaevis
ENSDORP00000024500	ENSDORG00000025356	Dipodomys_ordii
ENSPCAP00000013180	ENSPCAG00000014149	Procavia_capensis
ENSMNEP00000031658	ENSMNEG00000039224	Macaca_nemestrina
ENSCCNP00000030913	ENSCCNG00000029515	Castor_canadensis
ENSCABP00000020700	ENSCABG00000015269	Chelonoidis_abingdonii	ENSCABT00000022689
ENSSPAP00000012223	ENSSPAG00000009280	Stegastes_partitus
ENSEBUP00000003630	ENSEBUG00000002607	Eptatretus_burgeri
ENSPVIP00000010450	ENSPVIG00000008284	Pogona_vitticeps	ENSPVIT00000013293
ENSSTOP00000016462	ENSSTOG00000027557	Ictidomys_tridecemlineatus
ENSCHAP00000010568	ENSCHAG00000006066	Clupea_harengus
ENSPMGP00000002494	ENSPMGG00000002174	Periophthalmus_magnuspinnatus
ENSOARP00000018247	ENSOARG00000016998	Ovis_aries
ENSTTRP00000000162	ENSTTRG00000000174	Tursiops_truncatus
ENSPPAP00000027987	ENSPPAG00000037058	Pan_paniscus
ENSORLP00015006518	ENSORLG00015007368	Oryzias_latipes_ASM223469v1
ENSNBRP00000025609	ENSNBRG00000019574	Neolamprologus_brichardi
ENSPTIP00000012395	ENSPTIG00000012479	Panthera_tigris_altaica
ENSBTAP00000020212	ENSBTAG00000015194	Bos_taurus
ENSGAGP00000001651	ENSGAGG00000001314	Gopherus_agassizii	ENSGAGT00000001876
ENSCCAP00000011747	ENSCCAG00000023628	Cebus_capucinus_imitator
ENSGALP00000047118	ENSGALG00000042664	Gallus_gallus	ENSGALT00000066199
ENSAMEP00000006809	ENSAMEG00000006468	Ailuropoda_melanoleuca
ENSLSDP00000011671	ENSLSDG00000008579	Lonchura_striata_domestica
ENSIPUP00000030089	ENSIPUG00000020331	Ictalurus_punctatus
ENSMUSP00000034076	ENSMUSG00000031654	Mus_musculus_strain_reference_(CL57BL6)
ENSLACP00000009470	ENSLACG00000008352	Latimeria_chalumnae
ENSBBBP00000009326	ENSBBBG00000017429	Bison_bison_bison
ENSAPEP00000031852	ENSAPEG00000022622	Amphiprion_percula
ENSSDUP00000029668	ENSSDUG00000021395	Seriola_dumerili
ENSDARP00000116647	ENSDARG00000057296	Danio_rerio
ENSPPRP00000025677	ENSPPRG00000016053	Panthera_pardus
ENSTGEP00000024418	ENSTGEG00000019736	Theropithecus_gelada
ENSMAUP00000023726	ENSMAUG00000020791	Mesocricetus_auratus
ENSNMEP00000021476	ENSNMEG00000018362	Numida_meleagris	ENSNMET00000031280
ENSFHEP00000008803	ENSFHEG00000010284	Fundulus_heteroclitus
ENSCAFP00020000476	ENSCAFG00020000480	Canis_lupus_dingo
ENSXCOP00000009803	ENSXCOG00000007442	Xiphophorus_couchianus
ENSUMAP00000008789	ENSUMAG00000006680	Ursus_maritimus
ENSAPOP00000016320	ENSAPOG00000019443	Acanthochromis_polyacanthus
ENSRNOP00000000011	ENSRNOG00000000010	Rattus_norvegicus
ENSLCAP00010023851	ENSLCAG00010011200	Lates_calcarifer
ENSP00000219197	ENSG00000102924	Homo_sapiens
ENSVPAP00000009485	ENSVPAG00000010193	Vicugna_pacos
ENSJJAP00000021130	ENSJJAG00000021584	Jaculus_jaculus
ENSAOCP00000024262	ENSAOCG00000010945	Amphiprion_ocellaris
ENSHCOP00000013148	ENSHCOG00000016272	Hippocampus_comes
ENSCHIP00000016389	ENSCHIG00000016657	Capra_hircus
ENSBMUP00000033053	ENSBMUG00000024693	Bos_mutus
MGP_PahariEiJ_P0053701	MGP_PahariEiJ_G0022951	Mus_pahari_strain_PAHARI_EIJ
ENSSHAP00000021156	ENSSHAG00000017935	Sarcophilus_harrisii
ENSPEMP00000029738	ENSPEMG00000029511	Peromyscus_maniculatus_bairdii
ENSANAP00000019219	ENSANAG00000027421	Aotus_nancymaae
ENSCAFP00000062686	ENSCAFG00000010008	Canis_lupus_familiaris
ENSVURP00010017970	ENSVURG00010013727	Vombatus_ursinus
ENSUPAP00010006528	ENSUPAG00010005237	Urocitellus_parryii
ENSAMXP00005034085	ENSAMXG00005016454	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSABRP00000002230	ENSABRG00000002207	Anser_brachyrhynchus	ENSABRT00000003281
ENSLBEP00000005900	ENSLBEG00000004530	Labrus_bergylta
ENSRROP00000039629	ENSRROG00000043123	Rhinopithecus_roxellana
ENSAMXP00000038398	ENSAMXG00000041854	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMALP00000011696	ENSMALG00000008326	Monopterus_albus
ENSHGLP00000012058	ENSHGLG00000008634	Heterocephalus_glaber_HetGla_female_1.0
ENSDNOP00000024143	ENSDNOG00000045061	Dasypus_novemcinctus
ENSOCUP00000045776	ENSOCUG00000000990	Oryctolagus_cuniculus
ENSONIP00000009293	ENSONIG00000007366	Oreochromis_niloticus
ENSSLDP00000006321	ENSSLDG00000005051	Seriola_lalandi_dorsalis
ENSECAP00000000026	ENSECAG00000000034	Equus_caballus
ENSLOCP00000009113	ENSLOCG00000007512	Lepisosteus_oculatus
ENSBSLP00000002178	ENSBSLG00000001235	Betta_splendens
ENSCMIP00000040537	ENSCMIG00000016899	Callorhinchus_milii
ENSUAMP00000030757	ENSUAMG00000023625	Ursus_americanus
ENSCJPP00005017628	ENSCJPG00005014363	Coturnix_japonica	ENSCJPT00005024555
ENSEEEP00000030562	ENSEEEG00000014639	Electrophorus_electricus
ENSPCOP00000010108	ENSPCOG00000016497	Propithecus_coquereli
ENSCPRP00005005384	ENSCPRG00005003876	Crocodylus_porosus
ENSMLEP00000000827	ENSMLEG00000002999	Mandrillus_leucophaeus
ENSATEP00000019373	ENSATEG00000013261	Anabas_testudineus
ENSPPYP00000008280	ENSPPYG00000007331	Pongo_abelii
ENSACLP00000021764	ENSACLG00000014806	Astatotilapia_calliptera
ENSPKIP00000016725	ENSPKIG00000002929	Paramormyrops_kingsleyae
ENSBIXP00005008620	ENSBIXG00005001667	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSORLP00020016092	ENSORLG00020017116	Oryzias_latipes_ASM223471v1
ENSLACP00000017688	ENSLACG00000015579	Latimeria_chalumnae
ENSSMRP00000006335	ENSSMRG00000005135	Salvator_merianae	ENSSMRT00000007429
ENSPREP00000027991	ENSPREG00000018926	Poecilia_reticulata
ENSMSIP00000017212	ENSMSIG00000014701	Mus_spicilegus
ENSPRNP00000049943	ENSPRNG00000023783	Parambassis_ranga
ENSODEP00000002468	ENSODEG00000001925	Octodon_degus
ENSMPUP00000003011	ENSMPUG00000003041	Mustela_putorius_furo
ENSCANP00000030827	ENSCANG00000039074	Colobus_angolensis_palliatus
ENSOMEP00000013259	ENSOMEG00000014702	Oryzias_melastigma
ENSOGAP00000016407	ENSOGAG00000026093	Otolemur_garnettii
ENSSMAP00000023319	ENSSMAG00000014226	Scophthalmus_maximus
ENSPVAP00000006339	ENSPVAG00000006714	Pteropus_vampyrus
ENSORLP00000017047	ENSORLG00000013593	Oryzias_latipes_ASM223467v1
ENSMMUP00000029244	ENSMMUG00000022217	Macaca_mulatta
ENSPMEP00000029383	ENSPMEG00000015022	Poecilia_mexicana
ENSSSCP00000054386	ENSSSCG00000040652	Sus_scrofa_strain_reference
ENSGGOP00000014831	ENSGGOG00000015205	Gorilla_gorilla
ENSNSUP00000014396	ENSNSUG00000010659	Notechis_scutatus	ENSNSUT00000015321
ENSCPOP00000021687	ENSCPOG00000035039	Cavia_porcellus
ENSDNVP00000024450	ENSDNVG00000016988	Dromaius_novaehollandiae
ENSPCIP00000047419	ENSPCIG00000031036	Phascolarctos_cinereus
ENSNVIP00000023918	ENSNVIG00000018559	Neovison_vison
ENSFDAP00000022213	ENSFDAG00000007145	Fukomys_damarensis
ENSMAMP00000024894	ENSMAMG00000016734	Mastacembelus_armatus
ENSVVUP00000024637	ENSVVUG00000018057	Vulpes_vulpes
ENSFCAP00000057653	ENSFCAG00000028536	Felis_catus
ENSACIP00000021030	ENSACIG00000016213	Amphilophus_citrinellus
ENSEBUP00000007601	ENSEBUG00000004966	Eptatretus_burgeri
ENSPANP00000012657	ENSPANG00000009450	Papio_anubis
ENSCPBP00000022394	ENSCPBG00000016000	Chrysemys_picta_bellii
ENSMFAP00000034378	ENSMFAG00000003677	Macaca_fascicularis
ENSMOCP00000004647	ENSMOCG00000003934	Microtus_ochrogaster
ENSECRP00000019589	ENSECRG00000013095	Erpetoichthys_calabaricus
ENSCPGP00000001021	ENSCPGG00000000813	Calidris_pygmaea
ENSGMOP00000013835	ENSGMOG00000012909	Gadus_morhua
ENSOANP00000000921	ENSOANG00000000583	Ornithorhynchus_anatinus
MGP_SPRETEiJ_P0088942	MGP_SPRETEiJ_G0032468	Mus_spretus_strain_SPRET/EiJ
ENSSARP00000005499	ENSSARG00000006077	Sorex_araneus
ENSCSAP00000001723	ENSCSAG00000005415	Chlorocebus_sabaeus
ENSLAFP00000024965	ENSLAFG00000026685	Loxodonta_africana
ENSPNYP00000030918	ENSPNYG00000023301	Pundamilia_nyererei
ENSRBIP00000019735	ENSRBIG00000033856	Rhinopithecus_bieti
ENSBIXP00000032127	ENSBIXG00000014600	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSETEP00000000119	ENSETEG00000000157	Echinops_telfairi
ENSACAP00000005981	ENSACAG00000006094	Anolis_carolinensis	ENSACAT00000006115
ENSMLUP00000020728	ENSMLUG00000026196	Myotis_lucifugus
MGP_CAROLIEiJ_P0085442	MGP_CAROLIEiJ_G0031350	Mus_caroli_strain_CAROLI_EIJ
ENSPNYP00000003863	ENSPNYG00000002992	Pundamilia_nyererei
ENSHBUP00000018926	ENSHBUG00000000648	Haplochromis_burtoni
ENSPNAP00000010033	ENSPNAG00000003394	Pygocentrus_nattereri
ENSGWIP00000049913	ENSGWIG00000024328	Gouania_willdenowi
ENSCJAP00000023188	ENSCJAG00000012660	Callithrix_jacchus
ENSSBOP00000024365	ENSSBOG00000028668	Saimiri_boliviensis_boliviensis
ENSSDAP00000016646	ENSSDAG00000015074	Spermophilus_dauricus
ENSFALP00000000103	ENSFALG00000000098	Ficedula_albicollis
ENSCGRP00001018616	ENSCGRG00001018308	Cricetulus_griseus_CHOK1GS_HDv1
