ENSSHAP00000019802	ENSSHAG00000016807	Sarcophilus_harrisii
ENSFCAP00000041003	ENSFCAG00000004825	Felis_catus
ENSEEUP00000008459	ENSEEUG00000009239	Erinaceus_europaeus
ENSMSIP00000031176	ENSMSIG00000026062	Mus_spicilegus
MGP_SPRETEiJ_P0036691	MGP_SPRETEiJ_G0019634	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000105179	ENSMUSG00000021549	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0035020	MGP_CAROLIEiJ_G0018751	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0026683	MGP_PahariEiJ_G0015830	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000047300	ENSRNOG00000029185	Rattus_norvegicus
ENSMUGP00000030903	ENSMUGG00000025706	Meriones_unguiculatus
ENSPEMP00000024428	ENSPEMG00000021170	Peromyscus_maniculatus_bairdii
ENSMOCP00000023517	ENSMOCG00000020205	Microtus_ochrogaster
ENSCGRP00015019144	ENSCGRG00015014690	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001027708	ENSCGRG00001024641	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000001474	ENSCGRG00000001129	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000010152	ENSMAUG00000011139	Mesocricetus_auratus
ENSNGAP00000000056	ENSNGAG00000000049	Nannospalax_galili
ENSJJAP00000008778	ENSJJAG00000012863	Jaculus_jaculus
ENSCCNP00000018238	ENSCCNG00000018518	Castor_canadensis
ENSDORP00000001339	ENSDORG00000001435	Dipodomys_ordii
ENSSTOP00000000589	ENSSTOG00000000649	Ictidomys_tridecemlineatus
ENSMMMP00000009232	ENSMMMG00000008245	Marmota_marmota_marmota
ENSUPAP00010000491	ENSUPAG00010000404	Urocitellus_parryii
ENSSDAP00000003927	ENSSDAG00000003666	Spermophilus_dauricus
ENSHGLP00100007775	ENSHGLG00100005801	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000007918	ENSHGLG00000005734	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000022695	ENSFDAG00000021028	Fukomys_damarensis
ENSCPOP00000007096	ENSCPOG00000007883	Cavia_porcellus
ENSCAPP00000016704	ENSCAPG00000016530	Cavia_aperea
ENSCLAP00000005798	ENSCLAG00000004110	Chinchilla_lanigera
ENSODEP00000007255	ENSODEG00000005418	Octodon_degus
ENSOCUP00000004013	ENSOCUG00000004646	Oryctolagus_cuniculus
ENSOPRP00000006638	ENSOPRG00000007226	Ochotona_princeps
ENSTBEP00000004893	ENSTBEG00000005653	Tupaia_belangeri
ENSPPAP00000016786	ENSPPAG00000031210	Pan_paniscus
ENSPTRP00000029205	ENSPTRG00000017062	Pan_troglodytes
ENSP00000274376	ENSG00000145715	Homo_sapiens
ENSGGOP00000040915	ENSGGOG00000001591	Gorilla_gorilla
ENSPPYP00000017460	ENSPPYG00000015618	Pongo_abelii
ENSNLEP00000016465	ENSNLEG00000013467	Nomascus_leucogenys
ENSPTEP00000001575	ENSPTEG00000001668	Piliocolobus_tephrosceles
ENSCANP00000015287	ENSCANG00000030680	Colobus_angolensis_palliatus
ENSRROP00000021743	ENSRROG00000034707	Rhinopithecus_roxellana
ENSRBIP00000026156	ENSRBIG00000036876	Rhinopithecus_bieti
ENSTGEP00000001475	ENSTGEG00000001351	Theropithecus_gelada
ENSPANP00000000908	ENSPANG00000017878	Papio_anubis
ENSMFAP00000037374	ENSMFAG00000037698	Macaca_fascicularis
ENSMNEP00000008267	ENSMNEG00000028470	Macaca_nemestrina
ENSMMUP00000004328	ENSMMUG00000003245	Macaca_mulatta
ENSMLEP00000020333	ENSMLEG00000034154	Mandrillus_leucophaeus
ENSCATP00000004848	ENSCATG00000014585	Cercocebus_atys
ENSCSAP00000010909	ENSCSAG00000014793	Chlorocebus_sabaeus
ENSCCAP00000020424	ENSCCAG00000027537	Cebus_capucinus_imitator
ENSSBOP00000015300	ENSSBOG00000024025	Saimiri_boliviensis_boliviensis
ENSCJAP00000020515	ENSCJAG00000010941	Callithrix_jacchus
ENSANAP00000024981	ENSANAG00000029874	Aotus_nancymaae
ENSTSYP00000015863	ENSTSYG00000011075	Carlito_syrichta
ENSPSMP00000035750	ENSPSMG00000024559	Prolemur_simus
ENSMICP00000029693	ENSMICG00000009491	Microcebus_murinus
ENSPCOP00000000693	ENSPCOG00000002214	Propithecus_coquereli
ENSOGAP00000000050	ENSOGAG00000000055	Otolemur_garnettii
ENSLAFP00000009260	ENSLAFG00000011060	Loxodonta_africana
ENSPCAP00000006992	ENSPCAG00000007390	Procavia_capensis
ENSETEP00000006107	ENSETEG00000007511	Echinops_telfairi
ENSCHOP00000002544	ENSCHOG00000002862	Choloepus_hoffmanni
ENSDNOP00000019426	ENSDNOG00000036632	Dasypus_novemcinctus
ENSSARP00000009462	ENSSARG00000010448	Sorex_araneus
ENSOANP00000023239	ENSOANG00000014753	Ornithorhynchus_anatinus
ENSGAGP00000024511	ENSGAGG00000015920	Gopherus_agassizii
ENSCABP00000020684	ENSCABG00000014773	Chelonoidis_abingdonii
ENSCPBP00000014311	ENSCPBG00000010658	Chrysemys_picta_bellii
ENSPSIP00000015373	ENSPSIG00000013601	Pelodiscus_sinensis
ENSCPRP00005003555	ENSCPRG00005002296	Crocodylus_porosus
ENSAPLP00000005236	ENSAPLG00000005627	Anas_platyrhynchos_platyrhynchos
ENSABRP00000015000	ENSABRG00000011158	Anser_brachyrhynchus
ENSGALP00000025167	ENSGALG00000017706	Gallus_gallus
ENSCJPP00005000400	ENSCJPG00005000488	Coturnix_japonica
ENSMGAP00000008493	ENSMGAG00000008292	Meleagris_gallopavo
ENSNMEP00000007002	ENSNMEG00000007108	Numida_meleagris
ENSCPGP00000006231	ENSCPGG00000004449	Calidris_pygmaea
ENSCPUP00000028144	ENSCPUG00000018938	Calidris_pugnax
ENSMUNP00000022230	ENSMUNG00000016687	Melopsittacus_undulatus
ENSTGUP00000001217	ENSTGUG00000001169	Taeniopygia_guttata
ENSLSDP00000020474	ENSLSDG00000014498	Lonchura_striata_domestica
ENSSCAP00000009659	ENSSCAG00000007291	Serinus_canaria
ENSZALP00000002895	ENSZALG00000001692	Zonotrichia_albicollis
ENSFALP00000010920	ENSFALG00000010471	Ficedula_albicollis
ENSCCEP00000009176	ENSCCEG00000008089	Cyanistes_caeruleus
ENSPMJP00000006415	ENSPMJG00000005417	Parus_major
ENSMVIP00005026748	ENSMVIG00005018620	Manacus_vitellinus
ENSLCOP00000008789	ENSLCOG00000005960	Lepidothrix_coronata
ENSGALP00000074118	ENSGALG00000050647	Gallus_gallus
ENSGALP00000068618	ENSGALG00000048307	Gallus_gallus
ENSABRP00000007239	ENSABRG00000006668	Anser_brachyrhynchus
ENSSCAP00000022264	ENSSCAG00000015942	Serinus_canaria
ENSAHAP00000022386	ENSAHAG00000015478	Apteryx_haastii
ENSAOWP00000018526	ENSAOWG00000012095	Apteryx_owenii
ENSARWP00000012775	ENSARWG00000008494	Apteryx_rowi
ENSDNVP00000024128	ENSDNVG00000016501	Dromaius_novaehollandiae
ENSNPEP00000003379	ENSNPEG00000002573	Nothoprocta_perdicaria
ENSPVIP00000015039	ENSPVIG00000011587	Pogona_vitticeps
ENSACAP00000000878	ENSACAG00000000769	Anolis_carolinensis
ENSSMRP00000009266	ENSSMRG00000007402	Salvator_merianae
ENSNSUP00000007353	ENSNSUG00000004867	Notechis_scutatus
ENSSPUP00000010990	ENSSPUG00000008166	Sphenodon_punctatus
ENSXETP00000010579	ENSXETG00000016534	Xenopus_tropicalis
ENSLACP00000005155	ENSLACG00000004581	Latimeria_chalumnae
ENSCMIP00000016732	ENSCMIG00000007837	Callorhinchus_milii
ENSAMXP00000040716	ENSAMXG00000014658	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000046324
ENSAMXP00005038520	ENSAMXG00005017714	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000035183	ENSPNAG00000025095	Pygocentrus_nattereri
ENSEEEP00000046367	ENSEEEG00000021475	Electrophorus_electricus
ENSIPUP00000019986	ENSIPUG00000013511	Ictalurus_punctatus
ENSDARP00000051517	ENSDARG00000035535	Danio_rerio
ENSCHAP00000035719	ENSCHAG00000015296	Clupea_harengus
ENSDCDP00000040879	ENSDCDG00000025154	Denticeps_clupeoides
ENSMALP00000013494	ENSMALG00000009519	Monopterus_albus
ENSMAMP00000017255	ENSMAMG00000011657	Mastacembelus_armatus
ENSATEP00000005581	ENSATEG00000003886	Anabas_testudineus
ENSBSLP00000040405	ENSBSLG00000019594	Betta_splendens
ENSSDUP00000022648	ENSSDUG00000016434	Seriola_dumerili
ENSSLDP00000022303	ENSSLDG00000017395	Seriola_lalandi_dorsalis
ENSSMAP00000014837	ENSSMAG00000009031	Scophthalmus_maximus
ENSLCAP00010059954	ENSLCAG00010027922	Lates_calcarifer
ENSAPEP00000026013	ENSAPEG00000018456	Amphiprion_percula
ENSAOCP00000005811	ENSAOCG00000009418	Amphiprion_ocellaris
ENSAPOP00000000712	ENSAPOG00000001947	Acanthochromis_polyacanthus
ENSSPAP00000001506	ENSSPAG00000001096	Stegastes_partitus
ENSPRNP00000003344	ENSPRNG00000001958	Parambassis_ranga
ENSGWIP00000056020	ENSGWIG00000026597	Gouania_willdenowi
ENSFHEP00000006337	ENSFHEG00000007467	Fundulus_heteroclitus
ENSCVAP00000032034	ENSCVAG00000021727	Cyprinodon_variegatus
ENSPFOP00000002570	ENSPFOG00000002347	Poecilia_formosa
ENSPLAP00000020014	ENSPLAG00000002611	Poecilia_latipinna
ENSPMEP00000002458	ENSPMEG00000003503	Poecilia_mexicana
ENSPREP00000006300	ENSPREG00000004344	Poecilia_reticulata
ENSXMAP00000019463	ENSXMAG00000019416	Xiphophorus_maculatus
ENSXCOP00000022345	ENSXCOG00000016674	Xiphophorus_couchianus
ENSGAFP00000013817	ENSGAFG00000009330	Gambusia_affinis
ENSKMAP00000006945	ENSKMAG00000005251	Kryptolebias_marmoratus
ENSORLP00020008716	ENSORLG00020009638	Oryzias_latipes_ASM223471v1
ENSORLP00000012485	ENSORLG00000009952	Oryzias_latipes_ASM223467v1
ENSORLP00015000095	ENSORLG00015023205	Oryzias_latipes_ASM223469v1
ENSOMEP00000005335	ENSOMEG00000006347	Oryzias_melastigma
ENSMZEP00005019395	ENSMZEG00005014524	Maylandia_zebra
ENSACLP00000008120	ENSACLG00000005501	Astatotilapia_calliptera
ENSPNYP00000027073	ENSPNYG00000020376	Pundamilia_nyererei
ENSHBUP00000008209	ENSHBUG00000009789	Haplochromis_burtoni
ENSONIP00000020062	ENSONIG00000015926	Oreochromis_niloticus
ENSNBRP00000002651	ENSNBRG00000002080	Neolamprologus_brichardi
ENSACIP00000024146	ENSACIG00000018726	Amphilophus_citrinellus
ENSTNIP00000018507	ENSTNIG00000015438	Tetraodon_nigroviridis
ENSTRUP00000048074	ENSTRUG00000001424	Takifugu_rubripes
ENSLCRP00005032194	ENSLCRG00005012270	Larimichthys_crocea
ENSLBEP00000008123	ENSLBEG00000006216	Labrus_bergylta
ENSCGOP00000023247	ENSCGOG00000009588	Cottoperca_gobio
ENSGACP00000013526	ENSGACG00000010225	Gasterosteus_aculeatus
ENSMMOP00000007286	ENSMMOG00000005656	Mola_mola
ENSCSEP00000026100	ENSCSEG00000016523	Cynoglossus_semilaevis
ENSHCOP00000026278	ENSHCOG00000017107	Hippocampus_comes
ENSPMGP00000018452	ENSPMGG00000014937	Periophthalmus_magnuspinnatus
ENSGMOP00000000516	ENSGMOG00000000513	Gadus_morhua
ENSHHUP00000087484	ENSHHUG00000050569	Hucho_hucho
ENSHHUP00000015105	ENSHHUG00000009231	Hucho_hucho
ENSELUP00000016897	ENSELUG00000016793	Esox_lucius
ENSPKIP00000014902	ENSPKIG00000001782	Paramormyrops_kingsleyae	ENSPKIT00000039358
ENSSFOP00015026570	ENSSFOG00015017031	Scleropages_formosus	ENSSFOT00015026866
ENSCHAP00000045787	ENSCHAG00000020424	Clupea_harengus
ENSDCDP00000047742	ENSDCDG00000028992	Denticeps_clupeoides
ENSPNAP00000024305	ENSPNAG00000008846	Pygocentrus_nattereri
ENSDARP00000147202	ENSDARG00000073665	Danio_rerio
ENSSFOP00015017675	ENSSFOG00015011306	Scleropages_formosus
ENSPKIP00000021729	ENSPKIG00000005956	Paramormyrops_kingsleyae
ENSLOCP00000002242	ENSLOCG00000001929	Lepisosteus_oculatus
ENSECRP00000010599	ENSECRG00000007053	Erpetoichthys_calabaricus
ENSEBUP00000016258	ENSEBUG00000010178	Eptatretus_burgeri
ENSEBUP00000001034	ENSEBUG00000000991	Eptatretus_burgeri
ENSCINP00000029547	ENSCING00000017469	Ciona_intestinalis	ENSCINT00000029793
ENSCSAVP00000014443	ENSCSAVG00000008452	Ciona_savignyi	ENSCSAVT00000014608
ENSCSAVP00000000836	ENSCSAVG00000000475	Ciona_savignyi	ENSCSAVT00000000845
ENSCINP00000007183	ENSCING00000003500	Ciona_intestinalis	ENSCINT00000007183
FBpp0309361	FBgn0003969	Drosophila_melanogaster
