ENSMZEP00005025474	ENSMZEG00005019012	Maylandia_zebra
ENSSDAP00000007157	ENSSDAG00000006590	Spermophilus_dauricus
ENSSTOP00000022777	ENSSTOG00000025290	Ictidomys_tridecemlineatus
ENSDORP00000016747	ENSDORG00000025730	Dipodomys_ordii
ENSCCNP00000007793	ENSCCNG00000008281	Castor_canadensis
ENSPCOP00000002295	ENSPCOG00000007020	Propithecus_coquereli
ENSPCOP00000006073	ENSPCOG00000014134	Propithecus_coquereli
ENSOGAP00000016010	ENSOGAG00000033103	Otolemur_garnettii
ENSLAFP00000011002	ENSLAFG00000013149	Loxodonta_africana
ENSSSCP00000022784	ENSSSCG00000023323	Sus_scrofa_strain_reference
ENSDNOP00000018509	ENSDNOG00000035199	Dasypus_novemcinctus
ENSMLEP00000005466	ENSMLEG00000024134	Mandrillus_leucophaeus
ENSPTEP00000011841	ENSPTEG00000013321	Piliocolobus_tephrosceles
ENSPTEP00000012611	ENSPTEG00000014154	Piliocolobus_tephrosceles
ENSRROP00000043833	ENSRROG00000044930	Rhinopithecus_roxellana
ENSRBIP00000013592	ENSRBIG00000030851	Rhinopithecus_bieti
ENSCANP00000038399	ENSCANG00000042878	Colobus_angolensis_palliatus
ENSRROP00000042443	ENSRROG00000044373	Rhinopithecus_roxellana
ENSRBIP00000030694	ENSRBIG00000039194	Rhinopithecus_bieti
ENSCANP00000002313	ENSCANG00000008659	Colobus_angolensis_palliatus
ENSMLEP00000010136	ENSMLEG00000029260	Mandrillus_leucophaeus
ENSPANP00000031373	ENSPANG00000007575	Papio_anubis
ENSCATP00000044990	ENSCATG00000044949	Cercocebus_atys
ENSMFAP00000008130	ENSMFAG00000040576	Macaca_fascicularis
ENSMNEP00000007591	ENSMNEG00000028387	Macaca_nemestrina
ENSP00000432523	ENSG00000278615	Homo_sapiens
ENSANAP00000017777	ENSANAG00000026755	Aotus_nancymaae
ENSRBIP00000028820	ENSRBIG00000038302	Rhinopithecus_bieti
ENSRROP00000000158	ENSRROG00000000363	Rhinopithecus_roxellana
ENSCJAP00000077894	ENSCJAG00000064190	Callithrix_jacchus
ENSVVUP00000025390	ENSVVUG00000018621	Vulpes_vulpes
ENSTSYP00000020690	ENSTSYG00000026671	Carlito_syrichta
ENSTGEP00000015941	ENSTGEG00000012876	Theropithecus_gelada
ENSBMUP00000031276	ENSBMUG00000023348	Bos_mutus
ENSOANP00000017485	ENSOANG00000011039	Ornithorhynchus_anatinus
ENSCSAP00000018926	ENSCSAG00000019418	Chlorocebus_sabaeus
ENSMNEP00000014525	ENSMNEG00000031419	Macaca_nemestrina
ENSTGEP00000017122	ENSTGEG00000013839	Theropithecus_gelada
ENSP00000435188	ENSG00000255432	Homo_sapiens
ENSXETP00000023742	ENSXETG00000004899	Xenopus_tropicalis
ENSLACP00000023421	ENSLACG00000022136	Latimeria_chalumnae
ENSCMIP00000010808	ENSCMIG00000005684	Callorhinchus_milii
