ENSPCIP00000050742	ENSPCIG00000036200	Phascolarctos_cinereus	ENSPCIT00000053924
ENSMEUP00000007079	ENSMEUG00000007751	Notamacropus_eugenii
ENSBIXP00000033158	ENSBIXG00000015891	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000017642	ENSBTAG00000013266	Bos_taurus
ENSBMUP00000001358	ENSBMUG00000001111	Bos_mutus
ENSBBBP00000022844	ENSBBBG00000017058	Bison_bison_bison
ENSOARP00000003954	ENSOARG00000003692	Ovis_aries
ENSOARP00000001030	ENSOARG00000000997	Ovis_aries
ENSCHIP00000019321	ENSCHIG00000018358	Capra_hircus
ENSTTRP00000001798	ENSTTRG00000001916	Tursiops_truncatus
ENSSSCP00000065658	ENSSSCG00000002747	Sus_scrofa_strain_reference
ENSVPAP00000002699	ENSVPAG00000002919	Vicugna_pacos
ENSUAMP00000026531	ENSUAMG00000020534	Ursus_americanus
ENSUMAP00000025484	ENSUMAG00000018587	Ursus_maritimus
ENSAMEP00000002326	ENSAMEG00000002201	Ailuropoda_melanoleuca
ENSNVIP00000009387	ENSNVIG00000007384	Neovison_vison
ENSMPUP00000007702	ENSMPUG00000007758	Mustela_putorius_furo
ENSCAFP00000047603	ENSCAFG00000020240	Canis_lupus_familiaris
ENSCAFP00020025911	ENSCAFG00020020379	Canis_lupus_dingo
ENSVVUP00000023747	ENSVVUG00000017406	Vulpes_vulpes
ENSPTIP00000020772	ENSPTIG00000018078	Panthera_tigris_altaica
ENSPPRP00000014992	ENSPPRG00000007740	Panthera_pardus
ENSFCAP00000005416	ENSFCAG00000005834	Felis_catus
ENSEEUP00000002089	ENSEEUG00000002283	Erinaceus_europaeus
ENSSARP00000002683	ENSSARG00000002966	Sorex_araneus
ENSECAP00000022047	ENSECAG00000024509	Equus_caballus
ENSEASP00005019272	ENSEASG00005013246	Equus_asinus_asinus
ENSPTRP00000091587	ENSPTRG00000008339	Pan_troglodytes
ENSPPAP00000028367	ENSPPAG00000037201	Pan_paniscus
ENSP00000237353	ENSG00000118557	Homo_sapiens
ENSGGOP00000012756	ENSGGOG00000013067	Gorilla_gorilla
ENSPPYP00000008485	ENSPPYG00000007514	Pongo_abelii
ENSNLEP00000035848	ENSNLEG00000032153	Nomascus_leucogenys
ENSCANP00000020343	ENSCANG00000033577	Colobus_angolensis_palliatus
ENSPTEP00000006950	ENSPTEG00000007937	Piliocolobus_tephrosceles
ENSRBIP00000023458	ENSRBIG00000035650	Rhinopithecus_bieti
ENSRROP00000039612	ENSRROG00000043113	Rhinopithecus_roxellana
ENSPANP00000028221	ENSPANG00000005687	Papio_anubis
ENSTGEP00000012722	ENSTGEG00000010383	Theropithecus_gelada
ENSMLEP00000018954	ENSMLEG00000033652	Mandrillus_leucophaeus
ENSCATP00000031435	ENSCATG00000038832	Cercocebus_atys
ENSMNEP00000017834	ENSMNEG00000032856	Macaca_nemestrina
ENSMFAP00000021014	ENSMFAG00000033406	Macaca_fascicularis
ENSMMUP00000000916	ENSMMUG00000000680	Macaca_mulatta
ENSCSAP00000000531	ENSCSAG00000004195	Chlorocebus_sabaeus
ENSCCAP00000002745	ENSCCAG00000015780	Cebus_capucinus_imitator
ENSSBOP00000018552	ENSSBOG00000025892	Saimiri_boliviensis_boliviensis
ENSCJAP00000048842	ENSCJAG00000031829	Callithrix_jacchus
ENSANAP00000030006	ENSANAG00000032759	Aotus_nancymaae
ENSTSYP00000004399	ENSTSYG00000004800	Carlito_syrichta
ENSPCOP00000009428	ENSPCOG00000016076	Propithecus_coquereli
ENSPSMP00000017943	ENSPSMG00000012746	Prolemur_simus
ENSMICP00000010404	ENSMICG00000011422	Microcebus_murinus
ENSOGAP00000007774	ENSOGAG00000008669	Otolemur_garnettii
ENSMSIP00000020630	ENSMSIG00000017524	Mus_spicilegus
MGP_SPRETEiJ_P0089463	MGP_SPRETEiJ_G0032658	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000034162	ENSMUSG00000031727	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0085963	MGP_CAROLIEiJ_G0031540	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0054216	MGP_PahariEiJ_G0023140	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000068814	ENSRNOG00000014505	Rattus_norvegicus
ENSMUGP00000014956	ENSMUGG00000012903	Meriones_unguiculatus
ENSCGRP00000023000	ENSCGRG00000016656	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015013152	ENSCGRG00015010083	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001000167	ENSCGRG00001000160	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000016936	ENSMAUG00000015899	Mesocricetus_auratus
ENSMOCP00000008707	ENSMOCG00000008708	Microtus_ochrogaster
ENSPEMP00000007941	ENSPEMG00000009728	Peromyscus_maniculatus_bairdii
ENSNGAP00000005103	ENSNGAG00000007104	Nannospalax_galili
ENSJJAP00000021384	ENSJJAG00000021758	Jaculus_jaculus
ENSDORP00000004895	ENSDORG00000005232	Dipodomys_ordii
ENSCLAP00000013598	ENSCLAG00000009396	Chinchilla_lanigera
ENSODEP00000021655	ENSODEG00000015934	Octodon_degus
ENSCPOP00000014539	ENSCPOG00000027263	Cavia_porcellus
ENSHGLP00100017651	ENSHGLG00100013020	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000015852	ENSHGLG00000011334	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000009528	ENSFDAG00000017514	Fukomys_damarensis
ENSUPAP00010017956	ENSUPAG00010014246	Urocitellus_parryii
ENSSTOP00000031909	ENSSTOG00000000541	Ictidomys_tridecemlineatus
ENSMMMP00000015519	ENSMMMG00000013832	Marmota_marmota_marmota
ENSOCUP00000007850	ENSOCUG00000009080	Oryctolagus_cuniculus
ENSOPRP00000001826	ENSOPRG00000001944	Ochotona_princeps
ENSSDAP00000026470	ENSSDAG00000023995	Spermophilus_dauricus	ENSSDAT00000030253
ENSSDAP00000026668	ENSSDAG00000024194	Spermophilus_dauricus	ENSSDAT00000030489
ENSCCNP00000018082	ENSCCNG00000018376	Castor_canadensis	ENSCCNT00000023535
ENSTBEP00000002858	ENSTBEG00000003284	Tupaia_belangeri
ENSPCIP00000049510	ENSPCIG00000031351	Phascolarctos_cinereus
ENSSHAP00000019727	ENSSHAG00000016748	Sarcophilus_harrisii
ENSSHAP00000019596	ENSSHAG00000016637	Sarcophilus_harrisii	ENSSHAT00000019753
ENSCSAVP00000001811	ENSCSAVG00000001051	Ciona_savignyi
ENSCINP00000031912	ENSCING00000019367	Ciona_intestinalis
