ENSBSLP00000003843	ENSBSLG00000002036	Betta_splendens
ENSHBUP00000007814	ENSHBUG00000009306	Haplochromis_burtoni
ENSPLAP00000015979	ENSPLAG00000020016	Poecilia_latipinna
ENSFHEP00000005911	ENSFHEG00000006892	Fundulus_heteroclitus
ENSPREP00000005656	ENSPREG00000003937	Poecilia_reticulata
ENSTNIP00000018496	ENSTNIG00000015427	Tetraodon_nigroviridis
ENSCVAP00000032153	ENSCVAG00000021973	Cyprinodon_variegatus
ENSAMXP00000038246	ENSAMXG00000030038	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAOCP00000020894	ENSAOCG00000005290	Amphiprion_ocellaris
ENSTNIP00000018498	ENSTNIG00000015429	Tetraodon_nigroviridis
ENSTNIP00000018497	ENSTNIG00000015428	Tetraodon_nigroviridis
ENSCVAP00000032158	ENSCVAG00000021982	Cyprinodon_variegatus
ENSGAFP00000013739	ENSGAFG00000009273	Gambusia_affinis
ENSAMXP00000032131	ENSAMXG00000043245	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000038636
ENSACIP00000028477	ENSACIG00000022059	Amphilophus_citrinellus
ENSSMAP00000015358	ENSSMAG00000009417	Scophthalmus_maximus
ENSORLP00015000188	ENSORLG00015023117	Oryzias_latipes_ASM223469v1
ENSKMAP00000015605	ENSKMAG00000011685	Kryptolebias_marmoratus
ENSPNYP00000026584	ENSPNYG00000020035	Pundamilia_nyererei
ENSFHEP00000005909	ENSFHEG00000006888	Fundulus_heteroclitus
ENSAPEP00000026829	ENSAPEG00000019067	Amphiprion_percula
ENSMZEP00005019896	ENSMZEG00005014936	Maylandia_zebra
ENSPFOP00000018376	ENSPFOG00000018283	Poecilia_formosa
ENSGMOP00000002845	ENSGMOG00000002711	Gadus_morhua
ENSMAMP00000017839	ENSMAMG00000012063	Mastacembelus_armatus
ENSGACP00000013392	ENSGACG00000010145	Gasterosteus_aculeatus
ENSGACP00000013386	ENSGACG00000010141	Gasterosteus_aculeatus
ENSMAMP00000017832	ENSMAMG00000012056	Mastacembelus_armatus
ENSSLDP00000005414	ENSSLDG00000004324	Seriola_lalandi_dorsalis
ENSAPOP00000020776	ENSAPOG00000024371	Acanthochromis_polyacanthus
ENSCHAP00000037963	ENSCHAG00000017823	Clupea_harengus
ENSGWIP00000055897	ENSGWIG00000026551	Gouania_willdenowi
ENSSLDP00000005398	ENSSLDG00000004312	Seriola_lalandi_dorsalis
ENSCVAP00000018704	ENSCVAG00000022005	Cyprinodon_variegatus
ENSGWIP00000055899	ENSGWIG00000026552	Gouania_willdenowi
ENSSDUP00000022149	ENSSDUG00000016123	Seriola_dumerili
ENSHBUP00000026575	ENSHBUG00000009322	Haplochromis_burtoni
ENSACLP00000006826	ENSACLG00000004606	Astatotilapia_calliptera
ENSSPAP00000027956	ENSSPAG00000021067	Stegastes_partitus
ENSPREP00000005637	ENSPREG00000003922	Poecilia_reticulata
ENSPLAP00000015957	ENSPLAG00000000444	Poecilia_latipinna
ENSORLP00020009091	ENSORLG00020009988	Oryzias_latipes_ASM223471v1
ENSLCAP00010060139	ENSLCAG00010027980	Lates_calcarifer
ENSPFOP00000018377	ENSPFOG00000018285	Poecilia_formosa
ENSGACP00000013397	ENSGACG00000010148	Gasterosteus_aculeatus
ENSLCRP00005034448	ENSLCRG00005013514	Larimichthys_crocea
ENSORLP00020009099	ENSORLG00020009997	Oryzias_latipes_ASM223471v1
ENSLCRP00005034446	ENSLCRG00005013512	Larimichthys_crocea
ENSCHAP00000021599	ENSCHAG00000010869	Clupea_harengus
