MGP_CAROLIEiJ_P0078261	MGP_CAROLIEiJ_G0029416	Mus_caroli_strain_CAROLI_EIJ
ENSOARP00000007086	ENSOARG00000006619	Ovis_aries
ENSPPRP00000026568	ENSPPRG00000017406	Panthera_pardus
ENSCMIP00000047378	ENSCMIG00000019415	Callorhinchus_milii
ENSZALP00000013276	ENSZALG00000011055	Zonotrichia_albicollis
ENSGAGP00000030974	ENSGAGG00000022257	Gopherus_agassizii	ENSGAGT00000035120
ENSSSCP00000028144	ENSSSCG00000021917	Sus_scrofa_strain_reference
ENSMODP00000009537	ENSMODG00000007678	Monodelphis_domestica
ENSNBRP00000005654	ENSNBRG00000004465	Neolamprologus_brichardi
ENSPNAP00000008009	ENSPNAG00000002876	Pygocentrus_nattereri
ENSDNOP00000000600	ENSDNOG00000000796	Dasypus_novemcinctus
ENSCGRP00000022309	ENSCGRG00000016166	Cricetulus_griseus_CriGri_1.0
ENSPTEP00000039709	ENSPTEG00000036698	Piliocolobus_tephrosceles
ENSRROP00000000859	ENSRROG00000003245	Rhinopithecus_roxellana
ENSHGLP00100012813	ENSHGLG00100009489	Heterocephalus_glaber_HetGla_1.0
ENSLAFP00000018794	ENSLAFG00000026082	Loxodonta_africana
ENSCHIP00000018395	ENSCHIG00000017836	Capra_hircus
ENSCMIP00000043408	ENSCMIG00000017975	Callorhinchus_milii
ENSCMIP00000029671	ENSCMIG00000012802	Callorhinchus_milii
ENSLCOP00000011429	ENSLCOG00000008291	Lepidothrix_coronata
ENSMEUP00000005141	ENSMEUG00000005628	Notamacropus_eugenii
ENSMNEP00000028579	ENSMNEG00000037748	Macaca_nemestrina
ENSMVIP00005003517	ENSMVIG00005002740	Manacus_vitellinus
ENSFDAP00000020707	ENSFDAG00000008242	Fukomys_damarensis
ENSPCIP00000028075	ENSPCIG00000020981	Phascolarctos_cinereus
ENSABRP00000009243	ENSABRG00000008266	Anser_brachyrhynchus
ENSNSUP00000015570	ENSNSUG00000011526	Notechis_scutatus	ENSNSUT00000016574
ENSSPAP00000022645	ENSSPAG00000016298	Stegastes_partitus
ENSOANP00000006806	ENSOANG00000004287	Ornithorhynchus_anatinus
ENSOGAP00000018470	ENSOGAG00000034291	Otolemur_garnettii
ENSMSIP00000033064	ENSMSIG00000027679	Mus_spicilegus
ENSBMUP00000021122	ENSBMUG00000015889	Bos_mutus
ENSSBOP00000029399	ENSSBOG00000031037	Saimiri_boliviensis_boliviensis
ENSNVIP00000014242	ENSNVIG00000011207	Neovison_vison
ENSCABP00000031732	ENSCABG00000023173	Chelonoidis_abingdonii	ENSCABT00000034781
ENSECAP00000019167	ENSECAG00000021770	Equus_caballus
ENSBTAP00000051851	ENSBTAG00000040067	Bos_taurus
ENSPSMP00000032618	ENSPSMG00000022564	Prolemur_simus
ENSCCAP00000026711	ENSCCAG00000031144	Cebus_capucinus_imitator
ENSTSYP00000021150	ENSTSYG00000025605	Carlito_syrichta
ENSCLAP00000001041	ENSCLAG00000000801	Chinchilla_lanigera
ENSEEUP00000013477	ENSEEUG00000014774	Erinaceus_europaeus
ENSBIXP00005034458	ENSBIXG00005015421	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSARWP00000005132	ENSARWG00000003697	Apteryx_rowi
ENSEASP00005016668	ENSEASG00005011547	Equus_asinus_asinus
ENSCGRP00015033369	ENSCGRG00015025149	Cricetulus_griseus_CriGri-PICR
ENSCPBP00000027991	ENSCPBG00000019786	Chrysemys_picta_bellii
ENSMFAP00000022651	ENSMFAG00000043018	Macaca_fascicularis
ENSELUP00000012164	ENSELUG00000012440	Esox_lucius
ENSTTRP00000006720	ENSTTRG00000007109	Tursiops_truncatus
ENSPRNP00000024302	ENSPRNG00000012377	Parambassis_ranga
ENSCSAP00000000099	ENSCSAG00000003733	Chlorocebus_sabaeus
ENSETEP00000006098	ENSETEG00000007507	Echinops_telfairi
ENSDORP00000010742	ENSDORG00000011429	Dipodomys_ordii
ENSLACP00000023476	ENSLACG00000017906	Latimeria_chalumnae
ENSPEMP00000007171	ENSPEMG00000009204	Peromyscus_maniculatus_bairdii
ENSACAP00000019010	ENSACAG00000023817	Anolis_carolinensis	ENSACAT00000028625
ENSOCUP00000007762	ENSOCUG00000008988	Oryctolagus_cuniculus
ENSMAUP00000022174	ENSMAUG00000019687	Mesocricetus_auratus
ENSMLUP00000007229	ENSMLUG00000007920	Myotis_lucifugus
ENSCPOP00000018976	ENSCPOG00000024254	Cavia_porcellus
ENSBBBP00000009654	ENSBBBG00000017800	Bison_bison_bison
ENSLSDP00000021164	ENSLSDG00000014973	Lonchura_striata_domestica
ENSPCAP00000003516	ENSPCAG00000003758	Procavia_capensis
ENSLCRP00005061660	ENSLCRG00005022717	Larimichthys_crocea
MGP_PahariEiJ_P0015150	MGP_PahariEiJ_G0012653	Mus_pahari_strain_PAHARI_EIJ
ENSTGEP00000030321	ENSTGEG00000024344	Theropithecus_gelada
ENSPVIP00000026643	ENSPVIG00000019859	Pogona_vitticeps	ENSPVIT00000032808
ENSCJAP00000051188	ENSCJAG00000014644	Callithrix_jacchus
ENSVPAP00000002395	ENSVPAG00000002592	Vicugna_pacos
ENSANAP00000015665	ENSANAG00000025716	Aotus_nancymaae
ENSBIXP00000011415	ENSBIXG00000016650	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSAMEP00000013128	ENSAMEG00000012476	Ailuropoda_melanoleuca
ENSCAPP00000005754	ENSCAPG00000008006	Cavia_aperea
ENSPTIP00000012517	ENSPTIG00000012551	Panthera_tigris_altaica
ENSAHAP00000027146	ENSAHAG00000018923	Apteryx_haastii
ENSSTOP00000005137	ENSSTOG00000005746	Ictidomys_tridecemlineatus
ENSHGLP00000004992	ENSHGLG00000003659	Heterocephalus_glaber_HetGla_female_1.0
ENSPTRP00000018861	ENSPTRG00000010995	Pan_troglodytes
ENSPPAP00000011183	ENSPPAG00000028797	Pan_paniscus
ENSCPUP00000024149	ENSCPUG00000016409	Calidris_pugnax
ENSNGAP00000024291	ENSNGAG00000022596	Nannospalax_galili
ENSUPAP00010028515	ENSUPAG00010022516	Urocitellus_parryii
ENSHHUP00000054545	ENSHHUG00000032712	Hucho_hucho
ENSCGRP00001003017	ENSCGRG00001003510	Cricetulus_griseus_CHOK1GS_HDv1
ENSLOCP00000018238	ENSLOCG00000014812	Lepisosteus_oculatus
ENSRNOP00000028266	ENSRNOG00000020835	Rattus_norvegicus
ENSP00000291823	ENSG00000160396	Homo_sapiens
ENSCAFP00000007985	ENSCAFG00000005355	Canis_lupus_familiaris
ENSPPYP00000011182	ENSPPYG00000009990	Pongo_abelii
MGP_SPRETEiJ_P0081578	MGP_SPRETEiJ_G0030514	Mus_spretus_strain_SPRET/EiJ
ENSCCNP00000009587	ENSCCNG00000010113	Castor_canadensis
ENSPVAP00000000023	ENSPVAG00000000024	Pteropus_vampyrus
ENSUMAP00000026994	ENSUMAG00000019622	Ursus_maritimus
ENSPCOP00000023270	ENSPCOG00000023773	Propithecus_coquereli
ENSLCRP00005004495	ENSLCRG00005002310	Larimichthys_crocea
ENSMUSP00000103990	ENSMUSG00000040424	Mus_musculus_strain_reference_(CL57BL6)
ENSRBIP00000003039	ENSRBIG00000014472	Rhinopithecus_bieti
ENSUAMP00000037586	ENSUAMG00000028433	Ursus_americanus
ENSCATP00000029078	ENSCATG00000037803	Cercocebus_atys
