ENSVVUP00000004543	ENSVVUG00000003564	Vulpes_vulpes
ENSTBEP00000015114	ENSTBEG00000017380	Tupaia_belangeri
ENSMAUP00000003804	ENSMAUG00000004376	Mesocricetus_auratus
ENSECAP00000023349	ENSECAG00000036967	Equus_caballus
ENSOPRP00000005223	ENSOPRG00000005699	Ochotona_princeps
ENSPPYP00000021887	ENSPPYG00000019531	Pongo_abelii
ENSMSIP00000008544	ENSMSIG00000007575	Mus_spicilegus	ENSMSIT00000010885
ENSFDAP00000012666	ENSFDAG00000019985	Fukomys_damarensis
ENSAHAP00000026541	ENSAHAG00000018471	Apteryx_haastii
ENSTGEP00000035035	ENSTGEG00000027922	Theropithecus_gelada
ENSCHIP00000006173	ENSCHIG00000010077	Capra_hircus
ENSTBEP00000015202	ENSTBEG00000017480	Tupaia_belangeri
ENSHGLP00000023404	ENSHGLG00000016684	Heterocephalus_glaber_HetGla_female_1.0
ENSCJAP00000069657	ENSCJAG00000004491	Callithrix_jacchus
ENSCANP00000029892	ENSCANG00000038601	Colobus_angolensis_palliatus
ENSVURP00010021657	ENSVURG00010016603	Vombatus_ursinus
ENSSARP00000011875	ENSSARG00000013153	Sorex_araneus
ENSTSYP00000029864	ENSTSYG00000028933	Carlito_syrichta
ENSCHOP00000001847	ENSCHOG00000002092	Choloepus_hoffmanni
ENSFALP00000001346	ENSFALG00000001295	Ficedula_albicollis
ENSRBIP00000014145	ENSRBIG00000031169	Rhinopithecus_bieti
ENSUAMP00000023488	ENSUAMG00000018406	Ursus_americanus
ENSUAMP00000023489	ENSUAMG00000018407	Ursus_americanus
ENSPSIP00000019972	ENSPSIG00000017695	Pelodiscus_sinensis
ENSMMMP00000000895	ENSMMMG00000000751	Marmota_marmota_marmota
ENSDNOP00000013843	ENSDNOG00000017842	Dasypus_novemcinctus
ENSCPBP00000036354	ENSCPBG00000025257	Chrysemys_picta_bellii
ENSDNOP00000028536	ENSDNOG00000030782	Dasypus_novemcinctus
ENSLAFP00000000425	ENSLAFG00000000508	Loxodonta_africana
ENSMLUP00000008372	ENSMLUG00000009197	Myotis_lucifugus
ENSBTAP00000022991	ENSBTAG00000017294	Bos_taurus
ENSAMEP00000013231	ENSAMEG00000012556	Ailuropoda_melanoleuca
ENSUMAP00000000800	ENSUMAG00000000835	Ursus_maritimus
ENSPPAP00000036219	ENSPPAG00000040885	Pan_paniscus
ENSMSIP00000006742	ENSMSIG00000006003	Mus_spicilegus	ENSMSIT00000008543
ENSPTRP00000036363	ENSPTRG00000021287	Pan_troglodytes
ENSANAP00000020246	ENSANAG00000027913	Aotus_nancymaae
ENSNGAP00000014005	ENSNGAG00000015428	Nannospalax_galili
ENSSBOP00000035274	ENSSBOG00000033798	Saimiri_boliviensis_boliviensis
ENSMSIP00000000025	ENSMSIG00000000026	Mus_spicilegus	ENSMSIT00000000031
ENSP00000259396	ENSG00000229314	Homo_sapiens
ENSBIXP00005004184	ENSBIXG00005006990	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMICP00000013940	ENSMICG00000015294	Microcebus_murinus
ENSFCAP00000000151	ENSFCAG00000000166	Felis_catus
ENSSSCP00000070617	ENSSSCG00000005488	Sus_scrofa_strain_reference
ENSCSAP00000009106	ENSCSAG00000012930	Chlorocebus_sabaeus
ENSCHOP00000009167	ENSCHOG00000010355	Choloepus_hoffmanni
ENSRROP00000038596	ENSRROG00000042676	Rhinopithecus_roxellana
ENSDARP00000123136	ENSDARG00000076838	Danio_rerio
ENSCCAP00000020788	ENSCCAG00000028236	Cebus_capucinus_imitator
ENSLCOP00000009395	ENSLCOG00000006848	Lepidothrix_coronata
ENSETEP00000011980	ENSETEG00000014783	Echinops_telfairi
MGP_PahariEiJ_P0077775	MGP_PahariEiJ_G0028426	Mus_pahari_strain_PAHARI_EIJ
MGP_PahariEiJ_P0077777	MGP_PahariEiJ_G0028428	Mus_pahari_strain_PAHARI_EIJ
ENSOANP00000021556	ENSOANG00000013663	Ornithorhynchus_anatinus
ENSABRP00000000466	ENSABRG00000000541	Anser_brachyrhynchus
ENSSARP00000012576	ENSSARG00000013918	Sorex_araneus
ENSMUNP00000020164	ENSMUNG00000015370	Melopsittacus_undulatus
ENSMUSP00000006687	ENSMUSG00000028359	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000006687
ENSCGRP00001015507	ENSCGRG00001016105	Cricetulus_griseus_CHOK1GS_HDv1
ENSMLEP00000016134	ENSMLEG00000032268	Mandrillus_leucophaeus
ENSGGOP00000014746	ENSGGOG00000038280	Gorilla_gorilla
ENSSHAP00000003662	ENSSHAG00000003219	Sarcophilus_harrisii
ENSCPUP00000016662	ENSCPUG00000011512	Calidris_pugnax
ENSMLUP00000022284	ENSMLUG00000028886	Myotis_lucifugus
ENSBBBP00000001218	ENSBBBG00000010296	Bison_bison_bison
ENSGGOP00000043849	ENSGGOG00000038730	Gorilla_gorilla
ENSSARP00000010710	ENSSARG00000011862	Sorex_araneus
ENSGALP00000008163	ENSGALG00000005099	Gallus_gallus
ENSSTOP00000011432	ENSSTOG00000012755	Ictidomys_tridecemlineatus
ENSCLAP00000018654	ENSCLAG00000012792	Chinchilla_lanigera
ENSPCIP00000029059	ENSPCIG00000021648	Phascolarctos_cinereus
ENSPTEP00000037560	ENSPTEG00000035105	Piliocolobus_tephrosceles
ENSMFAP00000039022	ENSMFAG00000038844	Macaca_fascicularis
ENSDORP00000007689	ENSDORG00000008193	Dipodomys_ordii
ENSDNOP00000011775	ENSDNOG00000015191	Dasypus_novemcinctus
MGP_SPRETEiJ_P0065119	MGP_SPRETEiJ_G0027055	Mus_spretus_strain_SPRET/EiJ	MGP_SPRETEiJ_T0065119
ENSUPAP00010020006	ENSUPAG00010015855	Urocitellus_parryii
ENSCHOP00000003683	ENSCHOG00000004169	Choloepus_hoffmanni
ENSSCAP00000008605	ENSSCAG00000006562	Serinus_canaria
ENSSDAP00000013965	ENSSDAG00000012596	Spermophilus_dauricus
ENSCATP00000016237	ENSCATG00000032060	Cercocebus_atys
ENSBMUP00000020867	ENSBMUG00000015725	Bos_mutus
ENSTTRP00000005168	ENSTTRG00000005483	Tursiops_truncatus
ENSNPEP00000005241	ENSNPEG00000003960	Nothoprocta_perdicaria
ENSMGAP00000003254	ENSMGAG00000003544	Meleagris_gallopavo
ENSPPRP00000018057	ENSPPRG00000009834	Panthera_pardus
ENSPCAP00000002732	ENSPCAG00000002915	Procavia_capensis
ENSCGRP00015018101	ENSCGRG00015013816	Cricetulus_griseus_CriGri-PICR
ENSCCNP00000022575	ENSCCNG00000022198	Castor_canadensis
ENSGGOP00000019435	ENSGGOG00000043992	Gorilla_gorilla
ENSMUGP00000028491	ENSMUGG00000023624	Meriones_unguiculatus	ENSMUGT00000032610
ENSMOCP00000005954	ENSMOCG00000005513	Microtus_ochrogaster
ENSSARP00000005534	ENSSARG00000006100	Sorex_araneus
ENSEASP00005033105	ENSEASG00005022645	Equus_asinus_asinus
ENSCHOP00000004448	ENSCHOG00000005025	Choloepus_hoffmanni
ENSPCOP00000020642	ENSPCOG00000022299	Propithecus_coquereli
ENSJHYP00000015543	ENSJHYG00000011931	Junco_hyemalis
ENSNLEP00000020423	ENSNLEG00000016803	Nomascus_leucogenys
ENSUMAP00000000748	ENSUMAG00000000817	Ursus_maritimus
ENSRNOP00000010454	ENSRNOG00000007886	Rattus_norvegicus	ENSRNOT00000010454
ENSPEMP00000005077	ENSPEMG00000007537	Peromyscus_maniculatus_bairdii
ENSLAFP00000011471	ENSLAFG00000013705	Loxodonta_africana
ENSECAP00000004403	ENSECAG00000036760	Equus_caballus
ENSCAFP00020000736	ENSCAFG00020000684	Canis_lupus_dingo
ENSAOWP00000015946	ENSAOWG00000010856	Apteryx_owenii
ENSPMJP00000012452	ENSPMJG00000009569	Parus_major
ENSMUSP00000074810	ENSMUSG00000061540	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000075341
ENSMSIP00000008101	ENSMSIG00000007193	Mus_spicilegus	ENSMSIT00000010298
ENSPTIP00000003960	ENSPTIG00000006587	Panthera_tigris_altaica
ENSEASP00005033101	ENSEASG00005022642	Equus_asinus_asinus
