ENSPNAP00000008149	ENSPNAG00000002937	Pygocentrus_nattereri
ENSUMAP00000025252	ENSUMAG00000018396	Ursus_maritimus
ENSAMEP00000000864	ENSAMEG00000000835	Ailuropoda_melanoleuca
ENSCAFP00020001300	ENSCAFG00020001188	Canis_lupus_dingo
ENSMPUP00000000296	ENSMPUG00000000298	Mustela_putorius_furo
ENSNVIP00000023409	ENSNVIG00000018156	Neovison_vison
ENSPPRP00000023862	ENSPPRG00000014109	Panthera_pardus
ENSPTIP00000021026	ENSPTIG00000018308	Panthera_tigris_altaica
ENSFCAP00000043385	ENSFCAG00000043292	Felis_catus
ENSCAFP00000044612	ENSCAFG00000007675	Canis_lupus_familiaris
ENSVVUP00000023177	ENSVVUG00000017005	Vulpes_vulpes
ENSSSCP00000069014	ENSSSCG00000013155	Sus_scrofa_strain_reference
ENSECAP00000038497	ENSECAG00000002280	Equus_caballus
ENSCJAP00000064222	ENSCJAG00000008421	Callithrix_jacchus
ENSEASP00005002390	ENSEASG00005001869	Equus_asinus_asinus
ENSBMUP00000005166	ENSBMUG00000004043	Bos_mutus
ENSBTAP00000004728	ENSBTAG00000024657	Bos_taurus
ENSBIXP00000034853	ENSBIXG00000017951	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005022265	ENSBIXG00005025220	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCHIP00000019639	ENSCHIG00000018571	Capra_hircus
ENSCHIP00000028733	ENSCHIG00000024134	Capra_hircus
ENSOARP00000011986	ENSOARG00000011184	Ovis_aries
ENSOARP00000003559	ENSOARG00000003340	Ovis_aries
ENSPCIP00000013855	ENSPCIG00000010865	Phascolarctos_cinereus
ENSVURP00010018784	ENSVURG00010014299	Vombatus_ursinus
ENSMEUP00000005982	ENSMEUG00000006553	Notamacropus_eugenii
ENSSHAP00000007509	ENSSHAG00000006526	Sarcophilus_harrisii
ENSMODP00000059215	ENSMODG00000049837	Monodelphis_domestica
ENSOANP00000007152	ENSOANG00000004512	Ornithorhynchus_anatinus
ENSGAGP00000030051	ENSGAGG00000021683	Gopherus_agassizii
ENSCABP00000027944	ENSCABG00000020542	Chelonoidis_abingdonii
ENSCPBP00000023625	ENSCPBG00000016867	Chrysemys_picta_bellii
ENSPSIP00000005610	ENSPSIG00000005217	Pelodiscus_sinensis
ENSCPUP00000022472	ENSCPUG00000015252	Calidris_pugnax
ENSCPGP00000005568	ENSCPGG00000004015	Calidris_pygmaea
ENSMUNP00000000042	ENSMUNG00000000078	Melopsittacus_undulatus
ENSABRP00000006171	ENSABRG00000005731	Anser_brachyrhynchus
ENSAPLP00000006441	ENSAPLG00000006822	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000010074	ENSMGAG00000009741	Meleagris_gallopavo
ENSCJPP00005022318	ENSCJPG00005017806	Coturnix_japonica
ENSGALP00000038018	ENSGALG00000007287	Gallus_gallus
ENSNMEP00000002363	ENSNMEG00000003062	Numida_meleagris
ENSCCEP00000013222	ENSCCEG00000012722	Cyanistes_caeruleus
ENSPMJP00000007775	ENSPMJG00000006396	Parus_major
ENSJHYP00000008741	ENSJHYG00000006931	Junco_hyemalis
ENSZALP00000005039	ENSZALG00000004701	Zonotrichia_albicollis
ENSSCAP00000013547	ENSSCAG00000010044	Serinus_canaria
ENSFALP00000011482	ENSFALG00000010996	Ficedula_albicollis
ENSLSDP00000005571	ENSLSDG00000004331	Lonchura_striata_domestica
ENSTGUP00000007342	ENSTGUG00000007128	Taeniopygia_guttata
ENSLCOP00000018524	ENSLCOG00000013109	Lepidothrix_coronata
ENSMVIP00005012784	ENSMVIG00005009291	Manacus_vitellinus
ENSDNVP00000006240	ENSDNVG00000004471	Dromaius_novaehollandiae
ENSNPEP00000002651	ENSNPEG00000002045	Nothoprocta_perdicaria
ENSAHAP00000006282	ENSAHAG00000004755	Apteryx_haastii
ENSAOWP00000008397	ENSAOWG00000005777	Apteryx_owenii
ENSARWP00000003465	ENSARWG00000002604	Apteryx_rowi
ENSSPUP00000021495	ENSSPUG00000016525	Sphenodon_punctatus
ENSSPUP00000021484	ENSSPUG00000016519	Sphenodon_punctatus
ENSACAP00000006692	ENSACAG00000006811	Anolis_carolinensis
ENSNSUP00000023446	ENSNSUG00000016966	Notechis_scutatus
ENSPVIP00000031261	ENSPVIG00000022972	Pogona_vitticeps
ENSSMRP00000001304	ENSSMRG00000001153	Salvator_merianae
ENSXETP00000024866	ENSXETG00000004153	Xenopus_tropicalis
ENSLACP00000001335	ENSLACG00000001198	Latimeria_chalumnae
ENSPKIP00000036246	ENSPKIG00000014868	Paramormyrops_kingsleyae
ENSDARP00000120955	ENSDARG00000078434	Danio_rerio
ENSCAPP00000013486	ENSCAPG00000014094	Cavia_aperea
ENSDARP00000128312	ENSDARG00000086626	Danio_rerio
