ENSATEP00000010461	ENSATEG00000007193	Anabas_testudineus
ENSHGLP00100010648	ENSHGLG00100007914	Heterocephalus_glaber_HetGla_1.0
ENSCGRP00001011363	ENSCGRG00001012961	Cricetulus_griseus_CHOK1GS_HDv1
ENSPTRP00000015079	ENSPTRG00000008843	Pan_troglodytes
ENSPTEP00000027619	ENSPTEG00000027393	Piliocolobus_tephrosceles
ENSGMOP00000011422	ENSGMOG00000010621	Gadus_morhua
ENSPFOP00000026991	ENSPFOG00000021749	Poecilia_formosa
ENSSHAP00000006709	ENSSHAG00000005840	Sarcophilus_harrisii
ENSUAMP00000013322	ENSUAMG00000010697	Ursus_americanus
ENSHHUP00000004968	ENSHHUG00000003087	Hucho_hucho
ENSTNIP00000005304	ENSTNIG00000002744	Tetraodon_nigroviridis
ENSMZEP00005016782	ENSMZEG00005012550	Maylandia_zebra
ENSPCOP00000002597	ENSPCOG00000007847	Propithecus_coquereli
ENSTNIP00000014456	ENSTNIG00000011507	Tetraodon_nigroviridis
ENSETEP00000008724	ENSETEG00000010734	Echinops_telfairi
ENSCJAP00000001656	ENSCJAG00000000964	Callithrix_jacchus
ENSLSDP00000007904	ENSLSDG00000005930	Lonchura_striata_domestica
ENSPTIP00000023916	ENSPTIG00000020188	Panthera_tigris_altaica
ENSMEUP00000011864	ENSMEUG00000012902	Notamacropus_eugenii
ENSORLP00015008462	ENSORLG00015009259	Oryzias_latipes_ASM223469v1
ENSPPYP00000009048	ENSPPYG00000008044	Pongo_abelii
ENSCGRP00015021896	ENSCGRG00015016341	Cricetulus_griseus_CriGri-PICR
ENSAMEP00000005307	ENSAMEG00000004966	Ailuropoda_melanoleuca
MGP_PahariEiJ_P0033793	MGP_PahariEiJ_G0017587	Mus_pahari_strain_PAHARI_EIJ
ENSMPUP00000000030	ENSMPUG00000000030	Mustela_putorius_furo
ENSEEUP00000013448	ENSEEUG00000014591	Erinaceus_europaeus
ENSTBEP00000011705	ENSTBEG00000013366	Tupaia_belangeri
ENSDORP00000023953	ENSDORG00000016485	Dipodomys_ordii
ENSCPOP00000003292	ENSCPOG00000003645	Cavia_porcellus
ENSCCNP00000021822	ENSCCNG00000021326	Castor_canadensis
ENSLOCP00000014056	ENSLOCG00000011425	Lepisosteus_oculatus
ENSMUGP00000010241	ENSMUGG00000008746	Meriones_unguiculatus
ENSMUSP00000071777	ENSMUSG00000042678	Mus_musculus_strain_reference_(CL57BL6)
ENSFALP00000001159	ENSFALG00000001109	Ficedula_albicollis
ENSPFOP00000006498	ENSPFOG00000006473	Poecilia_formosa
ENSMAMP00000011652	ENSMAMG00000007710	Mastacembelus_armatus
ENSSTOP00000015919	ENSSTOG00000014983	Ictidomys_tridecemlineatus
ENSGACP00000021954	ENSGACG00000016622	Gasterosteus_aculeatus
ENSAPOP00000024900	ENSAPOG00000007817	Acanthochromis_polyacanthus
ENSMOCP00000007482	ENSMOCG00000007260	Microtus_ochrogaster
ENSFHEP00000011138	ENSFHEG00000012696	Fundulus_heteroclitus
ENSCPGP00000004212	ENSCPGG00000003041	Calidris_pygmaea
ENSTGUP00000007454	ENSTGUG00000007234	Taeniopygia_guttata
ENSCSEP00000028754	ENSCSEG00000018409	Cynoglossus_semilaevis
ENSEASP00005000709	ENSEASG00005000595	Equus_asinus_asinus
MGP_SPRETEiJ_P0028403	MGP_SPRETEiJ_G0017292	Mus_spretus_strain_SPRET/EiJ
ENSARWP00000010547	ENSARWG00000007330	Apteryx_rowi
ENSEBUP00000022943	ENSEBUG00000014142	Eptatretus_burgeri	ENSEBUT00000023519
ENSNLEP00000016901	ENSNLEG00000013880	Nomascus_leucogenys
ENSPSIP00000011005	ENSPSIG00000009590	Pelodiscus_sinensis
ENSCCAP00000022165	ENSCCAG00000028832	Cebus_capucinus_imitator
ENSRROP00000044609	ENSRROG00000045253	Rhinopithecus_roxellana
ENSPMGP00000018408	ENSPMGG00000015010	Periophthalmus_magnuspinnatus
ENSMICP00000011530	ENSMICG00000012609	Microcebus_murinus
ENSSBOP00000020422	ENSSBOG00000026768	Saimiri_boliviensis_boliviensis
ENSMAMP00000007370	ENSMAMG00000004926	Mastacembelus_armatus
ENSMALP00000026405	ENSMALG00000018268	Monopterus_albus
ENSONIP00000019697	ENSONIG00000015652	Oreochromis_niloticus
ENSSFOP00015037113	ENSSFOG00015023600	Scleropages_formosus
ENSIPUP00000024516	ENSIPUG00000016542	Ictalurus_punctatus
ENSLCOP00000002992	ENSLCOG00000002289	Lepidothrix_coronata
ENSOGAP00000011513	ENSOGAG00000012834	Otolemur_garnettii
ENSMMUP00000041483	ENSMMUG00000018344	Macaca_mulatta
ENSCANP00000016982	ENSCANG00000031914	Colobus_angolensis_palliatus
ENSDARP00000124896	ENSDARG00000075292	Danio_rerio
ENSPEMP00000036842	ENSPEMG00000010797	Peromyscus_maniculatus_bairdii
ENSCSAP00000001149	ENSCSAG00000004826	Chlorocebus_sabaeus
ENSOARP00000000878	ENSOARG00000000842	Ovis_aries
ENSAOWP00000018845	ENSAOWG00000012773	Apteryx_owenii
ENSPMEP00000017770	ENSPMEG00000020787	Poecilia_mexicana
ENSMLEP00000001514	ENSMLEG00000005875	Mandrillus_leucophaeus
ENSODEP00000008918	ENSODEG00000006663	Octodon_degus
ENSGAFP00000019361	ENSGAFG00000013022	Gambusia_affinis
ENSOANP00000025409	ENSOANG00000020015	Ornithorhynchus_anatinus
ENSAHAP00000022919	ENSAHAG00000016007	Apteryx_haastii
ENSHCOP00000022825	ENSHCOG00000010858	Hippocampus_comes
ENSLACP00000017624	ENSLACG00000015522	Latimeria_chalumnae
ENSLSDP00000009869	ENSLSDG00000007272	Lonchura_striata_domestica
ENSCLAP00000005986	ENSCLAG00000004240	Chinchilla_lanigera
ENSHBUP00000016391	ENSHBUG00000018462	Haplochromis_burtoni
ENSXCOP00000006889	ENSXCOG00000005326	Xiphophorus_couchianus
ENSLOCP00000006064	ENSLOCG00000005025	Lepisosteus_oculatus
ENSCHIP00000022562	ENSCHIG00000020456	Capra_hircus
ENSDNOP00000004314	ENSDNOG00000005519	Dasypus_novemcinctus
ENSMNEP00000035236	ENSMNEG00000040636	Macaca_nemestrina
ENSCAFP00020026791	ENSCAFG00020020988	Canis_lupus_dingo
ENSNSUP00000008563	ENSNSUG00000006617	Notechis_scutatus
ENSNGAP00000000280	ENSNGAG00000000161	Nannospalax_galili
ENSCPUP00000003536	ENSCPUG00000002692	Calidris_pugnax
ENSCGRP00000005545	ENSCGRG00000004062	Cricetulus_griseus_CriGri_1.0
ENSGGOP00000015815	ENSGGOG00000016179	Gorilla_gorilla
ENSPMGP00000011484	ENSPMGG00000009510	Periophthalmus_magnuspinnatus
ENSCSAP00000004443	ENSCSAG00000008278	Chlorocebus_sabaeus
ENSPFOP00000007286	ENSPFOG00000007263	Poecilia_formosa
ENSELUP00000042649	ENSELUG00000024131	Esox_lucius
ENSMPUP00000013734	ENSMPUG00000013837	Mustela_putorius_furo
ENSPNYP00000026915	ENSPNYG00000020186	Pundamilia_nyererei
ENSAOCP00000006571	ENSAOCG00000000654	Amphiprion_ocellaris
ENSEBUP00000009390	ENSEBUG00000006053	Eptatretus_burgeri	ENSEBUT00000009913
ENSTTRP00000007717	ENSTTRG00000008144	Tursiops_truncatus
ENSOMEP00000019054	ENSOMEG00000020933	Oryzias_melastigma
ENSOPRP00000015185	ENSOPRG00000016574	Ochotona_princeps
ENSEBUP00000000046	ENSEBUG00000000332	Eptatretus_burgeri	ENSEBUT00000000335
ENSAMXP00005047333	ENSAMXG00005021694	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCHAP00000055474	ENSCHAG00000025073	Clupea_harengus
ENSSARP00000008767	ENSSARG00000009603	Sorex_araneus
ENSLAFP00000012997	ENSLAFG00000015498	Loxodonta_africana
ENSGMOP00000010054	ENSGMOG00000009352	Gadus_morhua
ENSGACP00000018817	ENSGACG00000014239	Gasterosteus_aculeatus
ENSMMMP00000010401	ENSMMMG00000009197	Marmota_marmota_marmota
ENSCMIP00000031439	ENSCMIG00000013451	Callorhinchus_milii
ENSCGOP00000001346	ENSCGOG00000000810	Cottoperca_gobio
ENSPNYP00000026043	ENSPNYG00000019542	Pundamilia_nyererei
ENSCPGP00000000529	ENSCPGG00000000433	Calidris_pygmaea
ENSAPEP00000002206	ENSAPEG00000001464	Amphiprion_percula
ENSMGAP00000004567	ENSMGAG00000004702	Meleagris_gallopavo
ENSLACP00000012408	ENSLACG00000010928	Latimeria_chalumnae
ENSLCRP00005009398	ENSLCRG00005004381	Larimichthys_crocea
ENSTNIP00000011106	ENSTNIG00000008276	Tetraodon_nigroviridis
ENSPCAP00000011058	ENSPCAG00000011341	Procavia_capensis
ENSPANP00000019754	ENSPANG00000023681	Papio_anubis
ENSPKIP00000040523	ENSPKIG00000017384	Paramormyrops_kingsleyae
ENSUPAP00010019387	ENSUPAG00010015017	Urocitellus_parryii
