ENSPEMP00000027841	ENSPEMG00000023529	Peromyscus_maniculatus_bairdii
ENSATEP00000004913	ENSATEG00000003403	Anabas_testudineus
ENSBSLP00000031257	ENSBSLG00000015299	Betta_splendens
ENSAPEP00000031154	ENSAPEG00000022137	Amphiprion_percula
ENSAOCP00000014594	ENSAOCG00000001384	Amphiprion_ocellaris
ENSAPOP00000024435	ENSAPOG00000006849	Acanthochromis_polyacanthus
ENSSPAP00000009138	ENSSPAG00000006937	Stegastes_partitus
ENSPRNP00000027043	ENSPRNG00000013535	Parambassis_ranga
ENSACLP00000004577	ENSACLG00000003053	Astatotilapia_calliptera
ENSMZEP00005019900	ENSMZEG00005014944	Maylandia_zebra
ENSHBUP00000028045	ENSHBUG00000011594	Haplochromis_burtoni
ENSPNYP00000019409	ENSPNYG00000014644	Pundamilia_nyererei
ENSACLP00000023524	ENSACLG00000015981	Astatotilapia_calliptera
ENSNBRP00000022979	ENSNBRG00000017579	Neolamprologus_brichardi
ENSONIP00000014974	ENSONIG00000011896	Oreochromis_niloticus
ENSACIP00000024931	ENSACIG00000019307	Amphilophus_citrinellus
ENSGWIP00000042158	ENSGWIG00000021163	Gouania_willdenowi
ENSSLDP00000022749	ENSSLDG00000017755	Seriola_lalandi_dorsalis
ENSSDUP00000021731	ENSSDUG00000015776	Seriola_dumerili
ENSLCAP00010056358	ENSLCAG00010026297	Lates_calcarifer
ENSSMAP00000021101	ENSSMAG00000012937	Scophthalmus_maximus
ENSHCOP00000022605	ENSHCOG00000010491	Hippocampus_comes
ENSPMGP00000009577	ENSPMGG00000007943	Periophthalmus_magnuspinnatus
ENSGMOP00000020473	ENSGMOG00000019040	Gadus_morhua
ENSHHUP00000036986	ENSHHUG00000023180	Hucho_hucho
ENSHHUP00000015890	ENSHHUG00000009888	Hucho_hucho
ENSELUP00000000472	ENSELUG00000002067	Esox_lucius
ENSSFOP00015011132	ENSSFOG00015007201	Scleropages_formosus
ENSPKIP00000010894	ENSPKIG00000025432	Paramormyrops_kingsleyae
ENSLOCP00000018721	ENSLOCG00000015214	Lepisosteus_oculatus
ENSECRP00000009380	ENSECRG00000006285	Erpetoichthys_calabaricus
ENSCMIP00000028490	ENSCMIG00000012366	Callorhinchus_milii
ENSSFOP00015006410	ENSSFOG00015004217	Scleropages_formosus
ENSPKIP00000008040	ENSPKIG00000023689	Paramormyrops_kingsleyae
ENSLOCP00000007963	ENSLOCG00000006592	Lepisosteus_oculatus
ENSECRP00000030319	ENSECRG00000020575	Erpetoichthys_calabaricus
ENSCMIP00000039752	ENSCMIG00000016635	Callorhinchus_milii
ENSPMAP00000007569	ENSPMAG00000006868	Petromyzon_marinus
ENSEBUP00000001011	ENSEBUG00000000980	Eptatretus_burgeri
