ENSLCAP00010008379	ENSLCAG00010004060	Lates_calcarifer
ENSPCOP00000029528	ENSPCOG00000027478	Propithecus_coquereli
ENSATEP00000036437	ENSATEG00000025036	Anabas_testudineus
ENSABRP00000000109	ENSABRG00000000112	Anser_brachyrhynchus	ENSABRT00000000184
ENSCJAP00000035114	ENSCJAG00000018914	Callithrix_jacchus
ENSIPUP00000016154	ENSIPUG00000010950	Ictalurus_punctatus
ENSMOCP00000023854	ENSMOCG00000020454	Microtus_ochrogaster
ENSBIXP00000016309	ENSBIXG00000020524	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSOGAP00000011987	ENSOGAG00000013378	Otolemur_garnettii
ENSBSLP00000054852	ENSBSLG00000025735	Betta_splendens
ENSAMXP00000006901	ENSAMXG00000006726	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSTTRP00000007961	ENSTTRG00000008404	Tursiops_truncatus
ENSCPRP00005007312	ENSCPRG00005005181	Crocodylus_porosus
ENSHBUP00000007378	ENSHBUG00000008870	Haplochromis_burtoni
ENSMUSP00000016399	ENSMUSG00000016255	Mus_musculus_strain_reference_(CL57BL6)
ENSPREP00000013086	ENSPREG00000008885	Poecilia_reticulata
ENSPRNP00000001109	ENSPRNG00000000763	Parambassis_ranga
ENSTBEP00000008017	ENSTBEG00000009258	Tupaia_belangeri
ENSMMOP00000009565	ENSMMOG00000007402	Mola_mola
MGP_CAROLIEiJ_P0056530	MGP_CAROLIEiJ_G0024760	Mus_caroli_strain_CAROLI_EIJ
ENSBIXP00005039658	ENSBIXG00005003743	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSONIP00000014465	ENSONIG00000011492	Oreochromis_niloticus
ENSHGLP00100004851	ENSHGLG00100003679	Heterocephalus_glaber_HetGla_1.0
ENSLSDP00000006353	ENSLSDG00000004844	Lonchura_striata_domestica
ENSORLP00020015570	ENSORLG00020016579	Oryzias_latipes_ASM223471v1
ENSOARP00000017276	ENSOARG00000016089	Ovis_aries
ENSJHYP00000012849	ENSJHYG00000009984	Junco_hyemalis
ENSSLDP00000022104	ENSSLDG00000017254	Seriola_lalandi_dorsalis
ENSP00000217133	ENSG00000101162	Homo_sapiens
ENSDARP00000069525	ENSDARG00000053066	Danio_rerio
ENSSCAP00000021251	ENSSCAG00000015290	Serinus_canaria
ENSDORP00000013799	ENSDORG00000014668	Dipodomys_ordii
ENSSTOP00000015625	ENSSTOG00000027296	Ictidomys_tridecemlineatus
ENSCGRP00000005863	ENSCGRG00000004299	Cricetulus_griseus_CriGri_1.0
ENSFHEP00000014842	ENSFHEG00000016409	Fundulus_heteroclitus
ENSCHAP00000016464	ENSCHAG00000008741	Clupea_harengus
ENSGALP00000012034	ENSGALG00000007447	Gallus_gallus
ENSSBOP00000029923	ENSSBOG00000031264	Saimiri_boliviensis_boliviensis
ENSLBEP00000016291	ENSLBEG00000012606	Labrus_bergylta
ENSAPLP00000027290	ENSAPLG00000029398	Anas_platyrhynchos_platyrhynchos
ENSAMEP00000013129	ENSAMEG00000012472	Ailuropoda_melanoleuca
ENSPMGP00000010301	ENSPMGG00000008539	Periophthalmus_magnuspinnatus
ENSDNVP00000003561	ENSDNVG00000002517	Dromaius_novaehollandiae
ENSMEUP00000010651	ENSMEUG00000011696	Notamacropus_eugenii
ENSPSMP00000034702	ENSPSMG00000023897	Prolemur_simus
ENSBTAP00000068332	ENSBTAG00000018785	Bos_taurus
ENSSARP00000004143	ENSSARG00000004580	Sorex_araneus
MGP_SPRETEiJ_P0058714	MGP_SPRETEiJ_G0025681	Mus_spretus_strain_SPRET/EiJ
ENSCCNP00000019399	ENSCCNG00000019510	Castor_canadensis
ENSOMEP00000016041	ENSOMEG00000017730	Oryzias_melastigma
ENSXCOP00000018456	ENSXCOG00000013893	Xiphophorus_couchianus
ENSDCDP00000030490	ENSDCDG00000021417	Denticeps_clupeoides
ENSNGAP00000022331	ENSNGAG00000021242	Nannospalax_galili
ENSARWP00000013888	ENSARWG00000009600	Apteryx_rowi
ENSAMXP00005016257	ENSAMXG00005008497	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCMIP00000035313	ENSCMIG00000014951	Callorhinchus_milii
ENSFCAP00000006008	ENSFCAG00000014627	Felis_catus
ENSCMIP00000035310	ENSCMIG00000014949	Callorhinchus_milii
ENSACLP00000029131	ENSACLG00000019638	Astatotilapia_calliptera
ENSUAMP00000028468	ENSUAMG00000022001	Ursus_americanus
ENSOCUP00000029717	ENSOCUG00000029727	Oryctolagus_cuniculus
ENSECRP00000012142	ENSECRG00000008029	Erpetoichthys_calabaricus
ENSPANP00000014519	ENSPANG00000019323	Papio_anubis
ENSNBRP00000000675	ENSNBRG00000000595	Neolamprologus_brichardi
ENSMUGP00000019248	ENSMUGG00000016316	Meriones_unguiculatus
ENSCGRP00001020612	ENSCGRG00001019710	Cricetulus_griseus_CHOK1GS_HDv1
ENSMICP00000030334	ENSMICG00000037644	Microcebus_murinus
ENSSMAP00000019259	ENSSMAG00000011813	Scophthalmus_maximus
ENSCSAP00000011682	ENSCSAG00000015595	Chlorocebus_sabaeus
ENSMMUP00000015958	ENSMMUG00000012164	Macaca_mulatta
ENSOPRP00000002326	ENSOPRG00000002529	Ochotona_princeps
ENSLAFP00000000245	ENSLAFG00000000296	Loxodonta_africana
ENSNBRP00000006433	ENSNBRG00000005022	Neolamprologus_brichardi
ENSCGRP00015019435	ENSCGRG00015014921	Cricetulus_griseus_CriGri-PICR
ENSMGAP00000008978	ENSMGAG00000008740	Meleagris_gallopavo
ENSDNOP00000008345	ENSDNOG00000010771	Dasypus_novemcinctus
ENSMSIP00000032610	ENSMSIG00000027325	Mus_spicilegus
ENSOANP00000014764	ENSOANG00000009278	Ornithorhynchus_anatinus
ENSPMJP00000011310	ENSPMJG00000008782	Parus_major
ENSMALP00000015124	ENSMALG00000010626	Monopterus_albus
ENSNPEP00000013131	ENSNPEG00000009761	Nothoprocta_perdicaria
ENSCAPP00000000296	ENSCAPG00000000247	Cavia_aperea
ENSSPAP00000020161	ENSSPAG00000015214	Stegastes_partitus
ENSGAGP00000035388	ENSGAGG00000025154	Gopherus_agassizii
ENSMAMP00000013976	ENSMAMG00000009479	Mastacembelus_armatus
ENSLACP00000016723	ENSLACG00000014731	Latimeria_chalumnae
ENSKMAP00000017825	ENSKMAG00000013126	Kryptolebias_marmoratus
ENSHHUP00000067324	ENSHHUG00000039686	Hucho_hucho
ENSPREP00000013058	ENSPREG00000008878	Poecilia_reticulata
ENSGMOP00000008450	ENSGMOG00000007904	Gadus_morhua
ENSSDAP00000019634	ENSSDAG00000017889	Spermophilus_dauricus
ENSCPGP00000008712	ENSCPGG00000006163	Calidris_pygmaea
ENSMLUP00000013566	ENSMLUG00000014902	Myotis_lucifugus
ENSLCOP00000010336	ENSLCOG00000007507	Lepidothrix_coronata
ENSPVIP00000018626	ENSPVIG00000014247	Pogona_vitticeps	ENSPVIT00000023146
ENSCATP00000025866	ENSCATG00000036381	Cercocebus_atys
ENSCLAP00000006533	ENSCLAG00000004602	Chinchilla_lanigera
ENSSMRP00000016127	ENSSMRG00000012546	Salvator_merianae	ENSSMRT00000018834
ENSCHIP00000031257	ENSCHIG00000025696	Capra_hircus
ENSMAUP00000000796	ENSMAUG00000000615	Mesocricetus_auratus
ENSPCIP00000005485	ENSPCIG00000004588	Phascolarctos_cinereus
ENSSHAP00000015313	ENSSHAG00000013053	Sarcophilus_harrisii
ENSECRP00000011985	ENSECRG00000008000	Erpetoichthys_calabaricus
ENSRBIP00000040032	ENSRBIG00000043458	Rhinopithecus_bieti
ENSSMAP00000019248	ENSSMAG00000011795	Scophthalmus_maximus
ENSCSEP00000029291	ENSCSEG00000018756	Cynoglossus_semilaevis
ENSCAFP00020028122	ENSCAFG00020022060	Canis_lupus_dingo
ENSSDUP00000027134	ENSSDUG00000019624	Seriola_dumerili
ENSPNAP00000026598	ENSPNAG00000005981	Pygocentrus_nattereri
ENSMUNP00000014434	ENSMUNG00000011230	Melopsittacus_undulatus
ENSHGLP00000010614	ENSHGLG00000007606	Heterocephalus_glaber_HetGla_female_1.0
ENSRROP00000010672	ENSRROG00000029741	Rhinopithecus_roxellana
ENSCANP00000020323	ENSCANG00000033584	Colobus_angolensis_palliatus
ENSNVIP00000028287	ENSNVIG00000021841	Neovison_vison
ENSCCAP00000010755	ENSCCAG00000023136	Cebus_capucinus_imitator
ENSUPAP00010015414	ENSUPAG00010012345	Urocitellus_parryii
ENSORLP00015011518	ENSORLG00015012338	Oryzias_latipes_ASM223469v1
ENSCVAP00000024635	ENSCVAG00000008856	Cyprinodon_variegatus
MGP_PahariEiJ_P0067517	MGP_PahariEiJ_G0026202	Mus_pahari_strain_PAHARI_EIJ
ENSPMEP00000033048	ENSPMEG00000021335	Poecilia_mexicana
ENSEASP00005033978	ENSEASG00005023233	Equus_asinus_asinus
ENSGGOP00000016215	ENSGGOG00000016621	Gorilla_gorilla
ENSTSYP00000033463	ENSTSYG00000035411	Carlito_syrichta
ENSCABP00000017738	ENSCABG00000013191	Chelonoidis_abingdonii
ENSPPAP00000001508	ENSPPAG00000006799	Pan_paniscus
ENSCJPP00005007241	ENSCJPG00005006679	Coturnix_japonica
ENSELUP00000020118	ENSELUG00000019373	Esox_lucius
ENSSFOP00015018310	ENSSFOG00015011762	Scleropages_formosus
ENSAOWP00000000795	ENSAOWG00000000599	Apteryx_owenii
ENSPEMP00000030998	ENSPEMG00000025434	Peromyscus_maniculatus_bairdii
ENSMZEP00005008037	ENSMZEG00005005670	Maylandia_zebra
ENSPFOP00000004425	ENSPFOG00000004579	Poecilia_formosa
ENSMNEP00000011559	ENSMNEG00000030119	Macaca_nemestrina
ENSPTRP00000023535	ENSPTRG00000013680	Pan_troglodytes
ENSUMAP00000001074	ENSUMAG00000001065	Ursus_maritimus
ENSANAP00000008589	ENSANAG00000022328	Aotus_nancymaae
ENSBMUP00000025855	ENSBMUG00000019392	Bos_mutus
ENSPPRP00000020004	ENSPPRG00000011192	Panthera_pardus
ENSZALP00000010669	ENSZALG00000009001	Zonotrichia_albicollis
ENSGACP00000008372	ENSGACG00000006306	Gasterosteus_aculeatus
ENSXMAP00000026821	ENSXMAG00000026750	Xiphophorus_maculatus
ENSCPBP00000039210	ENSCPBG00000027008	Chrysemys_picta_bellii
