ENSFALP00000002939	ENSFALG00000002824	Ficedula_albicollis
ENSCPBP00000035873	ENSCPBG00000024938	Chrysemys_picta_bellii
ENSVPAP00000003396	ENSVPAG00000003661	Vicugna_pacos
ENSLCOP00000022297	ENSLCOG00000015724	Lepidothrix_coronata
ENSTTRP00000003855	ENSTTRG00000004094	Tursiops_truncatus
ENSPSIP00000019104	ENSPSIG00000016965	Pelodiscus_sinensis
ENSPEMP00000024949	ENSPEMG00000021510	Peromyscus_maniculatus_bairdii
MGP_CAROLIEiJ_P0033758	MGP_CAROLIEiJ_G0018255	Mus_caroli_strain_CAROLI_EIJ
ENSMSIP00000021465	ENSMSIG00000018176	Mus_spicilegus
ENSSDAP00000011218	ENSSDAG00000010129	Spermophilus_dauricus
ENSPTIP00000009275	ENSPTIG00000010410	Panthera_tigris_altaica
ENSDNVP00000023487	ENSDNVG00000016331	Dromaius_novaehollandiae
ENSMUSP00000089358	ENSMUSG00000041138	Mus_musculus_strain_reference_(CL57BL6)
ENSBMUP00000000663	ENSBMUG00000000582	Bos_mutus
ENSCPOP00000009322	ENSCPOG00000010378	Cavia_porcellus
ENSMLEP00000017491	ENSMLEG00000032939	Mandrillus_leucophaeus
ENSMVIP00005015160	ENSMVIG00005010910	Manacus_vitellinus
ENSPPAP00000015434	ENSPPAG00000030851	Pan_paniscus
ENSDORP00000015036	ENSDORG00000015981	Dipodomys_ordii
ENSSPUP00000022984	ENSSPUG00000017618	Sphenodon_punctatus
ENSPPYP00000019759	ENSPPYG00000017630	Pongo_abelii
ENSRROP00000000765	ENSRROG00000002809	Rhinopithecus_roxellana
ENSMPUP00000018122	ENSMPUG00000018236	Mustela_putorius_furo
ENSUMAP00000015118	ENSUMAG00000011128	Ursus_maritimus
